"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,786.15","2,724.00","2,796.00","2,707.00","75.51K","1.79%"
"05-11-2024","2,737.20","2,710.15","2,767.05","2,701.05","58.88K","0.04%"
"04-11-2024","2,736.15","2,790.00","2,806.45","2,722.20","55.55K","-2.61%"
"01-11-2024","2,809.55","2,837.00","2,839.00","2,788.00","8.83K","0.13%"
"31-10-2024","2,805.90","2,836.20","2,844.30","2,776.20","62.63K","-0.86%"
"30-10-2024","2,830.15","2,787.00","2,838.95","2,730.35","53.42K","1.99%"
"29-10-2024","2,774.85","2,820.00","2,825.00","2,751.00","45.57K","-0.77%"
"28-10-2024","2,796.35","2,747.90","2,814.95","2,692.95","103.06K","1.76%"
"25-10-2024","2,747.95","2,810.60","2,818.45","2,680.25","133.81K","-2.01%"
"24-10-2024","2,804.40","2,829.65","2,855.90","2,782.10","76.46K","-0.89%"
"23-10-2024","2,829.65","2,904.05","2,904.65","2,811.00","118.53K","-2.46%"
"22-10-2024","2,901.00","2,960.00","2,964.70","2,869.35","105.99K","-2.37%"
"21-10-2024","2,971.50","2,965.60","3,018.45","2,871.60","227.29K","-0.05%"
"18-10-2024","2,972.85","2,799.00","3,019.95","2,688.00","619.88K","2.80%"
"17-10-2024","2,891.75","2,965.00","2,965.00","2,865.00","132.45K","-1.80%"
"16-10-2024","2,944.75","2,960.00","2,977.30","2,903.10","86.19K","-0.30%"
"15-10-2024","2,953.75","3,035.00","3,042.85","2,939.65","148.38K","-1.57%"
"14-10-2024","3,000.95","3,015.00","3,054.85","2,974.50","70.74K","-0.32%"
"11-10-2024","3,010.70","2,998.20","3,032.90","2,957.85","64.06K","0.93%"
"10-10-2024","2,982.90","3,037.55","3,074.40","2,970.00","69.65K","-1.31%"
"09-10-2024","3,022.40","3,050.00","3,076.95","3,009.15","62.67K","0.44%"
"08-10-2024","3,009.10","2,905.10","3,019.10","2,905.10","109.74K","1.62%"
"07-10-2024","2,961.15","3,059.95","3,089.90","2,890.05","157.76K","-3.07%"
"04-10-2024","3,054.90","3,074.05","3,210.00","2,985.75","456.06K","-0.55%"
"03-10-2024","3,071.75","3,101.00","3,159.95","3,050.00","131.17K","-3.82%"
"01-10-2024","3,193.85","3,160.00","3,207.35","3,150.00","109.78K","1.24%"
"30-09-2024","3,154.80","3,210.15","3,236.70","3,138.15","148.10K","-2.94%"
"27-09-2024","3,250.25","3,179.00","3,263.00","3,126.80","387.49K","2.51%"
"26-09-2024","3,170.75","3,130.00","3,218.60","3,061.15","515.65K","1.89%"
"25-09-2024","3,111.95","3,015.00","3,144.00","2,986.35","714.53K","3.72%"
"24-09-2024","3,000.25","2,939.40","3,021.00","2,918.00","203.96K","2.27%"
"23-09-2024","2,933.65","2,869.85","2,956.00","2,856.00","155.05K","2.85%"
"20-09-2024","2,852.40","2,833.00","2,889.00","2,826.30","75.91K","1.31%"
"19-09-2024","2,815.65","2,970.00","2,970.00","2,777.00","234.63K","-4.28%"
"18-09-2024","2,941.40","2,981.50","3,004.90","2,926.75","90.94K","-0.85%"
"17-09-2024","2,966.65","2,995.00","3,028.00","2,952.05","183.85K","-0.80%"
"16-09-2024","2,990.45","3,041.45","3,073.00","2,959.90","303.54K","-0.41%"
"13-09-2024","3,002.80","2,897.00","3,030.00","2,882.90","520.30K","4.17%"
"12-09-2024","2,882.55","2,866.95","2,894.40","2,842.10","82.62K","0.87%"
"11-09-2024","2,857.70","2,868.90","2,906.35","2,839.25","189.15K","0.63%"
"10-09-2024","2,839.70","2,865.55","2,886.85","2,823.25","100.58K","-0.41%"
"09-09-2024","2,851.25","2,860.00","2,873.15","2,791.45","114.73K","-0.18%"
"06-09-2024","2,856.40","2,893.00","2,914.60","2,826.05","154.00K","-1.21%"
"05-09-2024","2,891.30","2,925.00","3,032.90","2,874.00","709.70K","-0.23%"
"04-09-2024","2,898.00","2,825.00","2,915.00","2,825.00","214.38K","1.74%"
"03-09-2024","2,848.55","2,806.95","2,884.90","2,803.55","239.23K","1.89%"
"02-09-2024","2,795.65","2,760.00","2,844.70","2,757.05","405.64K","1.43%"
"30-08-2024","2,756.30","2,809.50","2,813.95","2,740.00","128.27K","-1.30%"
"29-08-2024","2,792.70","2,844.95","2,865.30","2,778.30","100.62K","-1.76%"
"28-08-2024","2,842.75","2,901.00","2,955.00","2,818.55","239.74K","-1.16%"
"27-08-2024","2,876.00","2,839.35","2,918.00","2,822.05","262.11K","1.29%"
"26-08-2024","2,839.35","2,857.70","2,877.95","2,808.00","123.60K","-0.33%"
"23-08-2024","2,848.80","2,870.00","2,874.90","2,805.85","205.16K","-0.57%"
"22-08-2024","2,865.05","2,825.00","2,898.00","2,806.05","364.79K","1.39%"
"21-08-2024","2,825.75","2,760.85","2,865.00","2,725.20","500.95K","2.37%"
"20-08-2024","2,760.20","2,727.30","2,765.00","2,696.00","178.68K","1.94%"
"19-08-2024","2,707.55","2,660.00","2,742.00","2,660.00","208.81K","2.94%"
"16-08-2024","2,630.15","2,630.00","2,658.80","2,612.00","164.70K","0.70%"
"14-08-2024","2,611.85","2,629.70","2,650.00","2,578.55","85.35K","-0.18%"
"13-08-2024","2,616.60","2,723.00","2,729.60","2,605.00","229.77K","-3.84%"
"12-08-2024","2,721.00","2,779.00","2,779.00","2,702.20","260.05K","-2.27%"
"09-08-2024","2,784.30","2,639.00","2,795.00","2,616.65","758.10K","5.45%"
"08-08-2024","2,640.30","2,686.25","2,688.00","2,598.90","275.65K","-1.71%"
"07-08-2024","2,686.25","2,619.10","2,693.95","2,594.40","242.26K","3.27%"
"06-08-2024","2,601.10","2,571.15","2,619.95","2,561.10","145.89K","1.96%"
"05-08-2024","2,551.15","2,600.00","2,622.90","2,512.25","167.06K","-4.65%"
"02-08-2024","2,675.50","2,626.55","2,680.00","2,603.05","116.14K","1.86%"
