"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","858.25","824.70","862.75","817.65","140.11K","4.47%"
"05-11-2024","821.50","820.65","825.00","814.00","30.65K","0.09%"
"04-11-2024","820.75","833.95","833.95","813.75","51.04K","-1.58%"
"01-11-2024","833.95","845.00","845.00","828.75","20.09K","0.65%"
"31-10-2024","828.55","825.00","832.95","813.30","169.91K","0.35%"
"30-10-2024","825.65","803.05","830.50","803.05","125.84K","1.81%"
"29-10-2024","811.00","816.90","818.30","805.20","66.47K","-0.72%"
"28-10-2024","816.90","827.85","828.90","799.55","101.95K","-1.01%"
"25-10-2024","825.25","828.20","850.00","802.05","221.75K","0.44%"
"24-10-2024","821.60","838.00","839.55","816.05","49.92K","-2.22%"
"23-10-2024","840.25","845.00","848.35","822.80","69.61K","-0.94%"
"22-10-2024","848.20","860.00","869.00","832.55","77.32K","-0.91%"
"21-10-2024","855.95","870.00","872.40","849.55","94.22K","-1.58%"
"18-10-2024","869.70","873.70","875.40","861.05","44.16K","-0.72%"
"17-10-2024","876.00","882.10","886.60","868.05","71.28K","-1.21%"
"16-10-2024","886.70","887.35","893.70","881.00","37.58K","-0.83%"
"15-10-2024","894.15","895.00","899.00","885.15","43.86K","0.02%"
"14-10-2024","893.95","894.00","899.00","879.20","53.10K","0.95%"
"11-10-2024","885.50","894.50","894.50","878.00","40.54K","-0.75%"
"10-10-2024","892.15","890.10","900.00","878.90","99.59K","2.23%"
"09-10-2024","872.65","875.00","886.95","869.85","60.93K","-0.10%"
"08-10-2024","873.55","875.00","879.75","866.90","60.95K","-0.43%"
"07-10-2024","877.35","893.05","893.95","864.00","90.02K","-1.73%"
"04-10-2024","892.75","894.00","899.00","870.20","84.84K","0.39%"
"03-10-2024","889.25","883.00","894.45","882.80","73.78K","-1.42%"
"01-10-2024","902.10","909.00","913.35","896.05","126.11K","-1.26%"
"30-09-2024","913.60","870.00","922.40","868.00","293.95K","3.75%"
"27-09-2024","880.55","874.00","897.95","865.85","81.74K","0.75%"
"26-09-2024","874.00","876.00","879.95","871.55","285.23K","-0.31%"
"25-09-2024","876.75","884.00","884.00","870.05","66.11K","-1.13%"
"24-09-2024","886.75","874.95","889.95","870.05","70.65K","1.41%"
"23-09-2024","874.40","875.95","890.00","872.00","109.78K","-0.14%"
"20-09-2024","875.65","892.00","892.00","870.10","319.59K","-1.44%"
"19-09-2024","888.45","883.00","904.80","865.00","116.24K","1.02%"
"18-09-2024","879.50","886.85","889.05","872.00","81.35K","-0.83%"
"17-09-2024","886.85","907.80","908.00","876.15","74.43K","-2.30%"
"16-09-2024","907.70","924.95","924.95","900.00","47.87K","-0.91%"
"13-09-2024","916.00","921.95","925.40","910.00","63.61K","-0.45%"
"12-09-2024","920.10","914.95","924.35","895.20","144.86K","1.74%"
"11-09-2024","904.40","914.00","927.00","895.35","215.23K","-0.55%"
"10-09-2024","909.40","903.50","910.00","897.40","84.85K","2.16%"
"09-09-2024","890.15","899.00","899.00","880.10","55.14K","-0.65%"
"06-09-2024","895.95","915.00","915.35","889.00","91.11K","-1.23%"
"05-09-2024","907.10","903.20","911.75","891.00","79.48K","0.99%"
"04-09-2024","898.20","898.00","907.50","891.00","50.58K","-0.95%"
"03-09-2024","906.85","902.50","915.00","894.15","81.65K","0.48%"
"02-09-2024","902.50","905.50","908.00","885.65","70.60K","-0.08%"
"30-08-2024","903.25","879.60","909.95","875.30","196.76K","3.23%"
"29-08-2024","875.00","890.00","890.00","868.90","119.48K","-1.51%"
"28-08-2024","888.40","909.70","909.70","885.00","85.45K","-1.91%"
"27-08-2024","905.70","908.00","911.45","900.00","67.11K","-0.26%"
"26-08-2024","908.10","918.40","921.55","903.15","78.85K","-0.41%"
"23-08-2024","911.85","915.00","917.20","901.80","61.08K","-0.21%"
"22-08-2024","913.80","919.95","927.60","909.00","77.51K","-0.22%"
"21-08-2024","915.80","914.15","921.00","906.20","91.59K","0.13%"
"20-08-2024","914.65","883.75","918.00","882.05","296.27K","3.63%"
"19-08-2024","882.65","880.00","900.00","876.00","135.45K","0.36%"
"16-08-2024","879.50","895.65","900.00","874.00","117.13K","-1.01%"
"14-08-2024","888.45","882.00","900.00","870.65","126.83K","0.71%"
"13-08-2024","882.15","909.25","917.35","877.00","1.63M","-2.98%"
"12-08-2024","909.25","915.55","921.00","873.00","409.26K","-1.23%"
"09-08-2024","920.55","926.00","929.50","909.15","70.13K","-0.14%"
"08-08-2024","921.80","914.00","926.95","908.60","62.33K","0.85%"
"07-08-2024","914.00","936.00","936.00","905.50","63.37K","0.24%"
"06-08-2024","911.85","918.85","928.00","904.80","79.17K","0.41%"
"05-08-2024","908.10","911.60","941.45","904.00","118.71K","-4.54%"
"02-08-2024","951.25","931.90","956.00","925.25","63.89K","1.79%"
"01-08-2024","934.55","961.00","961.00","926.55","104.22K","-1.93%"
"31-07-2024","952.95","959.00","964.45","945.00","174.87K","-0.63%"
"30-07-2024","959.00","963.40","967.15","953.00","189.97K","-0.46%"
"29-07-2024","963.40","980.00","980.00","958.35","301.41K","-0.30%"
"26-07-2024","966.30","976.90","978.95","957.60","144.38K","-0.11%"
"25-07-2024","967.40","959.00","976.05","952.15","103.54K","0.82%"
"24-07-2024","959.55","952.00","963.85","947.55","89.95K","1.16%"
"23-07-2024","948.55","967.50","967.50","921.55","147.64K","-0.09%"
"22-07-2024","949.40","941.95","966.00","931.05","92.31K","0.94%"
"19-07-2024","940.55","980.00","985.35","936.10","216.87K","-3.16%"
"18-07-2024","971.25","991.90","996.45","969.70","120.27K","-1.92%"
"16-07-2024","990.30","965.00","1,014.35","965.00","546.20K","1.86%"
"15-07-2024","972.20","989.45","990.00","970.00","128.34K","-0.73%"
"12-07-2024","979.35","959.95","990.00","955.35","238.43K","2.70%"
"11-07-2024","953.60","962.50","962.50","951.05","58.86K","-0.51%"
"10-07-2024","958.50","964.25","968.00","945.45","161.54K","-1.59%"
"09-07-2024","974.00","969.70","992.50","963.00","191.76K","1.34%"
"08-07-2024","961.10","965.00","972.85","950.05","240.88K","-0.86%"
"05-07-2024","969.40","980.00","1,000.00","960.10","427.53K","-2.04%"
"04-07-2024","989.60","1,000.00","1,025.00","981.00","1.43M","3.07%"
"03-07-2024","960.10","906.15","970.00","905.20","1.34M","6.55%"
"02-07-2024","901.05","897.00","906.00","880.10","262.04K","1.17%"
"01-07-2024","890.65","884.95","906.40","874.60","161.93K","1.16%"
"28-06-2024","880.45","891.80","891.80","875.40","46.10K","-0.27%"
"27-06-2024","882.85","898.80","898.80","880.95","160.77K","-0.80%"
"26-06-2024","889.95","913.95","916.90","885.10","122.27K","-2.58%"
"25-06-2024","913.55","894.95","922.75","885.00","137.04K","2.69%"
"24-06-2024","889.60","904.95","911.30","887.00","86.23K","-2.11%"
"21-06-2024","908.80","889.00","925.00","879.50","2.95M","2.19%"
"20-06-2024","889.30","905.00","905.00","875.65","167.47K","-1.16%"
"19-06-2024","899.75","905.25","913.00","890.00","231.13K","-0.06%"
"18-06-2024","900.25","881.20","907.45","881.20","421.01K","2.98%"
"14-06-2024","874.20","877.85","884.90","864.10","193.46K","-0.42%"
"13-06-2024","877.85","871.30","883.80","860.90","211.45K","1.50%"
"12-06-2024","864.90","888.90","904.90","860.00","254.99K","-1.49%"
"11-06-2024","878.00","878.90","888.90","868.15","172.66K","1.59%"
"10-06-2024","864.30","849.95","881.00","847.00","229.70K","2.11%"
"07-06-2024","846.40","838.35","853.80","835.05","261.58K","1.99%"
"06-06-2024","829.85","839.00","854.50","825.05","165.87K","0.43%"
"05-06-2024","826.30","834.00","834.00","793.10","353.43K","-0.89%"
"04-06-2024","833.75","848.25","848.25","810.00","214.86K","-3.08%"
"03-06-2024","860.25","899.00","899.00","857.60","370.76K","1.59%"
"31-05-2024","846.75","855.50","869.00","839.50","381.41K","-1.42%"
"30-05-2024","858.95","862.90","862.90","850.10","85.49K","-0.46%"
"29-05-2024","862.90","849.00","887.00","846.00","255.73K","1.86%"
"28-05-2024","847.15","874.00","894.00","838.00","442.32K","-2.99%"
"27-05-2024","873.30","919.95","920.00","871.10","309.25K","-5.01%"
"24-05-2024","919.40","927.60","929.90","910.65","160.27K","-0.51%"
"23-05-2024","924.15","930.00","932.40","920.55","152.10K","0.70%"
"22-05-2024","917.75","930.00","934.85","909.75","80.03K","-0.38%"
"21-05-2024","921.25","943.95","945.00","915.00","574.81K","-2.30%"
"18-05-2024","942.95","942.95","942.95","942.95","","0.01%"
"17-05-2024","942.90","930.55","957.00","930.55","255.50K","1.89%"
"16-05-2024","925.40","947.00","949.95","922.00","183.81K","-1.61%"
"15-05-2024","940.55","905.00","946.00","899.50","286.63K","4.84%"
"14-05-2024","897.15","888.00","906.95","873.05","154.04K","2.47%"
"13-05-2024","875.50","887.95","887.95","860.55","100.79K","0.38%"
"10-05-2024","872.20","882.30","886.95","862.00","91.41K","-0.83%"
"09-05-2024","879.50","895.00","919.90","875.20","172.95K","-2.03%"
"08-05-2024","897.70","905.00","916.45","892.35","206.26K","-1.51%"
"07-05-2024","911.50","934.00","942.90","896.75","285.93K","-2.12%"
"06-05-2024","931.20","922.25","936.95","906.30","260.83K","2.23%"
"03-05-2024","910.90","920.05","924.45","905.25","98.66K","-0.74%"
"02-05-2024","917.70","910.00","928.25","906.20","238.64K","1.43%"
"30-04-2024","904.80","929.00","937.50","896.30","325.38K","-2.55%"
"29-04-2024","928.50","934.00","938.85","912.00","269.68K","-0.25%"
"26-04-2024","930.80","929.55","947.65","925.40","183.42K","0.13%"
"25-04-2024","929.55","949.90","963.80","920.70","441.85K","-2.14%"
"24-04-2024","949.90","897.00","958.00","889.10","1.18M","6.30%"
"23-04-2024","893.60","888.00","905.85","872.80","1.05M","1.30%"
"22-04-2024","882.15","866.00","888.80","853.30","949.77K","3.44%"
"19-04-2024","852.85","857.00","860.00","834.55","219.98K","-0.45%"
"18-04-2024","856.70","865.00","887.70","853.50","448.25K","1.20%"
"16-04-2024","846.50","825.00","860.50","813.55","436.85K","2.83%"
"15-04-2024","823.20","829.35","829.35","802.25","155.54K","-1.29%"
"12-04-2024","834.00","828.00","842.60","822.00","305.57K","0.23%"
"10-04-2024","832.05","824.45","836.00","809.05","172.45K","1.80%"
"09-04-2024","817.30","824.90","827.05","808.00","119.63K","-0.63%"
"08-04-2024","822.45","830.00","831.85","817.25","118.60K","0.06%"
"05-04-2024","821.95","808.75","826.00","806.05","304.56K","1.43%"
"04-04-2024","810.35","799.95","812.85","784.95","167.82K","1.87%"
"03-04-2024","795.45","787.00","798.00","782.55","60.87K","0.99%"
"02-04-2024","787.65","795.00","796.00","783.20","113.87K","0.27%"
"01-04-2024","785.50","774.95","794.00","774.05","102.24K","1.49%"
"28-03-2024","774.00","784.00","784.00","756.10","239.35K","-0.32%"
"27-03-2024","776.45","772.00","785.00","760.05","253.44K","1.31%"
"26-03-2024","766.40","785.00","785.85","758.45","205.12K","-2.49%"
"22-03-2024","786.00","787.40","789.65","775.35","83.17K","0.13%"
"21-03-2024","785.00","788.95","793.60","777.75","112.87K","0.03%"
"20-03-2024","784.75","776.40","797.80","761.20","149.98K","-0.54%"
"19-03-2024","789.05","784.30","799.00","760.00","272.92K","0.60%"
"18-03-2024","784.35","752.00","795.90","740.40","1.57M","4.73%"
"15-03-2024","748.95","749.00","765.90","740.05","433.60K","-0.07%"
"14-03-2024","749.45","723.40","758.40","711.20","641.80K","3.60%"
"13-03-2024","723.40","786.75","786.75","715.25","539.25K","-7.62%"
"12-03-2024","783.10","812.00","812.00","770.00","254.47K","-2.90%"
"11-03-2024","806.50","813.00","814.95","800.10","381.72K","0.25%"
"07-03-2024","804.50","808.25","812.45","799.00","252.80K","-0.09%"
"06-03-2024","805.20","824.00","832.00","802.25","285.89K","-1.04%"
"05-03-2024","813.65","825.05","827.95","799.60","274.90K","-1.41%"
"04-03-2024","825.25","848.50","850.00","823.70","211.63K","-2.65%"
"02-03-2024","847.70","832.95","855.00","825.05","57.47K","2.50%"
"01-03-2024","827.05","865.00","865.00","823.00","228.68K","-3.09%"
"29-02-2024","853.40","848.80","870.00","836.65","1.30M","-0.08%"
"28-02-2024","854.10","884.90","888.30","841.10","334.64K","-2.48%"
"27-02-2024","875.80","870.00","885.00","863.50","971.69K","3.92%"
"26-02-2024","842.80","837.70","848.65","826.15","229.87K","0.61%"
"23-02-2024","837.70","807.00","842.00","796.30","1.65M","4.59%"
"22-02-2024","800.90","824.00","824.00","795.50","219.98K","-2.59%"
"21-02-2024","822.20","817.00","830.00","810.90","429.15K","1.61%"
"20-02-2024","809.15","811.00","821.25","795.00","238.76K","-0.09%"
"19-02-2024","809.85","831.00","834.90","806.20","346.27K","-2.65%"
"16-02-2024","831.90","824.90","839.00","824.60","154.90K","1.42%"
"15-02-2024","820.25","829.00","830.00","815.00","350.24K","-0.19%"
"14-02-2024","821.85","808.00","829.00","800.00","211.99K","0.73%"
"13-02-2024","815.90","830.00","832.95","800.00","523.52K","-1.13%"
"12-02-2024","825.20","828.00","849.00","816.60","579.01K","-2.29%"
"09-02-2024","844.55","868.00","869.90","835.00","214.38K","-1.69%"
"08-02-2024","859.10","848.10","872.00","848.10","354.54K","0.84%"
"07-02-2024","851.95","878.00","889.25","849.90","369.74K","-1.92%"
"06-02-2024","868.65","857.95","874.40","840.50","369.97K","3.08%"
"05-02-2024","842.70","865.05","883.70","838.10","349.67K","-2.22%"
"02-02-2024","861.80","834.00","875.40","834.00","805.16K","3.71%"
"01-02-2024","831.00","837.00","844.15","827.00","162.37K","-1.68%"
"31-01-2024","845.20","855.00","860.00","819.60","1.04M","-1.97%"
"30-01-2024","862.15","871.95","873.95","858.10","236.18K","0.23%"
"29-01-2024","860.15","837.00","886.00","833.55","1.28M","2.54%"
"25-01-2024","838.85","853.00","854.90","828.40","189.95K","-1.11%"
"24-01-2024","848.30","856.95","870.95","831.15","215.54K","-0.93%"
"23-01-2024","856.30","885.00","885.00","845.10","193.05K","-2.13%"
"20-01-2024","874.95","874.25","880.00","867.85","40.24K","0.87%"
"19-01-2024","867.40","889.15","889.15","865.00","90.76K","-0.30%"
"18-01-2024","870.00","878.80","880.60","857.05","213.30K","-0.75%"
"17-01-2024","876.55","885.00","894.75","873.50","102.54K","-2.07%"
"16-01-2024","895.10","902.20","907.00","877.00","179.32K","-0.79%"
"15-01-2024","902.20","909.95","912.00","893.10","163.67K","0.18%"
"12-01-2024","900.55","890.15","908.65","883.05","239.80K","2.23%"
"11-01-2024","880.90","889.00","920.00","862.10","870.17K","-0.75%"
"10-01-2024","887.60","878.90","893.00","867.35","181.63K","0.72%"
"09-01-2024","881.25","888.30","905.95","873.00","390.76K","0.41%"
"08-01-2024","877.65","857.80","897.30","850.35","872.71K","2.38%"
"05-01-2024","857.25","871.20","881.95","854.75","1.24M","-1.60%"
"04-01-2024","871.20","829.00","875.00","828.95","1.62M","5.19%"
"03-01-2024","828.25","806.65","835.00","799.00","930.43K","2.69%"
"02-01-2024","806.55","792.00","811.00","792.00","586.06K","1.25%"
"01-01-2024","796.60","795.05","799.40","785.25","194.90K","1.20%"
"29-12-2023","787.15","795.95","796.90","781.00","172.72K","-0.93%"
"28-12-2023","794.50","788.00","796.90","783.05","419.92K","2.04%"
"27-12-2023","778.65","769.95","779.95","766.05","248.38K","1.72%"
"26-12-2023","765.50","780.85","780.85","762.75","218.56K","-0.48%"
"22-12-2023","769.20","775.00","784.50","762.75","262.41K","-0.76%"
"21-12-2023","775.10","755.00","779.90","748.55","225.57K","1.67%"
"20-12-2023","762.40","794.00","795.00","760.00","258.48K","-3.20%"
"19-12-2023","787.60","800.00","807.95","786.20","138.49K","-1.53%"
"18-12-2023","799.80","790.25","802.50","785.35","274.43K","1.06%"
"15-12-2023","791.45","785.70","795.90","780.60","298.58K","0.82%"
"14-12-2023","785.00","798.00","798.00","783.20","239.82K","-0.90%"
"13-12-2023","792.15","785.10","797.00","778.10","261.34K","0.98%"
"12-12-2023","784.50","790.00","795.85","781.40","273.72K","-0.46%"
"11-12-2023","788.15","817.05","817.40","780.05","611.13K","-3.10%"
"08-12-2023","813.40","817.00","819.85","792.30","356.15K","0.35%"
"07-12-2023","810.55","810.90","824.25","802.50","624.84K","0.08%"
"06-12-2023","809.90","791.00","822.20","775.00","1.49M","2.51%"
"05-12-2023","790.05","793.95","803.95","785.90","284.19K","-0.13%"
"04-12-2023","791.10","801.00","802.90","784.75","372.33K","-0.57%"
"01-12-2023","795.65","807.95","824.90","790.00","816.03K","-1.13%"
"30-11-2023","804.75","818.90","824.95","802.00","535.17K","-1.73%"
"29-11-2023","818.95","822.00","828.90","806.45","1.05M","-0.20%"
"28-11-2023","820.60","784.80","827.65","772.30","2.57M","5.06%"
"24-11-2023","781.10","779.85","784.85","775.35","262.39K","0.68%"
"23-11-2023","775.85","769.90","788.85","767.15","351.45K","0.68%"
"22-11-2023","770.60","785.15","791.70","768.10","466.98K","-1.85%"
"21-11-2023","785.10","790.00","794.80","784.00","299.52K","-0.12%"
"20-11-2023","786.05","785.90","798.00","783.20","609.85K","0.11%"
"17-11-2023","785.20","788.55","795.90","781.50","563.13K","-0.71%"
"16-11-2023","790.85","789.90","798.00","782.95","746.64K","0.43%"
"15-11-2023","787.45","790.00","798.90","780.25","774.16K","0.20%"
"13-11-2023","785.85","794.95","795.95","782.20","373.64K","-1.04%"
"12-11-2023","794.10","791.00","795.95","790.80","150.56K","0.57%"
"10-11-2023","789.60","785.00","798.70","781.10","1.11M","0.56%"
"09-11-2023","785.20","803.00","804.60","778.00","631.24K","-1.93%"
"08-11-2023","800.65","803.85","812.70","792.10","933.91K","0.19%"
"07-11-2023","799.15","791.30","815.60","772.00","4.20M","0.94%"
