"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,572.40","1,557.40","1,610.00","1,555.30","5.57M","2.00%"
"05-11-2024","1,541.55","1,519.60","1,549.90","1,506.80","2.74M","1.30%"
"04-11-2024","1,521.80","1,556.45","1,556.45","1,504.00","3.09M","-2.32%"
"01-11-2024","1,558.00","1,559.00","1,570.00","1,550.05","1.20M","0.79%"
"31-10-2024","1,545.80","1,520.90","1,550.00","1,508.00","4.16M","1.76%"
"30-10-2024","1,519.00","1,463.00","1,527.00","1,460.15","4.59M","3.91%"
"29-10-2024","1,461.90","1,484.80","1,484.80","1,447.70","3.13M","-1.47%"
"28-10-2024","1,483.65","1,472.00","1,518.00","1,455.05","7.15M","4.56%"
"25-10-2024","1,419.00","1,474.00","1,478.60","1,381.20","4.02M","-3.47%"
"24-10-2024","1,470.00","1,485.95","1,494.70","1,453.30","2.02M","-0.70%"
"23-10-2024","1,480.35","1,464.70","1,506.00","1,436.40","4.22M","1.33%"
"22-10-2024","1,460.85","1,555.00","1,555.00","1,452.15","4.15M","-5.87%"
"21-10-2024","1,551.90","1,592.60","1,604.90","1,545.00","3.30M","-1.73%"
"18-10-2024","1,579.30","1,540.90","1,587.20","1,495.00","5.82M","2.22%"
"17-10-2024","1,545.00","1,589.00","1,609.70","1,538.05","5.86M","-1.57%"
"16-10-2024","1,569.70","1,586.00","1,640.00","1,560.05","8.40M","-1.06%"
"15-10-2024","1,586.50","1,599.00","1,632.00","1,565.65","8.02M","0.46%"
"14-10-2024","1,579.30","1,485.00","1,615.00","1,480.35","18.20M","6.85%"
"11-10-2024","1,478.05","1,489.70","1,509.00","1,468.00","2.60M","-0.38%"
"10-10-2024","1,483.65","1,486.00","1,515.00","1,461.10","4.39M","0.80%"
"09-10-2024","1,471.85","1,382.05","1,484.95","1,380.00","10.86M","8.06%"
"08-10-2024","1,362.10","1,371.00","1,378.35","1,344.60","5.16M","-0.44%"
"07-10-2024","1,368.10","1,385.00","1,434.00","1,357.00","4.23M","-0.41%"
