"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","539.60","536.00","543.40","535.35","2.37M","0.89%"
"05-11-2024","534.85","535.05","536.85","528.70","2.12M","-0.02%"
"04-11-2024","534.95","545.05","545.40","531.65","2.31M","-1.40%"
"01-11-2024","542.55","541.70","545.15","540.35","159.70K","0.47%"
"31-10-2024","540.00","538.05","548.95","533.00","3.00M","-1.22%"
"30-10-2024","546.65","539.00","551.90","536.00","5.83M","2.02%"
"29-10-2024","535.85","553.70","554.00","532.85","5.09M","-3.22%"
"28-10-2024","553.70","540.00","558.50","537.10","1.75M","2.78%"
"25-10-2024","538.70","545.30","545.30","536.35","1.51M","-0.43%"
"24-10-2024","541.00","555.80","558.00","535.25","3.08M","-3.17%"
"23-10-2024","558.70","558.00","562.90","556.05","1.23M","-0.07%"
"22-10-2024","559.10","565.60","571.75","556.00","1.51M","-1.60%"
"21-10-2024","568.20","571.00","575.00","566.10","1.51M","-0.56%"
"18-10-2024","571.40","571.50","572.10","564.95","2.16M","-0.20%"
"17-10-2024","572.55","578.00","579.10","572.00","1.84M","-0.99%"
"16-10-2024","578.30","572.90","579.35","570.50","2.65M","1.28%"
"15-10-2024","571.00","568.00","572.90","567.30","1.69M","0.65%"
"14-10-2024","567.30","570.85","575.15","566.00","1.90M","-0.62%"
"11-10-2024","570.85","574.50","574.95","569.20","1.28M","-0.15%"
"10-10-2024","571.70","567.00","576.40","564.20","2.38M","1.18%"
"09-10-2024","565.05","567.75","571.95","563.20","3.58M","-0.41%"
"08-10-2024","567.35","571.50","572.65","564.70","3.26M","-0.36%"
"07-10-2024","569.40","575.00","581.15","562.00","4.72M","-0.53%"
"04-10-2024","572.45","584.75","585.00","571.05","4.75M","-1.34%"
"03-10-2024","580.20","580.35","595.80","571.00","18.73M","-6.27%"
"01-10-2024","619.00","626.00","629.75","614.00","1.10M","-0.99%"
"30-09-2024","625.20","633.00","635.80","623.35","2.48M","-1.23%"
"27-09-2024","633.00","628.00","634.80","622.00","4.63M","1.16%"
"26-09-2024","625.75","627.05","628.40","620.60","2.58M","-0.20%"
"25-09-2024","627.00","651.00","653.95","622.15","7.09M","-4.40%"
"24-09-2024","655.85","660.00","666.00","652.40","1.88M","-0.79%"
"23-09-2024","661.05","668.00","671.50","656.30","1.68M","-0.97%"
"20-09-2024","667.55","668.95","669.95","662.10","1.80M","0.43%"
"19-09-2024","664.70","655.00","666.80","654.40","1.77M","1.57%"
"18-09-2024","654.40","660.00","662.30","650.55","1.47M","-0.87%"
"17-09-2024","660.15","661.35","672.00","656.40","1.79M","-0.18%"
"16-09-2024","661.35","660.00","667.85","658.25","806.89K","0.07%"
"13-09-2024","660.90","665.65","667.70","651.25","2.56M","-0.58%"
"12-09-2024","664.75","663.95","669.50","663.00","2.22M","0.13%"
"11-09-2024","663.90","668.00","671.50","662.00","3.13M","-0.20%"
"10-09-2024","665.25","669.35","669.90","662.35","4.13M","0.44%"
"09-09-2024","662.35","645.00","664.90","644.05","6.21M","2.79%"
"06-09-2024","644.40","644.00","653.70","643.35","1.91M","-0.06%"
"05-09-2024","644.80","655.00","655.00","642.65","2.13M","-0.81%"
"04-09-2024","650.05","638.05","651.55","634.20","3.10M","1.86%"
"03-09-2024","638.20","636.65","648.50","635.25","1.78M","0.24%"
"02-09-2024","636.65","637.80","644.65","634.45","745.42K","-0.08%"
"30-08-2024","637.15","644.00","645.55","636.10","3.30M","-1.09%"
"29-08-2024","644.15","644.00","647.90","638.60","1.07M","-0.04%"
"28-08-2024","644.40","645.95","649.50","638.00","1.15M","0.16%"
"27-08-2024","643.40","655.00","655.00","641.65","1.43M","-1.70%"
"26-08-2024","654.55","646.00","655.40","640.90","2.94M","1.76%"
"23-08-2024","643.25","647.90","651.20","640.85","3.46M","-0.45%"
"22-08-2024","646.15","637.00","647.70","632.10","3.45M","1.86%"
"21-08-2024","634.35","624.90","635.95","617.95","2.11M","1.81%"
"20-08-2024","623.10","625.40","625.45","617.05","1.34M","0.29%"
"19-08-2024","621.30","618.00","624.90","614.85","2.33M","0.60%"
"16-08-2024","617.60","606.35","618.50","604.40","1.26M","2.18%"
"14-08-2024","604.40","609.90","609.90","598.60","2.01M","-0.24%"
"13-08-2024","605.85","620.60","624.25","602.70","2.69M","-2.34%"
"12-08-2024","620.35","626.90","627.25","615.75","1.14M","-0.58%"
"09-08-2024","623.95","641.60","642.20","622.10","2.68M","-2.12%"
"08-08-2024","637.45","639.00","641.80","634.65","1.53M","-0.28%"
"07-08-2024","639.25","631.20","641.30","631.20","1.79M","1.61%"
"06-08-2024","629.15","638.00","643.00","627.00","1.85M","-0.76%"
"05-08-2024","634.00","615.00","640.00","614.05","4.77M","1.03%"
"02-08-2024","627.55","643.50","650.00","625.00","4.12M","-2.48%"
"01-08-2024","643.50","638.90","655.85","636.75","6.85M","1.23%"
"31-07-2024","635.70","636.95","640.75","630.00","2.77M","0.28%"
"30-07-2024","633.90","641.05","648.85","632.50","3.02M","-1.12%"
"29-07-2024","641.10","635.85","643.15","631.05","2.24M","1.37%"
"26-07-2024","632.45","631.20","635.25","625.10","1.47M","0.20%"
"25-07-2024","631.20","625.50","636.45","625.00","1.83M","-0.47%"
"24-07-2024","634.15","650.00","650.00","618.05","8.34M","-2.78%"
"23-07-2024","652.30","639.90","662.35","632.10","7.20M","2.46%"
"22-07-2024","636.65","628.25","639.85","627.20","1.37M","0.59%"
"19-07-2024","632.90","645.00","647.20","631.65","2.18M","-1.85%"
"18-07-2024","644.85","640.95","651.00","639.25","3.16M","0.61%"
"16-07-2024","640.95","634.00","648.70","630.00","2.96M","1.35%"
"15-07-2024","632.40","632.90","638.95","630.15","1.09M","0.38%"
"12-07-2024","630.00","633.90","633.90","626.00","1.63M","0.10%"
"11-07-2024","629.35","635.80","635.80","623.80","1.59M","-0.37%"
"10-07-2024","631.70","630.00","637.25","619.55","2.88M","0.24%"
"09-07-2024","630.20","622.05","633.40","618.05","2.67M","1.08%"
"08-07-2024","623.45","610.40","633.00","610.40","7.28M","2.80%"
"05-07-2024","606.45","604.00","607.95","603.25","879.22K","0.08%"
"04-07-2024","605.95","609.80","613.60","605.05","2.28M","-0.62%"
"03-07-2024","609.70","607.00","613.30","605.00","1.79M","1.14%"
"02-07-2024","602.80","616.80","616.80","602.00","3.92M","-1.33%"
"01-07-2024","610.95","600.70","613.25","600.70","2.47M","1.71%"
"28-06-2024","600.70","601.80","609.65","597.65","1.71M","0.23%"
"27-06-2024","599.30","602.00","606.00","595.05","2.41M","-0.42%"
"26-06-2024","601.80","591.40","603.00","590.30","2.23M","1.42%"
"25-06-2024","593.35","603.80","603.95","592.50","1.79M","-1.07%"
"24-06-2024","599.75","590.75","602.45","588.85","1.77M","1.66%"
"21-06-2024","589.95","601.00","603.90","588.55","3.87M","-1.80%"
"20-06-2024","600.75","598.50","604.90","595.00","2.89M","0.37%"
"19-06-2024","598.55","602.00","603.10","594.00","1.70M","-0.27%"
"18-06-2024","600.20","608.10","613.75","598.00","4.30M","-1.39%"
"14-06-2024","608.65","610.95","618.80","606.00","1.98M","-0.16%"
"13-06-2024","609.65","612.00","614.55","588.15","7.96M","-1.59%"
"12-06-2024","619.50","614.15","623.00","611.75","4.53M","0.99%"
"11-06-2024","613.45","619.85","622.95","608.00","3.73M","-1.03%"
"10-06-2024","619.85","604.20","627.45","604.20","5.18M","1.10%"
"07-06-2024","613.10","599.45","614.80","598.15","5.43M","2.66%"
"06-06-2024","597.20","600.25","605.30","582.05","7.60M","-0.51%"
"05-06-2024","600.25","585.00","633.40","584.50","21.57M","3.81%"
"04-06-2024","578.20","548.45","584.45","536.75","17.46M","6.13%"
"03-06-2024","544.80","560.00","561.20","543.00","2.84M","-0.06%"
"31-05-2024","545.10","552.05","554.50","540.55","11.19M","-1.10%"
"30-05-2024","551.15","555.45","557.40","549.35","1.59M","-0.77%"
"29-05-2024","555.45","570.80","570.80","553.05","2.62M","-2.69%"
"28-05-2024","570.80","570.00","578.90","564.55","4.43M","0.60%"
"27-05-2024","567.40","559.85","571.00","559.80","3.17M","1.67%"
"24-05-2024","558.10","559.00","564.90","554.05","2.81M","-0.33%"
"23-05-2024","559.95","556.00","562.00","551.65","2.92M","1.07%"
"22-05-2024","554.00","543.00","555.90","538.80","4.32M","2.72%"
"21-05-2024","539.35","538.10","541.00","533.60","1.39M","-0.12%"
"18-05-2024","540.00","539.45","545.20","535.00","140.42K","0.78%"
"17-05-2024","535.80","543.20","544.00","535.00","1.64M","-1.15%"
"16-05-2024","542.05","547.65","549.40","534.70","3.86M","-0.70%"
"15-05-2024","545.85","554.55","555.00","543.00","2.44M","-1.57%"
"14-05-2024","554.55","550.25","562.70","550.25","2.87M","0.78%"
"13-05-2024","550.25","550.80","553.20","543.70","3.07M","-0.10%"
"10-05-2024","550.80","550.95","551.95","540.35","2.52M","-0.36%"
"09-05-2024","552.80","556.60","564.95","550.45","5.31M","-0.68%"
"08-05-2024","556.60","558.45","561.95","554.10","4.09M","-0.33%"
"07-05-2024","558.45","533.55","566.90","531.30","14.72M","5.21%"
"06-05-2024","530.80","535.00","535.50","524.25","3.17M","-0.18%"
"03-05-2024","531.75","536.25","538.00","524.00","7.01M","1.23%"
"02-05-2024","525.30","508.00","536.05","508.00","7.09M","3.46%"
"30-04-2024","507.75","509.00","512.40","505.15","2.09M","0.21%"
"29-04-2024","506.70","512.40","512.80","506.00","1.37M","-0.45%"
"26-04-2024","509.00","507.35","511.55","505.30","1.37M","0.50%"
"25-04-2024","506.45","509.50","510.25","504.15","1.02M","-0.59%"
"24-04-2024","509.45","509.90","510.30","507.65","1.86M","0.45%"
"23-04-2024","507.15","507.10","510.45","505.20","1.90M","0.20%"
"22-04-2024","506.15","507.40","508.00","503.30","1.21M","0.39%"
"19-04-2024","504.20","501.60","505.80","496.05","2.18M","0.07%"
"18-04-2024","503.85","505.75","507.95","501.00","2.60M","-0.01%"
"16-04-2024","503.90","495.20","505.60","492.35","2.93M","1.76%"
"15-04-2024","495.20","495.90","497.00","489.20","3.60M","-1.08%"
