"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,817.55","1,799.75","1,827.75","1,766.45","163.02K","1.34%"
"05-11-2024","1,793.60","1,789.75","1,810.00","1,762.00","116.16K","0.22%"
"04-11-2024","1,789.75","1,838.00","1,840.45","1,771.30","143.78K","-2.64%"
"01-11-2024","1,838.20","1,854.25","1,854.25","1,833.20","10.44K","0.27%"
"31-10-2024","1,833.20","1,836.85","1,863.90","1,818.15","787.17K","-0.38%"
"30-10-2024","1,840.25","1,793.25","1,854.55","1,787.00","257.72K","2.42%"
"29-10-2024","1,796.80","1,797.95","1,804.50","1,772.05","144.80K","0.03%"
"28-10-2024","1,796.30","1,765.90","1,817.55","1,765.90","121.30K","1.40%"
"25-10-2024","1,771.45","1,790.00","1,839.00","1,762.05","181.27K","-2.29%"
"24-10-2024","1,812.95","1,762.30","1,834.40","1,751.00","288.26K","2.96%"
"23-10-2024","1,760.85","1,807.00","1,829.90","1,757.00","266.27K","-2.42%"
"22-10-2024","1,804.45","1,815.20","1,837.35","1,792.35","791.49K","-1.44%"
"21-10-2024","1,830.80","1,782.10","1,856.00","1,760.80","1.09M","-1.15%"
"18-10-2024","1,852.15","1,838.75","1,859.80","1,815.00","101.25K","0.93%"
"17-10-2024","1,835.00","1,867.25","1,869.00","1,822.85","133.43K","-1.73%"
"16-10-2024","1,867.25","1,879.90","1,892.45","1,848.45","88.91K","-0.99%"
"15-10-2024","1,885.95","1,898.00","1,898.00","1,853.70","104.97K","-0.18%"
"14-10-2024","1,889.30","1,881.00","1,918.40","1,869.40","188.99K","0.87%"
"11-10-2024","1,872.95","1,849.00","1,879.05","1,827.25","166.34K","1.33%"
"10-10-2024","1,848.35","1,840.75","1,864.95","1,835.05","145.17K","0.41%"
"09-10-2024","1,840.75","1,887.95","1,900.00","1,831.25","280.60K","-2.09%"
"08-10-2024","1,879.95","1,862.00","1,914.50","1,853.75","134.97K","1.42%"
"07-10-2024","1,853.70","1,939.00","1,955.35","1,843.55","196.59K","-4.33%"
"04-10-2024","1,937.50","1,958.00","1,982.00","1,912.55","409.74K","-0.64%"
"03-10-2024","1,950.00","1,932.15","1,973.40","1,932.10","655.83K","-0.33%"
"01-10-2024","1,956.55","1,930.00","1,968.45","1,930.00","436.88K","1.21%"
"30-09-2024","1,933.20","1,904.95","1,954.40","1,889.45","450.47K","2.03%"
"27-09-2024","1,894.75","1,934.00","1,982.95","1,888.05","1.53M","-1.10%"
"26-09-2024","1,915.75","1,918.45","1,925.00","1,904.50","215.20K","0.28%"
"25-09-2024","1,910.35","1,930.00","1,938.80","1,904.50","290.18K","-1.00%"
"24-09-2024","1,929.70","1,905.05","1,933.85","1,895.25","523.94K","1.56%"
"23-09-2024","1,900.10","1,840.00","1,905.00","1,837.15","365.79K","3.50%"
"20-09-2024","1,835.90","1,829.00","1,853.45","1,819.80","478.98K","0.75%"
"19-09-2024","1,822.25","1,839.95","1,844.25","1,794.25","265.61K","-0.67%"
"18-09-2024","1,834.45","1,822.00","1,861.35","1,812.60","300.07K","0.68%"
"17-09-2024","1,822.00","1,858.95","1,861.10","1,818.55","159.45K","-1.86%"
"16-09-2024","1,856.55","1,913.30","1,917.40","1,851.60","141.29K","-2.39%"
"13-09-2024","1,902.10","1,887.35","1,913.15","1,882.10","117.48K","0.78%"
"12-09-2024","1,887.35","1,905.00","1,905.00","1,875.05","108.32K","-0.61%"
"11-09-2024","1,898.85","1,887.40","1,905.00","1,875.05","279.81K","0.61%"
"10-09-2024","1,887.40","1,887.35","1,912.45","1,879.75","227.02K","0.63%"
"09-09-2024","1,875.65","1,860.00","1,884.95","1,833.10","200.04K","-0.03%"
"06-09-2024","1,876.25","1,919.95","1,922.75","1,865.00","231.52K","-1.96%"
"05-09-2024","1,913.75","1,927.00","1,945.85","1,896.05","208.25K","-0.67%"
"04-09-2024","1,926.60","1,907.40","1,935.00","1,895.50","330.32K","0.58%"
"03-09-2024","1,915.50","1,924.75","1,930.00","1,904.00","220.63K","-0.23%"
"02-09-2024","1,920.00","1,900.00","1,940.00","1,900.00","691.61K","1.53%"
"30-08-2024","1,891.05","1,860.00","1,894.80","1,855.15","391.68K","2.46%"
"29-08-2024","1,845.65","1,824.60","1,856.90","1,820.00","1.49M","1.17%"
"28-08-2024","1,824.30","1,813.40","1,837.85","1,810.40","487.81K","0.14%"
"27-08-2024","1,821.80","1,815.00","1,832.00","1,810.00","212.64K","0.38%"
"26-08-2024","1,814.90","1,820.00","1,820.00","1,791.55","248.87K","0.60%"
"23-08-2024","1,804.05","1,804.00","1,809.00","1,778.25","311.17K","0.26%"
"22-08-2024","1,799.40","1,756.75","1,803.45","1,756.75","841.11K","2.50%"
"21-08-2024","1,755.45","1,757.50","1,773.00","1,752.40","339.30K","-0.69%"
"20-08-2024","1,767.70","1,771.80","1,782.55","1,751.70","706.54K","-0.07%"
"19-08-2024","1,768.95","1,757.95","1,786.35","1,755.85","525.22K","1.04%"
"16-08-2024","1,750.80","1,730.00","1,754.75","1,726.45","320.41K","1.41%"
"14-08-2024","1,726.45","1,735.25","1,737.65","1,705.45","274.18K","-0.51%"
"13-08-2024","1,735.25","1,735.00","1,746.95","1,719.20","326.81K","-0.56%"
"12-08-2024","1,745.00","1,753.10","1,754.00","1,726.15","504.77K","0.25%"
"09-08-2024","1,740.60","1,770.00","1,789.90","1,736.50","245.78K","-1.66%"
"08-08-2024","1,770.05","1,757.80","1,777.55","1,735.00","890.19K","0.70%"
"07-08-2024","1,757.75","1,736.95","1,766.30","1,724.25","963.15K","1.56%"
"06-08-2024","1,730.75","1,757.00","1,794.20","1,722.20","288.67K","-1.47%"
"05-08-2024","1,756.55","1,782.75","1,788.35","1,744.05","283.33K","-2.34%"
