"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,418.90","2,385.00","2,436.35","2,377.10","201.98K","2.51%"
"05-11-2024","2,359.70","2,355.00","2,402.55","2,324.80","134.60K","-0.22%"
"04-11-2024","2,364.90","2,437.85","2,437.85","2,348.30","136.76K","-3.21%"
"01-11-2024","2,443.25","2,440.00","2,485.00","2,413.20","72.81K","0.97%"
"31-10-2024","2,419.85","2,465.00","2,469.75","2,385.05","368.50K","-2.37%"
"30-10-2024","2,478.50","2,222.00","2,519.00","2,222.00","3.05M","12.47%"
"29-10-2024","2,203.75","2,191.90","2,239.15","2,186.20","129.30K","0.54%"
"28-10-2024","2,191.90","2,189.90","2,229.00","2,116.50","158.18K","1.58%"
"25-10-2024","2,157.90","2,250.00","2,276.95","2,127.00","238.55K","-4.46%"
"24-10-2024","2,258.75","2,247.00","2,315.95","2,240.25","125.77K","0.97%"
"23-10-2024","2,237.10","2,268.90","2,278.00","2,175.65","219.30K","-1.40%"
"22-10-2024","2,268.90","2,385.00","2,410.00","2,251.00","178.47K","-4.32%"
"21-10-2024","2,371.40","2,468.60","2,479.45","2,360.05","122.29K","-3.24%"
"18-10-2024","2,450.75","2,448.00","2,481.00","2,372.00","136.54K","0.12%"
"17-10-2024","2,447.85","2,548.00","2,548.00","2,430.40","159.09K","-3.29%"
"16-10-2024","2,531.05","2,509.05","2,547.00","2,501.05","170.84K","0.72%"
"15-10-2024","2,513.00","2,439.80","2,519.95","2,422.00","255.65K","3.14%"
"14-10-2024","2,436.45","2,500.00","2,509.85","2,422.10","116.21K","-1.54%"
"11-10-2024","2,474.50","2,504.80","2,513.65","2,455.00","197.25K","-0.90%"
"10-10-2024","2,497.05","2,429.80","2,525.00","2,391.15","509.85K","4.13%"
"09-10-2024","2,398.05","2,390.00","2,445.00","2,379.00","247.12K","0.88%"
"08-10-2024","2,377.15","2,237.00","2,388.70","2,217.30","321.48K","6.21%"
"07-10-2024","2,238.15","2,339.00","2,364.00","2,222.50","248.74K","-3.95%"
"04-10-2024","2,330.25","2,285.00","2,357.85","2,234.05","354.66K","2.23%"
"03-10-2024","2,279.35","2,270.10","2,395.00","2,254.00","448.04K","-1.00%"
"01-10-2024","2,302.30","2,320.00","2,351.50","2,292.65","325.12K","-0.58%"
"30-09-2024","2,315.70","2,381.20","2,381.20","2,297.10","448.90K","-2.83%"
"27-09-2024","2,383.20","2,493.75","2,496.00","2,365.00","373.02K","-2.49%"
"26-09-2024","2,444.00","2,508.00","2,518.80","2,431.05","194.85K","-2.37%"
