"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,954.15","5,810.00","6,005.70","5,810.00","619.49K","2.46%"
"05-11-2024","5,811.25","5,900.00","5,901.75","5,678.35","397.50K","-1.53%"
"04-11-2024","5,901.75","5,904.25","5,941.30","5,841.70","357.94K","-0.03%"
"01-11-2024","5,903.55","5,928.20","5,932.55","5,871.75","34.12K","0.24%"
"31-10-2024","5,889.65","5,937.50","5,940.00","5,858.65","423.71K","0.05%"
"30-10-2024","5,886.60","5,843.75","5,933.95","5,797.00","500.93K","1.43%"
"29-10-2024","5,803.35","5,800.00","5,845.10","5,746.00","274.28K","-0.19%"
"28-10-2024","5,814.40","5,764.90","5,850.00","5,707.80","391.61K","0.58%"
"25-10-2024","5,780.75","5,742.00","5,834.95","5,742.00","1.01M","0.77%"
"24-10-2024","5,736.65","5,761.00","5,771.30","5,692.25","560.79K","0.16%"
"23-10-2024","5,727.60","5,804.40","5,858.40","5,717.25","327.73K","-1.55%"
"22-10-2024","5,817.95","5,920.00","5,964.00","5,805.00","569.76K","-1.81%"
"21-10-2024","5,925.00","6,029.95","6,108.40","5,909.35","566.37K","-1.61%"
"18-10-2024","6,022.25","6,077.45","6,091.90","6,004.65","334.35K","-0.91%"
"17-10-2024","6,077.40","6,123.65","6,170.95","6,045.60","290.56K","-0.76%"
"16-10-2024","6,123.65","6,101.70","6,142.75","6,057.00","476.60K","0.28%"
"15-10-2024","6,106.70","6,150.00","6,275.85","6,020.35","1.37M","-1.74%"
"14-10-2024","6,214.85","6,140.00","6,235.00","6,118.05","647.06K","1.18%"
"11-10-2024","6,142.25","5,975.00","6,159.85","5,958.90","1.09M","3.37%"
"10-10-2024","5,942.15","5,960.00","6,022.00","5,920.30","640.57K","-0.79%"
"09-10-2024","5,989.75","5,655.90","6,029.95","5,642.05","3.02M","7.98%"
"08-10-2024","5,547.05","5,401.70","5,566.50","5,398.65","396.79K","2.64%"
"07-10-2024","5,404.35","5,448.00","5,521.00","5,376.70","383.65K","-0.39%"
"04-10-2024","5,425.55","5,408.00","5,522.20","5,385.25","524.30K","-0.09%"
"03-10-2024","5,430.30","5,400.00","5,493.70","5,241.70","602.87K","0.12%"
"01-10-2024","5,423.80","5,440.55","5,464.05","5,362.75","686.14K","-0.36%"
"30-09-2024","5,443.35","5,472.95","5,512.15","5,378.55","820.63K","-0.27%"
"27-09-2024","5,457.90","5,371.70","5,523.30","5,315.65","6.89M","1.46%"
"26-09-2024","5,379.30","5,410.00","5,418.60","5,292.25","554.68K","-0.28%"
"25-09-2024","5,394.30","5,375.80","5,448.50","5,354.50","693.12K","0.34%"
"24-09-2024","5,375.80","5,375.00","5,419.70","5,317.65","515.53K","0.05%"
"23-09-2024","5,372.85","5,490.00","5,582.95","5,364.50","588.82K","-1.43%"
"20-09-2024","5,450.75","5,456.30","5,505.00","5,427.35","630.99K","0.40%"
"19-09-2024","5,429.20","5,469.15","5,513.00","5,419.00","341.89K","-0.73%"
"18-09-2024","5,469.15","5,451.95","5,482.70","5,392.05","213.58K","0.31%"
"17-09-2024","5,452.20","5,479.05","5,560.00","5,436.00","529.12K","-0.50%"
"16-09-2024","5,479.35","5,495.00","5,520.00","5,471.70","238.49K","-0.35%"
"13-09-2024","5,498.65","5,465.05","5,531.75","5,403.05","401.36K","0.29%"
"12-09-2024","5,482.80","5,450.00","5,513.00","5,396.20","763.77K","0.80%"
"11-09-2024","5,439.30","5,405.00","5,469.90","5,380.05","595.69K","0.24%"
"10-09-2024","5,426.45","5,200.95","5,447.35","5,198.00","1.63M","4.89%"
"09-09-2024","5,173.50","5,105.00","5,194.30","5,082.20","354.29K","0.69%"
"06-09-2024","5,137.80","5,127.00","5,170.00","5,062.35","432.12K","0.33%"
"05-09-2024","5,120.90","5,100.00","5,164.45","5,087.15","491.28K","0.48%"
"04-09-2024","5,096.60","5,060.50","5,110.00","5,015.25","313.54K","0.60%"
"03-09-2024","5,066.00","5,036.85","5,098.45","5,036.55","288.90K","0.58%"
"02-09-2024","5,036.85","5,124.80","5,132.95","5,023.05","196.24K","-1.12%"
"30-08-2024","5,093.90","5,019.50","5,132.50","5,019.50","853.20K","1.62%"
"29-08-2024","5,012.55","5,049.90","5,077.35","4,990.05","430.81K","-0.36%"
"28-08-2024","5,030.70","4,882.10","5,096.00","4,858.95","963.99K","2.61%"
"27-08-2024","4,902.50","4,908.00","4,995.50","4,875.00","400.05K","-0.48%"
"26-08-2024","4,926.25","4,860.00","4,934.00","4,860.00","288.51K","1.45%"
"23-08-2024","4,855.95","4,927.00","4,950.00","4,828.95","420.46K","-1.13%"
"22-08-2024","4,911.45","4,927.50","4,929.95","4,869.00","480.84K","0.22%"
"21-08-2024","4,900.80","4,736.00","4,963.35","4,734.95","1.37M","3.76%"
"20-08-2024","4,723.15","4,674.80","4,728.85","4,663.30","255.80K","1.14%"
"19-08-2024","4,669.90","4,665.00","4,689.95","4,615.55","232.37K","0.78%"
"16-08-2024","4,633.90","4,665.00","4,709.80","4,623.30","522.99K","-0.60%"
"14-08-2024","4,662.00","4,848.00","4,848.00","4,642.05","729.45K","-4.11%"
"13-08-2024","4,861.80","4,900.00","4,919.95","4,803.05","203.33K","-0.60%"
"12-08-2024","4,891.00","4,828.95","4,905.00","4,777.55","431.27K","1.26%"
"09-08-2024","4,829.95","4,904.80","4,904.80","4,816.05","222.36K","-0.09%"
"08-08-2024","4,834.50","4,920.10","5,024.85","4,823.00","722.96K","-2.26%"
"07-08-2024","4,946.50","4,841.00","4,957.10","4,841.00","590.49K","2.46%"
"06-08-2024","4,827.55","4,830.00","4,959.00","4,815.05","403.21K","0.01%"
"05-08-2024","4,826.95","4,933.55","4,988.90","4,778.00","1.45M","-3.29%"
"02-08-2024","4,991.25","4,861.70","5,010.00","4,839.10","960.97K","1.49%"
"01-08-2024","4,917.90","4,930.00","5,008.00","4,900.00","622.86K","-0.11%"
"31-07-2024","4,923.20","4,904.35","4,943.75","4,800.20","1.17M","0.22%"
"30-07-2024","4,912.35","4,923.85","4,945.00","4,889.15","515.49K","-0.23%"
"29-07-2024","4,923.85","4,804.00","4,951.00","4,771.70","886.25K","2.78%"
"26-07-2024","4,790.60","4,570.95","4,810.00","4,563.85","1.26M","5.36%"
"25-07-2024","4,547.00","4,530.00","4,582.70","4,475.30","232.75K","-0.10%"
"24-07-2024","4,551.60","4,506.20","4,579.30","4,501.45","392.52K","0.54%"
"23-07-2024","4,527.00","4,521.00","4,541.05","4,395.30","499.84K","-0.17%"
"22-07-2024","4,534.80","4,500.00","4,577.35","4,441.35","308.10K","0.33%"
"19-07-2024","4,519.80","4,580.00","4,587.25","4,496.45","279.12K","-1.42%"
"18-07-2024","4,584.80","4,550.00","4,603.10","4,515.75","432.50K","0.31%"
"16-07-2024","4,570.80","4,575.40","4,598.95","4,551.70","266.59K","-0.10%"
"15-07-2024","4,575.40","4,542.00","4,604.35","4,536.10","616.73K","0.80%"
"12-07-2024","4,539.30","4,590.00","4,594.60","4,485.30","661.04K","-0.94%"
"11-07-2024","4,582.50","4,656.70","4,660.00","4,565.05","559.14K","-1.17%"
"10-07-2024","4,636.95","4,572.00","4,651.85","4,536.80","550.19K","1.87%"
