"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","15,647.60","14,500.15","15,817.00","14,500.00","2.08M","8.64%"
"05-11-2024","14,402.65","14,364.00","14,590.50","14,144.25","499.76K","-0.22%"
"04-11-2024","14,434.60","14,120.00","14,543.95","13,711.05","730.93K","2.16%"
"01-11-2024","14,129.75","14,140.00","14,360.00","14,028.00","80.03K","0.48%"
"31-10-2024","14,061.60","14,250.00","14,274.95","13,920.20","648.44K","-0.80%"
"30-10-2024","14,175.60","14,938.05","15,092.90","14,133.35","943.13K","-5.11%"
"29-10-2024","14,939.15","14,299.95","15,035.00","14,206.55","953.59K","4.94%"
"28-10-2024","14,236.55","14,100.00","14,498.00","13,800.00","1.01M","2.15%"
"25-10-2024","13,937.20","15,900.00","15,900.00","13,062.30","4.17M","-7.43%"
"24-10-2024","15,055.30","15,310.00","15,500.00","14,916.30","340.26K","-1.50%"
"23-10-2024","15,284.45","14,865.00","15,450.95","14,858.35","390.91K","2.53%"
"22-10-2024","14,908.00","15,450.00","15,460.00","14,850.00","320.87K","-3.14%"
"21-10-2024","15,390.55","15,470.00","15,600.00","15,273.40","254.27K","0.06%"
"18-10-2024","15,381.80","14,965.00","15,453.10","14,909.00","326.91K","1.66%"
"17-10-2024","15,130.85","15,318.10","15,393.50","14,975.35","231.98K","-1.22%"
"16-10-2024","15,318.10","15,395.00","15,494.00","15,230.60","193.12K","-0.56%"
"15-10-2024","15,404.45","15,265.05","15,423.95","15,248.75","208.21K","0.91%"
"14-10-2024","15,265.05","15,129.55","15,298.00","15,030.00","240.16K","0.80%"
"11-10-2024","15,143.65","14,933.55","15,188.90","14,837.35","299.21K","1.41%"
"10-10-2024","14,933.55","14,886.95","15,100.00","14,815.00","472.58K","0.87%"
"09-10-2024","14,805.20","14,550.00","14,934.95","14,520.00","716.29K","1.97%"
"08-10-2024","14,519.00","13,506.00","14,594.45","13,465.65","1.22M","7.47%"
"07-10-2024","13,509.75","13,722.30","13,781.00","13,350.00","253.98K","-0.91%"
"04-10-2024","13,634.00","13,624.55","13,949.90","13,425.00","478.49K","0.10%"
"03-10-2024","13,619.95","13,893.50","14,099.00","13,572.00","460.42K","-4.06%"
"01-10-2024","14,195.80","13,855.00","14,265.00","13,830.00","404.31K","2.85%"
"30-09-2024","13,802.95","14,024.60","14,036.80","13,754.00","325.63K","-1.67%"
"27-09-2024","14,037.65","14,115.50","14,195.65","13,933.30","247.94K","-0.44%"
"26-09-2024","14,100.00","14,195.00","14,195.00","13,825.00","369.80K","-0.51%"
"25-09-2024","14,171.90","14,375.00","14,475.00","14,020.80","423.47K","-1.18%"
"24-09-2024","14,340.85","14,300.00","14,498.00","14,175.00","505.84K","0.60%"
"23-09-2024","14,254.85","14,100.00","14,320.00","14,000.00","464.21K","1.85%"
"20-09-2024","13,995.60","13,950.00","14,045.00","13,583.55","610.68K","1.80%"
"19-09-2024","13,748.40","14,150.45","14,399.95","13,310.00","969.96K","-2.22%"
"18-09-2024","14,061.00","14,050.00","14,185.00","13,900.00","484.06K","-0.22%"
"17-09-2024","14,091.30","13,999.00","14,189.95","13,650.00","782.42K","0.72%"
"16-09-2024","13,990.30","13,170.00","14,056.00","13,050.50","1.57M","7.39%"
"13-09-2024","13,027.65","12,923.85","13,120.00","12,790.00","361.55K","1.36%"
"12-09-2024","12,852.60","13,000.00","13,100.00","12,781.65","410.27K","1.01%"
"11-09-2024","12,724.30","12,600.00","12,976.80","12,480.00","614.11K","1.66%"
"10-09-2024","12,516.85","12,675.00","12,675.00","12,425.10","456.29K","0.93%"
"09-09-2024","12,401.45","12,040.00","12,443.60","12,022.00","421.14K","2.80%"
"06-09-2024","12,063.85","12,484.00","12,484.00","12,043.05","437.34K","-2.81%"
"05-09-2024","12,412.20","12,800.00","12,833.55","12,360.20","440.98K","-2.86%"
"04-09-2024","12,777.85","12,990.00","12,990.00","12,692.15","411.39K","-1.65%"
