"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","828.20","807.00","831.00","803.85","2.94M","3.65%"
"05-11-2024","799.05","790.40","800.45","773.55","3.60M","1.16%"
"04-11-2024","789.90","824.25","825.00","788.05","3.51M","-4.11%"
"01-11-2024","823.75","824.00","828.40","819.00","276.86K","0.48%"
"31-10-2024","819.85","828.90","829.60","814.30","2.48M","-0.79%"
"30-10-2024","826.40","830.00","842.45","823.00","2.65M","-0.73%"
"29-10-2024","832.45","820.05","837.90","815.00","3.09M","1.16%"
"28-10-2024","822.90","794.00","839.60","787.50","12.40M","5.91%"
"25-10-2024","777.00","805.00","807.75","766.60","3.79M","-3.04%"
"24-10-2024","801.40","809.50","818.00","798.00","2.65M","-0.49%"
"23-10-2024","805.35","815.55","818.70","796.85","6.34M","-1.20%"
"22-10-2024","815.15","858.00","859.00","812.00","4.91M","-5.30%"
"21-10-2024","860.75","875.05","884.40","857.10","1.79M","-1.65%"
"18-10-2024","875.15","860.90","880.35","846.75","2.49M","1.64%"
"17-10-2024","861.00","888.00","888.10","852.80","4.34M","-2.68%"
"16-10-2024","884.75","879.00","887.90","865.55","3.34M","1.06%"
"15-10-2024","875.45","865.00","877.25","857.05","2.05M","1.45%"
"14-10-2024","862.90","850.00","864.80","843.80","2.21M","1.93%"
"11-10-2024","846.60","862.00","862.00","841.75","2.16M","-1.65%"
"10-10-2024","860.80","860.00","878.70","854.50","4.44M","1.04%"
"09-10-2024","851.95","844.50","858.80","840.15","3.34M","1.42%"
"08-10-2024","840.00","823.25","843.15","823.00","2.80M","1.74%"
"07-10-2024","825.65","848.45","853.75","815.70","4.64M","-2.27%"
"04-10-2024","844.85","864.00","866.05","832.30","6.18M","-2.31%"
"03-10-2024","864.85","888.50","908.00","858.80","5.53M","-5.35%"
"01-10-2024","913.75","896.80","916.10","895.30","1.90M","2.08%"
"30-09-2024","895.15","909.95","917.90","893.05","4.69M","-2.07%"
"27-09-2024","914.05","924.00","929.00","905.00","4.44M","-1.08%"
"26-09-2024","924.00","920.90","928.80","905.70","4.28M","0.39%"
"25-09-2024","920.40","915.00","923.00","902.65","2.96M","0.37%"
"24-09-2024","917.00","910.95","925.90","910.20","5.64M","0.81%"
"23-09-2024","909.65","883.70","919.00","880.30","6.82M","3.65%"
"20-09-2024","877.60","854.00","881.00","853.15","4.01M","3.33%"
"19-09-2024","849.30","868.00","874.90","833.30","3.53M","-1.32%"
"18-09-2024","860.70","857.10","863.65","849.00","1.33M","-0.02%"
"17-09-2024","860.85","862.00","865.95","854.00","1.26M","-0.14%"
"16-09-2024","862.10","869.00","880.80","858.50","3.12M","-0.17%"
"13-09-2024","863.60","840.00","866.45","836.05","4.68M","3.31%"
"12-09-2024","835.90","830.00","837.05","827.30","1.31M","1.44%"
"11-09-2024","824.00","830.00","835.40","820.25","1.54M","-0.70%"
"10-09-2024","829.80","830.30","836.00","820.90","2.17M","0.37%"
"09-09-2024","826.75","813.55","832.30","812.05","2.52M","1.54%"
"06-09-2024","814.25","840.00","841.00","809.55","3.79M","-3.26%"
"05-09-2024","841.65","853.00","854.00","840.15","942.25K","-1.02%"
"04-09-2024","850.35","840.70","851.85","835.25","1.43M","0.32%"
"03-09-2024","847.60","850.00","859.25","846.15","2.40M","-0.08%"
"02-09-2024","848.25","850.00","853.95","843.35","1.64M","0.37%"
"30-08-2024","845.10","834.05","849.55","834.05","4.43M","1.59%"
"29-08-2024","831.90","837.10","838.30","818.50","4.35M","-0.62%"
"28-08-2024","837.10","848.00","849.50","834.00","2.14M","-1.09%"
"27-08-2024","846.35","848.80","860.45","843.40","3.31M","-0.29%"
"26-08-2024","848.80","857.75","857.75","841.00","1.38M","-0.08%"
"23-08-2024","849.50","859.25","870.60","847.75","2.52M","-1.13%"
"22-08-2024","859.25","862.50","866.50","854.05","1.60M","-0.15%"
"21-08-2024","860.55","868.75","871.15","853.30","1.78M","-0.78%"
"20-08-2024","867.35","865.00","872.00","860.00","1.69M","1.18%"
"19-08-2024","857.20","869.00","872.65","855.30","1.55M","-1.12%"
"16-08-2024","866.90","835.50","874.00","830.40","8.83M","5.51%"
"14-08-2024","821.65","817.80","823.95","809.20","2.08M","0.96%"
"13-08-2024","813.85","837.00","837.50","810.05","1.43M","-2.59%"
"12-08-2024","835.45","827.00","840.80","822.45","1.70M","0.55%"
"09-08-2024","830.90","847.60","847.60","829.00","1.31M","-0.20%"
"08-08-2024","832.60","843.50","850.50","830.50","2.37M","-1.54%"
"07-08-2024","845.65","853.00","853.00","833.55","2.32M","3.04%"
"06-08-2024","820.70","828.55","844.30","817.80","5.04M","1.30%"
"05-08-2024","810.15","832.75","835.05","800.40","5.83M","-4.06%"
"02-08-2024","844.45","858.00","866.25","841.45","3.31M","-3.37%"
"01-08-2024","873.90","890.00","901.00","867.25","6.04M","-1.72%"
"31-07-2024","889.15","882.55","891.55","870.40","4.09M","1.05%"
"30-07-2024","879.90","874.65","885.45","870.00","4.63M","1.14%"
"29-07-2024","870.00","833.95","876.00","830.50","8.36M","4.86%"
"26-07-2024","829.70","817.45","843.65","814.35","5.50M","2.22%"
"25-07-2024","811.70","818.55","822.50","802.55","3.69M","-0.94%"
"24-07-2024","819.40","800.00","829.40","797.00","6.57M","1.24%"
"23-07-2024","809.35","836.95","839.05","778.20","11.43M","-2.71%"
"22-07-2024","831.90","815.05","833.90","805.45","3.13M","1.90%"
"19-07-2024","816.40","848.00","848.00","808.00","4.60M","-3.37%"
"18-07-2024","844.90","842.00","846.95","826.70","4.43M","0.14%"
"16-07-2024","843.75","833.30","851.70","831.10","3.16M","1.25%"
"15-07-2024","833.30","827.00","835.70","818.65","1.49M","1.41%"
"12-07-2024","821.70","837.90","837.90","819.55","2.54M","-1.23%"
"11-07-2024","831.95","837.00","842.90","830.30","1.29M","-0.57%"
"10-07-2024","836.70","845.00","853.00","822.90","4.95M","-0.22%"
"09-07-2024","838.55","836.05","840.80","831.40","1.24M","0.34%"
"08-07-2024","835.70","832.80","839.75","828.05","1.20M","0.35%"
"05-07-2024","832.80","839.95","841.30","830.05","2.79M","-0.69%"
"04-07-2024","838.60","842.00","847.00","833.65","1.82M","-0.30%"
"03-07-2024","841.15","833.00","842.50","828.20","1.94M","1.29%"
"02-07-2024","830.40","827.00","841.00","817.95","3.48M","0.61%"
"01-07-2024","825.40","826.00","831.75","819.55","1.97M","0.08%"
"28-06-2024","824.75","817.00","829.90","813.00","3.75M","0.98%"
"27-06-2024","816.75","826.50","830.95","811.80","6.53M","-1.08%"
"26-06-2024","825.70","825.45","836.00","822.10","4.87M","0.13%"
"25-06-2024","824.65","841.00","843.50","814.30","6.39M","-1.88%"
"24-06-2024","840.45","849.50","849.50","833.50","4.05M","-1.83%"
"21-06-2024","856.10","875.00","879.70","854.00","2.50M","-2.10%"
"20-06-2024","874.50","861.75","876.65","857.00","1.95M","1.71%"
"19-06-2024","859.80","881.35","882.55","850.60","4.38M","-2.16%"
"18-06-2024","878.80","881.00","887.90","872.80","2.19M","0.02%"
"14-06-2024","878.60","877.40","883.65","871.90","3.03M","0.52%"
"13-06-2024","874.05","863.80","880.45","858.20","4.08M","1.66%"
"12-06-2024","859.75","857.00","865.90","850.25","3.29M","0.44%"
"11-06-2024","856.00","853.95","869.60","849.25","3.64M","0.99%"
"10-06-2024","847.60","845.95","856.75","838.00","3.20M","0.49%"
"07-06-2024","843.45","829.15","848.75","822.30","4.27M","1.72%"
"06-06-2024","829.15","799.10","835.95","799.00","5.44M","4.16%"
"05-06-2024","796.05","777.00","799.00","747.00","7.30M","4.33%"
"04-06-2024","763.00","880.00","880.00","687.05","12.44M","-12.21%"
"03-06-2024","869.15","855.90","873.00","835.00","10.00M","6.56%"
"31-05-2024","815.65","808.60","823.65","805.35","12.21M","1.70%"
"30-05-2024","802.05","816.00","820.95","799.60","4.20M","-1.99%"
"29-05-2024","818.30","818.75","825.90","812.20","4.52M","-0.21%"
"28-05-2024","820.00","845.00","845.35","818.00","3.22M","-2.67%"
"27-05-2024","842.50","840.20","848.35","834.80","3.49M","0.28%"
"24-05-2024","840.15","850.95","854.25","836.80","3.34M","-0.81%"
"23-05-2024","847.05","851.00","851.00","834.20","2.83M","-0.04%"
"22-05-2024","847.40","858.40","860.55","838.30","4.58M","-0.53%"
"21-05-2024","851.95","852.00","857.00","845.80","3.18M","0.06%"
"18-05-2024","851.40","850.75","854.40","846.00","267.05K","0.31%"
"17-05-2024","848.75","846.50","859.50","840.90","4.17M","0.86%"
"16-05-2024","841.50","832.00","846.35","826.35","3.84M","1.92%"
"15-05-2024","825.65","839.00","848.00","812.60","5.24M","-1.60%"
"14-05-2024","839.05","844.00","851.90","830.30","5.87M","0.04%"
"13-05-2024","838.75","831.80","842.05","810.60","3.98M","1.56%"
"10-05-2024","825.85","843.00","844.40","817.40","4.81M","-1.32%"
"09-05-2024","836.90","862.00","870.95","834.10","3.75M","-1.83%"
"08-05-2024","852.50","856.00","864.70","846.50","5.42M","-0.40%"
"07-05-2024","855.90","885.80","895.00","840.75","5.79M","-3.52%"
"06-05-2024","887.10","882.50","902.00","876.20","5.32M","1.01%"
"03-05-2024","878.20","903.90","903.90","862.80","5.27M","-2.04%"
"02-05-2024","896.45","888.20","901.00","882.00","3.10M","0.52%"
"30-04-2024","891.85","888.80","907.50","881.90","4.51M","0.65%"
"29-04-2024","886.10","913.00","915.00","876.85","3.11M","-2.41%"
"26-04-2024","908.00","896.00","911.60","893.75","4.05M","1.59%"
"25-04-2024","893.80","893.50","897.00","882.75","2.38M","0.03%"
"24-04-2024","893.50","889.80","898.20","885.50","4.10M","0.93%"
"23-04-2024","885.25","873.00","898.50","871.50","5.13M","2.32%"
"22-04-2024","865.15","860.00","868.80","854.30","2.66M","1.11%"
"19-04-2024","855.65","841.00","859.30","834.00","4.47M","-0.05%"
