"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,830.05","2,784.00","2,856.10","2,755.00","55.77K","1.69%"
"05-11-2024","2,783.00","2,785.00","2,840.75","2,761.50","61.99K","0.05%"
"04-11-2024","2,781.70","2,855.90","2,862.05","2,761.80","55.67K","-2.31%"
"01-11-2024","2,847.55","2,840.00","2,875.00","2,802.05","43.52K","2.24%"
"31-10-2024","2,785.10","2,619.70","2,817.35","2,579.80","501.80K","8.09%"
"30-10-2024","2,576.55","2,588.10","2,608.80","2,568.70","32.19K","-0.50%"
"29-10-2024","2,589.50","2,600.00","2,622.00","2,545.00","47.75K","-0.06%"
"28-10-2024","2,590.95","2,559.25","2,617.50","2,481.75","66.75K","2.20%"
"25-10-2024","2,535.30","2,598.60","2,633.80","2,492.05","102.34K","-2.18%"
"24-10-2024","2,591.90","2,695.35","2,700.85","2,552.30","132.81K","-4.16%"
"23-10-2024","2,704.40","2,745.95","2,747.05","2,654.20","59.42K","-1.51%"
"22-10-2024","2,745.95","2,839.25","2,843.85","2,664.35","136.21K","-3.27%"
"21-10-2024","2,838.80","2,938.95","2,967.40","2,821.00","140.70K","-2.93%"
"18-10-2024","2,924.40","2,799.90","3,038.60","2,750.00","897.56K","4.82%"
"17-10-2024","2,790.00","2,819.95","2,819.95","2,721.00","53.88K","-0.72%"
"16-10-2024","2,810.25","2,784.30","2,841.00","2,750.00","70.90K","1.43%"
"15-10-2024","2,770.70","2,802.35","2,833.70","2,760.00","66.55K","-0.69%"
"14-10-2024","2,789.90","2,708.70","2,814.30","2,684.05","110.17K","3.55%"
"11-10-2024","2,694.30","2,737.70","2,761.60","2,676.50","31.89K","-1.48%"
"10-10-2024","2,734.75","2,700.00","2,764.95","2,671.00","88.57K","1.92%"
"09-10-2024","2,683.35","2,684.95","2,705.00","2,628.05","61.11K","-0.15%"
"08-10-2024","2,687.45","2,460.00","2,707.85","2,431.30","255.93K","8.83%"
"07-10-2024","2,469.30","2,560.00","2,576.00","2,444.30","122.89K","-3.82%"
"04-10-2024","2,567.25","2,590.00","2,596.90","2,512.05","76.45K","-1.26%"
"03-10-2024","2,600.10","2,600.00","2,619.85","2,579.30","77.92K","-1.81%"
"01-10-2024","2,647.95","2,713.40","2,713.40","2,631.50","32.49K","-1.95%"
