"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","33.46","32.63","33.95","32.41","19.82M","2.83%"
"05-11-2024","32.54","32.80","33.09","32.33","9.44M","-2.14%"
"04-11-2024","33.25","33.35","33.62","31.91","16.63M","-0.81%"
"01-11-2024","33.52","33.24","33.60","33.11","7.19M","1.45%"
"31-10-2024","33.04","32.00","33.37","31.95","20.27M","1.94%"
"30-10-2024","32.41","29.96","32.70","29.76","36.70M","8.58%"
"29-10-2024","29.85","29.79","30.24","29.50","8.13M","0.51%"
"28-10-2024","29.70","29.05","30.05","28.51","15.11M","2.80%"
"25-10-2024","28.89","29.90","30.03","28.70","15.97M","-3.35%"
"24-10-2024","29.89","30.11","30.29","29.82","9.06M","-0.73%"
"23-10-2024","30.11","30.27","30.49","28.41","21.68M","-0.63%"
"22-10-2024","30.30","31.79","31.88","30.11","16.92M","-4.72%"
"21-10-2024","31.80","32.30","32.85","31.60","16.24M","-0.63%"
"18-10-2024","32.00","32.04","32.35","31.56","13.52M","-0.12%"
"17-10-2024","32.04","32.50","32.60","31.93","13.17M","-1.26%"
"16-10-2024","32.45","33.00","33.20","32.32","17.11M","-1.58%"
"15-10-2024","32.97","33.50","33.74","32.90","14.50M","-1.41%"
"14-10-2024","33.44","34.70","34.70","33.22","37.18M","-2.19%"
"11-10-2024","34.19","34.49","34.55","33.99","10.32M","-0.49%"
"10-10-2024","34.36","34.50","34.75","34.10","35.04M","0.79%"
"09-10-2024","34.09","33.31","34.58","33.11","55.96M","3.77%"
"08-10-2024","32.85","32.10","33.14","31.72","29.81M","2.37%"
"07-10-2024","32.09","33.66","33.78","31.60","26.48M","-3.69%"
