"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,917.15","4,910.95","4,960.40","4,906.95","370.36K","0.35%"
"05-11-2024","4,899.80","4,831.85","4,910.00","4,808.00","499.98K","1.41%"
"04-11-2024","4,831.85","5,002.45","5,015.00","4,791.05","719.17K","-2.46%"
"01-11-2024","4,953.60","4,984.85","4,990.00","4,930.00","79.73K","1.20%"
"31-10-2024","4,894.65","4,869.00","4,915.00","4,820.70","510.07K","0.52%"
"30-10-2024","4,869.25","4,850.10","4,947.75","4,850.10","842.33K","-0.59%"
"29-10-2024","4,898.15","4,688.00","4,918.55","4,685.45","1.07M","3.76%"
"28-10-2024","4,720.65","4,591.60","4,765.00","4,533.65","989.93K","2.81%"
"25-10-2024","4,591.60","4,650.00","4,672.65","4,508.75","446.74K","-1.65%"
"24-10-2024","4,668.50","4,665.00","4,684.65","4,630.15","288.78K","-0.20%"
"23-10-2024","4,677.75","4,722.55","4,725.45","4,653.15","655.99K","-1.71%"
"22-10-2024","4,759.05","4,810.45","4,826.20","4,749.65","528.04K","-1.07%"
"21-10-2024","4,810.45","4,765.00","4,852.85","4,743.00","745.47K","0.94%"
"18-10-2024","4,765.65","4,613.90","4,799.90","4,612.05","778.80K","3.07%"
"17-10-2024","4,623.85","4,645.00","4,654.95","4,521.00","514.24K","-1.16%"
"16-10-2024","4,678.25","4,724.00","4,734.00","4,641.00","380.47K","-0.93%"
"15-10-2024","4,722.10","4,779.75","4,799.90","4,695.90","370.22K","-1.21%"
"14-10-2024","4,779.80","4,749.00","4,810.00","4,730.65","346.43K","1.09%"
"11-10-2024","4,728.05","4,704.00","4,808.15","4,660.00","844.93K","0.64%"
"10-10-2024","4,697.90","4,737.80","4,769.00","4,690.00","305.74K","-0.23%"
"09-10-2024","4,708.90","4,698.90","4,737.90","4,660.00","930.72K","0.33%"
"08-10-2024","4,693.45","4,650.00","4,738.50","4,586.20","661.11K","0.55%"
"07-10-2024","4,667.95","4,748.80","4,748.80","4,650.00","447.52K","-0.83%"
"04-10-2024","4,706.80","4,782.00","4,802.80","4,690.85","466.00K","-1.58%"
"03-10-2024","4,782.50","4,930.00","4,950.00","4,711.00","1.34M","-3.82%"
"01-10-2024","4,972.65","5,026.30","5,045.95","4,952.00","449.00K","-1.07%"
"30-09-2024","5,026.25","5,062.00","5,085.00","4,998.50","516.97K","-0.72%"
"27-09-2024","5,062.60","4,990.00","5,105.00","4,953.35","1.04M","1.37%"
"26-09-2024","4,994.25","4,915.00","4,999.90","4,890.00","790.35K","2.02%"
"25-09-2024","4,895.25","4,851.00","4,920.00","4,851.00","665.99K","0.38%"
"24-09-2024","4,876.90","4,887.50","4,894.95","4,855.00","481.70K","-0.05%"
"23-09-2024","4,879.55","4,990.00","4,991.40","4,854.65","899.95K","-1.68%"
"20-09-2024","4,963.15","4,866.80","5,062.20","4,854.40","1.33M","2.02%"
"19-09-2024","4,864.90","4,875.00","4,923.80","4,845.10","357.21K","0.30%"
"18-09-2024","4,850.35","4,864.00","4,878.70","4,812.25","295.36K","0.00%"
"17-09-2024","4,850.20","4,898.50","4,898.50","4,816.65","356.44K","-1.00%"
"16-09-2024","4,899.20","4,884.95","4,938.75","4,860.00","453.83K","0.84%"
"13-09-2024","4,858.30","4,857.90","4,881.40","4,828.00","315.87K","-0.34%"
"12-09-2024","4,875.00","4,744.90","4,895.00","4,717.70","757.32K","3.14%"
"11-09-2024","4,726.65","4,730.00","4,779.50","4,702.00","384.21K","-0.22%"
"10-09-2024","4,737.20","4,749.00","4,767.50","4,689.35","404.10K","-0.21%"
"09-09-2024","4,747.35","4,752.50","4,780.00","4,716.10","272.44K","-0.11%"
"06-09-2024","4,752.50","4,794.70","4,830.00","4,740.20","291.11K","-0.99%"
"05-09-2024","4,800.10","4,850.00","4,863.10","4,787.15","398.34K","-0.69%"
"04-09-2024","4,833.55","4,830.00","4,877.45","4,821.20","476.84K","-0.66%"
"03-09-2024","4,865.80","4,923.95","4,940.00","4,856.05","263.40K","-0.94%"
"02-09-2024","4,911.95","4,949.75","5,011.00","4,887.75","310.78K","-0.98%"
"30-08-2024","4,960.50","4,901.05","4,979.50","4,896.00","465.20K","0.91%"
"29-08-2024","4,915.90","4,946.85","4,994.40","4,880.00","571.34K","-0.63%"
"28-08-2024","4,946.85","4,870.00","4,975.75","4,840.00","424.48K","1.60%"
"27-08-2024","4,868.85","4,866.05","4,887.25","4,836.70","382.11K","-0.13%"
"26-08-2024","4,875.20","4,902.00","4,915.95","4,865.05","314.43K","-0.47%"
"23-08-2024","4,898.10","4,920.00","4,967.85","4,882.30","208.41K","-0.72%"
"22-08-2024","4,933.55","4,932.20","4,949.00","4,905.60","536.37K","0.41%"
"21-08-2024","4,913.55","4,890.00","4,925.00","4,867.00","221.44K","0.62%"
"20-08-2024","4,883.25","4,848.90","4,898.00","4,824.30","523.51K","1.45%"
"19-08-2024","4,813.30","4,848.00","4,848.00","4,780.00","280.72K","-0.10%"
"16-08-2024","4,818.00","4,735.10","4,825.00","4,735.10","259.10K","1.79%"
"14-08-2024","4,733.25","4,810.95","4,820.00","4,716.00","328.80K","-1.44%"
"13-08-2024","4,802.25","4,810.20","4,834.90","4,790.10","194.85K","-0.14%"
"12-08-2024","4,808.80","4,799.00","4,852.05","4,793.35","738.63K","-0.45%"
"09-08-2024","4,830.60","4,805.65","4,853.00","4,716.95","1.70M","5.54%"
"08-08-2024","4,576.90","4,624.00","4,641.95","4,548.00","979.44K","-0.44%"
"07-08-2024","4,597.15","4,664.95","4,690.00","4,579.40","1.09M","-1.22%"
"06-08-2024","4,653.90","4,687.00","4,752.00","4,638.05","594.24K","-0.47%"
"05-08-2024","4,675.75","4,612.15","4,693.35","4,555.00","946.32K","-1.08%"
"02-08-2024","4,726.70","4,884.00","4,884.00","4,691.55","2.12M","-4.87%"
"01-08-2024","4,968.80","4,970.50","5,023.00","4,903.50","654.66K","0.12%"
"31-07-2024","4,962.70","4,951.85","4,992.80","4,939.95","567.28K","0.22%"
"30-07-2024","4,951.85","4,950.05","4,978.65","4,904.15","683.44K","-0.21%"
"29-07-2024","4,962.25","5,034.00","5,047.95","4,931.15","338.48K","-1.00%"
"26-07-2024","5,012.50","4,896.80","5,058.90","4,863.75","625.67K","2.28%"
"25-07-2024","4,900.65","4,900.00","4,923.45","4,872.35","413.86K","-0.30%"
"24-07-2024","4,915.35","4,918.00","4,942.30","4,879.00","400.08K","-0.09%"
"23-07-2024","4,919.55","4,857.05","4,975.00","4,785.95","1.13M","1.28%"
"22-07-2024","4,857.35","4,767.00","4,869.90","4,759.60","377.89K","0.14%"
"19-07-2024","4,850.70","4,905.00","4,925.00","4,820.20","662.97K","-1.83%"
"18-07-2024","4,941.10","4,818.00","4,965.00","4,784.95","773.06K","0.51%"
"16-07-2024","4,916.10","4,881.40","4,935.65","4,861.00","664.54K","0.71%"
"15-07-2024","4,881.35","4,851.05","4,917.00","4,825.60","223.49K","0.42%"
"12-07-2024","4,860.70","4,828.55","4,879.20","4,815.00","290.82K","0.66%"
"11-07-2024","4,828.65","4,878.95","4,885.00","4,805.85","308.71K","-0.42%"
"10-07-2024","4,849.15","4,842.00","4,955.00","4,795.00","832.01K","0.42%"
"09-07-2024","4,828.70","4,757.60","4,838.00","4,742.00","631.37K","1.56%"
"08-07-2024","4,754.45","4,758.95","4,775.00","4,716.00","542.47K","0.36%"
"05-07-2024","4,737.30","4,700.05","4,748.80","4,698.60","258.69K","1.02%"
"04-07-2024","4,689.50","4,692.30","4,725.00","4,662.00","313.15K","-0.06%"
"03-07-2024","4,692.30","4,643.65","4,703.75","4,638.10","257.36K","1.44%"
"02-07-2024","4,625.75","4,635.90","4,699.10","4,592.90","865.32K","-0.21%"
"01-07-2024","4,635.55","4,640.00","4,729.45","4,626.00","1.36M","-0.80%"
"28-06-2024","4,672.95","4,713.80","4,733.95","4,655.30","939.28K","-0.87%"
"27-06-2024","4,713.80","4,722.00","4,766.45","4,682.05","1.09M","-0.55%"
"26-06-2024","4,739.70","4,775.05","4,807.40","4,720.00","600.78K","-0.74%"
"25-06-2024","4,775.05","4,870.90","4,896.00","4,762.05","660.14K","-1.97%"
"24-06-2024","4,870.90","4,838.00","4,888.70","4,794.20","302.47K","0.52%"
"21-06-2024","4,845.50","4,876.90","4,925.30","4,820.00","414.68K","-0.64%"
"20-06-2024","4,876.90","4,885.35","4,924.90","4,843.05","637.36K","-0.08%"
"19-06-2024","4,880.75","4,940.00","4,963.70","4,850.00","652.62K","-1.12%"
