"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","832.15","813.80","833.00","809.55","321.51K","2.63%"
"05-11-2024","810.85","779.00","815.50","779.00","626.27K","3.61%"
"04-11-2024","782.60","812.70","817.95","779.40","174.40K","-3.69%"
"01-11-2024","812.60","810.30","823.70","810.00","51.80K","0.75%"
"31-10-2024","806.55","791.10","820.00","791.10","690.46K","1.15%"
"30-10-2024","797.40","769.95","804.90","768.35","217.54K","3.78%"
"29-10-2024","768.35","763.45","774.90","755.10","157.67K","0.87%"
"28-10-2024","761.75","753.10","769.35","741.30","229.49K","0.03%"
"25-10-2024","761.50","771.00","779.85","751.20","308.14K","-1.47%"
"24-10-2024","772.85","770.10","784.95","766.00","138.18K","0.31%"
"23-10-2024","770.45","769.90","774.45","750.80","238.16K","0.90%"
"22-10-2024","763.60","790.90","790.90","754.40","396.97K","-3.46%"
"21-10-2024","790.95","801.10","803.70","783.50","268.12K","-1.41%"
"18-10-2024","802.25","804.00","804.00","785.20","161.50K","-0.54%"
"17-10-2024","806.60","810.85","823.40","799.90","226.90K","-0.52%"
"16-10-2024","810.85","830.00","830.00","804.55","497.59K","-2.52%"
"15-10-2024","831.80","812.05","838.00","807.65","275.33K","2.40%"
"14-10-2024","812.30","812.90","816.20","801.95","198.97K","-0.07%"
"11-10-2024","812.90","811.30","818.95","808.55","121.14K","0.30%"
"10-10-2024","810.45","828.00","830.75","799.75","222.84K","-1.53%"
"09-10-2024","823.05","824.45","836.95","818.25","181.75K","0.04%"
"08-10-2024","822.70","805.00","824.20","788.05","468.62K","2.64%"
"07-10-2024","801.55","847.00","852.45","782.25","607.26K","-5.38%"
"04-10-2024","847.10","848.95","863.95","821.95","479.39K","-0.22%"
"03-10-2024","848.95","866.95","875.50","841.00","653.79K","-2.32%"
"01-10-2024","869.15","859.75","875.50","852.55","700.35K","1.33%"
"30-09-2024","857.75","847.00","860.10","831.05","362.16K","1.67%"
"27-09-2024","843.70","837.00","870.80","836.00","1.73M","1.86%"
"26-09-2024","828.30","833.90","834.30","821.00","191.20K","-0.67%"
"25-09-2024","833.90","822.25","835.00","819.05","250.24K","1.10%"
"24-09-2024","824.80","831.00","847.85","818.30","449.86K","-0.40%"
"23-09-2024","828.15","834.00","838.70","825.95","190.86K","-0.68%"
"20-09-2024","833.85","815.05","839.00","815.00","475.37K","2.81%"
