"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","359.80","360.85","362.50","357.60","580.83K","1.18%"
"05-11-2024","355.60","365.00","368.30","354.50","818.46K","-2.13%"
"04-11-2024","363.35","379.00","379.00","361.60","612.95K","-3.94%"
"01-11-2024","378.25","369.90","380.10","365.15","173.35K","3.79%"
"31-10-2024","364.45","358.80","367.00","355.20","546.96K","1.57%"
"30-10-2024","358.80","357.25","364.85","354.05","425.31K","0.90%"
"29-10-2024","355.60","355.10","360.65","348.50","458.51K","0.91%"
"28-10-2024","352.40","363.60","368.35","341.05","1.04M","-2.89%"
"25-10-2024","362.90","368.45","372.75","361.05","375.22K","-1.51%"
"24-10-2024","368.45","378.00","379.70","366.25","983.97K","-1.69%"
"23-10-2024","374.80","378.20","382.00","366.25","414.13K","0.25%"
"22-10-2024","373.85","392.00","394.95","372.40","577.65K","-4.97%"
"21-10-2024","393.40","399.90","403.65","391.20","254.81K","-1.34%"
"18-10-2024","398.75","405.00","410.60","397.00","437.43K","-2.65%"
"17-10-2024","409.60","425.00","427.25","406.40","1.20M","-3.35%"
"16-10-2024","423.80","425.70","432.25","419.40","379.02K","-0.11%"
"15-10-2024","424.25","432.00","432.00","415.55","465.76K","-0.93%"
"14-10-2024","428.25","430.00","430.60","423.90","484.87K","-0.45%"
"11-10-2024","430.20","432.50","435.70","424.70","809.82K","-0.28%"
"10-10-2024","431.40","410.00","441.60","406.00","4.47M","5.89%"
"09-10-2024","407.40","391.15","409.00","391.00","916.20K","4.09%"
"08-10-2024","391.40","391.70","394.50","386.30","966.22K","-0.03%"
"07-10-2024","391.50","395.00","401.50","382.85","986.51K","0.09%"
"04-10-2024","391.15","383.65","393.90","378.15","1.04M","2.49%"
"03-10-2024","381.65","379.15","382.75","369.20","637.95K","0.04%"
"01-10-2024","381.50","378.40","383.85","373.50","565.62K","0.82%"
"30-09-2024","378.40","379.85","384.65","372.15","339.08K","-0.37%"
"27-09-2024","379.80","368.40","382.15","367.80","628.98K","2.66%"
"26-09-2024","369.95","370.00","372.00","366.35","314.08K","-0.67%"
"25-09-2024","372.45","372.75","374.80","366.00","393.16K","-0.28%"
"24-09-2024","373.50","379.00","379.10","369.05","433.38K","-0.52%"
"23-09-2024","375.45","365.00","376.35","364.70","505.87K","2.32%"
"20-09-2024","366.95","373.60","376.70","364.70","1.01M","-2.24%"
"19-09-2024","375.35","380.00","382.25","367.10","453.49K","-0.77%"
"18-09-2024","378.25","376.20","379.00","373.25","358.66K","1.06%"
"17-09-2024","374.30","381.00","381.65","372.25","501.89K","-2.25%"
"16-09-2024","382.90","384.80","386.30","373.60","839.82K","0.74%"
"13-09-2024","380.10","383.90","386.15","377.00","841.48K","-0.96%"
"12-09-2024","383.80","383.25","386.80","378.80","283.51K","0.33%"
"11-09-2024","382.55","393.00","393.00","379.20","332.44K","-2.61%"
"10-09-2024","392.80","381.25","393.80","380.70","686.56K","3.03%"
"09-09-2024","381.25","385.25","385.25","379.25","942.99K","-1.14%"
"06-09-2024","385.65","396.00","406.40","383.40","1.94M","-1.78%"
"05-09-2024","392.65","376.80","394.25","374.60","1.60M","5.14%"
"04-09-2024","373.45","370.00","378.50","370.00","255.22K","-1.40%"
"03-09-2024","378.75","378.70","380.00","374.35","340.42K","0.52%"
"02-09-2024","376.80","383.70","384.55","374.50","348.33K","-1.52%"
"30-08-2024","382.60","380.25","384.65","375.10","556.86K","0.82%"
"29-08-2024","379.50","380.80","389.00","374.85","506.22K","-0.34%"
"28-08-2024","380.80","389.70","389.70","379.80","342.52K","-1.82%"
"27-08-2024","387.85","387.50","390.00","382.60","404.11K","0.49%"
"26-08-2024","385.95","382.20","393.30","378.25","1.12M","1.50%"
"23-08-2024","380.25","381.90","383.45","372.25","929.37K","-0.16%"
"22-08-2024","380.85","377.40","382.25","371.75","1.13M","1.85%"
"21-08-2024","373.95","361.50","375.00","361.45","1.47M","2.34%"
"20-08-2024","365.40","374.00","374.20","364.10","2.13M","-1.55%"
"19-08-2024","371.15","381.95","383.10","369.60","497.94K","-1.22%"
"16-08-2024","375.75","382.40","382.40","372.00","400.45K","1.13%"
"14-08-2024","371.55","382.00","382.90","369.10","559.86K","-1.04%"
"13-08-2024","375.45","393.00","393.00","373.10","747.48K","-4.50%"
"12-08-2024","393.15","391.00","398.95","382.25","987.23K","0.85%"
"09-08-2024","389.85","378.45","393.45","374.75","1.22M","4.39%"
"08-08-2024","373.45","375.60","382.50","371.00","746.15K","-1.67%"
"07-08-2024","379.80","388.50","391.00","356.65","6.85M","-4.25%"
"06-08-2024","396.65","415.25","418.40","391.00","837.42K","-4.27%"
"05-08-2024","414.35","410.00","424.00","404.80","823.84K","-0.78%"
"02-08-2024","417.60","426.90","428.80","415.35","784.98K","-2.46%"
"01-08-2024","428.15","444.60","444.90","424.00","1.96M","-2.85%"
"31-07-2024","440.70","438.70","442.85","432.80","688.49K","0.17%"
"30-07-2024","439.95","440.00","445.45","435.00","899.76K","1.01%"
"29-07-2024","435.55","425.40","438.80","420.55","1.10M","3.10%"
"26-07-2024","422.45","417.00","426.00","413.70","401.12K","1.13%"
"25-07-2024","417.75","418.80","424.20","410.00","454.09K","-0.31%"
"24-07-2024","419.05","405.70","419.95","404.60","723.37K","3.57%"
"23-07-2024","404.60","400.90","407.85","393.45","507.73K","1.01%"
"22-07-2024","400.55","397.70","418.70","393.35","1.07M","0.70%"
"19-07-2024","397.75","411.00","411.00","396.00","700.47K","-3.04%"
"18-07-2024","410.20","418.65","420.00","407.60","475.13K","-1.04%"
"16-07-2024","414.50","420.25","422.65","409.30","549.43K","-1.37%"
"15-07-2024","420.25","423.95","424.70","417.50","182.61K","-0.80%"
"12-07-2024","423.65","430.00","430.00","421.20","253.79K","-0.88%"
"11-07-2024","427.40","428.20","428.20","424.05","242.62K","1.05%"
"10-07-2024","422.95","432.00","432.60","415.25","412.68K","-1.74%"
"09-07-2024","430.45","432.45","437.50","429.10","655.35K","-0.46%"
"08-07-2024","432.45","432.00","435.00","424.55","467.40K","0.72%"
"05-07-2024","429.35","425.60","435.00","424.00","767.33K","1.04%"
"04-07-2024","424.95","424.20","430.00","422.10","423.72K","0.28%"
"03-07-2024","423.75","423.55","433.00","420.50","630.12K","0.12%"
"02-07-2024","423.25","434.00","434.50","422.30","356.95K","-1.24%"
"01-07-2024","428.55","422.20","433.10","418.20","873.43K","-0.17%"
"28-06-2024","429.30","433.40","448.45","426.10","711.84K","-0.95%"
"27-06-2024","433.40","439.00","440.00","425.80","364.89K","-1.22%"
"26-06-2024","438.75","442.90","444.90","436.05","371.71K","-0.94%"
"25-06-2024","442.90","450.35","460.00","440.15","602.28K","-1.16%"
"24-06-2024","448.10","445.45","451.60","442.25","270.06K","0.48%"
"21-06-2024","445.95","453.50","460.70","442.00","1.12M","-1.32%"
"20-06-2024","451.90","446.50","455.00","442.05","441.93K","1.52%"
"19-06-2024","445.15","451.90","451.90","440.50","397.70K","-0.87%"
"18-06-2024","449.05","446.00","454.40","438.50","855.88K","1.49%"
