"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","359.80","360.85","362.50","357.60","580.83K","1.18%"
"05-11-2024","355.60","365.00","368.30","354.50","818.46K","-2.13%"
"04-11-2024","363.35","379.00","379.00","361.60","612.95K","-3.94%"
"01-11-2024","378.25","369.90","380.10","365.15","173.35K","3.79%"
"31-10-2024","364.45","358.80","367.00","355.20","546.96K","1.57%"
"30-10-2024","358.80","357.25","364.85","354.05","425.31K","0.90%"
"29-10-2024","355.60","355.10","360.65","348.50","458.51K","0.91%"
"28-10-2024","352.40","363.60","368.35","341.05","1.04M","-2.89%"
"25-10-2024","362.90","368.45","372.75","361.05","375.22K","-1.51%"
"24-10-2024","368.45","378.00","379.70","366.25","983.97K","-1.69%"
"23-10-2024","374.80","378.20","382.00","366.25","414.13K","0.25%"
"22-10-2024","373.85","392.00","394.95","372.40","577.65K","-4.97%"
"21-10-2024","393.40","399.90","403.65","391.20","254.81K","-1.34%"
"18-10-2024","398.75","405.00","410.60","397.00","437.43K","-2.65%"
"17-10-2024","409.60","425.00","427.25","406.40","1.20M","-3.35%"
"16-10-2024","423.80","425.70","432.25","419.40","379.02K","-0.11%"
"15-10-2024","424.25","432.00","432.00","415.55","465.76K","-0.93%"
"14-10-2024","428.25","430.00","430.60","423.90","484.87K","-0.45%"
"11-10-2024","430.20","432.50","435.70","424.70","809.82K","-0.28%"
"10-10-2024","431.40","410.00","441.60","406.00","4.47M","5.89%"
"09-10-2024","407.40","391.15","409.00","391.00","916.20K","4.09%"
"08-10-2024","391.40","391.70","394.50","386.30","966.22K","-0.03%"
"07-10-2024","391.50","395.00","401.50","382.85","986.51K","0.09%"
