"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","610.750","580.000","613.000","579.200","384.31K","5.32%"
"05-11-2024","579.900","587.700","590.000","575.600","283.83K","-0.87%"
"04-11-2024","585.000","582.200","596.450","575.600","675.27K","0.48%"
"01-11-2024","582.200","580.450","588.000","577.000","75.84K","1.31%"
"31-10-2024","574.700","549.000","579.150","547.550","534.51K","4.28%"
"30-10-2024","551.100","550.950","556.850","535.600","701.88K","0.43%"
"29-10-2024","548.750","555.050","563.900","538.750","509.31K","-2.70%"
"28-10-2024","564.000","545.750","568.650","530.750","851.00K","4.15%"
"25-10-2024","541.550","581.100","584.250","527.550","1.58M","-6.81%"
"24-10-2024","581.100","600.450","601.300","574.150","539.63K","-3.01%"
"23-10-2024","599.150","591.500","606.200","590.300","723.83K","1.73%"
"22-10-2024","588.950","603.950","603.950","571.400","1.61M","-0.93%"
"21-10-2024","594.500","636.150","637.650","585.100","2.37M","-5.09%"
"18-10-2024","626.400","718.700","718.700","621.000","3.58M","-13.17%"
"17-10-2024","721.450","734.500","739.100","712.950","624.37K","-1.34%"
"16-10-2024","731.250","713.000","739.000","706.050","1.32M","3.29%"
"15-10-2024","707.950","697.950","713.400","689.000","447.65K","1.77%"
"14-10-2024","695.650","692.250","711.650","688.350","392.81K","0.86%"
"11-10-2024","689.700","701.850","717.850","681.000","638.35K","-1.75%"
"10-10-2024","702.000","662.050","709.400","655.550","1.65M","7.09%"
"09-10-2024","655.550","642.950","658.350","634.000","428.21K","2.77%"
"08-10-2024","637.850","625.950","641.000","618.000","387.85K","2.06%"
"07-10-2024","624.950","675.450","675.450","621.050","903.09K","-7.52%"
"04-10-2024","675.800","689.050","699.900","672.100","402.73K","-2.04%"
"03-10-2024","689.850","684.500","706.500","671.600","611.61K","-0.95%"
"01-10-2024","696.450","705.000","719.800","690.300","608.29K","-0.51%"
"30-09-2024","700.050","696.500","704.750","685.800","415.09K","0.68%"
"27-09-2024","695.300","703.900","708.800","688.950","712.04K","-1.00%"
"26-09-2024","702.300","666.350","710.000","665.800","5.02M","5.83%"
"25-09-2024","663.600","663.000","669.900","659.000","318.95K","0.29%"
"24-09-2024","661.700","663.850","667.000","656.150","432.26K","0.59%"
"23-09-2024","657.850","638.000","674.000","636.100","1.70M","3.42%"
"20-09-2024","636.100","624.400","640.100","619.450","411.99K","2.32%"
"19-09-2024","621.650","631.000","632.950","611.050","438.23K","-1.43%"
"18-09-2024","630.700","626.350","640.500","623.000","211.30K","0.69%"
