"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","651.65","652.00","655.05","644.45","62.10K","0.52%"
"05-11-2024","648.25","638.85","655.80","638.85","90.64K","-0.05%"
"04-11-2024","648.60","657.00","657.20","636.00","92.25K","-2.16%"
"01-11-2024","662.90","662.55","668.70","660.00","51.70K","0.05%"
"31-10-2024","662.55","603.55","678.00","603.55","864.86K","9.86%"
"30-10-2024","603.10","595.05","613.65","591.25","117.63K","1.41%"
"29-10-2024","594.70","591.35","599.40","591.00","44.45K","-0.16%"
"28-10-2024","595.65","600.05","603.20","588.05","116.89K","-0.13%"
"25-10-2024","596.40","625.00","628.80","593.95","159.26K","-5.08%"
"24-10-2024","628.30","628.70","632.00","621.40","79.94K","-0.06%"
"23-10-2024","628.65","620.60","634.05","611.50","82.74K","1.29%"
"22-10-2024","620.65","648.50","653.45","617.00","138.17K","-4.29%"
"21-10-2024","648.50","652.00","661.95","645.05","51.23K","-1.54%"
"18-10-2024","658.65","664.00","665.85","649.00","80.86K","-0.83%"
"17-10-2024","664.15","680.00","681.95","661.45","83.60K","-2.33%"
"16-10-2024","680.00","674.95","681.90","674.20","282.64K","0.64%"
"15-10-2024","675.70","669.50","685.95","667.85","124.14K","0.93%"
"14-10-2024","669.50","671.60","673.55","660.15","58.19K","-0.31%"
"11-10-2024","671.60","665.00","681.00","658.00","119.81K","0.66%"
"10-10-2024","667.20","675.00","675.45","663.60","83.54K","-0.89%"
"09-10-2024","673.20","644.90","695.00","644.60","1.29M","4.92%"
"08-10-2024","641.65","643.00","646.50","624.70","250.12K","0.18%"
"07-10-2024","640.50","680.00","680.00","636.00","218.32K","-5.86%"
"04-10-2024","680.40","682.70","688.75","666.60","116.52K","0.16%"
"03-10-2024","679.30","673.00","698.90","672.00","328.92K","0.16%"
"01-10-2024","678.20","672.00","684.00","672.00","125.00K","-0.22%"
"30-09-2024","679.70","665.85","684.00","665.85","297.23K","2.08%"
"27-09-2024","665.85","690.15","697.30","662.60","252.90K","-3.04%"
"26-09-2024","686.70","690.70","691.40","678.05","116.03K","-0.68%"
"25-09-2024","691.40","703.00","708.00","690.00","123.54K","-2.56%"
"24-09-2024","709.55","706.35","710.90","693.45","170.82K","0.39%"
"23-09-2024","706.80","720.00","723.45","705.10","156.21K","-2.36%"
"20-09-2024","723.85","740.00","744.95","715.55","458.39K","-1.70%"
"19-09-2024","736.40","732.70","740.00","716.05","237.36K","0.66%"
"18-09-2024","731.55","741.35","744.00","724.60","156.92K","-0.83%"
"17-09-2024","737.65","726.50","752.95","723.00","804.10K","1.96%"
"16-09-2024","723.45","730.00","730.80","719.00","110.09K","0.37%"
"13-09-2024","720.75","729.00","734.00","717.00","203.90K","-1.21%"
"12-09-2024","729.60","726.00","740.00","723.55","724.66K","0.50%"
"11-09-2024","726.00","720.00","740.00","716.00","650.93K","1.00%"
"10-09-2024","718.80","719.95","725.00","711.80","251.42K","1.03%"
"09-09-2024","711.50","700.00","714.60","687.40","187.24K","0.00%"
"06-09-2024","711.50","708.00","718.95","703.00","179.97K","0.53%"
"05-09-2024","707.75","700.10","726.00","687.00","315.47K","1.31%"
"04-09-2024","698.60","699.35","715.00","695.00","183.10K","-0.31%"
"03-09-2024","700.80","706.95","709.00","697.05","149.02K","-0.28%"
"02-09-2024","702.80","700.00","707.95","689.00","163.09K","1.21%"
"30-08-2024","694.40","712.00","716.10","690.95","176.66K","-2.64%"
"29-08-2024","713.20","721.85","722.05","708.10","209.66K","-1.26%"
"28-08-2024","722.30","721.50","729.90","714.00","457.93K","0.10%"
"27-08-2024","721.60","718.55","726.45","712.40","390.09K","0.22%"
"26-08-2024","720.00","699.80","728.90","697.05","2.05M","3.93%"
"23-08-2024","692.80","646.80","702.00","642.75","1.66M","7.00%"
"22-08-2024","647.45","633.40","709.00","633.40","3.48M","2.22%"
"21-08-2024","633.40","630.60","638.10","626.00","91.39K","0.84%"
"20-08-2024","628.15","639.70","645.00","621.05","123.45K","-0.75%"
"19-08-2024","632.90","603.70","635.35","603.00","471.98K","5.39%"
"16-08-2024","600.55","607.65","611.00","593.05","253.40K","-0.33%"
"14-08-2024","602.55","610.00","613.90","591.55","183.23K","-1.49%"
"13-08-2024","611.65","623.65","624.95","608.45","110.51K","-1.52%"
"12-08-2024","621.10","629.80","631.70","619.45","97.34K","-1.49%"
"09-08-2024","630.50","636.85","638.05","629.00","89.57K","-0.21%"
"08-08-2024","631.80","641.40","648.85","629.25","67.05K","-1.30%"
"07-08-2024","640.15","652.00","652.00","631.25","172.23K","-0.10%"
"06-08-2024","640.80","649.95","667.95","633.95","160.73K","0.06%"
"05-08-2024","640.40","676.00","676.30","636.00","227.31K","-6.97%"
"02-08-2024","688.35","699.00","699.00","681.00","230.20K","-2.90%"
"01-08-2024","708.90","698.85","738.00","698.85","995.72K","2.32%"
"31-07-2024","692.80","716.00","723.80","690.00","413.71K","-2.82%"
"30-07-2024","712.90","717.05","719.75","704.05","98.07K","-0.08%"
"29-07-2024","713.45","709.00","719.20","708.55","110.75K","1.13%"
"26-07-2024","705.45","704.60","720.00","701.10","153.25K","0.99%"
"25-07-2024","698.50","684.00","708.40","682.55","114.13K","0.87%"
"24-07-2024","692.45","669.80","699.35","669.75","129.91K","3.38%"
"23-07-2024","669.80","680.70","704.00","651.00","2.68M","-1.60%"
"22-07-2024","680.70","670.00","682.80","654.00","99.65K","2.01%"
"19-07-2024","667.30","682.00","682.00","662.50","99.85K","-1.95%"
"18-07-2024","680.60","702.00","704.55","678.15","152.16K","-3.03%"
"16-07-2024","701.85","701.35","714.00","695.15","190.78K","0.73%"
"15-07-2024","696.75","722.00","722.00","692.50","162.14K","-1.09%"
"12-07-2024","704.45","718.95","747.20","700.00","705.08K","-0.50%"
"11-07-2024","708.00","717.20","728.85","684.50","650.25K","-0.88%"
"10-07-2024","714.30","726.60","728.35","702.05","108.78K","-1.40%"
"09-07-2024","724.45","748.00","762.20","720.65","238.09K","-2.29%"
"08-07-2024","741.40","737.85","744.25","721.55","120.01K","0.48%"
