"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","685.55","694.70","698.30","680.00","518.58K","-1.33%"
"05-11-2024","694.80","675.65","700.60","674.55","286.57K","2.83%"
"04-11-2024","675.65","711.45","714.05","668.50","525.38K","-5.69%"
"01-11-2024","716.45","715.00","719.95","711.00","53.42K","1.86%"
"31-10-2024","703.35","667.95","710.90","666.40","679.54K","5.34%"
"30-10-2024","667.70","655.00","674.90","645.50","262.38K","2.72%"
"29-10-2024","650.00","652.65","659.00","648.50","239.98K","-0.38%"
"28-10-2024","652.50","640.00","655.85","635.00","247.94K","1.08%"
"25-10-2024","645.50","640.00","658.00","632.50","528.44K","1.10%"
"24-10-2024","638.50","668.00","680.00","632.00","879.96K","-4.20%"
"23-10-2024","666.50","660.00","676.50","651.55","616.86K","0.10%"
"22-10-2024","665.85","692.10","702.40","662.80","309.44K","-4.09%"
"21-10-2024","694.25","691.00","706.80","688.05","335.38K","-0.94%"
"18-10-2024","700.85","712.00","715.00","692.05","354.04K","-1.98%"
"17-10-2024","715.00","738.80","738.80","712.00","266.07K","-3.10%"
"16-10-2024","737.90","736.85","746.35","714.65","1.90M","-0.04%"
"15-10-2024","738.20","728.95","742.20","721.05","227.99K","1.88%"
"14-10-2024","724.60","730.00","734.60","710.90","376.56K","-0.77%"
"11-10-2024","730.25","744.40","747.95","728.90","482.57K","-1.71%"
"10-10-2024","742.95","756.85","758.30","742.00","247.46K","-1.44%"
"09-10-2024","753.80","741.90","760.95","741.90","447.68K","1.91%"
"08-10-2024","739.70","732.80","743.45","725.55","185.04K","0.94%"
"07-10-2024","732.80","743.95","755.15","727.65","572.41K","-1.35%"
"04-10-2024","742.85","740.10","750.60","725.10","394.99K","-0.21%"
"03-10-2024","744.45","738.50","759.75","736.10","257.83K","-1.22%"
"01-10-2024","753.65","761.00","768.45","747.55","469.82K","-1.64%"
"30-09-2024","766.20","758.00","773.30","740.00","903.37K","1.94%"
"27-09-2024","751.65","742.25","758.70","740.00","728.56K","1.27%"
"26-09-2024","742.25","749.00","749.65","736.05","293.36K","-0.04%"
"25-09-2024","742.55","760.05","760.95","739.05","599.70K","-2.42%"
"24-09-2024","760.95","764.55","771.95","755.75","488.12K","-0.37%"
"23-09-2024","763.75","755.30","766.00","740.00","408.95K","2.17%"
"20-09-2024","747.55","755.90","767.65","737.70","1.54M","0.05%"
"19-09-2024","747.20","744.60","769.00","742.05","679.90K","0.35%"
"18-09-2024","744.60","752.00","753.35","725.40","1.37M","-0.29%"
"17-09-2024","746.75","755.95","760.15","744.45","645.80K","-0.69%"
"16-09-2024","751.95","789.75","789.75","734.60","1.85M","-4.58%"
"13-09-2024","788.05","807.00","809.00","786.20","520.25K","-2.67%"
"12-09-2024","809.70","820.00","823.40","805.05","242.48K","-0.53%"
"11-09-2024","814.00","825.25","827.00","810.70","222.18K","-1.30%"
"10-09-2024","824.75","838.15","846.75","812.00","410.69K","-0.34%"
"09-09-2024","827.60","837.00","840.00","821.25","247.51K","-0.61%"
"06-09-2024","832.70","839.00","860.00","825.15","920.63K","-0.32%"
"05-09-2024","835.40","829.10","840.75","820.55","419.89K","1.35%"
"04-09-2024","824.30","809.90","837.70","801.00","390.02K","0.24%"
"03-09-2024","822.35","810.00","839.80","808.25","604.14K","1.37%"
"02-09-2024","811.20","818.80","820.00","790.00","686.70K","-0.25%"
"30-08-2024","813.20","818.75","825.95","807.10","471.21K","0.02%"
"29-08-2024","813.00","839.90","841.50","810.10","597.37K","-3.19%"
"28-08-2024","839.75","834.95","842.55","826.35","543.48K","0.69%"
"27-08-2024","834.00","820.80","855.60","814.65","1.10M","1.94%"
"26-08-2024","818.15","816.00","828.00","806.05","425.81K","1.12%"
"23-08-2024","809.10","810.10","832.90","803.65","661.71K","-0.07%"
"22-08-2024","809.70","818.00","821.00","805.05","145.92K","-0.28%"
"21-08-2024","812.00","796.00","817.00","796.00","247.98K","1.56%"
"20-08-2024","799.50","815.00","819.80","794.40","260.19K","-0.56%"
"19-08-2024","804.00","825.85","828.50","801.00","268.31K","-2.47%"
"16-08-2024","824.35","809.50","827.40","799.25","241.25K","2.42%"
"14-08-2024","804.90","818.00","819.95","796.30","200.64K","-1.47%"
"13-08-2024","816.90","815.95","842.00","805.30","752.96K","1.10%"
"12-08-2024","808.05","800.25","819.20","800.25","644.94K","1.32%"
"09-08-2024","797.50","779.10","801.00","779.10","432.30K","2.49%"
"08-08-2024","778.10","787.95","792.80","775.00","287.00K","-1.52%"
"07-08-2024","790.10","774.80","800.50","758.80","871.21K","2.15%"
"06-08-2024","773.45","749.95","786.10","749.95","2.26M","3.16%"
"05-08-2024","749.75","768.95","780.60","736.35","1.77M","-3.79%"
"02-08-2024","779.25","824.00","824.00","775.90","2.27M","-5.44%"
"01-08-2024","824.10","820.85","849.50","818.00","4.42M","0.88%"
"31-07-2024","816.95","799.35","822.95","799.00","609.91K","2.57%"
"30-07-2024","796.50","805.00","807.20","794.35","351.67K","-0.25%"
"29-07-2024","798.50","803.90","817.20","795.05","851.46K","0.18%"
"26-07-2024","797.10","806.00","812.00","790.10","472.20K","-1.15%"
"25-07-2024","806.35","790.00","815.00","784.10","493.46K","0.84%"
"24-07-2024","799.60","808.35","808.35","790.35","525.67K","-0.04%"
"23-07-2024","799.90","802.10","817.30","710.05","1.02M","-0.07%"
"22-07-2024","800.45","799.80","844.65","787.15","2.18M","0.08%"
"19-07-2024","799.80","798.80","814.00","785.10","1.54M","1.00%"
"18-07-2024","791.90","779.00","812.70","771.85","2.80M","2.42%"
"16-07-2024","773.20","772.00","783.95","767.10","593.28K","1.26%"
"15-07-2024","763.60","774.90","785.00","757.60","806.89K","0.01%"
"12-07-2024","763.55","766.00","769.45","753.00","443.96K","-0.22%"
"11-07-2024","765.20","779.30","779.30","761.70","555.68K","-0.59%"
"10-07-2024","769.75","790.00","806.05","760.25","1.40M","-0.94%"
"09-07-2024","777.05","770.00","787.75","765.00","3.60M","3.68%"
"08-07-2024","749.50","729.80","769.90","720.85","2.20M","3.49%"
"05-07-2024","724.20","737.70","737.70","720.55","1.09M","-1.98%"
"04-07-2024","738.85","741.00","744.70","732.00","562.54K","0.33%"
"03-07-2024","736.40","730.05","755.00","715.45","2.32M","1.80%"
"02-07-2024","723.35","735.00","745.10","713.95","1.62M","0.31%"
"01-07-2024","721.10","699.55","775.00","690.10","10.55M","4.61%"
"28-06-2024","689.30","694.90","711.45","683.45","462.89K","0.36%"
"27-06-2024","686.85","712.00","716.40","681.05","594.09K","-2.55%"
"26-06-2024","704.85","717.85","725.00","700.50","478.87K","-0.91%"
"25-06-2024","711.35","720.65","726.90","700.05","395.26K","-1.29%"
"24-06-2024","720.65","704.35","732.60","703.05","750.18K","2.80%"
"21-06-2024","701.05","704.80","721.30","696.05","818.86K","-1.04%"
"20-06-2024","708.45","723.00","732.75","697.60","439.54K","-1.49%"
"19-06-2024","719.15","748.90","749.00","714.00","531.34K","-2.91%"
"18-06-2024","740.70","712.00","748.80","710.25","844.55K","4.32%"
"14-06-2024","710.00","715.00","719.95","702.75","242.86K","0.51%"
"13-06-2024","706.40","718.85","723.95","699.00","372.73K","-1.41%"
"12-06-2024","716.50","713.90","719.70","702.00","301.70K","0.10%"
"11-06-2024","715.75","730.00","754.90","702.20","739.82K","-2.25%"
"10-06-2024","732.25","721.00","739.75","698.00","625.57K","1.38%"
"07-06-2024","722.25","707.50","762.00","698.10","2.79M","2.08%"
"06-06-2024","707.50","700.15","711.20","676.20","2.69M","1.22%"
"05-06-2024","699.00","630.65","745.00","630.65","8.43M","11.24%"
"04-06-2024","628.35","630.00","663.50","603.95","2.97M","-0.91%"
"03-06-2024","634.10","640.00","649.90","617.55","1.94M","1.37%"
"31-05-2024","625.50","606.70","646.20","593.05","10.24M","2.23%"
"30-05-2024","611.85","524.25","619.00","524.25","15.60M","16.80%"
"29-05-2024","523.85","531.85","538.50","515.00","651.76K","-1.60%"
"28-05-2024","532.35","531.10","535.00","524.00","210.14K","0.73%"
"27-05-2024","528.50","547.80","549.95","522.15","581.81K","-2.99%"
"24-05-2024","544.80","540.00","548.80","529.10","740.70K","0.83%"
"23-05-2024","540.30","538.00","546.00","535.10","826.34K","1.00%"
"22-05-2024","534.95","511.05","539.40","509.00","1.21M","4.59%"
"21-05-2024","511.45","519.75","519.75","507.45","666.48K","-1.01%"
"18-05-2024","516.65","517.05","523.40","515.00","20.76K","0.05%"
"17-05-2024","516.40","518.10","523.65","514.60","363.68K","-1.14%"
