"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,445.05","1,465.00","1,468.65","1,429.00","47.07K","0.21%"
"05-11-2024","1,442.00","1,461.40","1,461.40","1,428.65","47.83K","-0.11%"
"04-11-2024","1,443.55","1,441.00","1,454.95","1,435.00","77.00K","0.19%"
"01-11-2024","1,440.80","1,445.30","1,459.20","1,420.00","7.90K","0.12%"
"31-10-2024","1,439.10","1,443.55","1,465.75","1,428.85","60.20K","-0.30%"
"30-10-2024","1,443.50","1,390.00","1,460.00","1,390.00","56.39K","2.50%"
"29-10-2024","1,408.35","1,383.60","1,427.00","1,383.60","50.00K","0.14%"
"28-10-2024","1,406.40","1,370.00","1,413.55","1,356.95","62.25K","2.64%"
"25-10-2024","1,370.20","1,393.70","1,403.05","1,345.05","184.65K","-1.65%"
"24-10-2024","1,393.20","1,373.20","1,427.00","1,373.20","148.35K","0.26%"
"23-10-2024","1,389.65","1,394.70","1,428.00","1,378.65","186.40K","-0.36%"
"22-10-2024","1,394.70","1,449.95","1,455.80","1,387.70","127.26K","-4.02%"
"21-10-2024","1,453.15","1,485.15","1,495.20","1,435.05","77.85K","-2.71%"
"18-10-2024","1,493.65","1,462.00","1,505.35","1,462.00","90.74K","0.71%"
"17-10-2024","1,483.10","1,486.10","1,500.00","1,470.00","78.48K","-0.20%"
"16-10-2024","1,486.10","1,470.00","1,508.00","1,470.00","44.92K","0.34%"
"15-10-2024","1,481.10","1,495.05","1,532.95","1,470.25","98.93K","-0.15%"
"14-10-2024","1,483.30","1,474.25","1,498.35","1,469.10","69.52K","1.04%"
"11-10-2024","1,468.00","1,460.05","1,502.70","1,455.75","175.24K","-0.16%"
"10-10-2024","1,470.35","1,480.00","1,509.00","1,448.15","310.94K","-1.53%"
"09-10-2024","1,493.15","1,405.00","1,519.65","1,394.60","372.95K","6.45%"
"08-10-2024","1,402.65","1,326.70","1,415.35","1,324.20","384.65K","5.36%"
"07-10-2024","1,331.35","1,403.00","1,425.95","1,324.05","446.47K","-6.70%"
"04-10-2024","1,426.90","1,465.00","1,475.45","1,420.00","144.36K","-2.77%"
"03-10-2024","1,467.60","1,463.10","1,507.20","1,456.00","202.37K","-1.87%"
"01-10-2024","1,495.50","1,468.85","1,509.85","1,451.35","91.23K","1.78%"
"30-09-2024","1,469.40","1,456.25","1,483.00","1,444.70","109.93K","0.90%"
"27-09-2024","1,456.25","1,448.20","1,461.00","1,434.80","55.88K","1.68%"
"26-09-2024","1,432.20","1,475.60","1,480.00","1,402.05","86.69K","-2.26%"
"25-09-2024","1,465.35","1,445.00","1,479.00","1,426.50","128.53K","2.58%"
"24-09-2024","1,428.50","1,444.45","1,454.25","1,426.00","56.57K","-1.10%"
"23-09-2024","1,444.45","1,451.00","1,472.10","1,433.00","61.02K","-0.28%"
"20-09-2024","1,448.50","1,470.10","1,493.95","1,439.00","119.19K","-0.89%"
"19-09-2024","1,461.55","1,531.00","1,539.95","1,441.05","219.26K","-4.26%"
"18-09-2024","1,526.60","1,525.00","1,580.00","1,523.60","453.96K","2.21%"
"17-09-2024","1,493.60","1,454.80","1,520.00","1,439.25","383.72K","3.61%"
"16-09-2024","1,441.60","1,450.00","1,455.00","1,410.00","80.35K","1.35%"
"13-09-2024","1,422.35","1,442.25","1,448.90","1,414.00","57.44K","-1.38%"
"12-09-2024","1,442.20","1,440.00","1,455.00","1,420.05","94.90K","0.98%"
"11-09-2024","1,428.25","1,415.00","1,464.00","1,396.75","316.32K","2.76%"
"10-09-2024","1,389.85","1,391.50","1,433.85","1,382.40","113.09K","-0.06%"
"09-09-2024","1,390.75","1,381.00","1,409.50","1,381.00","122.85K","-0.25%"
"06-09-2024","1,394.30","1,415.00","1,416.00","1,385.00","84.38K","-0.78%"
"05-09-2024","1,405.25","1,419.90","1,443.45","1,399.70","124.79K","-0.37%"
"04-09-2024","1,410.45","1,385.00","1,433.00","1,385.00","221.57K","0.84%"
"03-09-2024","1,398.75","1,389.00","1,425.65","1,377.40","167.77K","0.68%"
"02-09-2024","1,389.35","1,412.05","1,421.20","1,382.00","89.66K","-1.50%"
"30-08-2024","1,410.45","1,390.00","1,418.00","1,375.65","203.89K","2.53%"
"29-08-2024","1,375.65","1,395.00","1,395.00","1,359.50","167.62K","-0.54%"
"28-08-2024","1,383.10","1,390.00","1,409.15","1,372.00","183.45K","-0.42%"
"27-08-2024","1,388.95","1,425.00","1,428.00","1,382.00","181.72K","-2.00%"
"26-08-2024","1,417.25","1,421.25","1,455.20","1,391.00","649.49K","2.31%"
"23-08-2024","1,385.20","1,368.90","1,414.00","1,357.05","366.97K","1.90%"
"22-08-2024","1,359.40","1,369.75","1,377.45","1,351.15","87.05K","-0.30%"
"21-08-2024","1,363.50","1,339.00","1,389.65","1,328.00","388.05K","2.36%"
"20-08-2024","1,332.10","1,328.95","1,357.15","1,305.50","195.39K","0.54%"
"19-08-2024","1,325.00","1,264.95","1,367.40","1,259.65","411.07K","5.27%"
"16-08-2024","1,258.70","1,250.95","1,279.90","1,247.00","157.72K","1.23%"
"14-08-2024","1,243.40","1,263.00","1,269.70","1,226.60","279.56K","0.54%"
"13-08-2024","1,236.70","1,286.50","1,289.70","1,225.00","227.26K","-2.92%"
"12-08-2024","1,273.85","1,280.00","1,314.90","1,267.25","155.21K","-1.00%"
"09-08-2024","1,286.75","1,295.00","1,308.00","1,272.00","82.45K","-0.22%"
"08-08-2024","1,289.65","1,300.00","1,321.95","1,280.50","102.07K","-1.18%"
"07-08-2024","1,305.05","1,300.00","1,311.95","1,288.00","160.16K","0.79%"
"06-08-2024","1,294.80","1,251.00","1,309.25","1,235.00","186.40K","3.58%"
"05-08-2024","1,250.00","1,261.00","1,279.95","1,231.65","214.96K","-3.72%"
"02-08-2024","1,298.30","1,290.00","1,309.65","1,281.05","95.70K","-1.51%"
"01-08-2024","1,318.25","1,311.00","1,330.00","1,302.85","161.03K","0.93%"
"31-07-2024","1,306.10","1,302.25","1,310.00","1,299.95","100.24K","0.33%"
"30-07-2024","1,301.80","1,285.00","1,305.00","1,285.00","177.74K","0.46%"
"29-07-2024","1,295.90","1,310.00","1,310.00","1,282.50","102.05K","-0.11%"
"26-07-2024","1,297.35","1,310.95","1,315.00","1,285.70","103.36K","-0.66%"
"25-07-2024","1,305.95","1,270.05","1,315.05","1,270.05","77.56K","-0.19%"
"24-07-2024","1,308.50","1,294.95","1,313.70","1,285.25","115.89K","1.98%"
"23-07-2024","1,283.15","1,320.00","1,323.40","1,261.05","321.84K","-3.05%"
"22-07-2024","1,323.45","1,341.00","1,341.00","1,305.20","260.40K","-2.07%"
"19-07-2024","1,351.45","1,365.05","1,365.05","1,341.10","289.15K","-1.25%"
"18-07-2024","1,368.50","1,360.05","1,379.00","1,349.50","309.07K","0.45%"
"16-07-2024","1,362.35","1,380.00","1,399.00","1,360.00","421.31K","-0.90%"
"15-07-2024","1,374.75","1,360.00","1,408.70","1,340.00","1.04M","0.90%"
"12-07-2024","1,362.45","1,362.00","1,373.35","1,345.00","882.78K","0.04%"
"11-07-2024","1,361.95","1,354.35","1,370.00","1,341.15","1.20M","0.21%"
