"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","197.53","192.55","198.47","192.10","2.79M","2.94%"
"05-11-2024","191.89","190.50","195.49","190.50","3.58M","-0.67%"
"04-11-2024","193.18","196.16","196.17","190.50","2.22M","-1.53%"
"01-11-2024","196.18","195.50","198.00","195.25","668.74K","0.74%"
"31-10-2024","194.74","188.00","195.75","186.90","4.81M","4.23%"
"30-10-2024","186.83","178.60","188.00","176.50","5.73M","3.29%"
"29-10-2024","180.88","180.00","182.80","176.71","2.74M","0.41%"
"28-10-2024","180.15","174.95","181.93","172.52","3.16M","3.77%"
"25-10-2024","173.60","180.50","181.39","171.58","3.45M","-3.77%"
"24-10-2024","180.41","179.50","186.39","177.86","3.93M","0.50%"
"23-10-2024","179.51","175.00","185.49","172.25","5.48M","1.85%"
"22-10-2024","176.25","184.41","184.87","175.10","3.87M","-4.99%"
"21-10-2024","185.51","189.00","189.70","184.67","3.23M","-1.06%"
"18-10-2024","187.49","186.70","190.20","183.36","5.74M","-0.18%"
"17-10-2024","187.83","194.70","195.75","187.00","4.04M","-3.10%"
"16-10-2024","193.84","194.45","198.90","191.26","4.34M","-0.31%"
"15-10-2024","194.44","196.15","198.61","193.50","3.93M","-0.60%"
"14-10-2024","195.62","201.00","202.46","194.70","3.14M","-2.54%"
"11-10-2024","200.71","200.75","204.40","199.10","1.88M","0.26%"
"10-10-2024","200.18","202.55","206.03","198.12","2.96M","-0.71%"
"09-10-2024","201.61","203.00","206.40","200.75","2.29M","-0.32%"
"08-10-2024","202.26","189.85","202.90","187.47","5.84M","7.11%"
"07-10-2024","188.84","205.24","206.39","187.81","6.96M","-6.62%"
"04-10-2024","202.23","202.00","207.44","198.00","4.41M","0.54%"
"03-10-2024","201.15","205.00","208.75","198.95","4.55M","-3.95%"
"01-10-2024","209.43","211.00","213.20","207.80","2.81M","-1.08%"
"30-09-2024","211.71","210.05","213.30","208.60","2.35M","-0.09%"
"27-09-2024","211.90","213.99","215.23","209.92","3.85M","0.11%"
"26-09-2024","211.66","217.41","217.79","210.11","2.87M","-2.82%"
"25-09-2024","217.80","219.48","222.48","213.49","3.62M","-0.65%"
"24-09-2024","219.23","219.90","222.30","217.10","3.89M","-0.07%"
"23-09-2024","219.38","212.50","221.17","210.00","7.90M","3.60%"
"20-09-2024","211.76","205.05","212.75","204.01","5.20M","3.85%"
"19-09-2024","203.90","210.49","212.80","202.32","4.83M","-2.54%"
"18-09-2024","209.21","213.90","214.90","208.20","3.97M","-2.18%"
"17-09-2024","213.87","214.17","218.64","212.69","3.02M","-0.80%"
"16-09-2024","215.59","224.00","224.00","215.10","3.40M","-3.34%"
"13-09-2024","223.05","227.75","228.70","222.02","5.49M","-1.70%"
"12-09-2024","226.91","213.10","228.00","213.10","26.54M","7.89%"
"11-09-2024","210.31","212.49","214.35","209.25","3.88M","-1.02%"
"10-09-2024","212.48","206.74","215.90","204.80","6.50M","3.61%"
"09-09-2024","205.07","217.67","218.00","204.15","6.54M","-5.79%"
"06-09-2024","217.67","217.50","218.99","213.00","2.75M","0.29%"
"05-09-2024","217.03","219.00","220.20","216.80","1.81M","-0.70%"
"04-09-2024","218.55","218.30","220.25","217.20","2.85M","-1.64%"
"03-09-2024","222.19","223.80","225.59","221.05","2.49M","-0.67%"
"02-09-2024","223.68","218.90","224.60","216.20","5.31M","2.84%"
"30-08-2024","217.50","225.15","225.70","217.05","3.26M","-2.95%"
"29-08-2024","224.10","226.80","227.50","221.75","4.62M","-0.64%"
"28-08-2024","225.55","215.55","229.00","215.55","17.44M","4.88%"
"27-08-2024","215.05","215.00","216.45","212.70","2.66M","0.44%"
"26-08-2024","214.10","216.55","218.40","212.55","2.95M","-0.63%"
"23-08-2024","215.45","216.00","219.85","214.05","3.75M","-0.12%"
"22-08-2024","215.70","220.00","221.00","214.90","4.88M","-1.46%"
"21-08-2024","218.90","219.70","222.50","217.50","3.65M","-0.14%"
"20-08-2024","219.20","222.00","223.50","218.00","2.91M","-0.68%"
"19-08-2024","220.70","217.40","226.40","217.10","5.99M","2.56%"
"16-08-2024","215.20","216.00","220.10","212.90","4.73M","0.77%"
"14-08-2024","213.55","222.00","222.00","212.70","4.20M","-2.69%"
"13-08-2024","219.45","228.85","230.30","218.00","3.90M","-3.37%"
"12-08-2024","227.10","212.60","228.70","212.60","8.80M","1.88%"
"09-08-2024","222.90","230.50","231.80","220.15","5.66M","-2.30%"
"08-08-2024","228.15","234.00","235.55","226.85","4.12M","-2.10%"
"07-08-2024","233.05","235.30","237.00","228.55","7.81M","1.55%"
"06-08-2024","229.50","243.00","248.95","227.90","5.45M","-3.69%"
"05-08-2024","238.30","246.95","248.00","234.50","5.80M","-6.03%"
"02-08-2024","253.60","253.00","256.90","251.75","2.58M","-2.07%"
"01-08-2024","258.95","263.00","266.75","256.60","2.53M","-1.18%"
"31-07-2024","262.05","265.95","266.25","260.35","3.32M","-1.21%"
"30-07-2024","265.25","263.90","268.40","262.45","4.21M","0.68%"
"29-07-2024","263.45","257.00","265.00","255.70","6.34M","3.37%"
"26-07-2024","254.85","257.00","259.50","254.05","3.79M","0.14%"
"25-07-2024","254.50","253.95","261.40","252.10","5.54M","-0.57%"
"24-07-2024","255.95","261.20","265.95","254.10","8.19M","-1.71%"
"23-07-2024","260.40","269.90","270.60","241.10","12.23M","-3.09%"
"22-07-2024","268.70","260.00","273.40","256.30","8.18M","2.62%"
"19-07-2024","261.85","267.35","273.00","260.35","11.05M","-2.37%"
"18-07-2024","268.20","281.45","283.40","267.05","9.66M","-4.71%"
"16-07-2024","281.45","283.35","291.00","279.00","10.64M","-0.34%"
"15-07-2024","282.40","290.00","290.70","278.20","7.85M","-1.93%"
"12-07-2024","287.95","292.00","303.90","286.40","30.17M","-0.79%"
"11-07-2024","290.25","263.70","295.00","261.15","58.81M","10.68%"
"10-07-2024","262.25","265.85","266.80","252.00","6.52M","-0.72%"
"09-07-2024","264.15","274.85","276.35","263.00","6.19M","-3.21%"
"08-07-2024","272.90","269.70","282.00","266.15","16.17M","1.64%"
"05-07-2024","268.50","270.00","276.25","267.50","12.77M","-0.17%"
"04-07-2024","268.95","263.90","270.00","260.00","10.34M","2.24%"
"03-07-2024","263.05","258.80","265.00","256.90","7.78M","2.06%"
"02-07-2024","257.75","257.40","263.40","254.00","7.14M","0.59%"
"01-07-2024","256.25","251.00","256.90","248.40","4.24M","2.16%"
"28-06-2024","250.84","252.95","255.28","249.35","3.36M","-0.43%"
"27-06-2024","251.92","248.00","253.10","245.10","6.00M","1.66%"
"26-06-2024","247.80","252.48","253.31","247.11","4.19M","-1.97%"
"25-06-2024","252.78","250.40","258.25","249.53","5.37M","2.10%"
"24-06-2024","247.59","254.80","258.00","245.70","7.44M","-3.61%"
"21-06-2024","256.85","258.80","264.13","255.10","5.60M","-0.32%"
"20-06-2024","257.68","263.00","268.50","256.30","8.56M","-2.46%"
"19-06-2024","264.19","272.37","272.79","260.00","7.19M","-2.48%"
"18-06-2024","270.92","265.70","274.79","261.31","12.84M","1.96%"
"14-06-2024","265.70","254.30","267.70","250.71","13.05M","4.68%"
"13-06-2024","253.81","257.00","260.00","250.10","7.14M","-0.84%"
"12-06-2024","255.95","247.80","258.29","245.61","15.56M","3.72%"
"11-06-2024","246.77","232.25","253.70","231.25","20.55M","7.18%"
"10-06-2024","230.23","234.35","236.95","228.20","5.26M","-0.93%"
"07-06-2024","232.40","230.00","234.20","226.15","7.54M","1.60%"
"06-06-2024","228.75","219.90","238.45","219.20","16.94M","5.51%"
"05-06-2024","216.80","222.00","229.35","190.20","27.09M","-2.50%"
"04-06-2024","222.35","268.00","272.00","215.15","18.83M","-17.31%"
"03-06-2024","268.90","263.25","272.15","256.20","15.18M","8.27%"
"31-05-2024","248.35","253.70","255.25","241.15","10.62M","-1.37%"
"30-05-2024","251.80","255.65","258.45","250.55","4.74M","-1.51%"
"29-05-2024","255.65","248.95","262.20","247.30","11.71M","-3.51%"
"28-05-2024","264.95","271.30","271.50","246.00","11.83M","-1.89%"
"27-05-2024","270.05","271.00","273.00","262.50","7.42M","0.35%"
"24-05-2024","269.10","283.45","289.90","266.55","15.15M","-4.66%"
"23-05-2024","282.25","270.55","288.00","267.35","19.63M","4.87%"
"22-05-2024","269.15","273.95","275.40","262.55","7.29M","-1.34%"
"21-05-2024","272.80","270.00","277.00","262.25","13.52M","0.98%"
"18-05-2024","270.15","264.60","272.40","264.00","4.81M","2.74%"
"17-05-2024","262.95","254.90","264.25","252.65","12.86M","3.48%"
"16-05-2024","254.10","249.20","258.40","248.05","15.01M","2.60%"
"15-05-2024","247.65","244.90","249.00","241.55","7.29M","0.92%"
"14-05-2024","245.40","224.70","246.90","224.70","21.06M","9.21%"
"13-05-2024","224.70","222.00","227.95","215.30","5.38M","1.22%"
"10-05-2024","222.00","215.00","223.70","207.25","7.18M","3.96%"
"09-05-2024","213.55","226.40","228.45","212.00","5.70M","-5.61%"
"08-05-2024","226.25","224.00","229.35","221.85","4.61M","0.87%"
"07-05-2024","224.30","234.60","236.65","221.80","6.08M","-3.94%"
"06-05-2024","233.50","244.25","244.65","228.35","5.07M","-3.57%"
"03-05-2024","242.15","246.35","246.35","238.30","6.48M","-1.08%"
"02-05-2024","244.80","247.00","252.50","243.50","8.08M","0.08%"
"30-04-2024","244.60","240.95","250.25","237.95","20.27M","2.56%"
"29-04-2024","238.50","240.00","243.20","234.40","10.93M","0.70%"
"26-04-2024","236.85","223.50","239.40","222.30","29.30M","6.67%"
"25-04-2024","222.05","214.90","223.35","213.25","11.65M","3.71%"
"24-04-2024","214.10","209.10","216.70","207.55","7.56M","3.06%"
"23-04-2024","207.75","210.65","211.85","207.45","3.08M","-0.81%"
