"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","70.63","69.43","70.71","69.00","1.30M","2.02%"
"05-11-2024","69.23","69.00","69.70","68.00","3.27M","0.17%"
"04-11-2024","69.11","70.98","71.00","68.77","2.14M","-2.63%"
"01-11-2024","70.98","70.25","71.04","70.18","616.24K","1.56%"
"31-10-2024","69.89","70.81","71.18","69.10","2.43M","-1.30%"
"30-10-2024","70.81","70.40","71.78","69.81","2.88M","0.93%"
"29-10-2024","70.16","69.84","70.75","69.10","2.93M","0.88%"
"28-10-2024","69.55","69.50","70.68","67.86","2.33M","-0.13%"
"25-10-2024","69.64","70.51","71.10","68.12","2.78M","-1.37%"
"24-10-2024","70.61","70.00","71.68","69.23","4.06M","0.73%"
"23-10-2024","70.10","66.89","71.50","65.60","5.69M","6.02%"
"22-10-2024","66.12","69.45","69.89","65.81","9.92M","-4.79%"
"21-10-2024","69.45","70.50","71.22","69.05","2.67M","-1.21%"
"18-10-2024","70.30","70.97","70.97","69.65","2.71M","-1.32%"
"17-10-2024","71.24","70.00","71.90","69.50","10.01M","-1.10%"
"16-10-2024","72.03","73.60","73.80","71.80","4.29M","-1.84%"
"15-10-2024","73.38","74.99","75.30","73.15","2.60M","-0.99%"
"14-10-2024","74.11","73.60","74.20","73.00","1.82M","1.66%"
"11-10-2024","72.90","74.50","74.50","72.68","4.59M","-1.69%"
"10-10-2024","74.15","75.90","75.90","73.50","2.55M","-1.17%"
"09-10-2024","75.03","74.95","75.94","74.50","2.01M","1.27%"
"08-10-2024","74.09","73.49","75.10","72.50","4.20M","0.82%"
"07-10-2024","73.49","76.35","76.37","73.21","3.72M","-2.33%"
"04-10-2024","75.24","75.00","76.00","74.10","3.94M","0.16%"
"03-10-2024","75.12","73.25","76.50","73.01","8.98M","-2.56%"
"01-10-2024","77.09","77.39","78.25","76.55","5.37M","-0.16%"
"30-09-2024","77.21","78.94","79.15","76.94","5.99M","-1.37%"
"27-09-2024","78.28","81.15","81.50","77.60","6.18M","-3.35%"
"26-09-2024","80.99","81.15","81.60","80.70","1.93M","-0.14%"
"25-09-2024","81.10","82.48","82.49","80.94","1.97M","-1.67%"
"24-09-2024","82.48","81.88","83.45","81.88","2.29M","0.81%"
"23-09-2024","81.82","81.55","82.39","81.48","2.10M","0.42%"
"20-09-2024","81.48","82.49","82.89","81.20","2.77M","-0.62%"
"19-09-2024","81.99","83.28","83.66","81.65","2.34M","-1.18%"
"18-09-2024","82.97","84.25","84.25","82.60","1.76M","-1.74%"
"17-09-2024","84.44","84.15","84.84","83.21","2.71M","0.36%"
"16-09-2024","84.14","86.25","86.49","83.85","2.94M","-1.37%"
"13-09-2024","85.31","82.49","86.48","82.32","19.09M","3.95%"
"12-09-2024","82.07","81.50","82.80","81.50","7.00M","0.75%"
"11-09-2024","81.46","82.29","83.59","81.26","4.58M","-0.46%"
"10-09-2024","81.84","81.96","82.75","80.90","2.84M","0.17%"
"09-09-2024","81.70","83.00","83.09","80.61","3.70M","-1.14%"
"06-09-2024","82.64","84.86","86.90","82.00","9.26M","-2.59%"
"05-09-2024","84.84","83.39","85.10","82.60","4.10M","2.18%"
"04-09-2024","83.03","83.00","84.10","82.78","2.88M","-0.62%"
"03-09-2024","83.55","81.55","83.90","81.25","4.65M","3.01%"
"02-09-2024","81.11","81.72","82.00","80.80","1.70M","-0.25%"
"30-08-2024","81.31","81.25","82.12","80.50","2.93M","0.96%"
"29-08-2024","80.54","81.81","81.95","80.39","3.40M","-1.58%"
"28-08-2024","81.83","81.19","82.50","81.05","3.40M","0.81%"
"27-08-2024","81.17","82.28","82.68","80.96","4.21M","-1.02%"
"26-08-2024","82.01","83.86","83.86","81.78","3.80M","-1.06%"
"23-08-2024","82.89","83.18","84.60","82.71","3.01M","-0.87%"
"22-08-2024","83.62","84.95","85.00","83.50","2.76M","-0.78%"
"21-08-2024","84.28","84.30","85.14","83.15","4.66M","0.29%"
"20-08-2024","84.04","81.80","84.27","81.24","7.57M","3.43%"
"19-08-2024","81.25","83.45","83.78","80.75","6.42M","-1.52%"
"16-08-2024","82.50","79.52","83.20","78.10","12.28M","5.06%"
"14-08-2024","78.53","75.35","79.25","74.60","8.31M","4.50%"
"13-08-2024","75.15","77.69","78.00","75.00","6.17M","-2.98%"
"12-08-2024","77.46","78.90","79.45","77.00","4.72M","-1.64%"
"09-08-2024","78.75","79.00","79.51","78.50","2.00M","-0.23%"
"08-08-2024","78.93","79.60","79.85","78.75","3.59M","-0.35%"
"07-08-2024","79.21","80.70","80.70","78.55","5.99M","-0.01%"
"06-08-2024","79.22","80.65","81.73","78.90","4.47M","-1.68%"
"05-08-2024","80.57","80.00","81.79","79.52","7.12M","-1.25%"
"02-08-2024","81.59","80.20","82.36","80.05","9.57M","1.63%"
"01-08-2024","80.28","80.75","81.50","80.11","6.68M","-0.61%"
"31-07-2024","80.77","82.00","82.50","80.55","9.61M","-1.27%"
"30-07-2024","81.81","82.57","83.44","81.60","9.72M","-0.76%"
"29-07-2024","82.44","85.90","85.90","82.29","23.44M","-5.20%"
"26-07-2024","86.96","88.62","88.89","84.00","21.61M","-1.87%"
"25-07-2024","88.62","89.26","89.99","88.43","2.47M","-0.97%"
