"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,301.35","1,311.55","1,340.00","1,290.35","85.86K","-0.78%"
"05-11-2024","1,311.55","1,298.25","1,321.45","1,287.00","50.54K","-0.46%"
"04-11-2024","1,317.55","1,345.00","1,347.15","1,302.00","67.88K","-2.20%"
"01-11-2024","1,347.15","1,327.00","1,350.00","1,323.15","10.24K","1.81%"
"31-10-2024","1,323.15","1,280.00","1,337.90","1,280.00","75.83K","2.56%"
"30-10-2024","1,290.10","1,302.55","1,313.55","1,279.05","61.63K","-0.96%"
"29-10-2024","1,302.55","1,289.00","1,350.00","1,279.55","66.14K","1.68%"
"28-10-2024","1,281.00","1,274.35","1,290.45","1,261.90","63.34K","-0.85%"
"25-10-2024","1,292.00","1,282.50","1,299.00","1,213.05","309.51K","0.64%"
"24-10-2024","1,283.80","1,272.00","1,303.20","1,270.00","43.59K","0.54%"
"23-10-2024","1,276.85","1,265.00","1,301.85","1,260.85","59.57K","0.31%"
"22-10-2024","1,272.85","1,335.00","1,340.85","1,250.35","85.11K","-4.14%"
"21-10-2024","1,327.85","1,345.00","1,363.75","1,323.55","62.54K","-1.30%"
"18-10-2024","1,345.30","1,339.70","1,370.00","1,311.25","32.44K","-0.33%"
"17-10-2024","1,349.70","1,370.00","1,378.20","1,335.00","48.81K","-1.48%"
"16-10-2024","1,370.00","1,379.00","1,397.25","1,350.00","84.47K","0.04%"
"15-10-2024","1,369.45","1,377.25","1,401.00","1,366.15","62.40K","-0.07%"
"14-10-2024","1,370.35","1,387.95","1,391.45","1,366.15","53.71K","-1.16%"
"11-10-2024","1,386.40","1,402.45","1,403.95","1,380.00","45.08K","-0.68%"
"10-10-2024","1,395.90","1,440.15","1,440.85","1,389.80","73.31K","-1.91%"
"09-10-2024","1,423.10","1,379.90","1,438.45","1,378.05","284.77K","3.88%"
"08-10-2024","1,369.95","1,324.05","1,374.40","1,320.05","162.80K","3.47%"
"07-10-2024","1,324.05","1,350.60","1,374.80","1,305.00","186.27K","-1.97%"
"04-10-2024","1,350.60","1,330.00","1,358.00","1,312.00","171.44K","1.55%"
"03-10-2024","1,330.00","1,326.00","1,389.00","1,310.00","3.14M","0.43%"
"01-10-2024","1,324.25","1,332.70","1,368.40","1,311.75","208.99K","-0.63%"
"30-09-2024","1,332.70","1,273.90","1,349.00","1,268.00","624.47K","5.14%"
"27-09-2024","1,267.55","1,274.65","1,277.55","1,248.60","162.71K","-0.56%"
"26-09-2024","1,274.65","1,289.35","1,289.70","1,260.00","82.76K","-0.77%"
"25-09-2024","1,284.50","1,314.35","1,320.85","1,275.90","69.65K","-1.78%"
"24-09-2024","1,307.80","1,324.50","1,328.30","1,295.55","278.89K","-1.27%"
"23-09-2024","1,324.60","1,345.15","1,349.15","1,318.00","107.60K","-3.08%"
"20-09-2024","1,366.70","1,409.00","1,428.95","1,304.95","2.63M","-3.00%"
"19-09-2024","1,409.00","1,399.95","1,451.70","1,397.00","357.29K","0.86%"
"18-09-2024","1,397.05","1,394.25","1,422.15","1,374.80","123.55K","0.22%"
"17-09-2024","1,394.05","1,389.40","1,413.45","1,379.45","151.02K","0.33%"
"16-09-2024","1,389.45","1,380.00","1,411.40","1,365.05","192.37K","-0.22%"
"13-09-2024","1,392.45","1,442.50","1,442.50","1,350.05","320.08K","-2.99%"
"12-09-2024","1,435.35","1,463.00","1,463.00","1,420.20","98.87K","-1.19%"
"11-09-2024","1,452.70","1,479.60","1,479.60","1,435.00","106.57K","-1.09%"
"10-09-2024","1,468.70","1,468.55","1,479.00","1,437.00","161.22K","0.51%"
"09-09-2024","1,461.20","1,480.00","1,488.45","1,452.55","381.78K","0.88%"
"06-09-2024","1,448.45","1,469.00","1,522.05","1,427.20","506.64K","-0.78%"
"05-09-2024","1,459.85","1,456.45","1,492.85","1,450.00","188.53K","1.07%"
"04-09-2024","1,444.40","1,455.00","1,495.00","1,437.00","322.08K","-0.70%"
"03-09-2024","1,454.55","1,420.75","1,473.00","1,417.00","331.33K","2.38%"
"02-09-2024","1,420.75","1,389.05","1,425.00","1,383.05","199.15K","2.34%"
"30-08-2024","1,388.20","1,335.00","1,396.20","1,323.00","159.41K","3.40%"
"29-08-2024","1,342.60","1,320.00","1,399.00","1,317.20","506.02K","0.83%"
"28-08-2024","1,331.60","1,292.55","1,351.00","1,250.60","198.54K","3.02%"
"27-08-2024","1,292.55","1,280.00","1,299.00","1,260.05","141.46K","1.41%"
"26-08-2024","1,274.60","1,254.25","1,280.00","1,249.40","183.38K","0.91%"
"23-08-2024","1,263.05","1,250.70","1,279.65","1,206.00","216.94K","1.95%"
"22-08-2024","1,238.85","1,240.00","1,252.40","1,227.00","310.03K","2.15%"
"21-08-2024","1,212.80","1,218.75","1,230.00","1,195.00","145.38K","0.26%"
"20-08-2024","1,209.70","1,213.00","1,219.50","1,175.90","98.65K","1.38%"
"19-08-2024","1,193.25","1,221.65","1,223.95","1,181.10","95.23K","-1.36%"
"16-08-2024","1,209.65","1,199.05","1,225.00","1,165.00","230.28K","2.91%"
"14-08-2024","1,175.45","1,200.85","1,210.00","1,159.05","95.48K","-2.05%"
"13-08-2024","1,200.05","1,191.10","1,217.25","1,173.30","1.03M","-0.50%"
"12-08-2024","1,206.05","1,206.65","1,217.00","1,195.00","204.16K","0.67%"
"09-08-2024","1,198.05","1,161.00","1,209.75","1,160.00","263.93K","2.85%"
"08-08-2024","1,164.85","1,133.00","1,175.00","1,128.60","312.95K","3.84%"
"07-08-2024","1,121.80","1,112.35","1,155.90","1,110.05","629.40K","1.36%"
"06-08-2024","1,106.80","1,080.30","1,127.90","1,080.00","126.90K","2.59%"
"05-08-2024","1,078.90","1,081.00","1,112.00","1,051.05","197.73K","-3.76%"
"02-08-2024","1,121.00","1,108.00","1,137.90","1,095.00","339.44K","0.15%"
"01-08-2024","1,119.35","1,130.00","1,142.80","1,108.85","156.78K","-1.18%"
"31-07-2024","1,132.75","1,130.00","1,135.00","1,120.25","77.39K","0.62%"
"30-07-2024","1,125.75","1,099.15","1,131.95","1,096.00","115.93K","2.36%"
"29-07-2024","1,099.75","1,099.00","1,134.30","1,031.70","879.70K","2.45%"
"26-07-2024","1,073.50","1,073.95","1,098.65","1,057.65","161.48K","0.33%"
"25-07-2024","1,069.95","1,032.00","1,077.50","1,032.00","111.05K","2.03%"
"24-07-2024","1,048.70","1,031.95","1,055.20","1,021.80","67.61K","1.10%"
"23-07-2024","1,037.30","1,010.00","1,043.00","1,001.00","98.91K","2.20%"
"22-07-2024","1,014.95","1,005.00","1,019.90","993.95","43.00K","0.86%"
"19-07-2024","1,006.30","1,031.65","1,031.75","1,002.75","53.61K","-1.98%"
"18-07-2024","1,026.60","1,027.75","1,039.85","1,014.05","250.69K","1.10%"
"16-07-2024","1,015.45","1,022.90","1,043.00","1,003.20","152.13K","0.01%"
"15-07-2024","1,015.30","1,045.00","1,045.00","987.10","2.62M","-2.68%"
"12-07-2024","1,043.25","1,036.85","1,073.85","1,029.50","70.25K","0.62%"
"11-07-2024","1,036.85","1,041.40","1,047.00","1,027.70","30.94K","0.06%"
"10-07-2024","1,036.20","1,038.95","1,063.65","1,015.10","83.25K","0.23%"
"09-07-2024","1,033.80","1,034.30","1,057.25","1,027.50","85.55K","0.33%"
"08-07-2024","1,030.40","1,016.90","1,032.85","1,009.00","77.55K","1.82%"
"05-07-2024","1,011.95","1,034.00","1,047.35","1,007.10","110.96K","-1.77%"
"04-07-2024","1,030.15","1,044.05","1,060.05","1,021.65","101.32K","-1.26%"
"03-07-2024","1,043.25","1,032.30","1,054.85","1,032.20","65.02K","0.30%"
"02-07-2024","1,040.10","1,050.15","1,090.00","1,028.15","264.06K","-0.96%"
"01-07-2024","1,050.15","1,025.00","1,058.95","1,025.00","80.29K","2.61%"
"28-06-2024","1,023.45","1,035.65","1,049.35","1,015.65","55.74K","-0.68%"
"27-06-2024","1,030.45","1,047.90","1,059.95","1,013.15","114.22K","-1.21%"
"26-06-2024","1,043.10","1,019.30","1,055.00","1,003.90","136.30K","2.79%"
"25-06-2024","1,014.75","1,040.30","1,045.40","1,010.95","60.18K","-2.45%"
"24-06-2024","1,040.20","1,042.90","1,066.90","1,035.00","136.74K","-0.26%"
"21-06-2024","1,042.90","1,031.80","1,050.70","1,031.80","51.49K","1.08%"
"20-06-2024","1,031.80","1,044.65","1,046.55","1,030.00","35.93K","-1.05%"
"19-06-2024","1,042.80","1,050.00","1,066.30","1,033.50","231.04K","-0.54%"
"18-06-2024","1,048.45","1,009.00","1,050.00","1,009.00","220.59K","3.93%"
