"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","452.20","449.00","453.75","443.55","2.83M","1.95%"
"05-11-2024","443.55","446.00","449.65","433.00","7.61M","-0.34%"
"04-11-2024","445.05","459.80","459.80","437.80","7.82M","-3.03%"
"01-11-2024","458.95","458.85","463.45","456.00","1.20M","0.77%"
"31-10-2024","455.45","465.00","466.00","451.50","5.13M","-2.11%"
"30-10-2024","465.25","468.40","474.95","461.30","3.30M","-0.39%"
"29-10-2024","467.05","467.00","469.65","454.15","3.44M","0.65%"
"28-10-2024","464.05","450.00","468.65","446.65","2.92M","3.15%"
"25-10-2024","449.90","468.00","468.80","444.65","4.27M","-3.64%"
"24-10-2024","466.90","471.40","473.00","464.25","1.70M","-0.59%"
"23-10-2024","469.65","460.85","477.35","459.05","3.07M","1.91%"
"22-10-2024","460.85","486.00","488.90","459.20","4.28M","-5.34%"
"21-10-2024","486.85","495.65","498.65","485.10","2.24M","-1.81%"
"18-10-2024","495.80","495.05","500.50","486.00","2.54M","-0.14%"
"17-10-2024","496.50","515.00","515.70","495.10","3.82M","-3.08%"
"16-10-2024","512.30","522.25","522.95","508.45","4.77M","-1.89%"
"15-10-2024","522.15","531.00","533.00","519.20","3.29M","-1.55%"
"14-10-2024","530.35","533.20","534.40","521.35","6.26M","-0.03%"
"11-10-2024","530.50","516.20","532.90","510.10","13.29M","3.58%"
"10-10-2024","512.15","527.00","528.35","503.60","8.55M","-1.39%"
"09-10-2024","519.35","498.30","523.50","494.15","13.20M","5.17%"
"08-10-2024","493.80","480.50","497.00","478.10","2.89M","2.77%"
"07-10-2024","480.50","505.00","508.55","473.85","6.68M","-4.36%"
"04-10-2024","502.40","494.05","511.00","493.30","8.03M","1.22%"
"03-10-2024","496.35","507.95","514.00","493.55","4.65M","-2.97%"
"01-10-2024","511.55","507.50","515.65","504.25","6.59M","1.79%"
"30-09-2024","502.55","498.00","505.30","488.55","5.32M","1.06%"
"27-09-2024","497.30","470.05","500.40","470.05","13.70M","5.42%"
"26-09-2024","471.75","473.70","474.60","465.40","1.95M","-0.41%"
"25-09-2024","473.70","476.70","478.50","469.20","2.14M","-0.63%"
"24-09-2024","476.70","471.15","477.95","470.65","2.21M","1.18%"
"23-09-2024","471.15","468.00","473.00","466.00","1.86M","1.04%"
"20-09-2024","466.30","465.00","467.95","461.20","3.02M","1.38%"
"19-09-2024","459.95","473.50","476.80","454.05","4.07M","-2.50%"
"18-09-2024","471.75","481.00","482.25","469.65","2.52M","-2.19%"
"17-09-2024","482.30","493.10","493.10","481.05","1.18M","-1.56%"
"16-09-2024","489.95","489.45","492.20","482.00","1.77M","0.94%"
"13-09-2024","485.40","479.80","488.75","477.50","2.61M","1.16%"
"12-09-2024","479.85","475.85","481.70","474.20","2.36M","1.62%"
"11-09-2024","472.20","479.00","484.70","470.10","2.24M","-1.38%"
"10-09-2024","478.80","479.40","483.70","475.85","2.37M","0.85%"
"09-09-2024","474.75","483.00","483.75","466.50","3.30M","-1.71%"
"06-09-2024","483.00","497.40","497.85","482.05","2.91M","-2.55%"
"05-09-2024","495.65","486.00","499.70","483.55","4.63M","2.38%"
"04-09-2024","484.15","484.75","491.00","482.25","3.10M","-0.96%"
"03-09-2024","488.85","490.50","493.00","488.35","1.34M","-0.34%"
"02-09-2024","490.50","493.00","498.30","487.00","2.14M","-0.49%"
"30-08-2024","492.90","492.00","496.90","491.05","1.92M","0.55%"
"29-08-2024","490.20","491.75","493.00","484.60","3.68M","-0.31%"
"28-08-2024","491.70","499.35","500.75","490.15","2.15M","-1.40%"
"27-08-2024","498.70","499.20","505.45","497.25","3.49M","0.15%"
"26-08-2024","497.95","502.80","502.90","495.25","2.33M","-0.29%"
"23-08-2024","499.40","513.00","514.65","498.45","2.52M","-2.54%"
"22-08-2024","512.40","511.75","514.80","508.00","2.31M","0.87%"
"21-08-2024","508.00","501.30","510.85","498.20","4.69M","2.16%"
"20-08-2024","497.25","497.95","498.95","490.60","1.57M","0.06%"
"19-08-2024","496.95","498.05","500.45","494.15","1.74M","0.25%"
