"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","380.45","371.00","388.90","359.40","13.47M","2.88%"
"05-11-2024","369.80","356.85","373.60","353.35","15.00M","2.97%"
"04-11-2024","359.15","338.00","362.00","334.90","17.29M","5.80%"
"01-11-2024","339.45","343.70","344.65","337.10","542.22K","-0.22%"
"31-10-2024","340.20","339.45","346.40","337.40","5.41M","0.56%"
"30-10-2024","338.30","344.45","346.20","326.10","11.33M","-1.46%"
"29-10-2024","343.30","369.45","373.00","340.85","15.42M","-7.85%"
"28-10-2024","372.55","333.75","378.00","328.60","25.95M","11.99%"
"25-10-2024","332.65","333.00","339.10","328.10","5.29M","-0.09%"
"24-10-2024","332.95","340.00","350.65","330.10","8.64M","-5.12%"
"23-10-2024","350.90","317.00","362.00","312.55","27.76M","12.05%"
"22-10-2024","313.15","328.70","331.50","310.10","3.47M","-4.43%"
"21-10-2024","327.65","331.90","339.20","325.05","2.46M","-1.28%"
"18-10-2024","331.90","331.00","336.35","325.00","2.82M","-1.86%"
"17-10-2024","338.20","337.45","346.60","328.60","5.42M","0.22%"
"16-10-2024","337.45","335.00","339.90","328.35","2.73M","0.28%"
"15-10-2024","336.50","320.05","339.50","318.40","8.04M","5.82%"
"14-10-2024","318.00","316.60","321.50","313.20","1.23M","0.63%"
"11-10-2024","316.00","308.50","319.80","307.95","2.54M","1.87%"
"10-10-2024","310.20","314.95","317.75","308.00","1.42M","-1.08%"
"09-10-2024","313.60","318.95","322.40","312.65","2.39M","-0.90%"
"08-10-2024","316.45","299.30","319.60","298.85","3.49M","5.73%"
"07-10-2024","299.30","305.65","312.30","295.05","5.98M","-1.53%"
"04-10-2024","303.95","308.25","311.60","302.35","3.51M","-1.11%"
"03-10-2024","307.35","306.10","312.85","302.30","2.56M","-1.59%"
"01-10-2024","312.30","312.45","316.30","310.25","1.89M","0.37%"
"30-09-2024","311.15","319.00","319.05","308.95","3.81M","-2.55%"
"27-09-2024","319.30","331.75","336.55","316.10","5.09M","-3.08%"
"26-09-2024","329.45","343.45","343.50","327.00","5.36M","-3.80%"
"25-09-2024","342.45","335.35","345.00","330.75","11.07M","2.68%"
"24-09-2024","333.50","322.00","339.00","318.35","31.73M","5.99%"
"23-09-2024","314.65","312.75","316.40","310.00","2.19M","1.08%"
"20-09-2024","311.30","310.50","318.90","307.25","6.26M","0.92%"
"19-09-2024","308.45","306.00","315.00","303.00","10.90M","2.15%"
"18-09-2024","301.95","308.80","310.50","294.50","3.56M","-2.41%"
"17-09-2024","309.40","318.00","318.50","307.70","5.86M","0.55%"
"16-09-2024","307.70","312.00","312.90","302.40","3.05M","-1.08%"
"13-09-2024","311.05","320.30","320.35","308.15","2.88M","-2.32%"
"12-09-2024","318.45","322.90","332.70","312.65","4.91M","-0.28%"
"11-09-2024","319.35","328.00","333.10","317.00","4.50M","-2.86%"
"10-09-2024","328.75","312.45","330.95","312.45","9.37M","5.78%"
"09-09-2024","310.80","315.65","318.70","307.85","3.18M","-1.49%"
"06-09-2024","315.50","320.00","324.00","313.15","3.86M","-1.30%"
"05-09-2024","319.65","313.95","325.50","313.95","7.40M","2.11%"
"04-09-2024","313.05","308.00","321.00","305.80","4.68M","0.29%"
"03-09-2024","312.15","316.30","320.90","310.05","4.95M","-0.92%"
"02-09-2024","315.05","304.65","322.75","300.60","20.13M","3.89%"
"30-08-2024","303.25","311.75","316.50","301.10","5.13M","-1.81%"
