"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","655.00","673.20","673.20","652.50","5.25M","-2.70%"
"05-11-2024","673.20","694.85","706.60","671.15","1.19M","-3.15%"
"04-11-2024","695.10","715.00","727.05","691.15","2.51M","-3.01%"
"01-11-2024","716.65","726.00","729.00","712.00","471.84K","0.76%"
"31-10-2024","711.25","765.25","769.20","698.65","7.93M","-7.06%"
"30-10-2024","765.25","860.00","860.60","758.00","7.16M","-12.75%"
"29-10-2024","877.10","848.35","888.80","845.05","1.81M","2.96%"
"28-10-2024","851.85","866.50","887.00","848.55","1.85M","-1.51%"
"25-10-2024","864.95","884.40","910.55","859.00","3.62M","-2.31%"
"24-10-2024","885.40","864.30","943.75","861.05","4.35M","2.44%"
"23-10-2024","864.30","845.00","868.45","838.10","1.03M","1.47%"
"22-10-2024","851.80","868.75","888.40","840.40","2.29M","-2.02%"
"21-10-2024","869.35","895.40","895.40","861.60","1.18M","-2.27%"
"18-10-2024","889.50","884.30","903.35","868.15","1.66M","-0.92%"
"17-10-2024","897.75","894.95","917.00","890.25","1.41M","-0.29%"
"16-10-2024","900.40","894.65","921.70","885.75","3.37M","0.63%"
"15-10-2024","894.75","829.75","904.00","826.95","10.24M","8.63%"
"14-10-2024","823.65","808.00","827.40","799.70","997.45K","2.14%"
"11-10-2024","806.40","805.05","813.90","801.00","240.12K","-0.06%"
"10-10-2024","806.90","805.00","814.70","802.15","366.81K","0.44%"
"09-10-2024","803.35","806.00","812.50","791.90","788.26K","-0.27%"
"08-10-2024","805.55","780.60","812.05","780.00","803.09K","1.85%"
"07-10-2024","790.95","799.00","811.00","782.80","896.73K","-1.02%"
"04-10-2024","799.10","815.05","824.40","795.50","1.36M","-2.32%"
"03-10-2024","818.05","815.00","828.00","805.10","1.47M","-0.88%"
"01-10-2024","825.35","778.00","832.00","777.00","3.87M","5.78%"
"30-09-2024","780.25","801.80","805.20","777.00","1.34M","-2.66%"
"27-09-2024","801.55","805.95","817.00","795.45","2.93M","0.54%"
"26-09-2024","797.25","848.00","848.00","786.85","22.43M","-1.33%"
"25-09-2024","808.00","777.00","836.15","777.00","7.39M","4.60%"
"24-09-2024","772.50","796.85","805.05","766.45","732.82K","-2.41%"
"23-09-2024","791.60","818.45","818.45","788.45","615.08K","-1.83%"
"20-09-2024","806.35","771.80","835.70","758.85","9.43M","4.62%"
"19-09-2024","770.75","775.00","775.60","758.35","556.50K","0.27%"
"18-09-2024","768.70","763.00","776.40","759.90","507.06K","0.99%"
"17-09-2024","761.15","768.45","772.00","748.10","1.60M","-0.12%"
"16-09-2024","762.05","754.50","770.95","745.10","838.37K","1.55%"
