"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,239.10","1,220.00","1,249.00","1,210.50","149.68K","2.66%"
"05-11-2024","1,207.05","1,204.00","1,235.95","1,195.55","123.66K","0.54%"
"04-11-2024","1,200.55","1,264.90","1,264.90","1,196.45","158.61K","-3.62%"
"01-11-2024","1,245.60","1,239.90","1,256.50","1,237.15","33.68K","1.81%"
"31-10-2024","1,223.50","1,220.00","1,257.75","1,194.05","564.40K","2.21%"
"30-10-2024","1,197.10","1,225.50","1,235.00","1,191.10","167.71K","-1.31%"
"29-10-2024","1,213.05","1,214.00","1,216.65","1,195.55","55.68K","0.28%"
"28-10-2024","1,209.70","1,195.00","1,225.00","1,179.25","116.95K","1.69%"
"25-10-2024","1,189.55","1,265.00","1,269.45","1,174.55","248.54K","-5.62%"
"24-10-2024","1,260.40","1,269.95","1,292.45","1,249.80","62.38K","-1.11%"
"23-10-2024","1,274.60","1,260.00","1,284.95","1,225.15","122.22K","0.64%"
"22-10-2024","1,266.55","1,289.50","1,290.40","1,252.50","117.53K","-1.51%"
"21-10-2024","1,285.95","1,323.75","1,333.05","1,280.00","80.46K","-2.86%"
"18-10-2024","1,323.75","1,313.40","1,328.65","1,287.50","87.63K","0.79%"
"17-10-2024","1,313.40","1,344.50","1,345.95","1,310.00","126.44K","-2.17%"
"16-10-2024","1,342.50","1,345.55","1,360.60","1,331.95","339.54K","-0.23%"
"15-10-2024","1,345.65","1,311.00","1,350.00","1,295.35","315.24K","2.91%"
"14-10-2024","1,307.65","1,299.00","1,317.00","1,299.00","115.25K","0.73%"
"11-10-2024","1,298.15","1,310.20","1,311.00","1,288.00","144.82K","-0.15%"
"10-10-2024","1,300.15","1,310.00","1,319.50","1,291.00","173.68K","0.39%"
"09-10-2024","1,295.05","1,350.00","1,354.90","1,285.00","305.58K","-2.91%"
"08-10-2024","1,333.90","1,305.00","1,351.10","1,267.20","465.27K","3.04%"
"07-10-2024","1,294.55","1,368.55","1,374.40","1,279.00","342.69K","-5.17%"
"04-10-2024","1,365.15","1,384.00","1,386.95","1,336.95","181.22K","-1.14%"
"03-10-2024","1,380.85","1,401.10","1,406.30","1,365.00","188.07K","-2.77%"
"01-10-2024","1,420.20","1,423.90","1,445.00","1,410.95","182.32K","0.55%"
"30-09-2024","1,412.50","1,440.00","1,449.15","1,404.10","242.64K","-2.14%"
"27-09-2024","1,443.35","1,458.10","1,463.70","1,440.50","185.79K","-1.07%"
"26-09-2024","1,458.95","1,464.25","1,465.55","1,422.30","201.99K","-0.02%"
"25-09-2024","1,459.30","1,487.00","1,530.00","1,455.00","248.54K","-1.89%"
"24-09-2024","1,487.45","1,532.00","1,534.85","1,483.00","563.25K","-2.57%"
"23-09-2024","1,526.65","1,394.00","1,559.00","1,392.00","3.64M","10.05%"
"20-09-2024","1,387.20","1,400.00","1,412.00","1,372.00","168.56K","-0.81%"
"19-09-2024","1,398.55","1,403.90","1,415.55","1,382.05","94.81K","-0.38%"
"18-09-2024","1,403.90","1,418.90","1,425.00","1,398.10","51.23K","-0.99%"
"17-09-2024","1,418.00","1,408.00","1,424.70","1,390.15","104.60K","0.82%"
"16-09-2024","1,406.45","1,433.00","1,433.00","1,400.70","57.62K","-1.17%"
"13-09-2024","1,423.15","1,420.95","1,435.00","1,405.20","80.43K","0.69%"
"12-09-2024","1,413.35","1,389.95","1,420.95","1,377.00","99.46K","2.42%"
"11-09-2024","1,379.95","1,386.00","1,396.65","1,371.50","79.89K","-0.43%"
"10-09-2024","1,385.95","1,396.90","1,415.70","1,369.15","154.07K","-0.01%"
"09-09-2024","1,386.10","1,410.00","1,415.30","1,381.55","98.83K","-1.92%"
"06-09-2024","1,413.25","1,425.00","1,452.50","1,410.00","188.60K","-0.78%"
"05-09-2024","1,424.40","1,434.95","1,441.40","1,417.00","137.09K","-0.45%"
"04-09-2024","1,430.80","1,440.00","1,451.95","1,425.00","113.70K","-0.88%"
"03-09-2024","1,443.45","1,453.85","1,469.90","1,440.00","107.34K","-0.53%"
"02-09-2024","1,451.10","1,452.25","1,464.00","1,445.05","101.42K","-0.08%"
"30-08-2024","1,452.25","1,445.00","1,514.85","1,443.00","711.52K","0.82%"
"29-08-2024","1,440.45","1,465.00","1,470.15","1,433.50","72.14K","-1.62%"
"28-08-2024","1,464.10","1,482.70","1,492.15","1,460.05","84.64K","-1.25%"
"27-08-2024","1,482.70","1,490.00","1,499.95","1,468.30","194.85K","-0.28%"
"26-08-2024","1,486.90","1,482.00","1,516.30","1,452.35","174.70K","0.64%"
"23-08-2024","1,477.45","1,465.70","1,538.00","1,454.85","902.42K","1.55%"
"22-08-2024","1,454.95","1,450.00","1,477.40","1,442.95","125.45K","1.04%"
"21-08-2024","1,439.95","1,456.60","1,487.75","1,438.50","140.55K","-1.51%"
"20-08-2024","1,462.10","1,473.00","1,490.00","1,456.00","219.06K","0.98%"
"19-08-2024","1,447.85","1,456.00","1,464.80","1,425.00","160.99K","-1.19%"
