"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","621.65","614.85","627.95","614.50","1.21M","1.24%"
"05-11-2024","614.05","633.25","633.50","604.90","1.80M","-3.31%"
"04-11-2024","635.05","636.10","642.70","624.90","1.95M","-0.05%"
"01-11-2024","635.35","643.90","643.90","633.10","213.72K","1.70%"
"31-10-2024","624.70","612.80","631.75","609.10","1.63M","1.73%"
"30-10-2024","614.10","603.00","615.95","600.10","673.95K","2.29%"
"29-10-2024","600.35","608.25","612.00","599.00","1.27M","-0.75%"
"28-10-2024","604.90","583.15","608.60","583.15","1.04M","3.79%"
"25-10-2024","582.80","585.60","591.95","572.00","729.13K","-0.48%"
"24-10-2024","585.60","595.10","600.75","583.10","593.13K","-1.34%"
"23-10-2024","593.55","593.00","602.40","586.65","574.70K","-0.03%"
"22-10-2024","593.70","601.65","610.90","589.95","757.11K","-2.41%"
"21-10-2024","608.35","609.55","612.90","603.00","508.33K","-0.20%"
"18-10-2024","609.55","596.10","615.80","595.85","976.97K","0.99%"
"17-10-2024","603.55","609.00","619.85","601.25","937.21K","-0.87%"
"16-10-2024","608.85","619.70","627.40","606.00","1.50M","-1.75%"
"15-10-2024","619.70","604.00","622.50","600.05","1.10M","3.68%"
"14-10-2024","597.70","603.25","615.70","594.10","754.79K","-0.43%"
"11-10-2024","600.30","614.40","619.90","598.55","1.05M","-2.29%"
"10-10-2024","614.40","611.00","622.50","610.05","1.62M","1.14%"
"09-10-2024","607.45","600.00","610.75","600.00","1.02M","1.72%"
"08-10-2024","597.20","575.25","598.95","575.25","1.22M","2.96%"
"07-10-2024","580.05","581.00","592.90","574.00","1.51M","-0.23%"
"04-10-2024","581.40","593.20","596.00","574.00","3.64M","-2.68%"
"03-10-2024","597.40","600.70","602.55","589.45","1.96M","-3.00%"
"01-10-2024","615.85","615.10","628.50","610.50","1.35M","0.12%"
"30-09-2024","615.10","598.00","618.80","592.50","1.51M","3.08%"
"27-09-2024","596.70","612.85","622.20","592.00","1.55M","-2.19%"
"26-09-2024","610.05","595.35","612.40","586.00","1.87M","2.47%"
"25-09-2024","595.35","594.95","601.95","591.30","459.16K","0.07%"
"24-09-2024","594.95","598.55","604.90","590.85","1.57M","-0.60%"
"23-09-2024","598.55","619.00","621.65","594.20","948.60K","-1.20%"
"20-09-2024","605.80","592.00","622.85","588.80","3.33M","2.59%"
"19-09-2024","590.50","591.00","598.25","575.25","1.42M","-0.41%"
"18-09-2024","592.95","600.00","600.00","581.55","1.19M","-1.81%"
"17-09-2024","603.85","600.55","609.95","596.35","1.25M","1.17%"
"16-09-2024","596.85","592.00","599.00","583.30","807.10K","2.17%"
"13-09-2024","584.20","578.45","588.00","572.10","1.12M","1.41%"
"12-09-2024","576.10","569.80","576.50","564.10","654.81K","1.60%"
"11-09-2024","567.05","561.00","576.95","559.35","1.53M","1.08%"
"10-09-2024","561.00","553.00","564.00","547.85","1.18M","2.70%"
"09-09-2024","546.25","548.80","553.25","542.15","948.98K","-0.10%"
"06-09-2024","546.80","566.10","566.10","544.50","1.22M","-2.56%"
"05-09-2024","561.15","547.95","569.90","547.00","2.30M","3.25%"
"04-09-2024","543.50","555.05","557.00","537.40","1.86M","-3.53%"
"03-09-2024","563.40","565.00","569.10","561.75","1.04M","0.28%"
"02-09-2024","561.85","558.00","566.40","549.05","2.37M","1.82%"
"30-08-2024","551.80","542.50","563.00","537.20","4.03M","2.41%"
"29-08-2024","538.80","548.65","550.10","534.40","686.91K","-1.37%"
"28-08-2024","546.30","544.40","558.00","536.50","1.89M","1.22%"
"27-08-2024","539.70","542.60","552.70","537.70","794.33K","-0.66%"
"26-08-2024","543.30","553.15","562.95","539.05","2.16M","-1.43%"
"23-08-2024","551.20","532.00","562.75","527.10","4.50M","3.80%"
"22-08-2024","531.00","528.80","533.40","523.35","960.38K","0.87%"
"21-08-2024","526.40","528.30","534.95","524.00","891.31K","-0.45%"
"20-08-2024","528.80","526.45","535.95","520.00","1.01M","1.07%"
"19-08-2024","523.20","537.50","542.50","519.25","2.03M","-1.80%"
"16-08-2024","532.80","524.00","539.55","524.00","1.88M","2.04%"
"14-08-2024","522.15","518.00","529.00","517.40","1.36M","0.98%"
"13-08-2024","517.10","500.00","534.80","500.00","5.07M","3.53%"
"12-08-2024","499.45","488.90","503.40","486.00","1.23M","1.98%"
"09-08-2024","489.75","490.80","492.35","485.00","767.78K","0.12%"
"08-08-2024","489.15","490.35","490.50","480.55","843.96K","0.60%"
"07-08-2024","486.25","516.00","516.55","484.00","3.80M","-2.14%"
"06-08-2024","496.90","505.05","514.95","493.80","2.39M","-0.99%"
"05-08-2024","501.85","495.70","517.95","493.00","3.40M","-0.76%"
"02-08-2024","505.70","501.00","511.00","497.25","2.06M","0.13%"
"01-08-2024","505.05","502.40","507.50","497.00","2.11M","0.63%"
"31-07-2024","501.90","504.35","506.95","500.25","636.33K","-0.06%"
"30-07-2024","502.20","500.60","507.35","494.05","1.81M","1.13%"
"29-07-2024","496.60","513.35","517.15","495.35","762.87K","-2.59%"
"26-07-2024","509.80","508.45","532.25","507.00","4.12M","1.27%"
"25-07-2024","503.40","482.40","514.70","482.00","4.41M","4.21%"
"24-07-2024","483.05","486.95","493.25","482.15","615.20K","-0.85%"
"23-07-2024","487.20","496.00","500.90","481.05","1.60M","-1.23%"
"22-07-2024","493.25","479.70","494.80","475.00","1.13M","2.46%"
"19-07-2024","481.40","492.45","493.00","475.65","1.09M","-1.39%"
"18-07-2024","488.20","492.00","493.00","482.00","2.43M","-0.14%"
"16-07-2024","488.90","487.00","492.00","486.15","1.19M","0.58%"
"15-07-2024","486.10","486.20","490.80","480.30","780.24K","1.19%"
"12-07-2024","480.40","470.25","489.40","469.35","2.46M","2.15%"
"11-07-2024","470.30","468.50","474.90","463.50","1.01M","0.04%"
"10-07-2024","470.10","456.55","473.95","456.55","1.92M","3.25%"
"09-07-2024","455.30","462.00","466.85","453.00","1.48M","-0.14%"
"08-07-2024","455.95","464.00","471.70","453.40","1.65M","-1.23%"
"05-07-2024","461.65","470.65","482.55","458.75","3.58M","-1.91%"
"04-07-2024","470.65","473.90","479.95","464.60","5.68M","0.04%"
"03-07-2024","470.45","460.70","474.80","454.60","3.77M","2.38%"
"02-07-2024","459.50","475.85","476.10","456.55","2.48M","-2.56%"
"01-07-2024","471.55","479.90","482.45","470.20","1.47M","-0.80%"
"28-06-2024","475.35","479.00","482.00","473.05","1.99M","-0.62%"
"27-06-2024","478.30","483.10","492.25","473.45","2.66M","-0.62%"
"26-06-2024","481.30","485.95","487.75","480.00","2.09M","-0.74%"
"25-06-2024","484.90","485.55","491.00","481.55","5.63M","-0.02%"
"24-06-2024","485.00","488.20","499.80","482.00","1.53M","-0.75%"
"21-06-2024","488.65","489.20","499.95","483.35","1.34M","0.18%"
"20-06-2024","487.75","491.75","496.45","485.00","1.06M","-0.37%"
"19-06-2024","489.55","492.00","496.15","487.00","1.11M","-0.80%"
"18-06-2024","493.50","502.25","509.85","487.35","1.26M","-1.74%"
"14-06-2024","502.25","484.00","509.60","478.95","1.54M","3.99%"
"13-06-2024","483.00","468.90","489.00","468.30","1.36M","3.18%"
"12-06-2024","468.10","469.35","472.40","465.55","831.92K","-0.27%"
"11-06-2024","469.35","464.00","473.95","461.25","2.67M","1.81%"
"10-06-2024","461.00","472.00","472.70","454.15","2.08M","-1.03%"
"07-06-2024","465.80","447.40","467.95","447.35","1.58M","4.37%"
"06-06-2024","446.30","451.40","455.05","444.50","1.31M","0.69%"
"05-06-2024","443.25","441.70","448.80","421.45","2.32M","0.89%"
"04-06-2024","439.35","462.00","463.40","406.00","1.06M","-4.35%"
"03-06-2024","459.35","489.00","489.00","457.45","1.48M","-3.32%"
"31-05-2024","475.10","460.00","484.90","451.10","2.38M","3.92%"
"30-05-2024","457.20","465.00","474.20","454.30","1.92M","-1.24%"
"29-05-2024","462.95","464.05","465.00","459.65","956.45K","-0.33%"
"28-05-2024","464.50","457.85","465.00","451.20","1.60M","2.10%"
"27-05-2024","454.95","463.75","464.70","452.00","1.48M","-1.53%"
"24-05-2024","462.00","472.50","479.20","460.00","2.37M","-1.48%"
"23-05-2024","468.95","475.00","476.00","461.10","1.12M","-0.16%"
"22-05-2024","469.70","467.00","479.45","462.50","4.23M","1.66%"
"21-05-2024","462.05","454.10","468.00","447.10","1.38M","2.05%"
"18-05-2024","452.75","451.85","454.00","447.05","32.10K","0.49%"
"17-05-2024","450.55","448.85","454.00","446.15","380.18K","0.38%"
"16-05-2024","448.85","443.70","451.50","438.45","1.19M","1.16%"
"15-05-2024","443.70","446.60","448.60","442.45","157.64K","-0.28%"
"14-05-2024","444.95","447.00","449.80","442.95","296.11K","-0.30%"
"13-05-2024","446.30","442.00","449.00","434.00","572.43K","1.06%"
"10-05-2024","441.60","454.00","454.00","438.30","707.45K","-2.32%"
"09-05-2024","452.10","462.05","465.20","447.10","1.14M","-2.30%"
"08-05-2024","462.75","452.55","467.10","448.00","2.26M","2.04%"
"07-05-2024","453.50","461.40","462.90","448.20","832.63K","-1.71%"
"06-05-2024","461.40","455.50","470.50","454.50","1.93M","2.09%"
"03-05-2024","451.95","444.00","456.25","440.20","1.52M","2.65%"
"02-05-2024","440.30","440.90","442.00","435.10","523.69K","0.40%"
"30-04-2024","438.55","446.95","446.95","437.00","355.65K","-1.02%"
"29-04-2024","443.05","447.00","448.60","438.00","1.08M","-0.11%"
"26-04-2024","443.55","442.10","449.45","441.00","256.17K","-0.29%"
"25-04-2024","444.85","451.80","452.70","438.70","716.15K","-1.14%"
"24-04-2024","450.00","446.70","456.00","445.10","744.57K","1.00%"
"23-04-2024","445.55","445.40","457.30","442.05","1.10M","0.95%"
"22-04-2024","441.35","430.20","445.95","430.15","2.37M","2.59%"
"19-04-2024","430.20","436.05","436.05","425.00","442.14K","-1.34%"
"18-04-2024","436.05","444.50","449.90","434.05","1.17M","-1.14%"
"16-04-2024","441.10","432.00","443.40","429.30","2.18M","1.19%"
"15-04-2024","435.90","432.00","443.05","423.35","1.14M","1.03%"
"12-04-2024","431.45","430.35","439.00","426.65","567.94K","-0.54%"
"10-04-2024","433.80","436.85","439.00","431.60","200.16K","-0.70%"
"09-04-2024","436.85","435.60","443.70","431.50","1.34M","0.60%"
"08-04-2024","434.25","441.05","443.90","432.00","2.44M","-0.60%"
"05-04-2024","436.85","427.40","442.60","424.55","1.71M","2.69%"
"04-04-2024","425.40","428.20","428.20","422.35","699.75K","0.41%"
"03-04-2024","423.65","423.30","425.95","421.50","371.12K","-0.92%"
"02-04-2024","427.60","429.00","429.30","423.60","206.65K","-0.31%"
"01-04-2024","428.95","426.00","429.90","424.60","756.20K","2.08%"
"28-03-2024","420.20","415.00","421.95","410.20","1.33M","1.69%"
"27-03-2024","413.20","414.95","414.95","408.40","600.63K","0.52%"
"26-03-2024","411.05","398.70","415.00","391.35","2.11M","1.57%"
"22-03-2024","404.70","404.25","405.85","399.25","248.10K","0.78%"
"21-03-2024","401.55","401.20","409.90","400.30","291.65K","0.36%"
"20-03-2024","400.10","400.00","404.00","395.60","576.50K","0.01%"
"19-03-2024","400.05","399.50","404.90","395.60","4.44M","-0.30%"
"18-03-2024","401.25","392.70","402.90","386.50","888.69K","3.19%"
"15-03-2024","388.85","400.65","407.00","386.45","1.05M","-3.34%"
"14-03-2024","402.30","382.10","403.50","381.05","1.04M","4.34%"
"13-03-2024","385.55","409.00","409.00","378.00","2.80M","-5.80%"
"12-03-2024","409.30","411.00","414.00","399.30","2.65M","-0.82%"
"11-03-2024","412.70","399.00","416.55","392.20","2.91M","3.86%"
"07-03-2024","397.35","381.55","402.80","380.80","4.43M","4.35%"
"06-03-2024","380.80","384.50","387.10","375.05","1.66M","-0.60%"
"05-03-2024","383.10","384.05","388.80","379.35","4.08M","-0.60%"
"04-03-2024","385.40","406.00","406.50","382.75","4.17M","-4.28%"
"02-03-2024","402.65","402.40","406.35","397.40","124.09K","0.76%"
"01-03-2024","399.60","399.00","405.20","390.00","2.32M","-2.06%"
"29-02-2024","408.00","417.25","424.00","398.00","1.26M","-3.20%"
"28-02-2024","421.50","429.70","431.45","417.80","543.65K","-1.76%"
"27-02-2024","429.05","430.50","437.55","424.95","1.41M","-0.21%"
"26-02-2024","429.95","440.75","445.00","425.45","610.89K","-1.97%"
"23-02-2024","438.60","448.15","448.95","437.55","574.67K","-1.84%"
"22-02-2024","446.80","446.00","452.00","437.25","773.99K","0.24%"
"21-02-2024","445.75","445.85","452.90","443.25","931.19K","0.56%"
"20-02-2024","443.25","434.45","448.00","433.20","1.66M","2.32%"
"19-02-2024","433.20","437.00","437.90","430.25","219.20K","-0.22%"
"16-02-2024","434.15","435.00","437.90","430.35","261.05K","0.27%"
"15-02-2024","433.00","427.60","434.20","426.85","630.61K","1.76%"
"14-02-2024","425.50","434.00","434.00","414.00","2.36M","-2.23%"
"13-02-2024","435.20","430.05","438.50","429.60","1.43M","0.86%"
"12-02-2024","431.50","438.00","439.25","428.00","601.95K","-0.79%"
"09-02-2024","434.95","444.00","444.00","428.20","1.04M","-1.35%"
"08-02-2024","440.90","446.00","452.50","433.95","2.00M","-2.54%"
"07-02-2024","452.40","457.00","459.90","450.55","865.01K","-0.95%"
"06-02-2024","456.75","441.25","469.70","437.40","4.86M","4.93%"
"05-02-2024","435.30","429.75","444.70","429.75","1.50M","1.29%"
"02-02-2024","429.75","429.20","435.00","427.20","1.47M","0.66%"
"01-02-2024","426.95","435.00","436.00","422.20","579.43K","-1.15%"
