"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","181.49","182.12","183.83","180.61","5.39M","-1.04%"
"05-11-2024","183.39","181.46","184.19","181.04","2.40M","0.53%"
"04-11-2024","182.42","185.49","185.99","179.55","2.20M","-0.96%"
"01-11-2024","184.18","182.00","184.86","182.00","358.86K","1.38%"
"31-10-2024","181.67","180.00","182.45","178.70","1.83M","-0.15%"
"30-10-2024","181.95","178.61","182.79","177.80","3.34M","1.51%"
"29-10-2024","179.25","178.10","180.72","174.44","5.74M","0.62%"
"28-10-2024","178.14","177.09","181.07","173.05","7.22M","0.59%"
"25-10-2024","177.09","177.94","179.39","172.25","4.79M","-0.48%"
"24-10-2024","177.94","177.50","179.54","176.51","6.26M","-0.79%"
"23-10-2024","179.35","177.00","184.09","176.53","5.32M","0.22%"
"22-10-2024","178.96","181.30","181.30","177.11","8.05M","-1.66%"
"21-10-2024","181.99","185.00","186.00","179.45","5.87M","-1.52%"
"18-10-2024","184.79","186.00","186.00","181.91","4.57M","-0.77%"
"17-10-2024","186.23","186.00","187.50","180.50","9.34M","0.24%"
"16-10-2024","185.78","188.51","189.64","184.15","4.06M","-1.54%"
"15-10-2024","188.68","193.00","195.77","185.74","8.37M","-1.94%"
"14-10-2024","192.41","193.00","194.12","191.73","3.06M","0.21%"
"11-10-2024","192.01","193.00","194.37","190.61","3.41M","-0.48%"
"10-10-2024","192.93","197.00","198.80","191.63","9.76M","-2.81%"
"09-10-2024","198.50","193.59","200.15","191.93","11.69M","2.54%"
"08-10-2024","193.59","196.00","196.79","188.60","11.27M","-0.24%"
"07-10-2024","194.05","193.00","195.07","188.61","7.52M","0.93%"
"04-10-2024","192.27","194.70","195.18","190.10","5.38M","-1.38%"
"03-10-2024","194.96","195.60","196.50","193.05","3.21M","-1.21%"
"01-10-2024","197.34","196.00","197.90","195.46","3.44M","0.88%"
"30-09-2024","195.61","199.79","199.79","195.03","4.82M","-2.20%"
"27-09-2024","200.02","201.10","205.39","199.21","8.42M","-0.54%"
"26-09-2024","201.11","199.35","203.00","197.80","5.01M","1.46%"
"25-09-2024","198.21","198.00","199.33","195.22","5.22M","0.81%"
"24-09-2024","196.61","202.01","202.47","195.40","7.98M","-2.67%"
"23-09-2024","202.01","201.00","202.83","199.00","6.11M","1.34%"
"20-09-2024","199.33","201.88","207.28","197.36","10.60M","-0.88%"
"19-09-2024","201.10","200.90","204.25","194.34","9.34M","0.72%"
"18-09-2024","199.67","200.00","206.98","198.90","8.88M","0.21%"
"17-09-2024","199.26","205.00","205.13","198.30","11.22M","-2.86%"
"16-09-2024","205.13","206.50","209.34","201.76","8.23M","-0.49%"
"13-09-2024","206.14","208.00","212.77","205.13","8.52M","-0.75%"
"12-09-2024","207.69","211.40","212.19","206.80","5.80M","-2.00%"
"11-09-2024","211.93","215.80","216.51","210.61","4.31M","-1.68%"
"10-09-2024","215.56","218.00","219.95","214.50","6.63M","-1.05%"
"09-09-2024","217.85","217.15","219.45","213.56","10.51M","0.63%"
"06-09-2024","216.49","216.99","220.80","210.08","15.64M","0.51%"
"05-09-2024","215.40","210.00","216.78","209.75","16.53M","2.82%"
"04-09-2024","209.49","205.00","210.60","204.31","7.77M","0.14%"
"03-09-2024","209.19","209.00","210.45","204.24","9.53M","-0.11%"
"02-09-2024","209.43","207.98","211.50","206.66","9.10M","0.83%"
"30-08-2024","207.70","210.06","211.48","206.32","9.29M","-0.88%"
"29-08-2024","209.55","218.00","218.35","208.64","13.11M","-3.50%"
