"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","208.92","201.00","209.99","201.00","40.55M","6.37%"
"05-11-2024","196.41","195.80","196.99","191.70","17.11M","0.11%"
"04-11-2024","196.19","200.17","200.31","194.76","10.48M","-1.98%"
"01-11-2024","200.16","199.99","201.90","198.05","2.61M","0.09%"
"31-10-2024","199.99","203.00","203.96","199.51","12.81M","-1.84%"
"30-10-2024","203.73","204.16","206.85","202.33","8.97M","-0.68%"
"29-10-2024","205.12","205.65","207.55","200.19","12.72M","-0.84%"
"28-10-2024","206.85","205.00","209.28","203.57","12.27M","0.37%"
"25-10-2024","206.08","210.50","211.10","202.44","10.27M","-2.07%"
"24-10-2024","210.44","211.25","213.69","210.00","6.85M","-0.49%"
"23-10-2024","211.47","210.72","215.34","208.10","7.87M","-0.31%"
"22-10-2024","212.13","218.21","219.54","211.35","12.88M","-3.42%"
"21-10-2024","219.65","223.00","223.55","218.60","8.21M","-0.80%"
"18-10-2024","221.43","222.00","222.18","217.35","10.15M","-0.27%"
"17-10-2024","222.02","229.35","230.13","220.89","15.32M","-4.24%"
"16-10-2024","231.86","230.53","234.50","229.71","14.36M","0.27%"
"15-10-2024","231.23","230.13","233.90","228.32","16.95M","0.24%"
"14-10-2024","230.67","229.40","231.60","227.15","12.95M","0.55%"
"11-10-2024","229.40","226.00","230.50","225.42","12.66M","1.68%"
"10-10-2024","225.62","224.00","229.47","223.58","10.11M","1.37%"
"09-10-2024","222.56","225.25","226.63","222.15","9.95M","-0.97%"
"08-10-2024","224.75","222.22","227.36","221.08","9.39M","0.36%"
"07-10-2024","223.94","232.00","234.25","222.05","15.44M","-2.72%"
"04-10-2024","230.19","241.45","241.99","229.24","20.56M","-4.21%"
"03-10-2024","240.30","232.14","243.99","232.14","22.45M","0.23%"
"01-10-2024","239.76","240.20","244.50","239.01","14.26M","-0.22%"
"30-09-2024","240.29","234.00","245.00","230.65","29.25M","1.40%"
"27-09-2024","236.98","234.00","237.90","232.00","31.53M","2.78%"
"26-09-2024","230.57","226.95","231.11","224.87","25.63M","2.21%"
"25-09-2024","225.59","222.64","226.00","222.06","14.90M","1.31%"
"24-09-2024","222.68","220.20","223.70","219.59","13.95M","1.07%"
"23-09-2024","220.33","213.00","220.95","211.63","17.54M","3.85%"
"20-09-2024","212.16","211.92","214.24","209.87","29.58M","0.59%"
"19-09-2024","210.92","219.00","219.45","208.62","22.83M","-3.22%"
"18-09-2024","217.94","219.72","221.14","216.02","9.64M","-0.81%"
"17-09-2024","219.73","218.68","221.45","217.87","7.45M","0.87%"
"16-09-2024","217.83","220.00","220.55","217.00","6.53M","-0.48%"
"13-09-2024","218.87","220.64","221.74","218.19","8.02M","-0.80%"
"12-09-2024","220.64","218.20","220.97","217.61","9.27M","1.59%"
"11-09-2024","217.19","220.08","221.26","215.00","12.71M","-1.25%"
"10-09-2024","219.93","219.40","221.84","217.59","10.95M","1.00%"
"09-09-2024","217.75","222.10","223.00","215.80","11.25M","-2.28%"
"06-09-2024","222.82","227.90","228.42","221.95","12.08M","-2.32%"
"05-09-2024","228.12","231.70","231.80","226.91","12.03M","-0.80%"
"04-09-2024","229.97","229.09","231.44","227.97","10.07M","-1.10%"
"03-09-2024","232.53","235.00","235.77","231.15","11.47M","-0.65%"
"02-09-2024","234.06","238.65","240.29","233.38","11.34M","-1.53%"
"30-08-2024","237.69","232.51","239.33","232.51","23.61M","2.49%"
"29-08-2024","231.91","234.05","235.18","228.69","14.62M","-1.51%"
"28-08-2024","235.47","237.50","238.00","234.16","11.75M","-0.44%"
"27-08-2024","236.52","235.00","237.80","234.10","11.97M","0.54%"
"26-08-2024","235.25","231.20","235.90","229.85","13.28M","2.52%"
"23-08-2024","229.47","234.60","235.29","228.85","11.23M","-1.97%"
"22-08-2024","234.07","237.15","237.50","233.50","10.79M","-0.88%"
"21-08-2024","236.15","238.00","238.79","235.35","7.72M","-0.24%"
"20-08-2024","236.72","240.00","241.65","236.12","13.96M","-0.92%"
"19-08-2024","238.93","234.00","239.60","233.53","19.00M","2.74%"
"16-08-2024","232.55","228.28","233.00","226.64","10.35M","2.60%"
"14-08-2024","226.66","228.30","229.87","225.07","12.49M","-0.22%"
"13-08-2024","227.16","233.29","234.10","226.10","12.57M","-2.04%"
"12-08-2024","231.90","226.48","234.90","225.36","20.36M","1.99%"
"09-08-2024","227.38","231.70","231.70","227.00","9.46M","0.03%"
"08-08-2024","227.31","232.00","232.23","226.67","13.66M","-2.66%"
"07-08-2024","233.52","227.11","234.08","225.60","16.96M","4.53%"
"06-08-2024","223.40","225.99","230.56","222.40","14.39M","-0.52%"
"05-08-2024","224.57","230.00","230.78","221.00","18.63M","-5.25%"
"02-08-2024","237.01","236.39","239.50","232.10","14.93M","-0.83%"
"01-08-2024","239.00","242.95","243.95","237.12","21.97M","-0.82%"
"31-07-2024","240.97","241.00","246.30","238.46","87.63M","3.09%"
"30-07-2024","233.75","233.70","236.40","231.90","18.71M","0.81%"
"29-07-2024","231.87","231.50","234.17","230.00","12.47M","0.53%"
"26-07-2024","230.64","230.00","232.62","229.24","16.69M","0.98%"
"25-07-2024","228.40","222.00","229.79","218.97","21.03M","2.11%"
"24-07-2024","223.67","219.00","225.00","218.10","10.12M","1.77%"
"23-07-2024","219.79","225.90","225.90","209.15","18.44M","-1.38%"
"22-07-2024","222.87","217.80","226.45","216.16","14.25M","1.42%"
"19-07-2024","219.76","228.86","228.86","219.02","17.27M","-3.98%"
"18-07-2024","228.86","233.51","233.87","227.76","14.55M","-1.95%"
"16-07-2024","233.41","238.20","239.11","233.00","19.21M","-1.58%"
"15-07-2024","237.16","229.60","238.00","228.09","32.70M","3.69%"
"12-07-2024","228.71","229.70","233.80","224.70","26.63M","-0.30%"
"11-07-2024","229.40","229.90","230.75","226.00","15.94M","0.07%"
"10-07-2024","229.23","229.88","231.75","219.86","18.64M","0.05%"
"09-07-2024","229.11","232.87","234.10","228.00","24.24M","-0.60%"
"08-07-2024","230.49","223.50","231.44","221.27","28.20M","3.38%"
"05-07-2024","222.96","219.15","223.95","217.54","20.66M","1.73%"
"04-07-2024","219.16","221.00","221.79","217.28","15.07M","-0.45%"
"03-07-2024","220.14","222.00","222.85","219.15","11.41M","-0.69%"
"02-07-2024","221.67","223.65","226.00","219.80","23.73M","-0.40%"
"01-07-2024","222.55","220.25","224.00","219.55","20.09M","1.37%"
"28-06-2024","219.55","218.30","223.15","217.90","25.10M","0.73%"
"27-06-2024","217.95","214.50","218.46","213.45","24.22M","2.12%"
"26-06-2024","213.43","211.70","215.16","209.53","18.17M","0.13%"
"25-06-2024","213.15","214.30","215.50","211.61","12.62M","0.24%"
"24-06-2024","212.65","212.90","213.33","208.55","23.29M","-0.98%"
"21-06-2024","214.76","219.80","219.80","214.00","16.93M","-1.76%"
"20-06-2024","218.60","217.90","221.50","215.16","18.50M","1.07%"
"19-06-2024","216.28","222.26","222.85","215.70","20.55M","-2.69%"
"18-06-2024","222.26","223.80","224.40","220.15","18.56M","0.19%"
"14-06-2024","221.83","219.90","225.50","219.11","32.31M","0.91%"
"13-06-2024","219.83","219.05","220.20","214.27","26.31M","1.34%"
"12-06-2024","216.92","216.00","220.25","214.44","37.63M","1.91%"
"11-06-2024","212.86","208.20","214.25","205.93","58.49M","2.25%"
"10-06-2024","208.18","214.40","217.69","205.89","38.29M","-2.13%"
"07-06-2024","212.70","211.20","214.40","207.90","31.82M","2.31%"
"06-06-2024","207.90","201.00","210.85","199.10","41.32M","6.53%"
"05-06-2024","195.15","198.10","198.30","182.95","49.80M","2.55%"
"04-06-2024","190.30","230.45","230.45","173.50","144.64M","-17.55%"
"03-06-2024","230.80","217.00","233.20","211.15","106.24M","12.97%"
"31-05-2024","204.30","200.85","205.15","200.00","45.41M","2.46%"
"30-05-2024","199.40","201.00","203.15","197.90","16.89M","-0.65%"
"29-05-2024","200.70","198.50","201.30","198.05","11.37M","0.10%"
"28-05-2024","200.50","203.40","203.55","198.40","11.66M","-0.96%"
"27-05-2024","202.45","206.75","207.15","200.50","15.76M","-0.98%"
"24-05-2024","204.45","201.00","206.85","199.15","23.96M","2.00%"
"23-05-2024","200.45","202.00","203.25","199.55","30.67M","-0.15%"
