"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","7,106.85","6,898.90","7,158.45","6,850.75","53.88K","3.84%"
"05-11-2024","6,843.85","6,870.70","6,920.00","6,716.10","34.21K","0.07%"
"04-11-2024","6,839.25","6,722.00","6,990.00","6,569.15","106.74K","2.08%"
"01-11-2024","6,700.05","6,698.15","6,762.00","6,683.45","8.86K","1.13%"
"31-10-2024","6,625.15","6,350.00","6,688.95","6,349.05","37.84K","4.29%"
"30-10-2024","6,352.80","6,337.05","6,419.95","6,291.00","22.92K","-0.13%"
"29-10-2024","6,361.00","6,297.00","6,416.90","6,250.00","25.78K","1.51%"
"28-10-2024","6,266.50","6,300.80","6,550.00","6,183.35","54.19K","-0.55%"
"25-10-2024","6,300.85","6,432.30","6,670.00","6,260.20","54.90K","-2.80%"
"24-10-2024","6,482.60","6,838.45","6,950.00","6,395.55","63.09K","-5.20%"
"23-10-2024","6,838.45","6,259.00","6,920.00","6,089.10","142.68K","8.86%"
"22-10-2024","6,282.05","6,636.95","6,640.00","6,219.25","59.84K","-5.78%"
"21-10-2024","6,667.60","6,756.00","6,811.05","6,629.60","30.18K","-1.32%"
"18-10-2024","6,756.45","6,880.00","6,917.75","6,710.00","38.86K","-2.86%"
"17-10-2024","6,955.45","7,101.00","7,101.00","6,912.00","37.85K","-2.05%"
"16-10-2024","7,101.30","7,010.00","7,148.85","6,910.00","40.58K","1.32%"
"15-10-2024","7,008.90","6,951.95","7,060.95","6,845.00","44.85K","1.18%"
"14-10-2024","6,926.85","7,011.15","7,093.00","6,905.25","33.05K","-1.13%"
"11-10-2024","7,005.75","6,947.00","7,080.00","6,871.80","54.98K","1.62%"
"10-10-2024","6,893.80","7,104.00","7,135.85","6,850.00","61.56K","-2.73%"
"09-10-2024","7,087.50","6,916.80","7,231.00","6,916.00","127.12K","2.95%"
"08-10-2024","6,884.55","6,285.00","6,933.60","6,262.65","112.14K","7.45%"
"07-10-2024","6,407.10","6,621.45","6,657.00","6,360.00","63.20K","-3.32%"
"04-10-2024","6,627.40","6,590.00","6,890.35","6,411.50","154.67K","0.47%"
"03-10-2024","6,596.20","6,741.25","6,787.45","6,571.15","60.38K","-3.27%"
"01-10-2024","6,819.30","6,905.05","6,963.95","6,800.00","56.74K","-2.27%"
"30-09-2024","6,977.60","6,959.05","7,025.00","6,820.10","55.75K","-0.29%"
"27-09-2024","6,998.05","7,172.35","7,253.95","6,970.35","58.17K","-1.95%"
"26-09-2024","7,136.95","7,109.05","7,317.75","7,014.35","107.19K","0.32%"
"25-09-2024","7,113.85","7,289.85","7,329.95","7,100.00","54.44K","-2.65%"
"24-09-2024","7,307.65","7,425.25","7,425.95","7,277.40","67.80K","-0.61%"
"23-09-2024","7,352.35","7,300.00","7,622.35","7,260.05","193.65K","-3.23%"
"20-09-2024","7,598.15","7,820.00","7,950.00","7,500.00","755.62K","-2.31%"
