"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","204.78","197.70","206.40","197.50","1.63M","3.61%"
"05-11-2024","197.65","197.40","200.90","194.55","1.27M","0.25%"
"04-11-2024","197.16","198.12","201.73","192.35","1.32M","-0.48%"
"01-11-2024","198.12","195.90","201.00","195.89","472.65K","1.26%"
"31-10-2024","195.65","190.00","196.90","184.10","2.97M","3.57%"
"30-10-2024","188.90","173.45","200.10","173.05","1.61M","8.91%"
"29-10-2024","173.45","173.10","174.80","170.20","1.05M","0.20%"
"28-10-2024","173.10","161.45","175.00","161.45","3.20M","-0.20%"
"25-10-2024","173.45","180.05","181.40","171.95","1.65M","-3.40%"
"24-10-2024","179.55","185.00","185.75","178.50","1.30M","-3.44%"
"23-10-2024","185.95","184.80","186.95","177.75","2.08M","0.11%"
"22-10-2024","185.75","193.00","196.25","183.50","2.87M","-4.05%"
"21-10-2024","193.60","187.55","195.70","183.00","4.20M","3.97%"
"18-10-2024","186.20","186.20","189.00","183.95","1.52M","-0.80%"
"17-10-2024","187.70","188.00","191.80","186.40","2.03M","0.21%"
"16-10-2024","187.30","188.20","190.40","186.10","1.32M","-1.50%"
"15-10-2024","190.15","190.30","194.00","186.55","1.30M","0.42%"
"14-10-2024","189.35","192.80","192.80","188.00","1.15M","-0.81%"
"11-10-2024","190.90","193.50","195.85","188.45","1.45M","-1.32%"
"10-10-2024","193.45","194.35","198.40","191.50","1.50M","-0.18%"
"09-10-2024","193.80","193.90","198.90","188.70","1.96M","1.44%"
"08-10-2024","191.05","188.00","194.75","183.50","5.82M","-0.34%"
"07-10-2024","191.70","202.00","204.40","190.10","2.95M","-7.32%"
"04-10-2024","206.85","206.40","215.00","205.15","2.12M","-1.18%"
"03-10-2024","209.33","212.80","217.00","208.00","2.96M","-2.22%"
"01-10-2024","214.09","223.00","224.00","211.12","3.93M","-3.56%"
"30-09-2024","222.00","215.00","224.58","212.96","9.02M","5.16%"
"27-09-2024","211.11","213.61","218.20","210.46","3.10M","-0.71%"
"26-09-2024","212.61","212.00","214.00","207.58","2.46M","0.00%"
"25-09-2024","212.60","210.00","214.83","207.84","4.71M","2.09%"
"24-09-2024","208.24","199.29","214.00","198.42","18.77M","5.32%"
"23-09-2024","197.72","190.00","199.12","189.31","5.93M","5.27%"
"20-09-2024","187.83","188.02","189.90","186.59","1.12M","0.40%"
"19-09-2024","187.09","186.48","188.00","180.97","1.10M","1.09%"
"18-09-2024","185.07","188.00","189.56","184.32","1.26M","-1.75%"
"17-09-2024","188.36","189.02","190.00","186.40","1.06M","-0.22%"
"16-09-2024","188.78","190.80","191.84","186.40","1.43M","-0.56%"
"13-09-2024","189.85","184.00","191.20","182.81","2.84M","3.87%"
"12-09-2024","182.77","182.62","184.32","180.63","1.13M","0.16%"
"11-09-2024","182.47","184.56","184.56","182.02","658.22K","-0.76%"
"10-09-2024","183.87","183.00","185.54","181.40","1.25M","0.89%"
"09-09-2024","182.25","186.00","186.27","181.20","1.20M","-1.90%"
"06-09-2024","185.78","186.52","188.33","184.43","1.38M","-0.40%"
"05-09-2024","186.52","191.80","192.36","185.81","2.28M","-2.16%"
"04-09-2024","190.64","184.20","191.60","184.20","1.75M","3.24%"
"03-09-2024","184.66","185.66","189.80","183.95","1.93M","-0.21%"
"02-09-2024","185.04","189.93","190.79","184.38","2.33M","-2.57%"
"30-08-2024","189.93","186.96","191.98","184.48","2.80M","2.34%"
"29-08-2024","185.58","186.68","187.29","184.00","1.94M","-0.27%"
"28-08-2024","186.09","190.65","192.00","185.37","2.85M","-1.50%"
"27-08-2024","188.93","194.22","195.51","187.80","3.10M","-2.11%"
"26-08-2024","193.01","199.00","200.60","192.61","4.08M","-1.56%"
"23-08-2024","196.07","192.98","200.20","192.20","4.89M","2.43%"
"22-08-2024","191.41","191.20","196.00","190.59","2.35M","0.63%"
"21-08-2024","190.22","193.40","193.40","189.00","3.00M","-1.28%"
"20-08-2024","192.68","201.18","201.18","192.30","2.29M","-3.09%"
"19-08-2024","198.83","199.14","201.45","197.00","1.33M","0.56%"
"16-08-2024","197.72","194.00","200.53","192.41","2.33M","2.40%"
"14-08-2024","193.08","203.12","205.53","192.07","5.44M","-4.46%"
"13-08-2024","202.10","211.73","211.84","201.64","2.14M","-4.30%"
"12-08-2024","211.18","220.72","221.30","210.64","2.09M","-4.17%"
"09-08-2024","220.36","229.70","229.70","219.72","1.29M","-2.18%"
"08-08-2024","225.27","230.70","233.09","224.71","2.32M","-1.52%"
"07-08-2024","228.74","225.71","230.70","221.31","4.16M","2.43%"
"06-08-2024","223.31","217.74","224.91","217.74","2.81M","3.86%"
"05-08-2024","215.02","214.72","218.11","208.15","3.38M","-3.66%"
"02-08-2024","223.18","220.12","225.51","220.03","1.22M","-0.21%"
"01-08-2024","223.64","225.51","228.29","222.71","1.88M","-0.29%"
"31-07-2024","224.29","223.29","227.28","220.36","3.34M","1.41%"
"30-07-2024","221.17","224.91","225.29","219.52","2.52M","0.86%"
"29-07-2024","219.30","218.60","223.71","209.77","3.28M","5.32%"
"26-07-2024","208.22","210.19","212.96","207.33","1.50M","-0.77%"
"25-07-2024","209.84","204.29","213.72","204.29","1.67M","-0.74%"
"24-07-2024","211.41","212.72","215.63","208.96","1.16M","-0.61%"
"23-07-2024","212.69","214.93","215.40","207.73","1.42M","-0.95%"
"22-07-2024","214.73","216.12","219.96","212.37","1.30M","-1.16%"
"19-07-2024","217.25","225.09","225.09","216.16","1.70M","-3.53%"
"18-07-2024","225.20","228.30","229.90","222.16","2.01M","-2.20%"
"16-07-2024","230.26","224.11","244.47","224.11","12.30M","3.20%"
"15-07-2024","223.13","227.31","229.48","222.11","860.02K","-2.52%"
"12-07-2024","228.90","227.87","230.70","226.18","648.14K","0.25%"
"11-07-2024","228.32","228.74","230.66","225.14","905.49K","-0.45%"
"10-07-2024","229.36","231.68","233.30","221.33","2.48M","-0.63%"
"09-07-2024","230.82","216.72","238.83","213.03","7.67M","5.95%"
"08-07-2024","217.87","221.32","225.51","216.94","778.95K","-1.56%"
"05-07-2024","221.32","223.15","223.71","220.12","811.71K","0.03%"
"04-07-2024","221.26","222.31","225.51","219.92","729.26K","0.12%"
"03-07-2024","220.99","219.72","222.69","218.12","924.65K","1.71%"
"02-07-2024","217.27","216.29","222.31","216.29","1.08M","-0.28%"
"01-07-2024","217.88","213.64","219.10","212.92","1.27M","2.51%"
"28-06-2024","212.54","210.33","217.40","209.98","1.18M","0.00%"
"27-06-2024","212.54","220.01","223.29","211.73","3.21M","-3.95%"
"26-06-2024","221.29","225.59","226.71","216.71","1.42M","-1.34%"
"25-06-2024","224.31","228.50","230.20","222.93","1.31M","-0.94%"
"24-06-2024","226.44","226.81","231.43","224.19","1.82M","-0.16%"
"21-06-2024","226.81","219.08","227.68","217.65","3.71M","4.21%"
"20-06-2024","217.65","222.91","222.91","216.72","1.81M","-1.90%"
"19-06-2024","221.86","219.32","223.24","215.06","2.61M","2.01%"
"18-06-2024","217.50","229.70","234.60","216.52","9.16M","0.93%"
"14-06-2024","215.49","212.83","219.72","212.72","2.49M","1.41%"
"13-06-2024","212.48","210.61","214.92","209.17","1.36M","1.18%"
"12-06-2024","210.00","210.05","211.40","207.66","976.72K","-0.02%"
"11-06-2024","210.05","211.91","211.99","206.78","1.94M","0.20%"
"10-06-2024","209.62","208.52","217.45","199.74","9.22M","7.62%"
"07-06-2024","194.77","186.33","195.35","183.77","3.42M","4.53%"
"06-06-2024","186.33","185.35","192.35","183.89","3.12M","0.52%"
"05-06-2024","185.37","194.75","194.75","177.37","3.28M","-1.28%"
"04-06-2024","187.78","196.22","197.74","176.99","4.80M","-4.07%"
"03-06-2024","195.75","203.74","204.53","193.35","3.23M","1.33%"
"31-05-2024","193.17","180.77","195.45","180.60","3.94M","6.34%"
"30-05-2024","181.64","182.77","183.34","180.58","1.11M","-0.62%"
"29-05-2024","182.77","176.16","184.36","174.97","2.05M","3.81%"
"28-05-2024","176.06","179.77","180.47","174.37","1.18M","-1.84%"
"27-05-2024","179.37","186.73","187.67","178.97","2.07M","-3.08%"
"24-05-2024","185.06","191.03","191.30","184.76","1.71M","-3.13%"
"23-05-2024","191.03","189.75","191.75","187.06","1.31M","1.02%"
"22-05-2024","189.10","189.16","192.31","185.76","3.91M","1.34%"
