"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","382.75","372.65","386.80","371.60","364.93K","3.19%"
"05-11-2024","370.90","364.80","374.50","360.80","242.71K","2.11%"
"04-11-2024","363.25","371.05","372.10","361.15","193.12K","-2.10%"
"01-11-2024","371.05","375.00","375.00","361.80","54.46K","0.50%"
"31-10-2024","369.20","373.00","375.45","366.35","317.72K","-0.77%"
"30-10-2024","372.05","364.90","376.55","363.00","400.68K","2.04%"
"29-10-2024","364.60","361.75","365.75","353.40","342.50K","1.19%"
"28-10-2024","360.30","352.15","363.50","347.05","418.23K","3.31%"
"25-10-2024","348.75","359.00","367.05","347.00","712.40K","-3.11%"
"24-10-2024","359.95","362.00","366.00","357.70","317.63K","-0.37%"
"23-10-2024","361.30","362.05","367.75","350.20","617.94K","-0.29%"
"22-10-2024","362.35","377.55","381.50","360.00","512.95K","-5.21%"
"21-10-2024","382.25","391.75","393.50","380.00","324.61K","-1.39%"
"18-10-2024","387.65","388.85","389.70","381.00","319.99K","-1.32%"
"17-10-2024","392.85","396.60","398.65","390.00","412.01K","-0.54%"
"16-10-2024","395.00","395.80","400.45","392.80","329.04K","-0.20%"
"15-10-2024","395.80","403.75","405.00","394.55","422.56K","-0.98%"
"14-10-2024","399.70","392.50","405.60","390.60","2.04M","2.38%"
"11-10-2024","390.40","386.80","394.10","383.25","368.90K","0.27%"
"10-10-2024","389.35","389.55","391.85","385.80","514.71K","-0.05%"
"09-10-2024","389.55","374.65","390.50","370.70","1.30M","5.58%"
"08-10-2024","368.95","363.20","371.80","358.25","496.64K","1.60%"
"07-10-2024","363.15","385.95","387.25","362.00","742.66K","-5.56%"
"04-10-2024","384.55","383.00","387.00","375.10","493.51K","0.27%"
"03-10-2024","383.50","386.00","393.20","381.40","506.32K","-2.84%"
"01-10-2024","394.70","392.00","399.40","392.00","638.46K","-0.23%"
"30-09-2024","395.60","399.00","399.00","391.05","1.12M","-1.42%"
"27-09-2024","401.30","399.95","403.85","394.80","949.02K","0.34%"
"26-09-2024","399.95","394.00","402.35","387.40","2.32M","0.48%"
"25-09-2024","398.05","397.80","401.70","393.00","2.02M","0.28%"
"24-09-2024","396.95","398.20","399.30","394.20","568.99K","-0.25%"
"23-09-2024","397.95","396.00","405.50","393.75","1.85M","1.09%"
"20-09-2024","393.65","385.40","396.90","383.25","1.25M","2.51%"
"19-09-2024","384.00","397.05","397.30","379.30","1.24M","-2.80%"
"18-09-2024","395.05","394.00","396.90","392.60","962.04K","0.25%"
"17-09-2024","394.05","391.10","395.80","391.05","714.28K","-0.24%"
"16-09-2024","395.00","395.00","397.40","391.70","738.42K","0.39%"
"13-09-2024","393.45","395.00","395.60","391.20","743.85K","0.14%"
"12-09-2024","392.90","387.00","395.50","386.00","1.20M","2.04%"
"11-09-2024","385.05","388.00","392.65","383.45","999.96K","-2.89%"
"10-09-2024","396.50","402.75","404.95","395.05","1.56M","-1.53%"
"09-09-2024","402.65","386.60","407.90","382.10","6.87M","5.01%"
"06-09-2024","383.45","396.55","398.40","381.45","2.29M","-3.56%"
"05-09-2024","397.60","397.00","398.90","395.35","2.55M","-0.06%"
"04-09-2024","397.85","404.95","407.00","397.35","7.15M","-5.64%"
"03-09-2024","421.65","425.00","429.20","416.70","1.54M","-0.13%"
"02-09-2024","422.20","411.90","426.00","404.20","3.63M","3.28%"
"30-08-2024","408.80","407.45","416.25","405.80","939.91K","1.10%"
"29-08-2024","404.35","418.45","419.80","401.30","1.45M","-2.98%"
"28-08-2024","416.75","415.00","425.90","413.30","1.65M","0.59%"
"27-08-2024","414.30","407.00","423.90","406.95","2.45M","1.67%"
"26-08-2024","407.50","412.00","413.00","406.45","634.29K","-0.04%"
"23-08-2024","407.65","408.15","416.60","405.20","816.79K","0.16%"
"22-08-2024","407.00","413.00","415.70","405.50","850.91K","-1.23%"
"21-08-2024","412.05","407.90","425.20","405.90","3.42M","1.25%"
"20-08-2024","406.95","400.00","411.40","398.30","1.43M","1.84%"
"19-08-2024","399.60","385.25","402.75","385.25","1.39M","3.98%"
"16-08-2024","384.30","384.90","387.00","381.40","691.79K","1.32%"
"14-08-2024","379.30","392.80","393.70","376.30","1.20M","-2.33%"
"13-08-2024","388.35","397.55","402.50","385.65","829.94K","-2.31%"
"12-08-2024","397.55","395.65","407.00","388.10","1.84M","2.07%"
"09-08-2024","389.50","398.10","399.75","386.45","1.17M","-0.40%"
"08-08-2024","391.05","389.85","407.00","385.40","2.69M","0.29%"
"07-08-2024","389.90","385.00","391.55","379.05","1.38M","3.66%"
"06-08-2024","376.15","392.95","399.45","374.00","1.77M","-2.53%"
"05-08-2024","385.90","400.00","400.00","382.00","2.15M","-5.84%"
"02-08-2024","409.85","401.00","417.70","401.00","2.49M","-0.51%"
"01-08-2024","411.95","434.20","442.50","409.65","5.59M","-4.19%"
"31-07-2024","429.95","416.50","440.00","409.65","9.19M","3.95%"
"30-07-2024","413.60","404.90","430.60","400.90","7.21M","2.50%"
"29-07-2024","403.50","412.90","418.80","401.90","3.34M","-1.71%"
"26-07-2024","410.50","373.00","434.70","369.55","26.09M","10.30%"
"25-07-2024","372.15","376.00","383.50","370.40","1.24M","-1.23%"
"24-07-2024","376.80","370.00","385.85","369.95","1.12M","0.25%"
"23-07-2024","375.85","391.55","394.60","355.20","2.28M","-4.00%"
"22-07-2024","391.50","384.00","395.10","380.05","1.20M","1.73%"
"19-07-2024","384.85","407.00","407.95","382.60","2.21M","-5.37%"
"18-07-2024","406.70","417.10","421.95","405.00","2.11M","-2.48%"
"16-07-2024","417.05","410.90","434.00","409.35","6.92M","2.13%"
"15-07-2024","408.35","405.00","413.50","394.05","1.75M","1.44%"
"12-07-2024","402.55","414.90","415.85","401.10","1.56M","-2.40%"
"11-07-2024","412.45","413.95","425.90","409.20","3.19M","0.12%"
"10-07-2024","411.95","417.05","417.40","398.20","2.65M","-1.32%"
"09-07-2024","417.45","423.50","425.00","409.35","3.24M","0.02%"
"08-07-2024","417.35","405.80","422.85","393.25","4.78M","3.66%"
"05-07-2024","402.60","388.80","414.00","387.20","6.27M","4.44%"
"04-07-2024","385.50","388.00","392.95","383.05","1.62M","-0.06%"
"03-07-2024","385.75","383.55","388.95","381.00","816.06K","0.90%"
"02-07-2024","382.30","387.95","387.95","378.20","590.81K","-0.27%"
"01-07-2024","383.35","382.45","391.90","377.05","1.54M","1.21%"
"28-06-2024","378.75","378.40","387.00","376.25","991.35K","0.34%"
"27-06-2024","377.45","386.00","405.00","372.55","2.94M","-2.11%"
"26-06-2024","385.60","392.45","392.45","384.00","689.06K","-1.22%"
"25-06-2024","390.35","398.00","399.40","386.70","808.01K","-1.64%"
"24-06-2024","396.85","405.00","410.00","395.30","1.72M","-2.33%"
"21-06-2024","406.30","397.00","418.00","391.25","5.74M","4.78%"
"20-06-2024","387.75","381.40","394.40","377.05","1.64M","1.77%"
"19-06-2024","381.00","387.55","390.40","377.25","1.12M","-1.68%"
"18-06-2024","387.50","392.00","395.60","385.10","1.15M","-1.57%"
"14-06-2024","393.70","396.00","413.70","391.20","3.87M","0.85%"
"13-06-2024","390.40","390.85","398.25","387.65","1.74M","0.30%"
"12-06-2024","389.25","388.00","393.85","385.40","1.67M","0.57%"
"11-06-2024","387.05","384.00","399.50","378.80","3.87M","1.80%"
"10-06-2024","380.20","364.90","391.15","364.00","5.67M","4.44%"
"07-06-2024","364.05","360.60","370.30","358.00","808.18K","0.94%"
"06-06-2024","360.65","350.00","371.30","350.00","2.00M","4.49%"
"05-06-2024","345.15","345.20","354.80","334.50","1.16M","-1.30%"
"04-06-2024","349.70","369.55","369.95","317.25","4.02M","-5.58%"
"03-06-2024","370.35","372.00","383.45","361.00","2.49M","4.00%"
"31-05-2024","356.10","359.00","368.70","355.10","1.18M","0.00%"
"30-05-2024","356.10","356.85","359.50","352.35","968.03K","0.30%"
"29-05-2024","355.05","354.05","368.70","349.75","1.81M","-0.62%"
"28-05-2024","357.25","365.75","369.25","353.55","909.61K","-2.00%"
"27-05-2024","364.55","373.30","377.00","363.10","1.04M","-1.22%"
"24-05-2024","369.05","378.00","380.95","367.50","1.72M","-3.34%"
"23-05-2024","381.80","379.30","387.00","377.20","2.48M","0.66%"
"22-05-2024","379.30","347.75","384.00","347.75","15.61M","10.04%"
"21-05-2024","344.70","340.00","347.00","340.00","717.30K","0.20%"
