"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,257.95","1,292.95","1,292.95","1,255.25","784.03K","-2.76%"
"05-11-2024","1,293.70","1,286.50","1,305.45","1,279.00","359.17K","0.02%"
"04-11-2024","1,293.45","1,284.90","1,307.20","1,259.65","306.86K","0.72%"
"01-11-2024","1,284.15","1,296.00","1,300.85","1,271.20","40.45K","-0.41%"
"31-10-2024","1,289.40","1,290.95","1,294.95","1,274.05","392.64K","0.11%"
"30-10-2024","1,287.95","1,239.65","1,294.95","1,230.00","302.01K","3.90%"
"29-10-2024","1,239.65","1,248.80","1,252.90","1,224.00","258.49K","-0.49%"
"28-10-2024","1,245.75","1,240.00","1,255.00","1,205.55","397.62K","-0.09%"
"25-10-2024","1,246.90","1,244.00","1,259.25","1,190.00","494.68K","-0.46%"
"24-10-2024","1,252.70","1,214.00","1,258.50","1,194.10","340.62K","3.15%"
"23-10-2024","1,214.50","1,212.30","1,235.00","1,163.55","501.36K","-1.32%"
"22-10-2024","1,230.75","1,245.05","1,249.00","1,215.50","258.40K","-1.69%"
"21-10-2024","1,251.90","1,270.00","1,281.60","1,242.75","262.35K","-1.27%"
"18-10-2024","1,268.05","1,315.00","1,315.00","1,263.60","442.41K","-3.72%"
"17-10-2024","1,317.00","1,356.00","1,365.00","1,310.00","381.19K","-1.77%"
"16-10-2024","1,340.70","1,286.95","1,354.35","1,275.05","1.10M","4.74%"
"15-10-2024","1,280.05","1,277.50","1,296.40","1,265.05","550.00K","0.19%"
"14-10-2024","1,277.65","1,278.20","1,289.35","1,262.35","298.83K","0.46%"
"11-10-2024","1,271.80","1,264.40","1,276.25","1,259.25","134.17K","-0.06%"
"10-10-2024","1,272.55","1,306.00","1,306.00","1,267.00","323.32K","-1.67%"
"09-10-2024","1,294.20","1,283.45","1,302.00","1,274.30","506.28K","1.69%"
"08-10-2024","1,272.75","1,211.55","1,282.00","1,191.70","623.39K","5.83%"
"07-10-2024","1,202.65","1,235.95","1,244.40","1,178.10","426.92K","-2.50%"
"04-10-2024","1,233.45","1,235.00","1,254.50","1,220.00","894.86K","0.04%"
"03-10-2024","1,233.00","1,175.80","1,238.00","1,175.40","767.96K","2.65%"
"01-10-2024","1,201.15","1,202.00","1,210.50","1,196.25","166.55K","0.05%"
"30-09-2024","1,200.50","1,218.00","1,218.00","1,181.25","574.16K","-0.76%"
"27-09-2024","1,209.70","1,211.50","1,228.70","1,202.40","398.59K","0.30%"
"26-09-2024","1,206.10","1,217.75","1,219.00","1,200.00","274.93K","-0.10%"
"25-09-2024","1,207.30","1,227.50","1,232.70","1,202.35","346.67K","-1.19%"
"24-09-2024","1,221.90","1,239.15","1,245.70","1,215.60","354.71K","-1.39%"
"23-09-2024","1,239.15","1,229.00","1,244.30","1,222.90","347.27K","1.26%"
"20-09-2024","1,223.70","1,213.60","1,246.90","1,208.50","789.73K","1.40%"
"19-09-2024","1,206.85","1,243.00","1,253.95","1,183.05","548.69K","-2.30%"
"18-09-2024","1,235.25","1,257.95","1,259.90","1,229.00","304.85K","-1.58%"
"17-09-2024","1,255.05","1,262.05","1,279.00","1,244.00","416.33K","-0.44%"
"16-09-2024","1,260.55","1,277.25","1,277.25","1,251.10","338.38K","0.06%"
"13-09-2024","1,259.80","1,279.20","1,279.20","1,256.15","530.65K","-1.52%"
"12-09-2024","1,279.20","1,286.45","1,288.70","1,263.55","357.75K","0.05%"
"11-09-2024","1,278.60","1,293.00","1,333.95","1,274.40","614.56K","-1.02%"
"10-09-2024","1,291.75","1,275.25","1,299.00","1,261.00","480.81K","1.42%"
"09-09-2024","1,273.70","1,286.10","1,293.05","1,246.00","506.75K","-1.63%"
"06-09-2024","1,294.75","1,332.00","1,332.00","1,286.00","380.96K","-2.80%"
"05-09-2024","1,332.05","1,337.70","1,349.40","1,324.40","530.78K","0.05%"
"04-09-2024","1,331.40","1,308.10","1,341.00","1,287.25","539.39K","1.14%"
"03-09-2024","1,316.35","1,321.80","1,330.10","1,306.80","387.56K","-0.11%"
"02-09-2024","1,317.75","1,339.85","1,341.05","1,306.00","345.23K","-1.07%"
"30-08-2024","1,331.95","1,305.70","1,345.00","1,293.10","665.32K","2.34%"
"29-08-2024","1,301.50","1,308.55","1,312.90","1,292.00","263.65K","-0.57%"
"28-08-2024","1,308.90","1,310.50","1,317.50","1,296.85","425.32K","-0.02%"
