"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,622.40","1,580.20","1,635.80","1,571.00","32.43K","2.79%"
"05-11-2024","1,578.35","1,570.00","1,590.00","1,562.10","10.00K","-0.03%"
"04-11-2024","1,578.85","1,602.00","1,610.00","1,555.75","14.98K","-1.42%"
"01-11-2024","1,601.55","1,620.00","1,638.90","1,581.95","5.36K","-1.10%"
"31-10-2024","1,619.30","1,588.00","1,651.00","1,508.10","268.19K","4.02%"
"30-10-2024","1,556.65","1,530.05","1,576.00","1,530.05","15.91K","0.67%"
"29-10-2024","1,546.30","1,541.00","1,559.85","1,539.15","8.87K","-0.15%"
"28-10-2024","1,548.55","1,500.05","1,562.10","1,496.90","15.94K","2.34%"
"25-10-2024","1,513.15","1,566.60","1,570.75","1,478.25","24.68K","-3.41%"
"24-10-2024","1,566.60","1,552.45","1,591.75","1,546.05","17.74K","0.91%"
"23-10-2024","1,552.45","1,530.05","1,585.00","1,520.45","44.89K","1.19%"
"22-10-2024","1,534.25","1,572.75","1,597.25","1,525.45","64.19K","-2.45%"
"21-10-2024","1,572.75","1,625.60","1,631.70","1,561.10","25.32K","-3.20%"
"18-10-2024","1,624.70","1,612.50","1,639.95","1,586.10","17.61K","0.76%"
"17-10-2024","1,612.50","1,632.05","1,652.00","1,605.25","29.78K","-1.42%"
"16-10-2024","1,635.80","1,650.00","1,705.20","1,624.00","299.30K","1.03%"
"15-10-2024","1,619.10","1,600.00","1,633.45","1,592.10","68.91K","1.07%"
"14-10-2024","1,602.00","1,620.05","1,624.35","1,587.15","15.56K","-1.03%"
"11-10-2024","1,618.65","1,648.00","1,648.35","1,612.45","17.42K","-1.80%"
"10-10-2024","1,648.35","1,695.00","1,734.00","1,630.00","285.41K","0.59%"
"09-10-2024","1,638.75","1,629.95","1,656.50","1,610.70","17.06K","2.28%"
"08-10-2024","1,602.15","1,578.10","1,616.25","1,567.40","17.21K","0.10%"
"07-10-2024","1,600.50","1,725.20","1,725.20","1,589.50","30.15K","-4.86%"
"04-10-2024","1,682.25","1,680.05","1,721.95","1,647.35","26.00K","-0.39%"
"03-10-2024","1,688.80","1,690.05","1,720.00","1,665.00","26.09K","-3.08%"
"01-10-2024","1,742.55","1,692.95","1,749.00","1,691.95","51.92K","2.93%"
"30-09-2024","1,693.00","1,711.25","1,739.90","1,666.95","34.26K","-1.07%"
"27-09-2024","1,711.25","1,650.00","1,749.95","1,639.85","178.98K","3.64%"
"26-09-2024","1,651.10","1,652.00","1,668.35","1,622.65","51.97K","-0.78%"
"25-09-2024","1,664.05","1,698.00","1,716.35","1,657.00","36.46K","-1.92%"
"24-09-2024","1,696.70","1,699.00","1,774.95","1,683.90","429.78K","1.85%"
"23-09-2024","1,665.95","1,692.05","1,703.00","1,660.05","57.32K","-0.21%"
"20-09-2024","1,669.40","1,621.10","1,730.00","1,552.55","885.27K","2.80%"
"19-09-2024","1,623.90","1,652.00","1,667.90","1,601.20","67.22K","-2.75%"
"18-09-2024","1,669.85","1,630.00","1,680.00","1,606.90","51.50K","1.54%"
"17-09-2024","1,644.60","1,648.00","1,671.00","1,631.15","58.81K","0.41%"
"16-09-2024","1,637.95","1,623.00","1,649.95","1,600.05","54.08K","0.94%"
"13-09-2024","1,622.75","1,625.30","1,633.75","1,601.20","89.29K","-0.16%"
"12-09-2024","1,625.30","1,634.90","1,640.05","1,607.15","31.37K","0.14%"
"11-09-2024","1,622.95","1,654.00","1,654.00","1,605.00","89.07K","-1.90%"
"10-09-2024","1,654.35","1,666.70","1,693.95","1,644.10","80.67K","0.25%"
"09-09-2024","1,650.20","1,642.45","1,672.00","1,592.90","56.57K","1.21%"
"06-09-2024","1,630.40","1,619.25","1,658.65","1,597.35","99.56K","1.46%"
"05-09-2024","1,606.95","1,608.45","1,640.00","1,602.05","72.81K","0.44%"
"04-09-2024","1,599.85","1,600.00","1,624.90","1,586.90","64.22K","-0.31%"
"03-09-2024","1,604.80","1,619.00","1,622.45","1,585.05","110.08K","0.98%"
"02-09-2024","1,589.25","1,560.20","1,599.95","1,542.30","122.96K","3.90%"
"30-08-2024","1,529.65","1,498.55","1,538.75","1,497.45","42.99K","2.50%"
"29-08-2024","1,492.40","1,519.00","1,540.00","1,481.00","30.90K","-1.61%"
"28-08-2024","1,516.75","1,532.45","1,549.95","1,510.30","21.55K","-1.02%"
"27-08-2024","1,532.45","1,546.05","1,552.10","1,516.05","27.04K","-0.88%"
"26-08-2024","1,546.05","1,565.10","1,580.00","1,527.10","43.74K","-1.44%"
"23-08-2024","1,568.70","1,561.10","1,598.00","1,561.10","30.78K","0.37%"
"22-08-2024","1,562.95","1,588.95","1,588.95","1,553.55","37.82K","-0.16%"
"21-08-2024","1,565.45","1,570.00","1,605.40","1,560.05","28.02K","-0.06%"
"20-08-2024","1,566.40","1,591.95","1,619.95","1,558.05","71.53K","-1.57%"
"19-08-2024","1,591.35","1,624.95","1,624.95","1,587.05","20.38K","-0.82%"
"16-08-2024","1,604.50","1,622.45","1,629.00","1,528.35","32.22K","1.76%"
"14-08-2024","1,576.80","1,579.05","1,595.50","1,544.45","28.78K","0.31%"
"13-08-2024","1,571.90","1,610.00","1,621.60","1,561.75","24.42K","-1.67%"
"12-08-2024","1,598.65","1,614.35","1,614.35","1,582.95","19.45K","-0.27%"
"09-08-2024","1,602.95","1,631.00","1,631.00","1,591.35","23.00K","-0.66%"
"08-08-2024","1,613.55","1,635.00","1,638.40","1,600.05","30.74K","-0.17%"
"07-08-2024","1,616.35","1,641.35","1,644.90","1,588.00","65.53K","1.13%"
"06-08-2024","1,598.35","1,639.90","1,668.40","1,581.00","83.98K","-2.49%"
"05-08-2024","1,639.10","1,651.00","1,651.00","1,591.50","81.61K","-2.47%"
"02-08-2024","1,680.55","1,682.35","1,697.90","1,637.05","150.20K","-5.06%"
"01-08-2024","1,770.15","1,799.50","1,810.00","1,740.25","68.79K","-0.53%"
"31-07-2024","1,779.50","1,744.85","1,800.00","1,744.80","52.12K","2.70%"
"30-07-2024","1,732.65","1,710.00","1,744.80","1,708.05","85.88K","1.46%"
"29-07-2024","1,707.70","1,726.90","1,754.80","1,689.80","42.36K","-0.12%"
"26-07-2024","1,709.80","1,697.00","1,720.00","1,684.55","33.81K","0.69%"
"25-07-2024","1,698.15","1,696.65","1,724.95","1,685.05","20.15K","0.08%"
"24-07-2024","1,696.80","1,734.50","1,759.60","1,690.00","51.11K","-1.56%"
"23-07-2024","1,723.70","1,684.90","1,735.00","1,652.00","96.57K","2.73%"
"22-07-2024","1,677.95","1,696.00","1,698.05","1,667.35","66.32K","-1.18%"
"19-07-2024","1,698.00","1,737.00","1,737.05","1,673.80","57.32K","-1.55%"
"18-07-2024","1,724.75","1,785.45","1,785.45","1,719.15","66.99K","-3.02%"
"16-07-2024","1,778.45","1,757.30","1,791.50","1,749.50","50.71K","1.92%"
"15-07-2024","1,744.90","1,729.10","1,805.00","1,698.35","69.11K","1.17%"
"12-07-2024","1,724.80","1,770.00","1,770.00","1,709.00","41.27K","-1.92%"
"11-07-2024","1,758.55","1,752.05","1,790.95","1,733.05","39.65K","0.53%"
"10-07-2024","1,749.20","1,803.60","1,803.60","1,720.00","55.51K","-2.33%"
"09-07-2024","1,790.90","1,771.65","1,837.55","1,760.05","61.78K","1.92%"
"08-07-2024","1,757.15","1,791.95","1,813.85","1,746.80","43.28K","-1.77%"
"05-07-2024","1,788.80","1,806.00","1,827.60","1,748.60","62.30K","-0.52%"
"04-07-2024","1,798.10","1,820.20","1,841.95","1,776.70","52.61K","-0.51%"
"03-07-2024","1,807.40","1,733.00","1,844.85","1,733.00","201.42K","5.08%"
"02-07-2024","1,719.95","1,734.70","1,783.00","1,707.30","74.98K","-0.16%"
"01-07-2024","1,722.70","1,743.00","1,780.00","1,718.00","21.85K","-1.00%"
"28-06-2024","1,740.05","1,764.25","1,764.25","1,702.45","94.17K","-0.55%"
"27-06-2024","1,749.75","1,825.00","1,826.80","1,735.00","96.93K","-4.89%"
"26-06-2024","1,839.65","1,745.95","1,860.00","1,745.95","194.03K","5.07%"
"25-06-2024","1,750.95","1,752.00","1,765.00","1,741.05","27.75K","0.02%"
"24-06-2024","1,750.55","1,757.15","1,791.00","1,735.05","65.02K","-0.38%"
"21-06-2024","1,757.15","1,767.85","1,771.70","1,744.90","71.99K","0.36%"
"20-06-2024","1,750.80","1,715.00","1,760.00","1,692.55","74.83K","2.31%"
"19-06-2024","1,711.25","1,719.30","1,747.00","1,656.85","86.95K","0.19%"
"18-06-2024","1,708.00","1,708.50","1,715.00","1,684.05","74.17K","1.34%"
"14-06-2024","1,685.45","1,680.75","1,720.00","1,650.00","119.45K","1.18%"
"13-06-2024","1,665.85","1,714.00","1,725.15","1,657.80","180.61K","-2.81%"
"12-06-2024","1,714.00","1,705.00","1,761.00","1,697.00","168.88K","1.01%"
"11-06-2024","1,696.85","1,670.00","1,711.00","1,633.10","190.21K","3.20%"
"10-06-2024","1,644.20","1,545.70","1,655.00","1,516.50","174.30K","7.01%"
"07-06-2024","1,536.50","1,563.90","1,590.00","1,526.70","67.50K","-0.28%"
"06-06-2024","1,540.80","1,501.05","1,559.00","1,500.05","109.50K","3.59%"
"05-06-2024","1,487.45","1,498.10","1,560.95","1,462.05","100.04K","-0.71%"
"04-06-2024","1,498.10","1,650.00","1,650.00","1,472.70","133.84K","-8.45%"
"03-06-2024","1,636.30","1,676.90","1,690.00","1,593.00","74.86K","1.56%"
"31-05-2024","1,611.10","1,565.00","1,630.00","1,540.05","165.46K","3.47%"
"30-05-2024","1,557.10","1,625.00","1,634.00","1,545.00","65.60K","-1.94%"
