"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,856.35","1,800.00","1,871.70","1,765.55","1.03M","1.28%"
"05-11-2024","1,832.85","1,601.00","1,850.00","1,600.00","5.76M","13.78%"
"04-11-2024","1,610.90","1,653.60","1,653.60","1,603.00","88.19K","-2.15%"
"01-11-2024","1,646.35","1,651.10","1,659.45","1,637.45","20.97K","-0.29%"
"31-10-2024","1,651.10","1,642.00","1,656.55","1,623.80","103.41K","0.55%"
"30-10-2024","1,642.15","1,627.00","1,653.70","1,616.45","57.49K","1.03%"
"29-10-2024","1,625.40","1,624.55","1,639.90","1,601.40","191.64K","0.05%"
"28-10-2024","1,624.55","1,615.00","1,640.00","1,602.75","71.53K","1.16%"
"25-10-2024","1,605.85","1,655.00","1,663.35","1,591.85","106.40K","-2.20%"
"24-10-2024","1,641.95","1,609.90","1,660.00","1,604.00","193.66K","2.15%"
"23-10-2024","1,607.35","1,640.00","1,647.15","1,585.70","145.73K","-2.44%"
"22-10-2024","1,647.60","1,675.30","1,682.85","1,640.00","135.80K","-1.65%"
"21-10-2024","1,675.30","1,671.60","1,696.85","1,662.15","323.91K","1.53%"
"18-10-2024","1,650.10","1,639.00","1,655.55","1,598.60","406.25K","0.64%"
"17-10-2024","1,639.65","1,667.00","1,669.40","1,627.00","96.80K","-1.60%"
"16-10-2024","1,666.35","1,652.95","1,695.00","1,630.15","732.54K","1.00%"
"15-10-2024","1,649.85","1,690.00","1,698.00","1,630.75","209.67K","-1.86%"
"14-10-2024","1,681.15","1,699.00","1,713.15","1,677.00","87.42K","-1.02%"
"11-10-2024","1,698.55","1,708.00","1,708.00","1,693.30","80.52K","-0.23%"
"10-10-2024","1,702.50","1,705.00","1,724.10","1,693.00","72.51K","0.14%"
"09-10-2024","1,700.10","1,699.75","1,733.95","1,686.00","288.66K","0.02%"
"08-10-2024","1,699.75","1,710.00","1,720.00","1,685.00","110.23K","-0.55%"
"07-10-2024","1,709.10","1,751.95","1,779.00","1,689.95","181.72K","-2.28%"
"04-10-2024","1,749.05","1,776.00","1,793.00","1,740.00","149.62K","-1.86%"
"03-10-2024","1,782.25","1,786.05","1,795.00","1,760.10","119.37K","-1.03%"
"01-10-2024","1,800.80","1,802.55","1,805.00","1,781.15","208.92K","0.27%"
"30-09-2024","1,795.90","1,785.00","1,799.90","1,771.00","207.81K","0.66%"
"27-09-2024","1,784.05","1,808.00","1,827.00","1,771.00","1.50M","-3.48%"
"26-09-2024","1,848.45","1,857.85","1,863.85","1,820.10","120.13K","-0.51%"
"25-09-2024","1,857.85","1,857.55","1,897.00","1,850.60","1.02M","0.14%"
"24-09-2024","1,855.25","1,864.10","1,870.50","1,847.00","169.17K","0.49%"
"23-09-2024","1,846.20","1,823.00","1,856.00","1,818.40","120.91K","2.54%"
"20-09-2024","1,800.45","1,814.60","1,824.85","1,787.50","458.90K","-0.53%"
"19-09-2024","1,810.05","1,845.00","1,849.45","1,801.00","230.55K","-1.71%"
"18-09-2024","1,841.50","1,858.00","1,865.45","1,827.00","140.34K","-0.22%"
"17-09-2024","1,845.60","1,874.00","1,874.00","1,830.75","163.28K","-1.06%"
"16-09-2024","1,865.45","1,878.25","1,895.95","1,862.00","76.55K","-0.68%"
"13-09-2024","1,878.25","1,890.05","1,890.05","1,858.30","150.25K","-0.66%"
"12-09-2024","1,890.75","1,896.15","1,908.00","1,873.05","139.00K","0.14%"
"11-09-2024","1,888.20","1,927.45","1,945.95","1,879.50","120.89K","-2.04%"
"10-09-2024","1,927.45","1,911.50","1,962.00","1,909.05","181.78K","1.52%"
"09-09-2024","1,898.65","1,915.95","1,974.55","1,865.00","495.18K","-0.39%"
"06-09-2024","1,906.00","1,882.00","1,916.95","1,879.50","144.33K","0.75%"
"05-09-2024","1,891.80","1,905.00","1,917.40","1,886.00","278.44K","0.25%"
"04-09-2024","1,887.05","1,916.65","1,922.10","1,872.05","254.21K","-0.33%"
"03-09-2024","1,893.35","1,848.70","1,942.00","1,840.90","850.04K","3.30%"
"02-09-2024","1,832.95","1,860.00","1,860.00","1,824.00","288.79K","-0.30%"
"30-08-2024","1,838.55","1,848.00","1,886.00","1,830.00","1.54M","-0.57%"
"29-08-2024","1,849.00","1,858.00","1,867.55","1,839.60","631.72K","-0.56%"
"28-08-2024","1,859.40","1,890.00","1,890.00","1,851.05","415.62K","-0.74%"
"27-08-2024","1,873.30","1,879.95","1,918.00","1,856.60","1.01M","1.03%"
"26-08-2024","1,854.25","1,879.00","1,888.95","1,851.00","292.61K","-0.77%"
"23-08-2024","1,868.70","1,904.95","1,919.70","1,865.65","221.67K","-1.66%"
"22-08-2024","1,900.25","1,958.70","1,959.00","1,885.05","634.91K","-1.53%"
"21-08-2024","1,929.75","1,958.00","1,977.50","1,921.00","334.46K","-0.01%"
"20-08-2024","1,929.90","1,984.15","1,999.95","1,922.25","110.99K","-1.59%"
"19-08-2024","1,961.00","1,957.70","1,995.00","1,951.00","136.15K","0.82%"
"16-08-2024","1,945.05","1,942.80","1,973.75","1,909.45","348.49K","-0.67%"
"14-08-2024","1,958.25","1,970.00","2,009.00","1,952.25","122.70K","-0.57%"
"13-08-2024","1,969.40","2,070.00","2,070.00","1,962.50","195.50K","-3.36%"
"12-08-2024","2,037.95","2,031.00","2,085.00","2,021.00","130.92K","0.57%"
"09-08-2024","2,026.45","2,027.55","2,099.55","2,019.05","302.84K","-0.05%"
"08-08-2024","2,027.55","2,048.10","2,049.90","1,977.00","384.60K","-0.02%"
"07-08-2024","2,027.90","2,010.05","2,079.95","1,911.05","1.85M","-3.75%"
"06-08-2024","2,106.95","2,120.00","2,220.95","2,075.55","581.16K","-0.40%"
"05-08-2024","2,115.40","2,031.00","2,150.00","2,020.00","341.94K","-0.53%"
"02-08-2024","2,126.65","2,088.00","2,147.00","2,073.50","191.98K","0.14%"
"01-08-2024","2,123.65","2,150.00","2,159.95","2,103.00","194.44K","-0.84%"
"31-07-2024","2,141.60","2,080.00","2,183.85","2,066.00","883.55K","4.03%"
"30-07-2024","2,058.65","2,043.95","2,065.00","2,002.65","607.51K","1.43%"
"29-07-2024","2,029.65","2,040.95","2,057.00","2,016.60","319.14K","0.65%"
"26-07-2024","2,016.60","2,009.95","2,068.00","1,990.00","127.14K","0.58%"
"25-07-2024","2,004.95","2,014.05","2,045.60","1,978.40","240.18K","-0.73%"
"24-07-2024","2,019.60","1,999.00","2,030.95","1,984.60","88.36K","1.91%"
"23-07-2024","1,981.75","2,006.45","2,023.15","1,936.20","151.09K","-0.65%"
"22-07-2024","1,994.75","1,990.25","2,009.00","1,961.10","82.89K","0.21%"
"19-07-2024","1,990.60","1,996.00","2,008.75","1,963.35","115.99K","-0.95%"
"18-07-2024","2,009.75","2,066.95","2,066.95","1,990.90","118.32K","-2.01%"
"16-07-2024","2,051.00","2,003.00","2,079.95","1,985.00","267.76K","2.49%"
"15-07-2024","2,001.20","2,041.20","2,044.15","1,991.10","93.28K","-1.50%"
"12-07-2024","2,031.70","2,072.00","2,080.00","2,012.25","259.52K","-0.96%"
"11-07-2024","2,051.40","1,989.30","2,062.85","1,977.65","274.54K","3.45%"
"10-07-2024","1,983.00","2,028.60","2,049.30","1,922.00","346.55K","-2.40%"
