"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,629.60","2,601.55","2,648.25","2,594.00","87.40K","1.36%"
"05-11-2024","2,594.35","2,637.00","2,658.95","2,590.00","148.16K","-1.16%"
"04-11-2024","2,624.90","2,733.10","2,733.10","2,601.10","143.63K","-3.96%"
"01-11-2024","2,733.10","2,729.00","2,742.95","2,721.10","6.92K","0.77%"
"31-10-2024","2,712.25","2,670.00","2,763.00","2,670.00","124.45K","1.42%"
"30-10-2024","2,674.25","2,676.00","2,739.00","2,599.60","161.91K","1.70%"
"29-10-2024","2,629.65","2,642.00","2,676.55","2,620.00","77.81K","-0.57%"
"28-10-2024","2,644.65","2,588.60","2,669.00","2,536.70","101.17K","2.17%"
"25-10-2024","2,588.60","2,638.10","2,709.60","2,500.00","132.16K","-1.12%"
"24-10-2024","2,618.05","2,635.35","2,690.00","2,602.65","69.62K","-0.47%"
"23-10-2024","2,630.50","2,578.05","2,662.50","2,562.15","66.96K","2.01%"
"22-10-2024","2,578.75","2,648.90","2,679.20","2,570.00","118.35K","-2.46%"
"21-10-2024","2,643.70","2,679.00","2,725.25","2,630.10","100.00K","-0.59%"
"18-10-2024","2,659.30","2,659.00","2,690.45","2,615.25","128.13K","0.31%"
"17-10-2024","2,651.15","2,700.00","2,757.00","2,642.30","104.79K","-0.79%"
"16-10-2024","2,672.35","2,715.00","2,757.15","2,643.05","107.00K","-1.13%"
"15-10-2024","2,703.00","2,719.80","2,757.50","2,681.10","130.24K","-0.60%"
"14-10-2024","2,719.30","2,788.85","2,812.10","2,711.00","97.32K","-2.30%"
"11-10-2024","2,783.45","2,764.55","2,835.30","2,742.10","60.66K","0.81%"
"10-10-2024","2,761.15","2,845.10","2,889.90","2,755.70","60.79K","-1.87%"
"09-10-2024","2,813.65","2,705.15","2,884.00","2,705.15","125.20K","4.03%"
"08-10-2024","2,704.70","2,639.00","2,735.00","2,615.00","64.39K","3.50%"
"07-10-2024","2,613.25","2,751.50","2,814.50","2,586.05","119.96K","-5.02%"
"04-10-2024","2,751.35","2,736.20","2,769.00","2,704.45","39.04K","0.55%"
"03-10-2024","2,736.20","2,713.00","2,751.00","2,695.00","44.28K","0.03%"
"01-10-2024","2,735.35","2,751.00","2,763.00","2,712.05","42.94K","-0.55%"
"30-09-2024","2,750.55","2,700.05","2,782.25","2,700.05","113.82K","1.97%"
"27-09-2024","2,697.50","2,727.00","2,756.15","2,689.55","48.02K","-1.09%"
"26-09-2024","2,727.25","2,725.90","2,765.65","2,711.25","102.78K","0.05%"
"25-09-2024","2,725.90","2,727.90","2,735.00","2,695.20","35.87K","0.34%"
"24-09-2024","2,716.65","2,726.00","2,730.00","2,686.90","38.64K","-0.34%"
"23-09-2024","2,726.00","2,721.00","2,735.95","2,682.15","48.44K","0.35%"
"20-09-2024","2,716.60","2,700.90","2,754.00","2,700.00","61.93K","0.68%"
"19-09-2024","2,698.35","2,791.30","2,799.95","2,676.25","76.78K","-3.33%"
"18-09-2024","2,791.30","2,788.05","2,847.20","2,778.15","69.88K","-0.27%"
"17-09-2024","2,798.90","2,845.00","2,845.00","2,741.10","67.70K","-1.06%"
"16-09-2024","2,828.90","2,921.00","2,922.80","2,815.00","50.41K","-2.62%"
"13-09-2024","2,905.10","2,860.00","2,908.00","2,849.45","51.58K","1.51%"
"12-09-2024","2,861.75","2,861.90","2,889.90","2,830.80","62.67K","0.08%"
"11-09-2024","2,859.35","2,816.10","2,912.00","2,815.55","110.87K","1.43%"
"10-09-2024","2,818.95","2,878.00","2,891.70","2,801.60","58.25K","-1.20%"
"09-09-2024","2,853.25","2,832.65","2,870.00","2,771.05","54.37K","0.76%"
"06-09-2024","2,831.60","2,815.00","2,850.10","2,772.00","70.30K","0.63%"
"05-09-2024","2,813.95","2,848.95","2,876.50","2,799.75","76.37K","-1.23%"
"04-09-2024","2,848.95","2,833.05","2,879.85","2,833.05","92.54K","0.59%"
"03-09-2024","2,832.15","2,792.90","2,849.30","2,781.65","121.44K","1.82%"
"02-09-2024","2,781.65","2,751.85","2,792.00","2,716.20","86.13K","1.33%"
"30-08-2024","2,745.10","2,786.00","2,805.00","2,737.60","78.63K","-0.78%"
"29-08-2024","2,766.70","2,815.00","2,825.00","2,759.00","98.80K","-1.38%"
"28-08-2024","2,805.50","2,893.70","2,895.05","2,790.00","131.33K","-2.39%"
"27-08-2024","2,874.05","2,922.85","2,926.15","2,868.00","95.84K","-1.14%"
"26-08-2024","2,907.05","2,959.00","3,028.90","2,897.05","128.45K","-1.26%"
"23-08-2024","2,944.00","2,918.00","2,959.00","2,896.00","144.15K","1.00%"
"22-08-2024","2,914.85","3,048.40","3,069.45","2,910.45","221.11K","-4.79%"
"21-08-2024","3,061.45","2,899.25","3,088.00","2,888.95","376.79K","5.85%"
"20-08-2024","2,892.25","2,934.00","2,937.70","2,857.80","173.39K","-1.33%"
"19-08-2024","2,931.35","2,969.95","2,969.95","2,906.00","79.42K","0.88%"
"16-08-2024","2,905.85","2,830.00","2,966.95","2,829.05","139.61K","2.97%"
"14-08-2024","2,821.95","2,848.00","2,869.40","2,812.95","129.72K","-0.15%"
"13-08-2024","2,826.05","2,900.00","2,932.50","2,816.15","90.52K","-2.22%"
"12-08-2024","2,890.25","2,889.00","2,944.90","2,875.05","105.34K","0.53%"
"09-08-2024","2,875.05","2,886.45","2,929.00","2,867.75","73.46K","0.05%"
"08-08-2024","2,873.65","2,834.65","2,940.00","2,834.65","178.41K","1.89%"
"07-08-2024","2,820.40","2,811.30","2,895.00","2,808.80","156.59K","1.10%"
"06-08-2024","2,789.65","2,769.75","2,879.90","2,769.75","176.49K","0.93%"
"05-08-2024","2,763.95","2,760.00","2,836.40","2,728.00","176.96K","-2.00%"
"02-08-2024","2,820.25","2,739.95","2,860.00","2,720.10","255.50K","2.25%"
"01-08-2024","2,758.25","2,740.00","2,765.00","2,702.10","138.66K","1.01%"
"31-07-2024","2,730.60","2,710.50","2,787.00","2,697.05","122.54K","1.29%"
"30-07-2024","2,695.80","2,744.95","2,773.60","2,688.00","90.45K","-1.54%"
"29-07-2024","2,738.10","2,734.90","2,796.75","2,712.00","121.43K","1.14%"
"26-07-2024","2,707.30","2,705.00","2,740.00","2,692.00","76.49K","1.10%"
"25-07-2024","2,677.85","2,717.80","2,747.80","2,660.05","114.25K","-0.64%"
"24-07-2024","2,695.05","2,716.00","2,755.00","2,684.05","123.73K","0.20%"
"23-07-2024","2,689.65","2,621.10","2,825.00","2,610.10","1.26M","2.62%"
"22-07-2024","2,621.10","2,551.00","2,655.00","2,551.00","192.85K","1.86%"
"19-07-2024","2,573.15","2,553.10","2,587.00","2,541.00","79.07K","0.37%"
"18-07-2024","2,563.65","2,620.95","2,650.95","2,525.00","128.33K","-2.14%"
"16-07-2024","2,619.75","2,543.00","2,690.00","2,543.00","177.74K","2.63%"
"15-07-2024","2,552.55","2,580.00","2,588.00","2,541.70","39.92K","-0.71%"
"12-07-2024","2,570.70","2,545.00","2,619.90","2,540.60","119.20K","0.83%"
"11-07-2024","2,549.60","2,543.00","2,610.00","2,505.00","137.97K","1.28%"
"10-07-2024","2,517.30","2,560.00","2,614.45","2,501.00","102.79K","-1.54%"
"09-07-2024","2,556.60","2,526.40","2,598.00","2,526.40","108.22K","1.30%"
"08-07-2024","2,523.70","2,538.80","2,559.90","2,502.80","58.77K","-0.59%"
"05-07-2024","2,538.80","2,596.00","2,609.00","2,534.05","113.96K","-1.91%"
"04-07-2024","2,588.25","2,617.00","2,660.00","2,567.65","122.15K","-0.59%"
"03-07-2024","2,603.70","2,620.10","2,674.00","2,598.05","85.65K","-0.57%"
"02-07-2024","2,618.75","2,625.00","2,698.95","2,602.10","105.61K","0.52%"
"01-07-2024","2,605.20","2,651.00","2,674.35","2,594.00","78.03K","-1.73%"
"28-06-2024","2,651.00","2,680.00","2,700.00","2,641.20","81.35K","-0.99%"
"27-06-2024","2,677.55","2,605.10","2,691.00","2,593.90","133.59K","2.94%"
"26-06-2024","2,601.20","2,641.50","2,675.00","2,592.00","54.74K","-1.53%"
"25-06-2024","2,641.60","2,638.30","2,683.15","2,622.20","87.53K","0.13%"
"24-06-2024","2,638.30","2,499.55","2,710.00","2,499.55","446.18K","3.97%"
"21-06-2024","2,537.60","2,540.05","2,599.35","2,524.10","137.58K","0.31%"
"20-06-2024","2,529.85","2,576.40","2,587.95","2,521.95","66.18K","-1.31%"
"19-06-2024","2,563.55","2,643.00","2,660.00","2,556.00","73.98K","-3.01%"
"18-06-2024","2,643.00","2,696.05","2,723.85","2,625.00","88.40K","-0.45%"
"14-06-2024","2,654.85","2,718.00","2,760.00","2,639.95","123.92K","-1.70%"
"13-06-2024","2,700.70","2,633.55","2,709.25","2,630.00","181.78K","2.86%"
"12-06-2024","2,625.65","2,659.60","2,675.00","2,592.40","134.72K","-1.13%"
"11-06-2024","2,655.75","2,601.15","2,660.50","2,585.70","277.46K","2.10%"
"10-06-2024","2,601.15","2,534.90","2,613.65","2,475.00","202.31K","3.73%"
"07-06-2024","2,507.50","2,470.00","2,549.00","2,465.10","189.87K","1.73%"
"06-06-2024","2,464.90","2,470.00","2,535.75","2,453.00","167.20K","-0.32%"
"05-06-2024","2,472.85","2,395.00","2,525.00","2,368.15","190.21K","5.25%"
"04-06-2024","2,349.55","2,498.00","2,516.45","2,235.00","251.78K","-5.82%"
"03-06-2024","2,494.70","2,625.00","2,625.00","2,476.00","246.76K","-4.76%"
"31-05-2024","2,619.30","2,562.00","2,650.00","2,510.05","395.14K","0.96%"
"30-05-2024","2,594.30","2,515.10","2,605.00","2,501.05","324.31K","2.38%"
"29-05-2024","2,533.95","2,472.00","2,567.00","2,450.10","435.70K","2.15%"
"28-05-2024","2,480.50","2,373.90","2,499.40","2,371.95","490.37K","5.06%"
"27-05-2024","2,361.00","2,439.70","2,449.90","2,355.00","140.95K","-2.87%"
"24-05-2024","2,430.85","2,460.00","2,534.00","2,416.10","299.36K","-1.73%"
"23-05-2024","2,473.55","2,381.20","2,510.00","2,361.50","436.77K","4.33%"
"22-05-2024","2,370.85","2,357.95","2,390.00","2,296.10","323.42K","1.13%"
"21-05-2024","2,344.30","2,358.90","2,405.00","2,305.00","229.31K","-0.65%"
"18-05-2024","2,359.55","2,385.00","2,401.35","2,342.00","126.10K","3.17%"
"17-05-2024","2,287.00","2,036.00","2,343.25","2,024.20","1.20M","13.08%"
"16-05-2024","2,022.50","1,999.00","2,045.00","1,980.10","110.54K","1.68%"
"15-05-2024","1,989.15","1,999.35","2,029.25","1,975.00","84.41K","-0.27%"
"14-05-2024","1,994.45","2,006.25","2,020.00","1,984.00","36.94K","-0.25%"
"13-05-2024","1,999.35","1,980.15","2,015.85","1,967.80","60.94K","1.37%"
"10-05-2024","1,972.30","1,975.95","2,002.95","1,965.00","60.41K","-0.18%"
"09-05-2024","1,975.90","2,021.00","2,032.05","1,966.90","87.38K","-1.89%"
"08-05-2024","2,013.95","2,052.00","2,078.00","2,010.00","67.77K","-1.43%"
"07-05-2024","2,043.10","2,097.75","2,110.85","1,993.95","136.39K","-1.89%"
"06-05-2024","2,082.55","2,103.75","2,121.00","2,061.55","71.92K","-0.61%"
"03-05-2024","2,095.35","2,122.00","2,145.00","2,078.10","101.61K","-0.30%"
"02-05-2024","2,101.75","2,110.25","2,124.00","2,078.80","60.84K","0.72%"
"30-04-2024","2,086.75","2,119.10","2,142.00","2,080.10","65.14K","-1.24%"
"29-04-2024","2,112.85","2,137.00","2,165.40","2,099.00","159.14K","-0.74%"
"26-04-2024","2,128.65","2,073.90","2,148.00","2,053.00","228.12K","3.05%"
"25-04-2024","2,065.60","2,078.00","2,118.00","2,041.00","190.45K","-0.56%"
"24-04-2024","2,077.25","1,956.50","2,087.00","1,954.25","278.85K","6.70%"
"23-04-2024","1,946.75","1,950.00","1,964.00","1,930.35","135.41K","-0.17%"
"22-04-2024","1,950.05","1,872.00","1,972.25","1,872.00","209.65K","4.21%"
"19-04-2024","1,871.20","1,878.15","1,878.20","1,854.00","49.22K","-0.90%"
"18-04-2024","1,888.15","1,922.95","1,922.95","1,872.25","89.41K","-0.56%"
"16-04-2024","1,898.80","1,902.75","1,914.00","1,877.75","69.36K","-0.18%"
"15-04-2024","1,902.20","1,876.10","1,923.30","1,842.05","164.65K","1.11%"
"12-04-2024","1,881.40","1,890.05","1,934.40","1,872.00","173.08K","-0.79%"
"10-04-2024","1,896.45","1,913.25","1,924.00","1,891.25","107.23K","-0.68%"
"09-04-2024","1,909.50","1,945.00","1,945.00","1,903.10","119.85K","-1.05%"
"08-04-2024","1,929.80","1,942.00","1,973.85","1,923.20","124.93K","-0.43%"
"05-04-2024","1,938.05","1,946.60","1,951.95","1,917.30","79.09K","0.18%"
"04-04-2024","1,934.65","1,974.10","1,989.00","1,931.00","120.79K","-1.55%"
"03-04-2024","1,965.15","1,969.00","1,984.00","1,952.55","89.18K","-0.28%"
"02-04-2024","1,970.65","1,994.60","2,023.00","1,965.10","102.42K","-0.79%"
"01-04-2024","1,986.30","1,946.60","1,995.25","1,927.25","140.80K","2.04%"
"28-03-2024","1,946.60","1,890.45","1,962.35","1,890.45","120.03K","3.55%"
"27-03-2024","1,879.80","1,925.00","1,957.15","1,871.25","250.31K","-2.17%"
"26-03-2024","1,921.50","1,977.00","1,987.00","1,912.40","133.02K","-2.12%"
"22-03-2024","1,963.05","1,987.00","1,995.00","1,939.00","267.40K","-1.17%"
"21-03-2024","1,986.30","1,991.20","2,039.95","1,975.05","142.72K","-0.64%"
"20-03-2024","1,999.00","1,955.65","2,019.75","1,955.65","134.37K","2.38%"
"19-03-2024","1,952.55","1,976.00","2,004.85","1,932.05","204.88K","-1.00%"
"18-03-2024","1,972.25","1,905.60","1,995.95","1,905.60","231.52K","2.37%"
"15-03-2024","1,926.55","1,970.90","1,983.00","1,900.00","207.21K","-2.16%"
"14-03-2024","1,969.05","1,926.95","1,988.00","1,913.00","125.93K","2.22%"
"13-03-2024","1,926.30","2,001.00","2,015.20","1,898.00","222.31K","-3.75%"
"12-03-2024","2,001.25","2,011.95","2,037.85","1,976.50","165.71K","-0.41%"
"11-03-2024","2,009.40","2,049.95","2,102.00","1,991.50","263.85K","-1.98%"
"07-03-2024","2,049.95","2,075.00","2,080.55","2,026.85","148.16K","-1.08%"
"06-03-2024","2,072.40","2,120.05","2,134.75","2,051.30","240.94K","-2.73%"
"05-03-2024","2,130.50","2,150.35","2,158.60","2,103.20","82.72K","-0.92%"
"04-03-2024","2,150.35","2,191.00","2,191.00","2,130.50","123.32K","-1.00%"
"02-03-2024","2,172.00","2,158.85","2,184.00","2,144.30","5.67K","1.16%"
"01-03-2024","2,147.10","2,170.00","2,187.00","2,132.85","126.02K","-1.22%"
"29-02-2024","2,173.65","2,143.05","2,268.00","2,117.05","492.23K","0.91%"
"28-02-2024","2,154.15","2,168.35","2,205.35","2,138.95","87.48K","-0.62%"
"27-02-2024","2,167.60","2,152.30","2,199.15","2,152.30","122.02K","-0.20%"
"26-02-2024","2,171.90","2,170.85","2,190.00","2,154.00","94.13K","0.05%"
"23-02-2024","2,170.80","2,160.00","2,182.15","2,149.50","80.44K","0.53%"
"22-02-2024","2,159.30","2,258.00","2,258.00","2,151.15","212.94K","-3.53%"
"21-02-2024","2,238.35","2,295.00","2,312.15","2,209.10","78.43K","-2.21%"
"20-02-2024","2,289.05","2,260.00","2,312.15","2,245.00","119.23K","1.48%"
"19-02-2024","2,255.75","2,318.25","2,318.25","2,245.00","99.85K","-0.15%"
"16-02-2024","2,259.15","2,225.00","2,278.75","2,205.05","119.05K","2.70%"
"15-02-2024","2,199.80","2,188.00","2,225.00","2,130.05","125.60K","2.15%"
"14-02-2024","2,153.50","2,156.55","2,212.00","2,138.20","162.88K","-1.20%"
"13-02-2024","2,179.65","2,190.05","2,243.95","2,091.05","597.32K","-6.86%"
"12-02-2024","2,340.15","2,410.00","2,440.05","2,301.00","164.62K","-1.78%"
"09-02-2024","2,382.65","2,500.00","2,500.00","2,345.00","162.24K","-1.58%"
"08-02-2024","2,420.80","2,430.00","2,480.00","2,410.00","115.00K","-0.35%"
"07-02-2024","2,429.30","2,472.75","2,517.45","2,407.10","137.56K","-1.52%"
"06-02-2024","2,466.80","2,463.00","2,524.00","2,431.25","289.02K","0.76%"
"05-02-2024","2,448.20","2,309.80","2,493.40","2,282.00","323.82K","6.10%"
"02-02-2024","2,307.50","2,258.90","2,325.00","2,235.70","166.59K","3.57%"
"01-02-2024","2,228.05","2,250.00","2,274.80","2,202.10","144.37K","-0.97%"
"31-01-2024","2,249.90","2,218.75","2,274.25","2,210.00","199.27K","2.38%"
"30-01-2024","2,197.65","2,185.00","2,210.00","2,159.00","137.55K","0.64%"
"29-01-2024","2,183.75","2,210.15","2,222.00","2,161.25","77.73K","-0.43%"
"25-01-2024","2,193.25","2,204.00","2,293.00","2,145.00","188.32K","-0.09%"
"24-01-2024","2,195.25","2,225.50","2,249.90","2,156.25","195.34K","-1.38%"
"23-01-2024","2,225.95","2,275.00","2,304.00","2,209.00","183.33K","-1.93%"
"20-01-2024","2,269.80","2,317.95","2,317.95","2,261.00","55.16K","-1.15%"
"19-01-2024","2,296.10","2,329.95","2,357.00","2,278.95","296.11K","-1.45%"
"18-01-2024","2,329.90","2,251.05","2,374.80","2,243.35","318.01K","2.63%"
"17-01-2024","2,270.30","2,247.00","2,334.00","2,240.65","352.67K","0.77%"
"16-01-2024","2,253.05","2,259.90","2,275.15","2,240.00","295.21K","-0.27%"
"15-01-2024","2,259.20","2,257.00","2,284.40","2,220.00","368.64K","0.10%"
"12-01-2024","2,257.00","2,212.00","2,274.00","2,204.35","527.79K","2.60%"
