"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,768.95","1,725.05","1,776.75","1,721.50","621.23K","2.54%"
"05-11-2024","1,725.15","1,698.00","1,737.40","1,669.00","1.02M","1.52%"
"04-11-2024","1,699.25","1,694.95","1,715.90","1,649.00","661.66K","0.53%"
"01-11-2024","1,690.30","1,694.55","1,699.85","1,681.05","46.39K","-0.25%"
"31-10-2024","1,694.55","1,670.00","1,699.00","1,663.85","621.96K","1.47%"
"30-10-2024","1,670.00","1,680.35","1,696.30","1,655.20","467.60K","-0.30%"
"29-10-2024","1,675.10","1,719.50","1,724.40","1,628.10","818.05K","-2.24%"
"28-10-2024","1,713.50","1,663.80","1,722.90","1,650.50","519.78K","2.99%"
"25-10-2024","1,663.80","1,679.50","1,704.50","1,649.05","541.73K","-0.64%"
"24-10-2024","1,674.55","1,685.90","1,692.45","1,651.25","229.41K","-0.67%"
"23-10-2024","1,685.90","1,671.00","1,721.45","1,670.95","402.45K","0.22%"
"22-10-2024","1,682.25","1,717.45","1,741.75","1,676.10","533.70K","-2.01%"
"21-10-2024","1,716.80","1,738.50","1,756.85","1,705.05","444.55K","-1.25%"
"18-10-2024","1,738.45","1,725.05","1,747.20","1,715.30","389.35K","0.18%"
"17-10-2024","1,735.30","1,784.00","1,789.75","1,728.20","572.90K","-2.59%"
"16-10-2024","1,781.45","1,804.90","1,809.90","1,750.10","701.09K","-1.30%"
"15-10-2024","1,804.90","1,821.90","1,830.95","1,794.15","416.11K","-0.73%"
"14-10-2024","1,818.15","1,797.80","1,823.00","1,784.25","724.68K","1.54%"
"11-10-2024","1,790.65","1,761.00","1,805.00","1,759.85","474.66K","1.69%"
"10-10-2024","1,760.95","1,789.70","1,803.00","1,747.45","1.01M","-1.41%"
"09-10-2024","1,786.15","1,741.00","1,795.00","1,727.95","1.01M","2.97%"
"08-10-2024","1,734.55","1,675.00","1,739.00","1,663.70","933.18K","3.55%"
"07-10-2024","1,675.10","1,670.95","1,688.85","1,653.95","1.46M","0.75%"
"04-10-2024","1,662.70","1,634.25","1,699.90","1,629.95","1.24M","1.12%"
"03-10-2024","1,644.35","1,660.00","1,679.05","1,636.85","912.04K","-1.36%"
"01-10-2024","1,666.95","1,673.00","1,675.55","1,650.05","652.45K","-0.39%"
"30-09-2024","1,673.50","1,696.80","1,701.95","1,665.05","772.18K","-0.72%"
"27-09-2024","1,685.70","1,671.20","1,704.50","1,671.00","908.80K","0.44%"
"26-09-2024","1,678.30","1,694.65","1,696.15","1,668.00","926.47K","-0.65%"
"25-09-2024","1,689.20","1,702.45","1,705.25","1,671.00","804.66K","-0.49%"
"24-09-2024","1,697.50","1,720.00","1,726.65","1,691.65","825.44K","-0.87%"
"23-09-2024","1,712.45","1,705.00","1,764.00","1,705.00","4.89M","4.63%"
"20-09-2024","1,636.75","1,659.15","1,674.00","1,610.00","2.92M","-0.79%"
"19-09-2024","1,649.80","1,646.05","1,676.75","1,625.90","995.15K","0.23%"
"18-09-2024","1,646.05","1,714.00","1,719.25","1,623.10","1.60M","-3.91%"
"17-09-2024","1,713.00","1,745.00","1,746.75","1,708.00","795.53K","-1.63%"
"16-09-2024","1,741.45","1,769.60","1,769.60","1,734.45","613.70K","-0.70%"
"13-09-2024","1,753.70","1,745.05","1,756.50","1,729.65","696.37K","0.33%"
"12-09-2024","1,747.95","1,729.95","1,754.35","1,729.95","1.07M","1.29%"
"11-09-2024","1,725.65","1,727.85","1,744.00","1,715.15","788.70K","-0.13%"
"10-09-2024","1,727.85","1,713.00","1,746.85","1,713.00","1.05M","1.39%"
"09-09-2024","1,704.20","1,702.70","1,724.00","1,688.30","1.03M","0.09%"
"06-09-2024","1,702.70","1,709.70","1,725.00","1,695.00","1.00M","-0.39%"
"05-09-2024","1,709.45","1,686.00","1,715.80","1,680.00","994.85K","1.36%"
"04-09-2024","1,686.55","1,682.00","1,704.45","1,666.50","1.39M","-0.06%"
"03-09-2024","1,687.50","1,694.50","1,716.70","1,681.50","993.19K","-0.02%"
"02-09-2024","1,687.90","1,737.90","1,750.50","1,683.40","593.65K","-2.53%"
"30-08-2024","1,731.75","1,687.00","1,750.00","1,683.15","1.38M","2.39%"
"29-08-2024","1,691.30","1,705.10","1,713.90","1,676.15","1.34M","-0.95%"
"28-08-2024","1,707.45","1,706.95","1,712.00","1,695.00","662.57K","0.01%"
"27-08-2024","1,707.30","1,691.70","1,718.00","1,680.00","800.19K","0.75%"
"26-08-2024","1,694.60","1,695.50","1,705.00","1,678.05","756.01K","0.47%"
"23-08-2024","1,686.65","1,665.00","1,694.45","1,665.00","818.62K","0.59%"
"22-08-2024","1,676.75","1,680.75","1,680.75","1,658.45","747.44K","-0.24%"
"21-08-2024","1,680.75","1,637.65","1,684.85","1,630.95","1.29M","2.61%"
"20-08-2024","1,637.95","1,631.50","1,642.55","1,610.45","1.04M","0.40%"
"19-08-2024","1,631.50","1,582.10","1,639.70","1,565.80","2.45M","4.20%"
"16-08-2024","1,565.80","1,514.70","1,576.00","1,425.85","5.14M","5.00%"
"14-08-2024","1,491.20","1,492.00","1,514.00","1,467.65","1.12M","0.89%"
"13-08-2024","1,478.05","1,510.00","1,520.00","1,461.50","1.24M","-1.63%"
"12-08-2024","1,502.50","1,475.60","1,516.45","1,472.30","1.40M","2.01%"
"09-08-2024","1,472.95","1,455.40","1,484.00","1,453.05","835.57K","1.46%"
"08-08-2024","1,451.75","1,459.00","1,474.90","1,448.55","421.21K","-0.58%"
"07-08-2024","1,460.15","1,437.00","1,483.10","1,432.40","595.41K","2.42%"
"06-08-2024","1,425.60","1,428.70","1,464.85","1,420.35","738.08K","0.55%"
"05-08-2024","1,417.80","1,415.00","1,452.80","1,406.40","659.69K","-1.75%"
"02-08-2024","1,443.05","1,436.00","1,452.35","1,415.05","492.86K","0.37%"
"01-08-2024","1,437.70","1,472.80","1,479.40","1,425.00","941.97K","-2.11%"
"31-07-2024","1,468.75","1,434.50","1,474.00","1,434.50","743.60K","2.52%"
"30-07-2024","1,432.70","1,434.35","1,451.35","1,428.25","398.86K","-0.53%"
"29-07-2024","1,440.35","1,439.25","1,451.95","1,420.00","648.16K","0.14%"
"26-07-2024","1,438.40","1,423.00","1,454.20","1,420.10","703.61K","0.97%"
"25-07-2024","1,424.60","1,419.85","1,451.00","1,402.05","772.35K","-0.08%"
"24-07-2024","1,425.70","1,417.00","1,447.80","1,414.00","575.51K","0.06%"
"23-07-2024","1,424.90","1,427.00","1,434.95","1,400.80","933.07K","-0.33%"
"22-07-2024","1,429.65","1,406.90","1,436.65","1,330.10","780.64K","1.18%"
"19-07-2024","1,412.95","1,414.65","1,417.50","1,383.10","747.53K","-0.03%"
"18-07-2024","1,413.35","1,422.00","1,425.00","1,399.65","1.31M","0.18%"
"16-07-2024","1,410.75","1,411.90","1,427.00","1,405.10","590.65K","0.18%"
"15-07-2024","1,408.15","1,382.80","1,416.10","1,382.50","887.31K","1.93%"
"12-07-2024","1,381.50","1,386.00","1,396.00","1,353.15","1.28M","-0.21%"
"11-07-2024","1,384.40","1,392.00","1,397.00","1,350.00","2.65M","0.33%"
"10-07-2024","1,379.85","1,361.95","1,385.00","1,330.85","1.09M","1.53%"
"09-07-2024","1,359.05","1,356.05","1,364.95","1,343.30","558.98K","0.20%"
"08-07-2024","1,356.35","1,338.10","1,366.95","1,335.25","915.96K","1.36%"
"05-07-2024","1,338.15","1,295.00","1,356.50","1,291.30","1.45M","3.29%"
"04-07-2024","1,295.50","1,282.00","1,303.15","1,272.00","712.61K","1.07%"
"03-07-2024","1,281.80","1,251.80","1,292.80","1,249.30","1.40M","2.63%"
"02-07-2024","1,248.95","1,270.00","1,271.70","1,236.55","554.22K","-1.46%"
"01-07-2024","1,267.45","1,233.00","1,272.35","1,232.10","677.83K","3.00%"
"28-06-2024","1,230.50","1,225.05","1,246.90","1,220.80","476.41K","0.80%"
"27-06-2024","1,220.75","1,226.40","1,238.65","1,212.80","453.00K","-0.46%"
"26-06-2024","1,226.40","1,210.00","1,240.00","1,199.30","576.43K","1.08%"
"25-06-2024","1,213.35","1,219.00","1,231.85","1,208.25","396.68K","-0.53%"
"24-06-2024","1,219.85","1,230.60","1,231.95","1,212.20","602.29K","-0.87%"
"21-06-2024","1,230.60","1,241.25","1,260.60","1,227.30","537.20K","-0.86%"
"20-06-2024","1,241.25","1,237.85","1,251.75","1,233.35","310.53K","0.45%"
"19-06-2024","1,235.70","1,246.50","1,257.75","1,228.15","811.53K","-0.58%"
"18-06-2024","1,242.85","1,237.15","1,264.00","1,232.25","1.12M","0.46%"
"14-06-2024","1,237.15","1,226.15","1,240.75","1,221.05","647.21K","1.00%"
"13-06-2024","1,224.85","1,205.00","1,232.50","1,198.40","765.84K","1.82%"
"12-06-2024","1,202.90","1,195.00","1,205.55","1,182.50","586.20K","1.02%"
"11-06-2024","1,190.75","1,207.85","1,212.45","1,186.60","902.10K","-1.27%"
"10-06-2024","1,206.10","1,198.00","1,212.00","1,182.55","647.19K","1.00%"
"07-06-2024","1,194.15","1,213.00","1,220.95","1,188.00","818.36K","-1.30%"
"06-06-2024","1,209.85","1,184.55","1,216.15","1,164.25","769.80K","2.22%"
"05-06-2024","1,183.55","1,135.00","1,203.00","1,109.05","935.49K","5.45%"
"04-06-2024","1,122.35","1,176.20","1,189.00","1,037.15","2.20M","-4.58%"
"03-06-2024","1,176.20","1,174.95","1,199.00","1,151.80","466.30K","1.37%"
"31-05-2024","1,160.35","1,160.00","1,182.00","1,145.60","1.45M","0.38%"
"30-05-2024","1,156.00","1,173.30","1,180.75","1,148.55","815.24K","-2.07%"
"29-05-2024","1,180.40","1,160.20","1,183.90","1,144.15","1.56M","1.74%"
"28-05-2024","1,160.20","1,120.00","1,176.45","1,110.25","5.61M","3.64%"
"27-05-2024","1,119.45","1,031.25","1,124.50","1,031.25","5.96M","8.06%"
"24-05-2024","1,036.00","1,031.00","1,042.60","1,000.00","953.72K","0.82%"
"23-05-2024","1,027.60","1,036.45","1,036.45","1,005.50","309.75K","0.22%"
"22-05-2024","1,025.35","1,034.50","1,043.00","1,021.70","256.93K","-0.88%"
"21-05-2024","1,034.45","1,047.90","1,053.00","1,023.10","473.44K","-0.77%"
"18-05-2024","1,042.45","1,020.00","1,048.00","1,019.55","94.68K","2.25%"
"17-05-2024","1,019.55","1,010.00","1,021.50","999.80","342.55K","1.42%"
"16-05-2024","1,005.30","1,005.00","1,011.95","985.20","571.34K","0.29%"
"15-05-2024","1,002.40","1,013.95","1,017.60","986.40","969.72K","-0.88%"
"14-05-2024","1,011.25","1,033.15","1,040.00","1,008.10","256.95K","-2.12%"
"13-05-2024","1,033.15","1,025.00","1,040.70","1,010.00","473.46K","0.90%"
"10-05-2024","1,023.95","1,002.85","1,027.25","997.40","421.30K","2.43%"
"09-05-2024","999.65","1,015.20","1,025.00","995.05","469.36K","-2.14%"
"08-05-2024","1,021.50","1,016.80","1,029.50","1,008.05","213.90K","0.57%"
"07-05-2024","1,015.75","1,043.75","1,043.75","997.80","560.48K","-2.39%"
"06-05-2024","1,040.65","1,057.80","1,062.30","1,033.65","414.90K","-1.20%"
"03-05-2024","1,053.30","1,062.20","1,071.30","1,045.30","845.27K","-0.68%"
"02-05-2024","1,060.50","1,060.35","1,068.95","1,053.65","324.11K","0.31%"
"30-04-2024","1,057.20","1,075.00","1,081.60","1,054.50","952.24K","-1.30%"
"29-04-2024","1,071.10","1,090.00","1,098.00","1,063.05","442.80K","-0.76%"
"26-04-2024","1,079.35","1,085.00","1,088.75","1,061.25","475.44K","-0.09%"
"25-04-2024","1,080.30","1,071.00","1,096.00","1,070.95","1.10M","0.87%"
"24-04-2024","1,070.95","1,036.00","1,074.60","1,033.30","657.38K","3.52%"
"23-04-2024","1,034.50","1,039.35","1,044.25","1,017.50","1.22M","-0.47%"
"22-04-2024","1,039.35","1,030.00","1,054.10","1,026.45","260.45K","1.26%"
"19-04-2024","1,026.40","1,032.00","1,039.45","1,020.15","762.71K","-1.48%"
"18-04-2024","1,041.80","1,060.00","1,063.95","1,034.20","1.14M","-1.72%"
"16-04-2024","1,060.00","1,044.00","1,063.95","1,040.10","425.48K","1.53%"
"15-04-2024","1,044.00","1,031.00","1,060.00","1,031.00","586.62K","-0.74%"
"12-04-2024","1,051.80","1,043.35","1,070.00","1,031.00","980.80K","0.81%"
"10-04-2024","1,043.35","1,047.00","1,058.00","1,031.55","1.18M","-0.35%"
"09-04-2024","1,047.00","1,058.00","1,059.95","1,035.40","951.21K","0.76%"
"08-04-2024","1,039.10","1,017.40","1,057.75","1,017.40","870.10K","2.13%"
"05-04-2024","1,017.40","1,010.00","1,019.00","999.30","442.66K","1.13%"
"04-04-2024","1,006.00","999.45","1,010.00","990.10","861.43K","1.22%"
"03-04-2024","993.85","984.05","996.00","978.95","677.23K","0.69%"
"02-04-2024","987.00","984.75","993.50","975.00","804.26K","0.46%"
"01-04-2024","982.45","959.05","985.00","959.05","689.30K","2.50%"
"28-03-2024","958.45","960.00","968.60","954.25","517.94K","-0.42%"
"27-03-2024","962.45","960.00","969.40","947.30","752.95K","0.55%"
"26-03-2024","957.20","950.00","961.35","936.00","685.48K","0.65%"
"22-03-2024","951.00","943.70","954.40","940.70","792.84K","0.45%"
"21-03-2024","946.70","941.80","954.50","938.50","721.89K","0.57%"
"20-03-2024","941.30","915.85","946.45","908.35","1.10M","2.24%"
"19-03-2024","920.65","938.50","942.00","917.00","555.02K","-2.02%"
"18-03-2024","939.65","924.65","944.60","916.05","678.56K","1.42%"
"15-03-2024","926.50","937.95","943.85","912.05","1.14M","-1.17%"
"14-03-2024","937.50","890.55","941.45","883.00","1.58M","4.35%"
"13-03-2024","898.45","941.60","948.15","885.50","1.77M","-4.94%"
"12-03-2024","945.15","955.30","967.85","931.35","1.08M","-1.06%"
"11-03-2024","955.30","958.00","974.00","950.05","1.88M","0.01%"
"07-03-2024","955.25","927.00","964.30","927.00","1.75M","3.11%"
"06-03-2024","926.40","916.00","935.60","903.15","1.58M","1.00%"
"05-03-2024","917.20","920.90","921.55","905.35","660.08K","-0.49%"
"04-03-2024","921.70","925.05","945.95","919.25","1.09M","-0.25%"
"02-03-2024","924.00","918.90","936.00","915.00","52.62K","0.40%"
"01-03-2024","920.30","925.10","925.10","904.70","671.59K","-0.52%"
"29-02-2024","925.10","911.00","926.95","898.45","1.43M","1.53%"
"28-02-2024","911.20","925.00","929.90","900.55","643.01K","-1.77%"
