"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,074.15","1,075.70","1,083.35","1,063.45","210.75K","1.18%"
"05-11-2024","1,061.60","1,067.70","1,079.90","1,050.25","313.14K","-0.54%"
"04-11-2024","1,067.35","1,109.35","1,115.70","1,063.70","305.28K","-4.33%"
"01-11-2024","1,115.70","1,114.90","1,124.00","1,109.00","65.24K","0.87%"
"31-10-2024","1,106.10","1,082.85","1,110.00","1,078.05","171.84K","2.15%"
"30-10-2024","1,082.85","1,065.00","1,092.50","1,062.00","129.01K","0.94%"
"29-10-2024","1,072.80","1,075.00","1,082.70","1,061.20","109.25K","0.01%"
"28-10-2024","1,072.70","1,060.95","1,084.25","1,042.50","206.43K","1.18%"
"25-10-2024","1,060.15","1,065.95","1,075.95","1,040.00","259.28K","-0.54%"
"24-10-2024","1,065.95","1,047.60","1,076.95","1,044.95","229.57K","1.96%"
"23-10-2024","1,045.45","1,024.50","1,053.20","1,013.05","423.71K","2.48%"
"22-10-2024","1,020.15","1,036.05","1,052.10","1,010.05","529.85K","-2.67%"
"21-10-2024","1,048.10","1,073.65","1,075.00","1,035.00","661.69K","-1.84%"
"18-10-2024","1,067.75","1,094.00","1,094.00","1,055.80","378.74K","-0.95%"
"17-10-2024","1,078.00","1,115.00","1,117.95","1,073.35","529.28K","-2.44%"
"16-10-2024","1,105.00","1,071.00","1,115.60","1,070.95","788.30K","3.33%"
"15-10-2024","1,069.40","1,060.00","1,078.85","1,047.05","1.02M","2.17%"
"14-10-2024","1,046.70","1,044.00","1,051.80","1,032.00","826.02K","2.15%"
"11-10-2024","1,024.70","1,041.35","1,043.20","1,014.35","750.88K","-1.29%"
"10-10-2024","1,038.05","1,001.50","1,040.30","992.85","741.89K","3.65%"
"09-10-2024","1,001.50","996.00","1,019.70","994.20","1.35M","1.58%"
"08-10-2024","985.90","974.05","1,003.15","955.00","551.12K","1.97%"
"07-10-2024","966.90","978.05","980.00","935.50","714.79K","-0.02%"
"04-10-2024","967.10","969.00","991.35","959.30","545.43K","-0.65%"
"03-10-2024","973.45","1,001.95","1,009.00","970.00","460.47K","-2.72%"
"01-10-2024","1,000.65","1,012.35","1,016.00","982.70","2.48M","-2.14%"
"30-09-2024","1,022.55","1,058.30","1,058.30","1,015.00","1.12M","-0.94%"
"27-09-2024","1,032.30","1,060.00","1,068.00","1,025.00","798.87K","-2.75%"
"26-09-2024","1,061.45","1,071.00","1,080.00","1,057.00","210.21K","-1.18%"
"25-09-2024","1,074.10","1,091.50","1,092.45","1,064.55","942.18K","-1.72%"
"24-09-2024","1,092.95","1,103.90","1,110.00","1,083.25","765.62K","-0.31%"
"23-09-2024","1,096.35","1,127.70","1,136.00","1,092.00","525.92K","-1.42%"
"20-09-2024","1,112.15","1,100.00","1,139.15","1,080.00","1.74M","1.29%"
"19-09-2024","1,098.00","1,115.00","1,120.00","1,081.05","278.44K","-1.51%"
"18-09-2024","1,114.80","1,126.00","1,138.00","1,110.05","189.01K","-0.93%"
"17-09-2024","1,125.30","1,135.80","1,136.95","1,116.80","164.49K","-0.55%"
"16-09-2024","1,131.50","1,138.80","1,138.80","1,115.05","241.77K","0.73%"
"13-09-2024","1,123.30","1,127.00","1,140.35","1,113.90","316.48K","0.42%"
"12-09-2024","1,118.60","1,126.95","1,136.25","1,092.20","626.23K","0.10%"
"11-09-2024","1,117.50","1,142.20","1,142.20","1,115.05","273.39K","-0.97%"
"10-09-2024","1,128.40","1,112.00","1,135.20","1,104.30","516.51K","2.36%"
"09-09-2024","1,102.40","1,112.50","1,122.55","1,088.75","335.72K","-0.77%"
"06-09-2024","1,110.95","1,140.00","1,157.95","1,107.10","199.90K","-2.81%"
"05-09-2024","1,143.10","1,153.90","1,178.00","1,128.60","369.42K","-0.93%"
"04-09-2024","1,153.85","1,161.70","1,168.70","1,145.00","1.06M","-0.92%"
"03-09-2024","1,164.60","1,129.70","1,178.00","1,129.70","541.49K","3.09%"
"02-09-2024","1,129.65","1,146.30","1,199.00","1,124.05","1.66M","-0.45%"
"30-08-2024","1,134.70","1,125.10","1,139.00","1,107.35","322.55K","1.00%"
"29-08-2024","1,123.50","1,090.00","1,134.95","1,070.75","1.06M","3.46%"
"28-08-2024","1,085.90","1,075.05","1,094.00","1,058.55","578.21K","1.14%"
"27-08-2024","1,073.65","1,064.85","1,080.00","1,056.00","261.37K","1.45%"
"26-08-2024","1,058.35","1,080.40","1,116.00","1,054.00","978.05K","-1.58%"
"23-08-2024","1,075.35","1,074.70","1,094.25","1,064.00","731.57K","0.06%"
"22-08-2024","1,074.70","1,083.30","1,085.00","1,073.30","225.34K","-0.45%"
"21-08-2024","1,079.60","1,082.50","1,086.50","1,069.50","329.68K","-0.19%"
"20-08-2024","1,081.65","1,107.90","1,111.15","1,077.00","395.46K","-2.22%"
"19-08-2024","1,106.25","1,119.90","1,122.20","1,098.00","355.37K","-1.73%"
"16-08-2024","1,125.75","1,070.05","1,134.45","1,063.00","430.82K","5.63%"
"14-08-2024","1,065.75","1,087.70","1,090.95","1,060.00","367.45K","-1.77%"
"13-08-2024","1,084.95","1,097.80","1,109.95","1,065.25","444.34K","0.30%"
"12-08-2024","1,081.75","1,121.70","1,129.25","1,080.00","559.07K","-4.57%"
"09-08-2024","1,133.60","1,192.90","1,192.90","1,128.00","279.39K","-3.44%"
"08-08-2024","1,173.95","1,197.10","1,197.10","1,160.05","140.57K","-1.47%"
"07-08-2024","1,191.50","1,200.15","1,203.35","1,175.50","257.78K","0.68%"
