"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","374.15","365.10","376.00","365.10","1.76M","2.83%"
"05-11-2024","363.85","358.70","365.85","356.10","907.84K","1.65%"
"04-11-2024","357.95","371.00","371.75","351.35","1.14M","-4.05%"
"01-11-2024","373.05","372.90","376.95","371.35","519.21K","0.70%"
"31-10-2024","370.45","369.50","374.10","363.25","2.20M","0.82%"
"30-10-2024","367.45","362.30","374.30","362.30","1.52M","0.14%"
"29-10-2024","366.95","356.00","369.20","353.80","1.55M","3.08%"
"28-10-2024","356.00","348.00","360.75","338.85","1.87M","3.53%"
"25-10-2024","343.85","360.00","360.75","338.45","1.91M","-4.01%"
"24-10-2024","358.20","353.85","366.60","348.30","3.11M","0.76%"
"23-10-2024","355.50","338.00","373.50","333.00","18.66M","8.25%"
"22-10-2024","328.40","355.00","355.70","326.00","1.22M","-6.88%"
"21-10-2024","352.65","360.05","361.60","350.50","679.08K","-1.58%"
"18-10-2024","358.30","351.80","360.25","342.15","1.33M","1.36%"
"17-10-2024","353.50","356.50","362.90","351.10","1.72M","0.28%"
"16-10-2024","352.50","342.90","358.35","339.05","1.26M","3.01%"
"15-10-2024","342.20","339.80","344.25","334.20","646.98K","1.11%"
"14-10-2024","338.45","344.00","347.20","336.00","976.70K","-0.46%"
"11-10-2024","340.00","327.00","344.00","323.20","1.98M","4.17%"
"10-10-2024","326.40","329.80","333.50","324.15","555.08K","-0.62%"
"09-10-2024","328.45","325.50","332.35","325.00","723.22K","1.42%"
"08-10-2024","323.85","311.00","326.00","309.15","1.43M","4.23%"
"07-10-2024","310.70","336.45","338.00","308.80","2.68M","-7.00%"
"04-10-2024","334.10","347.00","348.85","333.00","1.07M","-3.69%"
"03-10-2024","346.90","350.00","355.05","346.20","689.31K","-2.71%"
"01-10-2024","356.55","358.00","361.45","355.50","664.11K","-0.86%"
"30-09-2024","359.65","362.00","372.80","355.80","2.47M","-0.04%"
"27-09-2024","359.80","364.45","367.10","358.75","576.46K","-1.28%"
"26-09-2024","364.45","365.00","365.90","358.50","688.35K","0.03%"
"25-09-2024","364.35","366.00","369.50","362.00","555.05K","-0.16%"
"24-09-2024","364.95","364.10","371.00","363.55","758.42K","0.50%"
"23-09-2024","363.15","366.00","366.70","362.50","438.11K","-0.16%"
"20-09-2024","363.75","364.80","367.95","362.15","788.85K","-1.81%"
"19-09-2024","370.45","372.00","374.35","363.90","1.23M","-0.24%"
"18-09-2024","371.35","377.00","377.00","366.90","820.05K","-1.17%"
"17-09-2024","375.75","376.85","377.35","371.25","663.29K","0.44%"
"16-09-2024","374.10","369.75","378.00","368.35","1.05M","1.69%"
"13-09-2024","367.90","367.95","373.00","366.00","682.90K","0.37%"
"12-09-2024","366.55","367.35","369.00","361.95","1.16M","0.29%"
"11-09-2024","365.50","373.00","373.25","363.90","691.49K","-1.91%"
"10-09-2024","372.60","365.50","375.00","362.60","1.46M","2.43%"
"09-09-2024","363.75","370.90","370.90","359.05","913.24K","-1.93%"
"06-09-2024","370.90","372.00","379.50","367.70","4.04M","1.84%"
"05-09-2024","364.20","366.05","369.00","363.50","383.13K","-0.07%"
"04-09-2024","364.45","366.00","368.50","363.70","395.67K","-0.75%"
"03-09-2024","367.20","368.70","373.50","365.35","899.64K","0.60%"
"02-09-2024","365.00","370.90","370.90","363.85","663.44K","-1.10%"
"30-08-2024","369.05","368.00","370.00","364.70","563.73K","0.65%"
"29-08-2024","366.65","370.00","370.55","363.25","676.88K","-0.80%"
"28-08-2024","369.60","370.15","376.95","368.10","697.75K","-0.12%"
"27-08-2024","370.05","370.35","372.45","368.35","539.45K","0.26%"
"26-08-2024","369.10","373.30","373.95","367.10","733.91K","-0.65%"
"23-08-2024","371.50","372.05","379.00","370.00","921.23K","0.13%"
"22-08-2024","371.00","374.00","376.60","370.10","686.53K","-0.26%"
"21-08-2024","371.95","369.80","374.00","366.35","844.48K","1.06%"
"20-08-2024","368.05","368.00","373.70","366.20","706.53K","0.51%"
"19-08-2024","366.20","361.90","369.90","361.00","607.64K","1.71%"
"16-08-2024","360.05","360.00","363.45","355.60","790.96K","0.80%"
"14-08-2024","357.20","366.00","367.95","356.00","1.89M","-1.42%"
"13-08-2024","362.35","372.00","373.95","361.55","821.93K","-2.29%"
"12-08-2024","370.85","368.55","374.00","364.10","843.10K","0.62%"
"09-08-2024","368.55","372.00","374.00","365.55","921.62K","-0.09%"
"08-08-2024","368.90","376.00","382.00","367.85","958.11K","-1.57%"
"07-08-2024","374.80","373.60","377.90","369.00","967.30K","2.32%"
"06-08-2024","366.30","377.15","384.90","363.00","1.11M","-1.80%"
"05-08-2024","373.00","387.05","387.05","371.00","1.56M","-5.65%"
"02-08-2024","395.35","396.00","400.60","392.50","875.41K","-1.29%"
"01-08-2024","400.50","403.40","412.35","398.10","2.17M","-0.05%"
"31-07-2024","400.70","403.70","404.80","399.55","656.55K","0.21%"
"30-07-2024","399.85","398.30","408.90","396.85","1.60M","0.93%"
"29-07-2024","396.15","402.20","403.80","395.05","1.62M","-1.58%"
"26-07-2024","402.50","410.05","413.70","401.50","1.61M","-1.41%"
"25-07-2024","408.25","406.95","415.00","404.15","1.52M","-0.69%"
"24-07-2024","411.10","397.00","424.45","394.30","4.28M","3.36%"
"23-07-2024","397.75","395.00","410.00","380.10","3.41M","0.79%"
"22-07-2024","394.65","395.00","401.85","388.40","1.68M","-0.73%"
"19-07-2024","397.55","409.20","409.55","395.00","1.31M","-3.20%"
"18-07-2024","410.70","416.30","416.30","406.55","1.42M","-1.48%"
"16-07-2024","416.85","426.00","431.90","415.10","2.61M","-1.19%"
"15-07-2024","421.85","415.00","426.30","408.50","2.14M","1.08%"
"12-07-2024","417.35","424.00","426.25","416.00","1.31M","-1.31%"
"11-07-2024","422.90","425.00","431.90","419.20","2.35M","0.00%"
"10-07-2024","422.90","428.00","432.45","414.20","5.76M","2.32%"
"09-07-2024","413.30","427.70","439.90","411.05","5.03M","-2.03%"
"08-07-2024","421.85","402.00","436.20","402.00","16.79M","5.08%"
"05-07-2024","401.45","398.10","404.50","396.70","1.17M","1.02%"
"04-07-2024","397.40","393.50","409.30","392.30","2.64M","1.46%"
"03-07-2024","391.70","392.60","395.40","389.05","906.72K","0.19%"
"02-07-2024","390.95","396.00","397.80","387.45","758.08K","-0.99%"
"01-07-2024","394.85","393.70","398.10","393.00","605.55K","0.48%"
"28-06-2024","392.95","399.70","401.00","392.00","789.21K","-1.24%"
"27-06-2024","397.90","402.90","404.30","393.80","1.10M","-0.82%"
"26-06-2024","401.20","403.80","409.20","399.50","1.83M","0.46%"
"25-06-2024","399.35","399.55","414.85","397.10","3.46M","0.63%"
"24-06-2024","396.85","399.20","403.95","392.05","1.13M","-0.59%"
"21-06-2024","399.20","403.70","408.90","398.05","910.73K","-1.11%"
"20-06-2024","403.70","397.75","412.25","394.25","1.86M","1.66%"
"19-06-2024","397.10","407.40","408.85","395.70","1.54M","-1.96%"
"18-06-2024","405.05","403.40","414.30","395.35","3.46M","0.85%"
"14-06-2024","401.65","386.60","405.00","385.00","3.06M","3.89%"
"13-06-2024","386.60","390.00","392.10","384.65","705.22K","-0.58%"
"12-06-2024","388.85","391.00","395.00","387.25","866.97K","-0.10%"
"11-06-2024","389.25","385.35","394.20","382.90","1.20M","1.57%"
"10-06-2024","383.25","380.00","386.00","380.00","942.96K","1.09%"
"07-06-2024","379.10","373.80","382.30","368.15","1.54M","2.02%"
"06-06-2024","371.60","360.00","379.40","360.00","1.81M","4.56%"
"05-06-2024","355.40","368.95","368.95","328.80","2.54M","2.08%"
"04-06-2024","348.15","405.00","405.00","324.70","4.24M","-14.22%"
"03-06-2024","405.85","411.00","411.65","399.10","1.88M","3.44%"
"31-05-2024","392.35","387.80","398.50","382.90","1.26M","2.15%"
"30-05-2024","384.10","391.05","393.65","382.65","880.33K","-1.78%"
"29-05-2024","391.05","391.00","396.85","384.15","1.04M","0.44%"
"28-05-2024","389.35","395.00","398.80","386.30","2.44M","-3.35%"
"27-05-2024","402.85","411.95","413.40","401.00","1.51M","-1.62%"
"24-05-2024","409.50","421.00","423.40","408.00","1.34M","-2.40%"
"23-05-2024","419.55","422.70","433.10","418.35","1.33M","-0.53%"
"22-05-2024","421.80","430.20","431.80","417.55","1.45M","-1.47%"
"21-05-2024","428.10","434.00","434.75","424.00","1.94M","-1.69%"
"18-05-2024","435.45","429.35","442.00","428.85","1.09M","1.62%"
"17-05-2024","428.50","411.00","434.00","409.15","5.39M","4.75%"
"16-05-2024","409.05","413.25","416.35","407.00","932.46K","-0.55%"
"15-05-2024","411.30","411.65","417.90","408.20","1.48M","0.42%"
"14-05-2024","409.60","392.00","411.95","391.20","2.31M","4.88%"
"13-05-2024","390.55","392.20","395.95","379.50","1.52M","-0.43%"
"10-05-2024","392.25","390.00","395.40","376.35","1.90M","1.65%"
"09-05-2024","385.90","401.05","409.75","382.00","1.85M","-3.69%"
"08-05-2024","400.70","407.50","421.80","393.50","3.65M","-1.66%"
"07-05-2024","407.45","428.50","431.70","403.05","3.24M","-4.95%"
"06-05-2024","428.65","451.50","452.70","424.40","4.57M","-4.46%"
"03-05-2024","448.65","422.50","452.95","419.75","11.64M","6.66%"
"02-05-2024","420.65","422.50","427.95","417.00","1.58M","0.13%"
"30-04-2024","420.10","434.75","434.80","418.00","1.91M","-2.88%"
"29-04-2024","432.55","438.30","443.60","430.10","2.09M","-0.52%"
"26-04-2024","434.80","420.40","445.40","413.55","8.54M","3.94%"
"25-04-2024","418.30","417.25","426.85","412.00","3.58M","0.46%"
"24-04-2024","416.40","404.00","423.85","402.45","6.01M","3.49%"
"23-04-2024","402.35","392.55","407.70","389.10","2.93M","3.02%"
"22-04-2024","390.55","392.00","396.85","387.95","1.07M","0.67%"
"19-04-2024","387.95","379.80","391.35","373.60","1.82M","1.05%"
"18-04-2024","383.90","391.00","401.55","382.00","1.86M","-1.06%"
"16-04-2024","388.00","389.00","398.30","386.35","1.87M","-0.27%"
"15-04-2024","389.05","393.55","398.70","379.50","2.71M","-3.68%"
"12-04-2024","403.90","409.95","416.50","401.35","2.40M","-1.49%"
"10-04-2024","410.00","399.80","424.00","399.80","12.48M","3.98%"
"09-04-2024","394.30","387.45","400.90","380.45","2.90M","2.27%"
"08-04-2024","385.55","390.50","393.80","383.00","883.22K","-0.80%"
"05-04-2024","388.65","389.50","391.65","383.55","1.14M","-0.09%"
"04-04-2024","389.00","389.75","396.00","383.70","1.74M","-0.64%"
"03-04-2024","391.50","390.00","394.80","385.40","1.95M","0.33%"
"02-04-2024","390.20","375.05","392.85","371.00","4.64M","4.04%"
"01-04-2024","375.05","348.70","378.40","348.50","3.47M","9.04%"
"28-03-2024","343.95","353.50","358.90","342.10","1.62M","-0.94%"
"27-03-2024","347.20","355.05","360.00","345.00","2.60M","-1.50%"
"26-03-2024","352.50","356.00","362.65","351.00","1.21M","-1.93%"
"22-03-2024","359.45","362.00","363.45","356.40","1.73M","-0.77%"
"21-03-2024","362.25","343.00","364.90","343.00","2.72M","5.32%"
"20-03-2024","343.95","352.00","352.00","340.75","1.65M","0.36%"
"19-03-2024","342.70","352.00","355.50","340.15","1.17M","-2.31%"
"18-03-2024","350.80","353.40","363.00","349.25","1.68M","0.07%"
"15-03-2024","350.55","344.00","355.65","334.65","2.22M","1.14%"
"14-03-2024","346.60","324.00","357.00","323.15","4.06M","7.04%"
"13-03-2024","323.80","364.00","369.45","316.80","3.56M","-10.55%"
"12-03-2024","362.00","383.65","385.85","358.30","2.21M","-5.72%"
"11-03-2024","383.95","395.90","397.50","380.10","1.01M","-3.07%"
"07-03-2024","396.10","396.00","404.95","385.25","1.41M","-0.15%"
"06-03-2024","396.70","393.00","409.00","380.00","3.46M","0.56%"
"05-03-2024","394.50","398.70","400.85","393.25","721.39K","-0.60%"
"04-03-2024","396.90","392.00","404.40","392.00","1.75M","-0.34%"
"02-03-2024","398.25","400.55","401.65","397.00","137.22K","0.00%"
"01-03-2024","398.25","392.20","403.90","392.05","1.17M","2.14%"
"29-02-2024","389.90","390.45","396.00","382.80","1.24M","-0.38%"
"28-02-2024","391.40","402.00","406.70","390.00","1.45M","-2.64%"
"27-02-2024","402.00","404.00","413.00","399.05","1.53M","-0.59%"
"26-02-2024","404.40","410.00","414.90","402.95","1.25M","-2.44%"
"23-02-2024","414.50","415.25","419.80","411.00","1.63M","-0.25%"
"22-02-2024","415.55","403.00","420.90","391.85","3.17M","3.56%"
"21-02-2024","401.25","411.00","413.90","398.05","1.31M","-2.37%"
"20-02-2024","411.00","410.00","417.85","403.65","1.76M","0.69%"
"19-02-2024","408.20","409.55","419.40","397.85","3.22M","0.10%"
"16-02-2024","407.80","420.45","420.45","406.15","1.95M","-2.41%"
"15-02-2024","417.85","407.20","423.45","406.25","3.03M","2.87%"
"14-02-2024","406.20","394.90","407.90","387.00","3.16M","1.91%"
"13-02-2024","398.60","384.95","401.00","373.00","5.05M","6.45%"
"12-02-2024","374.45","412.00","425.90","362.55","6.90M","-12.87%"
"09-02-2024","429.75","482.45","482.60","414.25","6.31M","-10.53%"
"08-02-2024","480.35","486.00","493.75","473.00","2.60M","-0.45%"
"07-02-2024","482.50","498.30","502.90","478.90","3.11M","-2.64%"
"06-02-2024","495.60","494.00","504.00","484.10","3.97M","1.26%"
"05-02-2024","489.45","477.30","506.00","476.25","12.70M","3.54%"
"02-02-2024","472.70","455.75","484.40","455.00","6.43M","4.31%"
"01-02-2024","453.15","455.95","462.95","448.40","1.62M","-1.06%"
"31-01-2024","458.00","454.80","461.00","452.15","1.95M","1.51%"
"30-01-2024","451.20","465.00","466.40","449.25","2.00M","-2.77%"
"29-01-2024","464.05","460.00","472.55","456.55","2.42M","1.38%"
"25-01-2024","457.75","458.40","462.80","454.25","1.73M","-0.14%"
"24-01-2024","458.40","440.15","462.45","432.85","3.27M","4.15%"
"23-01-2024","440.15","480.00","481.70","420.00","3.76M","-7.40%"
"20-01-2024","475.30","476.15","484.00","473.10","3.22M","0.44%"
"19-01-2024","473.20","458.85","477.50","457.50","3.98M","3.64%"
"18-01-2024","456.60","463.15","465.45","441.25","2.81M","-1.48%"
"17-01-2024","463.45","462.65","469.15","455.40","2.55M","-0.53%"
"16-01-2024","465.90","463.95","477.30","454.00","5.08M","0.92%"
"15-01-2024","461.65","470.40","472.10","453.60","2.92M","-1.29%"
"12-01-2024","467.70","470.00","473.75","465.60","2.23M","0.18%"
"11-01-2024","466.85","480.60","484.70","463.05","4.52M","-2.86%"
"10-01-2024","480.60","481.80","486.50","475.00","4.97M","0.35%"
"09-01-2024","478.90","465.00","502.90","465.00","20.52M","6.01%"
"08-01-2024","451.75","452.20","464.20","448.60","6.09M","0.38%"
"05-01-2024","450.05","451.00","461.35","441.30","10.61M","2.52%"
"04-01-2024","439.00","434.95","445.00","433.50","5.65M","1.54%"
"03-01-2024","432.35","435.80","445.00","430.05","6.91M","-0.29%"
"02-01-2024","433.60","435.50","447.00","422.35","9.88M","0.20%"
"01-01-2024","432.75","409.45","439.95","407.90","15.59M","6.33%"
"29-12-2023","407.00","410.75","414.25","405.00","2.64M","-0.71%"
"28-12-2023","409.90","411.70","420.00","408.00","4.06M","0.05%"
"27-12-2023","409.70","415.50","427.40","407.35","4.42M","-0.41%"
"26-12-2023","411.40","408.00","416.45","404.40","2.76M","0.93%"
"22-12-2023","407.60","410.00","415.50","401.85","2.58M","0.78%"
"21-12-2023","404.45","388.90","406.90","382.00","4.16M","4.05%"
"20-12-2023","388.70","416.00","422.00","376.10","5.43M","-5.87%"
"19-12-2023","412.95","405.00","423.90","404.50","7.18M","2.23%"
"18-12-2023","403.95","407.95","409.80","401.05","1.82M","-0.46%"
"15-12-2023","405.80","412.85","414.90","403.00","2.36M","-1.28%"
"14-12-2023","411.05","419.50","422.75","408.00","3.21M","-0.98%"
"13-12-2023","415.10","404.00","424.40","404.00","8.81M","3.46%"
"12-12-2023","401.20","407.00","416.00","396.20","3.78M","-1.33%"
"11-12-2023","406.60","417.85","423.60","404.40","3.45M","-2.31%"
"08-12-2023","416.20","424.25","439.95","410.55","8.24M","-1.47%"
"07-12-2023","422.40","434.20","435.65","420.05","3.16M","-2.57%"
"06-12-2023","433.55","429.90","439.90","421.15","4.87M","1.52%"
"05-12-2023","427.05","431.75","438.25","423.10","4.30M","-0.63%"
"04-12-2023","429.75","427.70","450.00","420.55","10.58M","3.02%"
"01-12-2023","417.15","413.00","431.00","408.25","8.23M","1.35%"
"30-11-2023","411.60","400.10","414.45","394.25","6.34M","3.37%"
"29-11-2023","398.20","410.00","416.90","394.10","4.99M","-2.40%"
"28-11-2023","408.00","390.50","412.40","384.05","10.51M","5.18%"
"24-11-2023","387.90","414.20","418.95","385.20","7.96M","-5.98%"
"23-11-2023","412.55","427.90","434.20","410.10","9.24M","-2.80%"
"22-11-2023","424.45","394.90","439.00","391.10","36.55M","8.10%"
"21-11-2023","392.65","393.95","404.25","391.40","4.90M","0.36%"
"20-11-2023","391.25","387.25","402.50","387.00","4.84M","1.37%"
"17-11-2023","385.95","390.50","392.00","383.45","2.71M","-1.04%"
"16-11-2023","390.00","386.95","404.80","384.30","7.30M","1.01%"
"15-11-2023","386.10","394.20","397.20","383.40","4.22M","-0.66%"
"13-11-2023","388.65","390.00","404.95","386.35","6.21M","-1.17%"
"12-11-2023","393.25","382.40","395.70","382.40","3.38M","3.71%"
"10-11-2023","379.20","362.00","382.50","358.90","7.76M","3.69%"
"09-11-2023","365.70","362.80","376.95","357.05","10.96M","1.29%"
"08-11-2023","361.05","321.30","367.25","319.65","19.37M","12.83%"
"07-11-2023","320.00","316.00","328.00","307.10","6.16M","1.46%"
