"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","81.62","79.00","81.92","78.93","22.71M","4.03%"
"05-11-2024","78.46","77.21","78.90","76.12","13.68M","0.67%"
"04-11-2024","77.94","80.00","80.14","76.62","15.37M","-2.56%"
"01-11-2024","79.99","79.57","80.48","79.35","2.17M","0.84%"
"31-10-2024","79.32","80.84","80.94","78.85","16.68M","-1.80%"
"30-10-2024","80.77","79.50","81.52","78.69","20.83M","1.62%"
"29-10-2024","79.48","78.01","79.86","76.45","24.15M","1.98%"
"28-10-2024","77.94","80.40","80.40","76.10","23.82M","-1.12%"
"25-10-2024","78.82","79.50","81.21","77.67","27.00M","-4.48%"
"24-10-2024","82.52","83.01","83.65","82.16","14.33M","0.35%"
"23-10-2024","82.23","81.00","82.85","79.45","24.98M","2.29%"
"22-10-2024","80.39","84.25","84.51","79.76","34.98M","-3.10%"
"21-10-2024","82.96","85.00","85.74","82.51","15.89M","-3.26%"
"18-10-2024","85.76","86.00","86.43","84.68","11.98M","-0.96%"
"17-10-2024","86.59","90.00","90.14","86.15","16.63M","-3.10%"
"16-10-2024","89.36","89.52","89.83","88.61","10.23M","-0.20%"
"15-10-2024","89.54","89.40","89.75","88.78","7.81M","0.66%"
"14-10-2024","88.95","88.35","89.25","88.21","5.90M","0.60%"
"11-10-2024","88.42","89.00","89.17","87.92","5.71M","-0.48%"
"10-10-2024","88.85","89.00","90.78","88.57","16.07M","1.32%"
"09-10-2024","87.69","88.85","89.55","86.93","56.66M","0.56%"
"08-10-2024","87.20","86.84","87.81","85.00","24.64M","2.26%"
"07-10-2024","85.27","90.09","90.48","84.57","19.45M","-5.19%"
"04-10-2024","89.94","88.70","90.84","87.90","44.54M","1.48%"
"03-10-2024","88.63","92.50","93.19","88.21","30.51M","-5.64%"
"01-10-2024","93.93","94.00","94.93","93.55","6.43M","-0.14%"
"30-09-2024","94.06","94.93","95.51","93.40","27.17M","-1.08%"
"27-09-2024","95.09","94.10","95.84","93.89","17.89M","1.04%"
"26-09-2024","94.11","94.30","94.49","92.74","14.25M","-0.43%"
"25-09-2024","94.52","95.30","95.50","93.70","9.38M","-0.88%"
"24-09-2024","95.36","95.90","96.00","94.79","23.00M","0.07%"
"23-09-2024","95.29","95.02","95.87","94.49","45.22M","0.80%"
"20-09-2024","94.53","93.50","95.40","92.82","82.88M","2.03%"
"19-09-2024","92.65","94.65","95.52","90.88","22.33M","-1.49%"
"18-09-2024","94.05","95.99","96.30","93.68","12.81M","-1.70%"
