"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,275.15","1,270.00","1,282.75","1,266.05","518.99K","0.70%"
"05-11-2024","1,266.25","1,278.00","1,280.55","1,256.50","499.85K","-0.46%"
"04-11-2024","1,272.15","1,275.00","1,282.50","1,265.05","409.22K","-0.23%"
"01-11-2024","1,275.10","1,287.75","1,293.50","1,250.00","40.52K","-0.63%"
"31-10-2024","1,283.15","1,308.90","1,319.75","1,277.20","858.31K","-1.30%"
"30-10-2024","1,300.05","1,284.65","1,304.00","1,267.30","790.63K","1.70%"
"29-10-2024","1,278.30","1,291.85","1,298.05","1,268.75","891.55K","-1.42%"
"28-10-2024","1,296.65","1,290.00","1,311.40","1,276.50","911.10K","0.42%"
"25-10-2024","1,291.25","1,288.00","1,328.85","1,275.00","3.22M","2.88%"
"24-10-2024","1,255.10","1,295.00","1,298.35","1,238.70","2.39M","-2.88%"
"23-10-2024","1,292.35","1,300.00","1,306.00","1,284.60","801.77K","-0.56%"
"22-10-2024","1,299.60","1,321.00","1,332.90","1,296.05","401.15K","-1.06%"
"21-10-2024","1,313.50","1,336.15","1,342.70","1,308.50","413.49K","-1.70%"
"18-10-2024","1,336.15","1,350.00","1,358.95","1,333.00","658.13K","-0.83%"
"17-10-2024","1,347.30","1,361.00","1,364.85","1,327.00","973.34K","-1.01%"
"16-10-2024","1,361.00","1,347.15","1,366.60","1,337.25","1.10M","1.38%"
"15-10-2024","1,342.45","1,319.80","1,346.15","1,314.00","1.82M","2.27%"
"14-10-2024","1,312.60","1,322.00","1,327.80","1,306.65","1.12M","-0.24%"
"11-10-2024","1,315.70","1,325.00","1,325.00","1,311.00","1.26M","-0.08%"
"10-10-2024","1,316.75","1,344.90","1,355.35","1,313.20","958.98K","-1.25%"
"09-10-2024","1,333.40","1,308.00","1,350.55","1,303.00","4.70M","2.21%"
"08-10-2024","1,304.55","1,318.00","1,343.10","1,300.25","2.89M","-2.09%"
"07-10-2024","1,332.35","1,343.25","1,355.55","1,325.00","1.21M","-0.81%"
"04-10-2024","1,343.25","1,348.00","1,357.15","1,333.10","1.76M","-0.38%"
"03-10-2024","1,348.40","1,350.30","1,388.00","1,338.05","2.34M","-2.87%"
"01-10-2024","1,388.25","1,395.00","1,415.50","1,369.05","1.23M","-0.37%"
"30-09-2024","1,393.40","1,388.75","1,407.00","1,377.00","1.19M","0.34%"
"27-09-2024","1,388.65","1,410.00","1,410.00","1,343.55","5.21M","-2.37%"
"26-09-2024","1,422.30","1,429.50","1,432.00","1,407.20","540.52K","-0.51%"
"25-09-2024","1,429.55","1,446.00","1,446.95","1,408.10","1.33M","-1.16%"
"24-09-2024","1,446.35","1,446.70","1,461.20","1,429.35","1.51M","-0.20%"
"23-09-2024","1,449.30","1,463.85","1,464.95","1,442.05","518.08K","-0.50%"
"20-09-2024","1,456.60","1,454.00","1,469.45","1,440.45","1.89M","0.81%"
"19-09-2024","1,444.85","1,439.30","1,456.85","1,429.55","736.19K","0.89%"
