"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","742.45","729.70","746.35","725.00","119.04K","2.34%"
"05-11-2024","725.45","711.30","727.65","710.20","109.63K","1.01%"
"04-11-2024","718.20","715.00","721.00","705.00","170.96K","-0.71%"
"01-11-2024","723.35","719.60","725.70","715.55","33.42K","1.48%"
"31-10-2024","712.80","716.00","725.00","695.25","178.58K","0.19%"
"30-10-2024","711.45","728.00","733.95","707.70","301.68K","-4.42%"
"29-10-2024","744.35","730.85","754.95","727.55","143.66K","2.59%"
"28-10-2024","725.55","725.75","738.50","688.00","379.58K","-1.53%"
"25-10-2024","736.80","740.00","747.35","722.00","158.46K","-0.77%"
"24-10-2024","742.55","743.00","758.00","738.30","103.88K","-0.19%"
"23-10-2024","744.00","725.00","752.75","715.60","196.28K","1.67%"
"22-10-2024","731.80","765.00","771.30","727.85","224.72K","-4.51%"
"21-10-2024","766.35","767.00","774.40","760.25","114.58K","-1.04%"
"18-10-2024","774.40","776.95","779.30","758.30","127.68K","-0.98%"
"17-10-2024","782.05","780.70","793.20","765.00","201.16K","0.12%"
"16-10-2024","781.15","770.00","785.00","767.05","174.21K","0.50%"
"15-10-2024","777.25","774.10","799.95","769.95","582.08K","0.41%"
"14-10-2024","774.10","753.10","791.90","753.10","1.24M","3.22%"
"11-10-2024","749.95","754.00","758.05","747.40","247.98K","-1.38%"
"10-10-2024","760.45","749.90","766.80","747.75","165.08K","1.41%"
"09-10-2024","749.85","746.70","756.00","740.70","120.12K","0.88%"
"08-10-2024","743.30","729.50","746.00","719.80","212.52K","1.73%"
"07-10-2024","730.65","739.90","739.90","703.00","315.37K","-1.25%"
"04-10-2024","739.90","745.20","753.10","736.05","191.62K","-0.71%"
"03-10-2024","745.20","734.25","756.90","725.00","360.39K","0.88%"
"01-10-2024","738.70","751.80","757.00","732.15","561.16K","-3.04%"
"30-09-2024","761.85","774.00","774.00","755.45","153.08K","-1.60%"
"27-09-2024","774.25","765.90","786.90","762.00","807.39K","1.47%"
"26-09-2024","763.00","777.80","777.80","760.00","129.55K","-1.35%"
"25-09-2024","773.45","780.50","780.50","770.20","168.66K","-0.48%"
"24-09-2024","777.15","781.90","797.10","775.00","368.66K","-0.56%"
"23-09-2024","781.50","785.90","791.95","774.40","251.06K","-0.10%"
"20-09-2024","782.30","812.00","813.85","772.70","512.47K","-2.93%"
"19-09-2024","805.95","820.75","826.10","780.00","389.33K","-1.80%"
"18-09-2024","820.75","850.95","853.75","811.00","902.26K","-1.35%"
"17-09-2024","832.00","810.00","844.00","799.00","599.23K","3.39%"
"16-09-2024","804.75","800.05","821.00","798.25","1.06M","1.17%"
"13-09-2024","795.45","785.00","835.00","782.00","4.57M","1.75%"
"12-09-2024","781.75","779.40","784.10","764.80","130.56K","1.01%"
"11-09-2024","773.90","793.25","793.30","765.00","125.66K","-1.99%"
"10-09-2024","789.65","779.00","794.00","766.65","125.71K","2.83%"
"09-09-2024","767.90","773.50","779.20","760.00","127.04K","-1.50%"
"06-09-2024","779.60","802.00","802.15","773.00","224.28K","-2.32%"
"05-09-2024","798.15","815.00","816.60","795.00","168.60K","-1.09%"
"04-09-2024","806.95","823.95","829.20","805.05","187.93K","-2.06%"
"03-09-2024","823.95","816.00","830.00","808.60","274.34K","1.25%"
"02-09-2024","813.80","798.45","845.00","795.00","1.60M","3.84%"
"30-08-2024","783.70","796.40","796.40","781.50","96.50K","-1.11%"
"29-08-2024","792.50","790.00","796.00","781.40","289.53K","1.06%"
"28-08-2024","784.20","797.00","806.00","781.00","164.23K","-0.72%"
"27-08-2024","789.85","790.65","803.25","783.45","121.14K","-0.10%"
"26-08-2024","790.65","800.00","801.10","780.55","170.48K","-0.81%"
"23-08-2024","797.10","805.50","807.85","795.00","136.21K","-0.56%"
"22-08-2024","801.55","807.00","814.40","798.30","177.57K","-0.04%"
"21-08-2024","801.90","821.10","823.00","800.00","163.75K","-1.85%"
"20-08-2024","817.00","842.00","842.00","805.10","120.13K","-1.91%"
"19-08-2024","832.95","807.00","837.80","801.15","364.49K","4.65%"
"16-08-2024","795.95","807.90","809.95","793.85","352.11K","0.06%"
"14-08-2024","795.50","824.35","824.95","790.00","159.27K","-3.50%"
"13-08-2024","824.35","840.00","840.00","805.00","408.45K","-0.56%"
"12-08-2024","829.00","831.40","848.40","812.70","489.80K","-0.29%"
"09-08-2024","831.40","799.50","837.70","795.00","772.83K","4.23%"
"08-08-2024","797.65","805.00","827.55","792.35","251.27K","-0.81%"
"07-08-2024","804.20","798.00","809.00","791.45","180.06K","1.66%"
"06-08-2024","791.10","796.70","814.10","782.35","270.50K","-0.70%"
"05-08-2024","796.70","777.90","818.90","777.25","330.08K","-3.57%"
"02-08-2024","826.20","829.00","845.00","812.00","757.71K","0.97%"
"01-08-2024","818.30","850.00","854.50","810.00","306.50K","-3.90%"
"31-07-2024","851.50","863.00","863.00","836.80","190.45K","-0.73%"
"30-07-2024","857.75","847.95","870.00","838.10","315.62K","1.16%"
"29-07-2024","847.95","836.65","857.70","834.30","192.71K","1.86%"
"26-07-2024","832.45","829.85","841.40","825.15","216.10K","-1.78%"
"25-07-2024","847.50","861.00","872.00","838.00","338.35K","-1.55%"
"24-07-2024","860.85","831.45","874.00","830.60","749.37K","3.74%"
"23-07-2024","829.85","840.00","870.00","789.00","820.38K","-0.25%"
"22-07-2024","831.90","805.20","844.00","797.50","349.20K","3.05%"
"19-07-2024","807.30","824.25","826.75","795.50","442.46K","-2.06%"
"18-07-2024","824.25","853.95","853.95","813.10","396.86K","-3.69%"
"16-07-2024","855.85","865.50","870.00","842.40","461.74K","-1.11%"
"15-07-2024","865.50","845.35","876.70","837.75","2.07M","4.43%"
"12-07-2024","828.80","817.80","836.95","806.45","441.61K","2.35%"
"11-07-2024","809.75","800.00","818.00","794.20","239.61K","1.21%"
"10-07-2024","800.05","810.05","812.25","780.10","540.70K","-1.50%"
"09-07-2024","812.25","826.00","830.05","801.00","525.01K","-0.50%"
"08-07-2024","816.35","790.55","824.90","781.10","553.60K","3.41%"
"05-07-2024","789.40","800.00","805.00","782.90","334.26K","-1.06%"
"04-07-2024","797.85","800.00","809.90","781.05","675.57K","-0.66%"
"03-07-2024","803.15","814.50","824.80","796.30","736.75K","-1.03%"
"02-07-2024","811.50","759.70","841.95","759.00","4.73M","8.09%"
"01-07-2024","750.75","677.50","764.80","675.00","1.66M","11.17%"
"28-06-2024","675.30","665.00","680.00","658.00","315.72K","1.35%"
"27-06-2024","666.30","677.95","680.00","658.00","364.87K","-1.72%"
"26-06-2024","677.95","674.00","691.65","669.75","662.89K","0.59%"
"25-06-2024","674.00","635.00","694.00","633.75","2.53M","6.81%"
"24-06-2024","631.05","621.00","635.95","614.00","922.66K","2.37%"
"21-06-2024","616.45","632.50","634.70","613.35","400.38K","-1.99%"
"20-06-2024","628.95","619.95","635.50","610.10","1.06M","1.69%"
"19-06-2024","618.50","610.00","622.00","608.00","1.05M","2.00%"
"18-06-2024","606.40","595.00","630.00","591.15","1.85M","3.31%"
"14-06-2024","586.95","594.80","597.95","583.65","118.89K","-0.83%"
"13-06-2024","591.85","584.95","598.40","579.35","260.22K","1.39%"
"12-06-2024","583.75","590.25","600.95","581.15","256.23K","-0.84%"
"11-06-2024","588.70","580.90","596.95","572.05","319.82K","1.64%"
"10-06-2024","579.20","573.00","592.70","568.00","518.79K","3.25%"
"07-06-2024","560.95","557.95","569.00","549.10","210.53K","0.54%"
"06-06-2024","557.95","554.00","561.25","544.00","198.75K","3.54%"
"05-06-2024","538.85","508.00","547.85","498.10","207.63K","7.90%"
"04-06-2024","499.40","529.90","529.90","476.05","146.55K","-4.86%"
"03-06-2024","524.90","530.00","534.35","520.50","92.77K","1.12%"
"31-05-2024","519.10","528.35","530.80","516.05","74.61K","-1.45%"
"30-05-2024","526.75","535.90","536.00","525.30","57.03K","-1.27%"
"29-05-2024","533.50","537.00","539.40","531.70","54.03K","-0.25%"
"28-05-2024","534.85","544.00","547.00","533.10","113.22K","-1.66%"
"27-05-2024","543.90","550.75","550.75","542.10","71.10K","-0.75%"
"24-05-2024","548.00","547.20","556.90","546.20","143.66K","0.12%"
"23-05-2024","547.35","552.25","554.95","546.20","82.11K","-0.72%"
"22-05-2024","551.30","553.00","555.55","550.50","75.60K","-0.33%"
"21-05-2024","553.15","560.00","562.00","547.75","130.00K","-0.50%"
"18-05-2024","555.95","555.95","555.95","555.95","","0.10%"
"17-05-2024","555.40","558.00","564.45","553.70","84.71K","-0.13%"
"16-05-2024","556.10","552.95","558.80","548.00","83.19K","0.57%"
"15-05-2024","552.95","555.95","562.50","551.25","73.05K","-0.48%"
"14-05-2024","555.60","553.20","562.95","553.20","83.83K","0.23%"
"13-05-2024","554.35","550.55","561.00","546.25","176.38K","-1.08%"
"10-05-2024","560.40","552.15","564.00","546.30","181.73K","0.99%"
"09-05-2024","554.90","592.00","592.05","551.60","729.57K","-5.20%"
"08-05-2024","585.35","562.90","589.95","562.90","511.88K","4.04%"
"07-05-2024","562.60","570.00","594.00","559.90","1.20M","-0.69%"
"06-05-2024","566.50","559.90","571.90","547.80","243.70K","2.19%"
"03-05-2024","554.35","569.95","572.00","551.05","115.78K","-1.83%"
"02-05-2024","564.70","567.00","576.90","552.65","640.02K","3.78%"
"30-04-2024","544.15","550.00","552.95","533.10","82.25K","-0.82%"
"29-04-2024","548.65","544.10","553.90","540.10","108.34K","0.81%"
"26-04-2024","544.25","545.85","552.00","541.00","90.06K","0.21%"
