"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","337.80","337.65","341.95","335.20","283.90K","-0.07%"
"05-11-2024","338.05","341.45","343.10","334.05","177.28K","-0.53%"
"04-11-2024","339.85","334.70","343.25","332.50","678.87K","0.83%"
"01-11-2024","337.05","338.40","344.00","335.20","59.40K","2.07%"
"31-10-2024","330.20","344.00","344.00","327.00","525.95K","-4.29%"
"30-10-2024","345.00","329.00","347.55","329.00","764.93K","5.22%"
"29-10-2024","327.90","322.35","338.40","322.35","1.05M","0.64%"
"28-10-2024","325.80","320.70","335.25","320.70","1.10M","1.89%"
"25-10-2024","319.75","351.00","351.00","316.80","2.87M","-6.04%"
"24-10-2024","340.30","346.50","346.50","336.75","173.37K","-2.09%"
"23-10-2024","347.55","342.00","350.00","338.95","362.58K","0.07%"
"22-10-2024","347.30","361.00","361.00","343.50","1.49M","-3.02%"
"21-10-2024","358.10","366.15","369.60","355.05","540.05K","-2.00%"
"18-10-2024","365.40","361.00","370.95","347.35","1.63M","1.33%"
"17-10-2024","360.60","367.00","374.00","358.75","186.89K","-2.06%"
"16-10-2024","368.20","368.00","373.95","365.00","450.40K","0.14%"
"15-10-2024","367.70","372.85","376.00","365.00","160.50K","-1.38%"
"14-10-2024","372.85","373.85","376.70","371.05","145.75K","0.73%"
"11-10-2024","370.15","370.20","378.50","366.60","283.59K","-1.27%"
"10-10-2024","374.90","382.85","382.85","372.55","173.16K","-2.09%"
"09-10-2024","382.90","377.00","395.85","377.00","507.51K","1.59%"
"08-10-2024","376.90","376.80","380.00","374.05","414.49K","-1.19%"
"07-10-2024","381.45","377.00","383.90","372.20","963.08K","1.01%"
"04-10-2024","377.65","396.95","396.95","373.05","1.08M","-5.21%"
"03-10-2024","398.40","368.35","404.00","368.00","3.02M","5.04%"
"01-10-2024","379.30","373.60","383.20","367.70","461.64K","0.69%"
"30-09-2024","376.70","371.25","380.30","362.55","931.78K","-0.42%"
"27-09-2024","378.30","354.00","387.90","349.35","1.53M","6.44%"
"26-09-2024","355.40","361.80","361.85","350.45","635.42K","-1.77%"
"25-09-2024","361.80","370.45","371.65","359.05","348.52K","-2.28%"
"24-09-2024","370.25","380.00","380.05","363.65","432.50K","-2.36%"
"23-09-2024","379.20","361.00","382.90","357.40","3.21M","5.72%"
"20-09-2024","358.70","346.00","361.60","345.10","734.72K","3.73%"
"19-09-2024","345.80","359.75","360.50","339.10","629.92K","-3.33%"
"18-09-2024","357.70","370.00","376.00","356.00","1.62M","-3.65%"
"17-09-2024","371.25","371.00","372.50","363.50","355.51K","0.00%"
"16-09-2024","371.25","374.00","374.00","362.60","442.57K","-0.74%"
"13-09-2024","374.00","375.00","380.00","372.45","1.15M","0.40%"
"12-09-2024","372.50","377.00","377.00","369.60","504.35K","-0.28%"
"11-09-2024","373.55","379.30","380.90","370.45","649.59K","-1.52%"
"10-09-2024","379.30","386.95","390.30","378.00","579.94K","-1.94%"
"09-09-2024","386.80","388.90","390.30","380.65","414.96K","-0.58%"
"06-09-2024","389.05","393.05","404.75","387.00","1.06M","-0.79%"
"05-09-2024","392.15","386.50","395.00","377.15","1.12M","2.15%"
"04-09-2024","383.90","387.70","407.40","381.25","2.93M","-2.46%"
"03-09-2024","393.60","391.40","398.00","389.35","1.58M","0.24%"
"02-09-2024","392.65","387.00","398.75","373.20","1.77M","2.33%"
"30-08-2024","383.70","373.70","390.90","369.60","6.93M","3.66%"
"29-08-2024","370.15","376.60","379.40","366.00","714.30K","-1.00%"
"28-08-2024","373.90","365.00","375.00","364.40","813.79K","1.80%"
"27-08-2024","367.30","370.00","378.95","360.75","3.78M","-0.57%"
"26-08-2024","369.40","369.00","370.55","360.05","1.95M","1.16%"
"23-08-2024","365.15","366.95","377.25","363.00","2.48M","1.60%"
"22-08-2024","359.40","360.00","367.00","357.60","742.00K","0.32%"
"21-08-2024","358.25","350.00","383.40","348.15","7.25M","0.70%"
"20-08-2024","355.75","348.60","363.30","344.45","3.43M","3.27%"
"19-08-2024","344.50","353.85","356.00","341.25","1.11M","-1.53%"
"16-08-2024","349.85","351.15","359.80","348.20","340.74K","-0.40%"
"14-08-2024","351.25","345.00","355.65","343.35","435.65K","0.89%"
"13-08-2024","348.15","352.00","356.90","344.10","414.66K","-1.30%"
"12-08-2024","352.75","328.00","355.50","325.05","1.03M","7.02%"
"09-08-2024","329.60","332.45","332.45","324.70","767.59K","-0.06%"
"08-08-2024","329.80","329.00","331.40","322.30","380.06K","1.01%"
"07-08-2024","326.50","326.00","332.65","321.00","889.31K","1.71%"
"06-08-2024","321.00","323.00","331.40","315.75","2.18M","-1.70%"
"05-08-2024","326.55","338.00","338.00","322.85","363.07K","-4.00%"
"02-08-2024","340.15","343.00","347.20","337.95","288.11K","-1.32%"
"01-08-2024","344.70","353.00","361.85","342.50","1.10M","-1.70%"
"31-07-2024","350.65","362.40","370.60","347.15","4.56M","-2.58%"
"30-07-2024","359.95","353.15","363.90","351.45","1.26M","2.24%"
"29-07-2024","352.05","350.00","373.75","349.00","3.97M","1.84%"
"26-07-2024","345.70","361.00","362.50","342.85","1.95M","3.22%"
"25-07-2024","334.90","341.95","342.00","333.00","221.69K","-3.11%"
"24-07-2024","345.65","340.00","350.00","337.20","645.25K","2.02%"
"23-07-2024","338.80","346.95","346.95","324.85","335.36K","-1.50%"
"22-07-2024","343.95","344.15","350.30","338.65","297.72K","-0.06%"
"19-07-2024","344.15","355.00","363.95","341.00","1.03M","1.10%"
"18-07-2024","340.40","339.45","346.60","335.45","1.40M","0.29%"
"16-07-2024","339.40","341.00","341.90","334.55","228.75K","0.55%"
"15-07-2024","337.55","341.05","346.95","334.25","349.60K","-1.24%"
