"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,029.95","1,018.45","1,040.50","1,018.45","59.33K","1.46%"
"05-11-2024","1,015.10","1,022.00","1,035.95","1,009.95","63.05K","-1.27%"
"04-11-2024","1,028.20","1,044.05","1,044.25","1,008.35","78.09K","-1.29%"
"01-11-2024","1,041.60","1,038.30","1,050.00","1,036.80","11.95K","0.32%"
"31-10-2024","1,038.30","1,020.00","1,045.55","1,019.00","85.31K","1.38%"
"30-10-2024","1,024.15","1,029.80","1,040.80","1,021.35","40.88K","-0.92%"
"29-10-2024","1,033.65","1,024.00","1,039.30","1,016.55","71.29K","1.96%"
"28-10-2024","1,013.75","1,024.75","1,040.00","999.00","91.04K","-1.48%"
"25-10-2024","1,028.95","1,045.00","1,060.00","998.40","353.85K","-0.90%"
"24-10-2024","1,038.30","1,008.50","1,042.50","1,006.45","212.97K","3.16%"
"23-10-2024","1,006.45","998.00","1,019.60","973.50","162.86K","-0.52%"
"22-10-2024","1,011.70","1,020.00","1,021.85","980.00","274.68K","-0.17%"
"21-10-2024","1,013.40","1,039.95","1,044.70","1,010.70","109.94K","-2.15%"
"18-10-2024","1,035.65","1,034.30","1,044.00","1,018.55","80.41K","0.00%"
"17-10-2024","1,035.70","1,058.75","1,059.40","1,029.00","105.30K","-2.18%"
"16-10-2024","1,058.75","1,045.50","1,071.00","1,017.25","498.90K","1.83%"
"15-10-2024","1,039.75","1,111.00","1,111.00","1,033.70","329.80K","-5.64%"
"14-10-2024","1,101.90","1,094.95","1,112.00","1,082.25","151.69K","0.86%"
"11-10-2024","1,092.55","1,080.00","1,097.05","1,076.55","75.95K","-0.64%"
"10-10-2024","1,099.55","1,128.25","1,134.10","1,093.40","73.20K","-2.19%"
"09-10-2024","1,124.15","1,104.70","1,140.10","1,101.00","148.31K","2.42%"
"08-10-2024","1,097.55","1,062.00","1,103.85","1,062.00","117.77K","1.03%"
"07-10-2024","1,086.40","1,113.35","1,124.30","1,068.40","156.58K","-2.42%"
"04-10-2024","1,113.35","1,115.00","1,130.10","1,080.25","285.74K","-0.28%"
"03-10-2024","1,116.45","1,175.00","1,182.95","1,110.00","486.42K","-6.35%"
"01-10-2024","1,192.15","1,230.05","1,245.70","1,180.10","198.22K","-3.51%"
"30-09-2024","1,235.50","1,239.90","1,244.55","1,225.00","97.74K","0.07%"
"27-09-2024","1,234.60","1,246.60","1,249.90","1,214.10","273.30K","-0.18%"
"26-09-2024","1,236.85","1,225.05","1,263.95","1,225.00","272.92K","0.87%"
"25-09-2024","1,226.20","1,232.25","1,238.95","1,222.20","59.23K","-0.49%"
"24-09-2024","1,232.25","1,250.00","1,269.00","1,221.50","297.56K","-0.47%"
"23-09-2024","1,238.05","1,206.00","1,243.00","1,206.00","324.82K","2.85%"
"20-09-2024","1,203.75","1,209.90","1,215.70","1,197.15","418.06K","0.09%"
"19-09-2024","1,202.70","1,209.45","1,222.45","1,195.05","251.69K","0.05%"
"18-09-2024","1,202.10","1,234.05","1,236.95","1,195.00","161.63K","-2.05%"
"17-09-2024","1,227.30","1,230.00","1,237.95","1,216.00","112.27K","0.45%"
"16-09-2024","1,221.85","1,209.90","1,244.50","1,202.05","266.47K","1.71%"
"13-09-2024","1,201.25","1,204.25","1,224.95","1,195.05","164.90K","-0.25%"
"12-09-2024","1,204.25","1,210.40","1,220.60","1,194.40","259.73K","0.06%"
"11-09-2024","1,203.55","1,209.65","1,246.00","1,195.00","461.56K","-0.26%"
