"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,879.50","2,838.00","2,914.00","2,837.00","298.83K","1.63%"
"05-11-2024","2,833.25","2,782.30","2,840.95","2,733.40","525.24K","1.09%"
"04-11-2024","2,802.80","2,882.00","2,893.95","2,781.80","600.22K","-2.77%"
"01-11-2024","2,882.70","2,899.85","2,900.00","2,870.00","25.59K","0.24%"
"31-10-2024","2,875.70","2,862.50","2,895.00","2,834.05","406.46K","0.07%"
"30-10-2024","2,873.65","2,954.90","2,955.40","2,867.00","366.77K","-2.45%"
"29-10-2024","2,945.80","2,979.90","2,982.90","2,892.55","593.23K","-0.99%"
"28-10-2024","2,975.35","2,935.85","3,022.80","2,935.05","628.41K","1.57%"
"25-10-2024","2,929.25","2,944.95","2,975.85","2,873.00","514.25K","0.17%"
"24-10-2024","2,924.40","2,984.90","3,091.20","2,900.65","1.38M","-1.35%"
"23-10-2024","2,964.30","2,912.85","3,012.95","2,870.10","1.07M","1.95%"
"22-10-2024","2,907.70","3,049.90","3,068.70","2,899.55","585.10K","-4.18%"
"21-10-2024","3,034.60","3,151.05","3,175.80","3,016.05","692.79K","-3.16%"
"18-10-2024","3,133.65","3,089.90","3,150.00","3,001.00","606.39K","1.60%"
"17-10-2024","3,084.20","3,239.65","3,239.65","3,066.05","513.89K","-4.45%"
"16-10-2024","3,227.85","3,179.00","3,235.90","3,142.15","1.19M","2.58%"
"15-10-2024","3,146.65","3,121.70","3,165.00","3,037.00","468.15K","1.78%"
"14-10-2024","3,091.55","3,025.00","3,100.00","3,003.60","562.96K","2.56%"
"11-10-2024","3,014.25","3,029.00","3,029.00","2,977.00","188.33K","0.00%"
"10-10-2024","3,014.40","3,008.00","3,058.65","3,000.25","342.88K","1.01%"
"09-10-2024","2,984.35","2,954.95","3,011.55","2,915.50","655.37K","1.10%"
"08-10-2024","2,951.90","2,865.00","2,969.95","2,849.15","621.59K","3.37%"
"07-10-2024","2,855.75","2,926.00","2,976.95","2,833.40","1.30M","-1.44%"
"04-10-2024","2,897.45","3,060.55","3,060.55","2,889.05","1.53M","-5.66%"
"03-10-2024","3,071.15","3,180.00","3,261.80","3,058.00","817.90K","-5.57%"
"01-10-2024","3,252.45","3,170.00","3,279.95","3,165.40","573.09K","2.89%"
"30-09-2024","3,160.95","3,150.00","3,177.85","3,111.00","765.76K","-0.95%"
"27-09-2024","3,191.40","3,266.00","3,287.00","3,179.35","814.88K","-3.46%"
"26-09-2024","3,305.65","3,332.55","3,399.00","3,237.55","1.89M","-0.66%"
"25-09-2024","3,327.45","3,198.05","3,360.95","3,167.05","1.66M","3.90%"
"24-09-2024","3,202.60","3,192.35","3,242.35","3,158.70","1.12M","0.32%"
"23-09-2024","3,192.35","3,001.00","3,204.50","3,001.00","2.83M","6.84%"
"20-09-2024","2,988.00","2,934.80","3,004.70","2,897.00","1.02M","2.64%"
"19-09-2024","2,911.10","2,908.00","2,940.00","2,797.50","750.77K","0.92%"
"18-09-2024","2,884.70","2,865.00","2,894.00","2,850.65","505.48K","1.00%"
"17-09-2024","2,856.20","2,854.95","2,865.00","2,830.00","230.37K","0.62%"
"16-09-2024","2,838.50","2,969.00","2,983.95","2,828.95","1.02M","-3.81%"
"13-09-2024","2,950.85","2,884.80","2,973.95","2,879.90","649.14K","2.46%"
"12-09-2024","2,879.90","2,833.95","2,887.00","2,822.40","343.35K","1.66%"
"11-09-2024","2,832.90","2,887.10","2,898.90","2,823.05","197.65K","-1.93%"
"10-09-2024","2,888.60","2,894.75","2,905.00","2,864.05","282.00K","0.54%"
"09-09-2024","2,873.00","2,850.00","2,911.35","2,845.00","481.94K","0.58%"
"06-09-2024","2,856.45","2,864.15","2,893.70","2,840.60","803.60K","-0.45%"
"05-09-2024","2,869.50","2,915.00","2,929.50","2,860.00","422.16K","-1.12%"
"04-09-2024","2,901.95","2,879.80","2,913.60","2,856.85","326.64K","0.32%"
"03-09-2024","2,892.75","2,881.05","2,947.70","2,881.05","377.51K","0.23%"
"02-09-2024","2,886.10","2,940.50","2,943.00","2,881.00","339.16K","-0.80%"
"30-08-2024","2,909.25","2,894.55","2,921.95","2,876.35","501.71K","1.40%"
"29-08-2024","2,869.10","2,900.00","2,900.00","2,836.25","395.43K","-0.64%"
