"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","576.45","553.00","586.90","547.20","6.69M","4.73%"
"05-11-2024","550.40","549.50","554.25","538.90","1.10M","0.08%"
"04-11-2024","549.95","570.20","572.00","547.85","1.20M","-3.55%"
"01-11-2024","570.20","570.95","574.00","568.10","197.11K","0.11%"
"31-10-2024","569.60","552.00","572.00","552.00","1.74M","2.67%"
"30-10-2024","554.80","560.95","564.90","550.25","848.27K","-0.33%"
"29-10-2024","556.65","554.65","565.50","537.85","2.45M","0.69%"
"28-10-2024","552.85","543.00","556.35","535.10","1.36M","2.46%"
"25-10-2024","539.60","560.00","560.70","531.25","2.07M","-3.12%"
"24-10-2024","557.00","567.75","571.40","551.75","1.15M","-1.54%"
"23-10-2024","565.70","559.90","577.80","546.00","3.32M","1.80%"
"22-10-2024","555.70","592.05","599.35","551.20","2.25M","-5.94%"
"21-10-2024","590.80","596.10","612.35","587.50","1.34M","-1.08%"
"18-10-2024","597.25","588.00","601.95","577.35","1.71M","0.47%"
"17-10-2024","594.45","610.95","611.75","591.00","1.36M","-2.40%"
"16-10-2024","609.05","599.90","610.95","597.15","1.44M","1.57%"
"15-10-2024","599.65","608.55","611.55","595.05","1.59M","-1.50%"
"14-10-2024","608.80","605.10","613.90","592.50","3.45M","0.82%"
"11-10-2024","603.85","581.20","607.40","575.05","5.28M","4.40%"
"10-10-2024","578.40","576.35","589.00","563.30","3.13M","0.83%"
"09-10-2024","573.65","557.60","574.95","555.25","1.77M","3.08%"
"08-10-2024","556.50","551.95","563.05","543.00","2.00M","1.52%"
"07-10-2024","548.15","570.95","573.85","537.95","2.72M","-3.79%"
"04-10-2024","569.75","595.00","599.00","560.00","5.72M","-4.32%"
"03-10-2024","595.45","576.00","607.50","562.25","11.34M","2.81%"
"01-10-2024","579.15","557.50","582.15","554.40","7.05M","3.68%"
"30-09-2024","558.60","555.55","564.75","547.35","4.01M","0.45%"
"27-09-2024","556.10","546.20","564.00","546.20","9.90M","2.28%"
"26-09-2024","543.70","558.00","564.70","534.10","10.67M","-2.20%"
"25-09-2024","555.95","564.10","567.70","547.30","2.82M","-1.27%"
"24-09-2024","563.10","565.00","573.30","560.80","3.69M","0.52%"
"23-09-2024","560.20","542.05","562.00","537.30","4.40M","3.76%"
"20-09-2024","539.90","544.00","552.80","531.15","1.84M","-0.47%"
"19-09-2024","542.45","550.45","554.95","537.50","2.38M","-0.91%"
"18-09-2024","547.45","545.00","548.80","537.50","2.50M","0.60%"
"17-09-2024","544.20","549.00","555.75","541.70","3.13M","-1.04%"
"16-09-2024","549.90","555.00","560.60","546.30","3.66M","-0.92%"
"13-09-2024","555.00","565.00","580.00","541.10","25.68M","-1.75%"
"12-09-2024","564.90","678.65","690.00","562.10","38.14M","-16.52%"
"11-09-2024","676.70","694.15","698.70","673.50","1.60M","-2.51%"
"10-09-2024","694.15","669.80","696.65","668.20","2.69M","4.09%"
"09-09-2024","666.85","673.55","679.95","656.00","7.42M","-3.09%"
"06-09-2024","688.10","703.10","708.05","684.35","2.30M","-1.45%"
"05-09-2024","698.20","707.95","716.65","695.00","1.84M","-0.80%"
"04-09-2024","703.80","681.20","707.85","681.10","1.92M","2.79%"
"03-09-2024","684.70","687.85","693.15","679.30","1.39M","0.12%"
"02-09-2024","683.85","719.90","719.90","680.05","2.26M","-4.77%"
"30-08-2024","718.10","710.70","721.00","705.15","3.03M","2.02%"
"29-08-2024","703.85","711.00","714.20","699.20","3.60M","-0.37%"
"28-08-2024","706.45","673.95","712.00","673.00","6.02M","4.79%"
"27-08-2024","674.15","685.00","685.25","663.00","3.17M","-1.33%"
"26-08-2024","683.25","690.10","694.00","681.30","1.25M","-0.06%"
"23-08-2024","683.65","686.40","687.25","677.70","658.76K","-0.23%"
"22-08-2024","685.20","693.80","693.80","683.05","1.50M","-1.35%"
"21-08-2024","694.60","677.70","698.00","672.20","1.78M","2.84%"
"20-08-2024","675.45","667.45","679.00","665.80","855.53K","1.79%"
"19-08-2024","663.60","660.00","668.65","658.25","888.81K","0.19%"
"16-08-2024","662.35","673.05","677.80","659.10","961.78K","-1.04%"
"14-08-2024","669.30","679.00","679.00","665.20","894.56K","-1.06%"
"13-08-2024","676.45","688.95","689.90","672.20","1.23M","-1.84%"
"12-08-2024","689.10","659.50","697.55","658.75","2.71M","4.61%"
"09-08-2024","658.75","657.80","665.95","651.80","1.61M","0.90%"
"08-08-2024","652.85","655.05","661.95","641.60","2.61M","-0.60%"
"07-08-2024","656.80","655.60","664.00","651.10","2.10M","1.20%"
"06-08-2024","649.00","645.00","658.25","642.20","2.32M","1.14%"
"05-08-2024","641.70","634.05","648.50","626.50","3.30M","-0.68%"
"02-08-2024","646.10","626.25","649.90","622.10","4.02M","2.31%"
"01-08-2024","631.50","631.00","634.70","624.95","2.62M","0.22%"
"31-07-2024","630.10","596.00","632.70","590.25","14.18M","6.99%"
"30-07-2024","588.95","564.85","592.75","557.85","4.96M","4.27%"
"29-07-2024","564.85","563.10","571.95","560.35","1.07M","0.31%"
"26-07-2024","563.10","548.45","566.65","547.05","1.27M","2.21%"
"25-07-2024","550.90","537.05","553.40","530.70","3.66M","2.41%"
"24-07-2024","537.95","528.00","543.00","524.05","1.88M","2.13%"
"23-07-2024","526.75","517.80","530.15","495.05","1.75M","1.73%"
"22-07-2024","517.80","500.00","520.15","495.00","913.91K","2.94%"
"19-07-2024","503.00","517.00","517.80","500.65","961.92K","-3.08%"
"18-07-2024","519.00","520.15","523.50","509.90","1.35M","-0.36%"
"16-07-2024","520.85","521.80","523.00","517.20","475.63K","0.13%"
"15-07-2024","520.15","514.90","525.35","513.35","950.07K","1.13%"
"12-07-2024","514.35","514.70","518.50","507.30","1.04M","-0.07%"
"11-07-2024","514.70","518.00","520.45","513.80","397.21K","-0.69%"
"10-07-2024","518.30","523.95","523.95","504.20","775.03K","-0.60%"
"09-07-2024","521.45","521.45","525.90","513.25","2.03M","0.55%"
"08-07-2024","518.60","526.00","528.70","517.00","1.03M","-1.41%"
"05-07-2024","526.00","518.95","530.65","511.55","3.97M","2.26%"
"04-07-2024","514.40","500.90","517.00","495.35","3.02M","2.84%"
"03-07-2024","500.20","492.00","510.50","491.20","3.20M","1.83%"
"02-07-2024","491.20","494.80","501.50","484.55","1.44M","-0.70%"
"01-07-2024","494.65","492.80","498.40","491.75","999.18K","0.38%"
"28-06-2024","492.80","500.00","507.35","491.70","2.01M","-1.17%"
"27-06-2024","498.65","502.20","504.15","494.05","2.72M","-0.71%"
"26-06-2024","502.20","490.55","506.70","487.90","5.13M","2.95%"
"25-06-2024","487.80","490.95","497.80","486.20","2.18M","0.04%"
"24-06-2024","487.60","492.00","497.85","481.25","4.13M","-0.62%"
"21-06-2024","490.65","473.00","498.75","472.30","8.52M","3.89%"
"20-06-2024","472.30","470.50","475.00","465.60","691.85K","0.73%"
"19-06-2024","468.90","480.00","480.00","465.70","1.01M","-1.08%"
"18-06-2024","474.00","461.00","477.00","455.20","1.37M","2.65%"
"14-06-2024","461.75","463.80","466.80","460.15","559.74K","-0.15%"
"13-06-2024","462.45","472.20","476.80","460.45","891.39K","-2.04%"
"12-06-2024","472.10","474.40","476.80","470.75","690.04K","-0.48%"
"11-06-2024","474.40","474.00","484.05","469.05","1.37M","0.22%"
"10-06-2024","473.35","483.00","485.95","469.30","1.94M","-1.14%"
"07-06-2024","478.80","469.80","483.50","465.25","2.90M","2.24%"
"06-06-2024","468.30","443.90","471.40","440.10","4.57M","6.27%"
"05-06-2024","440.65","419.95","442.50","411.45","2.08M","6.95%"
"04-06-2024","412.00","441.10","442.00","401.25","2.14M","-6.60%"
"03-06-2024","441.10","424.25","443.75","420.45","2.27M","5.40%"
"31-05-2024","418.50","423.50","429.00","416.00","2.19M","-1.48%"
"30-05-2024","424.80","425.20","433.00","420.60","1.38M","-1.20%"
"29-05-2024","429.95","430.50","433.80","429.00","529.93K","-1.05%"
"28-05-2024","434.50","441.00","445.50","431.65","1.19M","-0.95%"
"27-05-2024","438.65","428.00","441.35","425.40","2.27M","2.32%"
"24-05-2024","428.70","428.00","431.95","423.95","842.92K","-0.17%"
"23-05-2024","429.45","430.00","435.50","426.00","2.19M","0.62%"
"22-05-2024","426.80","420.15","428.85","415.90","4.08M","4.33%"
"21-05-2024","409.10","407.95","410.50","402.00","701.63K","0.58%"
"18-05-2024","406.75","404.00","408.00","403.20","169.37K","1.19%"
"17-05-2024","401.95","402.80","410.20","399.70","1.19M","0.50%"
"16-05-2024","399.95","398.00","403.00","393.00","1.27M","0.79%"
"15-05-2024","396.80","402.45","409.90","389.35","4.00M","-0.74%"
"14-05-2024","399.75","405.65","407.25","397.40","685.15K","-1.35%"
"13-05-2024","405.20","400.00","407.30","394.70","629.29K","1.80%"
"10-05-2024","398.05","392.10","402.85","392.10","748.33K","1.52%"
"09-05-2024","392.10","410.85","412.80","391.15","1.02M","-4.56%"
"08-05-2024","410.85","408.00","413.90","396.05","1.25M","0.54%"
"07-05-2024","408.65","422.00","422.80","406.80","774.65K","-3.28%"
"06-05-2024","422.50","422.85","426.00","417.00","430.49K","-0.20%"
"03-05-2024","423.35","427.95","428.00","421.60","500.38K","-0.31%"
"02-05-2024","424.65","423.30","426.70","418.25","657.59K","0.32%"
"30-04-2024","423.30","421.00","428.55","420.50","738.33K","0.67%"
"29-04-2024","420.50","426.60","427.65","418.65","635.81K","-0.84%"
"26-04-2024","424.05","418.00","428.05","414.10","1.03M","1.46%"
"25-04-2024","417.95","418.10","419.70","411.50","614.82K","-0.04%"
"24-04-2024","418.10","414.65","422.50","413.60","568.51K","0.87%"
"23-04-2024","414.50","417.85","419.50","413.55","294.33K","0.04%"
"22-04-2024","414.35","410.30","417.75","410.30","435.40K","0.73%"
"19-04-2024","411.35","411.00","413.55","404.40","588.58K","-0.80%"
"18-04-2024","414.65","418.45","424.45","412.20","732.36K","-0.26%"
"16-04-2024","415.75","408.00","419.50","404.55","856.06K","1.54%"
"15-04-2024","409.45","416.00","421.85","408.40","1.45M","-2.94%"
"12-04-2024","421.85","428.00","436.00","420.70","876.28K","-1.16%"
"10-04-2024","426.80","425.80","432.25","423.20","924.25K","0.36%"
"09-04-2024","425.25","440.50","441.30","423.00","905.29K","-3.15%"
"08-04-2024","439.10","445.55","452.15","438.10","1.31M","-2.96%"
"05-04-2024","452.50","443.10","453.40","442.10","1.06M","1.79%"
"04-04-2024","444.55","456.45","456.45","441.35","906.89K","-1.98%"
"03-04-2024","453.55","449.00","454.50","442.25","1.82M","1.78%"
"02-04-2024","445.60","439.00","446.70","435.65","777.27K","1.75%"
"01-04-2024","437.95","431.85","440.95","431.85","551.17K","1.81%"
"28-03-2024","430.15","430.00","434.30","425.80","601.31K","0.02%"
"27-03-2024","430.05","436.00","438.20","429.05","525.39K","-0.82%"
"26-03-2024","433.60","430.75","437.30","427.65","601.01K","0.66%"
"22-03-2024","430.75","429.60","435.25","424.55","526.69K","0.74%"
"21-03-2024","427.60","421.00","429.75","418.00","668.38K","3.45%"
"20-03-2024","413.35","412.00","414.60","405.25","571.11K","-0.17%"
"19-03-2024","414.05","418.30","419.25","410.75","469.03K","-1.30%"
"18-03-2024","419.50","420.00","422.00","413.25","540.34K","0.13%"
"15-03-2024","418.95","424.30","424.85","410.40","716.42K","-0.77%"
"14-03-2024","422.20","412.15","423.75","409.30","791.03K","2.44%"
"13-03-2024","412.15","429.00","434.00","407.10","1.57M","-3.89%"
"12-03-2024","428.85","442.65","447.40","425.90","1.41M","-2.71%"
"11-03-2024","440.80","458.00","459.75","439.45","896.29K","-3.76%"
"07-03-2024","458.00","456.05","461.85","456.05","584.44K","-0.10%"
"06-03-2024","458.45","468.00","469.75","445.25","1.21M","-1.86%"
"05-03-2024","467.15","467.00","470.85","464.00","1.40M","0.03%"
"04-03-2024","467.00","466.45","474.85","465.05","1.08M","0.43%"
"02-03-2024","465.00","465.50","469.00","452.50","824.43K","0.33%"
"01-03-2024","463.45","465.00","467.00","461.30","1.12M","-0.33%"
"29-02-2024","465.00","457.00","469.80","453.20","1.36M","1.09%"
"28-02-2024","460.00","468.80","469.85","457.50","827.17K","-1.73%"
"27-02-2024","468.10","469.00","475.00","464.85","1.24M","-0.40%"
"26-02-2024","470.00","467.95","480.45","465.10","2.48M","0.72%"
"23-02-2024","466.65","459.30","471.00","457.55","2.48M","1.56%"
"22-02-2024","459.50","461.40","463.10","452.20","1.36M","0.47%"
"21-02-2024","457.35","461.30","471.00","454.60","2.14M","-1.38%"
"20-02-2024","463.75","465.45","472.55","453.65","2.39M","-0.32%"
"19-02-2024","465.25","460.00","473.75","458.50","5.71M","2.08%"
"16-02-2024","455.75","438.20","459.80","436.55","4.59M","4.54%"
"15-02-2024","435.95","431.80","437.85","431.30","1.21M","0.95%"
"14-02-2024","431.85","425.00","432.60","420.95","809.88K","0.56%"
"13-02-2024","429.45","423.00","430.70","419.75","992.57K","1.73%"
"12-02-2024","422.15","420.85","429.95","417.80","2.00M","0.70%"
"09-02-2024","419.20","429.00","429.80","411.85","1.08M","-1.86%"
"08-02-2024","427.15","437.00","439.20","425.60","1.08M","-1.88%"
"07-02-2024","435.35","430.25","441.40","428.00","3.37M","1.66%"
"06-02-2024","428.25","430.85","431.70","422.45","989.72K","0.18%"
"05-02-2024","427.50","423.50","433.80","420.00","1.98M","1.79%"
"02-02-2024","420.00","414.35","423.90","413.95","1.09M","1.89%"
"01-02-2024","412.20","415.10","416.00","406.60","1.06M","-0.84%"
"31-01-2024","415.70","409.00","418.70","408.65","834.16K","1.64%"
"30-01-2024","409.00","412.00","416.85","408.05","684.70K","-0.28%"
"29-01-2024","410.15","419.00","419.00","408.00","883.02K","-0.98%"
"25-01-2024","414.20","418.75","426.00","409.00","1.27M","-0.67%"
"24-01-2024","417.00","412.20","420.75","407.00","1.43M","1.24%"
"23-01-2024","411.90","422.00","429.75","408.55","3.42M","-1.26%"
"20-01-2024","417.15","422.25","425.00","415.10","568.87K","-1.20%"
"19-01-2024","422.20","425.00","429.15","420.20","928.73K","0.05%"
"18-01-2024","422.00","420.00","424.85","410.05","1.10M","0.32%"
"17-01-2024","420.65","427.00","427.00","419.25","1.30M","-1.71%"
"16-01-2024","427.95","431.40","435.40","421.25","2.61M","-0.38%"
"15-01-2024","429.60","410.00","432.00","408.10","4.02M","4.84%"
"12-01-2024","409.75","415.00","416.40","408.25","679.43K","-0.27%"
"11-01-2024","410.85","405.00","412.00","405.00","587.58K","1.68%"
"10-01-2024","404.05","412.00","414.10","400.75","900.93K","-1.44%"
"09-01-2024","409.95","402.95","412.10","402.50","822.02K","2.27%"
