"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,217.10","2,176.00","2,240.00","2,167.55","20.67K","2.00%"
"05-11-2024","2,173.65","2,209.10","2,218.45","2,151.00","28.45K","-1.29%"
"04-11-2024","2,202.00","2,259.00","2,259.00","2,191.10","96.69K","-2.21%"
"01-11-2024","2,251.85","2,251.95","2,304.75","2,218.70","10.80K","1.73%"
"31-10-2024","2,213.55","2,165.50","2,339.00","2,151.65","791.59K","2.89%"
"30-10-2024","2,151.30","2,121.80","2,187.45","2,118.80","40.00K","1.90%"
"29-10-2024","2,111.20","2,119.00","2,150.00","2,066.00","120.93K","0.98%"
"28-10-2024","2,090.70","2,202.30","2,213.35","2,083.55","69.38K","-5.07%"
"25-10-2024","2,202.30","2,177.30","2,238.75","2,118.45","34.34K","1.65%"
"24-10-2024","2,166.45","2,276.70","2,277.95","2,148.60","38.66K","-4.84%"
"23-10-2024","2,276.70","2,263.40","2,295.60","2,224.25","17.82K","-0.45%"
"22-10-2024","2,287.00","2,401.00","2,401.00","2,265.05","37.46K","-4.76%"
"21-10-2024","2,401.40","2,454.30","2,467.45","2,381.05","14.01K","-1.91%"
"18-10-2024","2,448.15","2,415.00","2,466.80","2,410.20","163.09K","-0.14%"
"17-10-2024","2,451.60","2,536.45","2,632.00","2,430.00","147.24K","-2.38%"
"16-10-2024","2,511.35","2,450.00","2,543.00","2,441.25","280.16K","1.80%"
"15-10-2024","2,466.90","2,430.00","2,479.90","2,420.00","26.51K","1.13%"
"14-10-2024","2,439.35","2,432.25","2,465.80","2,398.00","71.44K","0.95%"
"11-10-2024","2,416.50","2,466.00","2,470.00","2,401.10","13.77K","-1.39%"
"10-10-2024","2,450.65","2,400.00","2,469.55","2,392.00","27.33K","2.54%"
"09-10-2024","2,390.00","2,392.05","2,416.90","2,377.00","12.82K","0.38%"
"08-10-2024","2,380.85","2,398.95","2,410.00","2,357.15","15.47K","-0.75%"
"07-10-2024","2,398.95","2,455.00","2,456.95","2,382.15","43.96K","-1.73%"
"04-10-2024","2,441.15","2,420.10","2,469.95","2,395.00","185.68K","0.87%"
"03-10-2024","2,420.10","2,413.75","2,477.95","2,392.55","84.43K","0.26%"
"01-10-2024","2,413.75","2,400.00","2,423.00","2,394.00","14.59K","0.34%"
"30-09-2024","2,405.50","2,400.05","2,426.00","2,385.25","30.93K","0.22%"
"27-09-2024","2,400.15","2,404.00","2,419.95","2,382.05","32.97K","0.50%"
"26-09-2024","2,388.30","2,402.35","2,410.00","2,374.70","135.78K","-0.09%"
"25-09-2024","2,390.35","2,377.90","2,403.65","2,375.00","23.75K","1.12%"
"24-09-2024","2,363.85","2,350.00","2,375.00","2,340.00","33.74K","0.58%"
"23-09-2024","2,350.25","2,374.00","2,379.95","2,335.05","27.42K","-1.11%"
"20-09-2024","2,376.75","2,394.50","2,425.60","2,345.15","50.25K","-0.62%"
"19-09-2024","2,391.55","2,369.95","2,418.85","2,325.20","38.00K","1.00%"
"18-09-2024","2,367.90","2,409.70","2,413.70","2,346.00","22.77K","-1.24%"
"17-09-2024","2,397.70","2,445.80","2,454.65","2,387.00","29.46K","-1.55%"
"16-09-2024","2,435.55","2,480.00","2,480.00","2,423.00","13.14K","-1.37%"
"13-09-2024","2,469.50","2,463.10","2,491.00","2,444.55","13.68K","0.26%"
"12-09-2024","2,463.10","2,477.90","2,477.95","2,451.00","13.37K","-0.20%"
"11-09-2024","2,468.15","2,492.25","2,509.20","2,458.60","16.04K","-0.97%"
"10-09-2024","2,492.25","2,434.20","2,500.00","2,411.00","35.54K","2.77%"
"09-09-2024","2,425.05","2,452.00","2,467.45","2,410.05","89.90K","-1.03%"
"06-09-2024","2,450.30","2,450.75","2,539.40","2,445.00","188.69K","0.41%"
"05-09-2024","2,440.25","2,461.45","2,469.10","2,429.90","110.14K","-0.56%"
"04-09-2024","2,453.95","2,457.00","2,496.95","2,450.75","14.83K","-0.19%"
"03-09-2024","2,458.50","2,454.35","2,512.75","2,445.20","48.37K","0.80%"
"02-09-2024","2,438.90","2,460.00","2,460.00","2,430.00","58.92K","-0.07%"
"30-08-2024","2,440.50","2,463.55","2,472.90","2,429.00","116.87K","-0.44%"
"29-08-2024","2,451.25","2,482.15","2,482.15","2,436.90","83.20K","-0.63%"
"28-08-2024","2,466.90","2,415.00","2,488.00","2,408.15","156.83K","2.10%"
"27-08-2024","2,416.10","2,480.25","2,480.25","2,401.15","31.75K","-2.01%"
"26-08-2024","2,465.70","2,488.70","2,488.70","2,448.00","64.53K","-0.31%"
"23-08-2024","2,473.45","2,484.35","2,490.75","2,442.00","25.72K","0.18%"
"22-08-2024","2,469.10","2,478.45","2,509.00","2,453.30","48.17K","0.12%"
"21-08-2024","2,466.10","2,477.85","2,503.45","2,446.00","22.85K","0.16%"
"20-08-2024","2,462.20","2,449.90","2,484.15","2,430.00","141.11K","0.72%"
"19-08-2024","2,444.65","2,455.00","2,490.00","2,420.30","32.45K","-0.38%"
"16-08-2024","2,454.05","2,409.50","2,465.00","2,405.20","17.41K","1.95%"
"14-08-2024","2,407.05","2,407.30","2,424.00","2,394.80","28.62K","0.27%"
"13-08-2024","2,400.65","2,418.00","2,444.00","2,390.05","40.39K","-0.66%"
"12-08-2024","2,416.60","2,424.80","2,425.90","2,382.15","50.77K","-0.26%"
"09-08-2024","2,422.80","2,405.00","2,442.70","2,367.80","135.09K","0.99%"
"08-08-2024","2,399.15","2,440.60","2,465.00","2,379.20","22.10K","-1.24%"
"07-08-2024","2,429.25","2,429.00","2,445.00","2,388.10","33.47K","0.75%"
"06-08-2024","2,411.15","2,448.70","2,491.95","2,403.00","48.66K","-0.78%"
"05-08-2024","2,430.15","2,441.00","2,475.75","2,388.45","46.28K","-3.91%"
"02-08-2024","2,529.10","2,571.70","2,574.15","2,517.00","21.78K","-1.65%"
"01-08-2024","2,571.55","2,580.55","2,615.00","2,555.00","37.39K","-0.66%"
"31-07-2024","2,588.55","2,700.00","2,705.00","2,578.00","68.81K","-3.05%"
"30-07-2024","2,670.00","2,756.00","2,756.00","2,662.00","61.85K","-2.42%"
"29-07-2024","2,736.35","2,608.00","2,787.30","2,603.05","141.65K","5.62%"
"26-07-2024","2,590.85","2,561.40","2,608.00","2,520.00","51.89K","1.63%"
"25-07-2024","2,549.20","2,595.85","2,600.00","2,527.80","76.26K","-1.67%"
"24-07-2024","2,592.50","2,549.90","2,620.50","2,528.05","45.26K","1.71%"
"23-07-2024","2,548.90","2,550.00","2,609.15","2,505.00","42.48K","-0.08%"
"22-07-2024","2,550.85","2,543.05","2,584.95","2,522.65","236.64K","-1.97%"
"19-07-2024","2,602.10","2,655.15","2,659.80","2,563.00","161.15K","-1.80%"
"18-07-2024","2,649.85","2,691.10","2,722.00","2,620.10","225.07K","-0.92%"
"16-07-2024","2,674.55","2,670.55","2,723.40","2,650.05","299.55K","0.39%"
"15-07-2024","2,664.10","2,688.40","2,693.95","2,653.35","78.38K","-0.61%"
"12-07-2024","2,680.50","2,747.45","2,747.95","2,670.00","151.65K","-1.77%"
"11-07-2024","2,728.85","2,780.05","2,824.40","2,712.50","21.31K","-2.09%"
"10-07-2024","2,787.00","2,891.50","2,916.70","2,775.05","76.71K","-3.49%"
"09-07-2024","2,887.80","2,829.90","2,899.00","2,806.05","29.39K","2.07%"
"08-07-2024","2,829.20","2,884.65","2,886.25","2,808.10","63.76K","-0.95%"
"05-07-2024","2,856.35","2,936.90","2,951.75","2,848.35","76.15K","-3.21%"
"04-07-2024","2,950.95","2,905.90","2,960.00","2,905.90","66.05K","1.05%"
"03-07-2024","2,920.15","2,845.00","2,931.30","2,844.95","35.46K","2.31%"
"02-07-2024","2,854.20","2,849.95","2,930.00","2,822.80","99.83K","0.76%"
"01-07-2024","2,832.80","2,750.95","2,845.00","2,737.55","64.76K","3.63%"
