"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","210.41","203.60","211.24","203.60","1.31M","3.67%"
"05-11-2024","202.96","200.10","205.18","199.45","1.25M","0.65%"
"04-11-2024","201.65","209.20","209.72","200.30","1.22M","-3.85%"
"01-11-2024","209.72","209.90","211.72","209.00","206.18K","0.34%"
"31-10-2024","209.01","209.80","210.25","207.05","842.13K","-0.06%"
"30-10-2024","209.13","200.55","214.90","200.50","1.81M","3.90%"
"29-10-2024","201.28","197.69","202.00","196.29","963.82K","2.59%"
"28-10-2024","196.20","194.10","197.99","192.40","1.07M","1.37%"
"25-10-2024","193.55","202.70","202.70","192.00","1.42M","-3.92%"
"24-10-2024","201.45","203.60","205.45","201.01","967.14K","-0.90%"
"23-10-2024","203.28","209.99","209.99","198.29","1.74M","-2.15%"
"22-10-2024","207.74","210.01","210.49","204.75","1.46M","-1.40%"
"21-10-2024","210.70","212.00","212.50","206.23","1.25M","-0.46%"
"18-10-2024","211.67","212.15","212.40","207.01","880.13K","-0.31%"
"17-10-2024","212.33","217.15","217.89","211.45","900.99K","-2.16%"
"16-10-2024","217.02","213.29","217.39","212.24","1.15M","1.90%"
"15-10-2024","212.98","216.00","216.98","212.41","851.63K","-1.04%"
"14-10-2024","215.21","217.50","220.89","214.01","2.31M","0.76%"
"11-10-2024","213.59","214.01","215.79","212.40","662.27K","-0.30%"
"10-10-2024","214.23","214.32","221.50","212.90","2.99M","0.98%"
"09-10-2024","212.16","209.98","215.65","209.65","914.03K","1.42%"
"08-10-2024","209.18","207.20","210.00","204.03","1.12M","0.92%"
"07-10-2024","207.27","215.00","215.50","201.91","2.59M","-3.02%"
"04-10-2024","213.72","218.79","218.99","211.10","1.82M","-1.90%"
"03-10-2024","217.85","220.00","222.00","217.10","1.10M","-2.67%"
"01-10-2024","223.82","219.16","224.95","218.21","2.88M","2.56%"
"30-09-2024","218.23","218.71","220.50","217.00","1.06M","-0.22%"
"27-09-2024","218.71","219.08","223.20","218.01","1.47M","0.04%"
"26-09-2024","218.62","221.00","221.88","218.11","729.52K","-0.41%"
"25-09-2024","219.51","221.48","223.36","218.81","1.02M","-0.68%"
"24-09-2024","221.02","221.77","224.74","220.51","1.23M","-0.34%"
"23-09-2024","221.77","219.80","222.75","218.58","1.14M","1.39%"
"20-09-2024","218.74","219.55","220.14","216.67","1.16M","0.58%"
"19-09-2024","217.47","227.99","228.45","215.75","2.25M","-4.00%"
"18-09-2024","226.54","224.46","228.70","222.51","1.86M","0.67%"
"17-09-2024","225.03","224.50","225.39","221.00","1.33M","0.74%"
"16-09-2024","223.38","223.85","224.60","221.55","809.20K","0.31%"
"13-09-2024","222.70","221.30","224.65","220.30","1.02M","0.93%"
"12-09-2024","220.64","224.99","225.26","219.30","1.69M","-0.89%"
"11-09-2024","222.62","229.00","230.10","222.00","1.29M","-2.78%"
"10-09-2024","228.98","227.25","230.34","226.50","1.05M","1.29%"
"09-09-2024","226.07","229.10","230.80","223.63","1.52M","-2.57%"
"06-09-2024","232.03","239.00","239.89","230.02","2.04M","-2.89%"
"05-09-2024","238.93","238.55","244.25","237.51","2.66M","0.70%"
"04-09-2024","237.28","237.20","240.00","235.21","1.61M","-0.89%"
"03-09-2024","239.41","239.50","243.40","238.02","2.91M","0.10%"
"02-09-2024","239.16","231.51","240.89","230.34","5.99M","3.95%"
"30-08-2024","230.08","233.60","237.90","229.16","2.31M","-1.01%"
"29-08-2024","232.42","235.51","235.82","230.30","1.34M","-1.19%"
"28-08-2024","235.22","238.75","238.80","235.00","1.56M","-1.04%"
"27-08-2024","237.69","236.30","242.45","235.60","2.98M","0.72%"
"26-08-2024","236.00","239.35","239.35","234.22","1.85M","-0.74%"
"23-08-2024","237.77","238.00","246.90","237.02","3.72M","0.35%"
"22-08-2024","236.93","232.51","242.75","232.51","5.32M","2.50%"
"21-08-2024","231.16","228.05","233.50","227.90","1.85M","1.60%"
"20-08-2024","227.51","226.99","228.69","225.00","841.96K","0.57%"
"19-08-2024","226.23","223.65","227.50","223.65","963.59K","1.35%"
"16-08-2024","223.22","225.25","226.18","222.21","797.62K","0.42%"
"14-08-2024","222.28","225.00","226.55","220.71","1.38M","-0.50%"
"13-08-2024","223.40","229.08","229.79","222.05","1.81M","-2.13%"
"12-08-2024","228.27","231.00","231.85","226.44","2.00M","-1.30%"
"09-08-2024","231.28","231.00","232.61","227.00","2.31M","1.40%"
"08-08-2024","228.09","226.98","230.79","225.40","1.88M","0.77%"
"07-08-2024","226.35","224.85","229.95","223.34","1.73M","2.41%"
"06-08-2024","221.02","223.89","231.80","220.20","2.39M","-0.59%"
"05-08-2024","222.34","226.96","232.51","220.09","3.15M","-6.15%"
"02-08-2024","236.90","237.00","240.99","235.51","1.32M","-1.54%"
"01-08-2024","240.61","247.60","247.60","240.05","2.05M","-2.24%"
"31-07-2024","246.12","243.85","249.40","242.40","3.89M","1.49%"
"30-07-2024","242.51","239.20","244.40","237.98","3.11M","1.90%"
"29-07-2024","237.98","238.00","241.85","237.10","2.19M","0.83%"
"26-07-2024","236.02","234.85","238.42","233.60","2.06M","1.09%"
"25-07-2024","233.47","235.60","236.49","231.38","1.93M","-1.45%"
"24-07-2024","236.91","238.86","241.95","235.60","2.90M","-0.24%"
"23-07-2024","237.47","251.00","256.00","229.00","8.85M","-4.05%"
"22-07-2024","247.50","241.00","256.99","236.59","8.93M","2.75%"
"19-07-2024","240.87","248.50","249.48","240.06","2.12M","-2.92%"
"18-07-2024","248.11","253.00","253.70","245.10","5.23M","-1.52%"
"16-07-2024","251.94","255.00","260.60","250.65","3.48M","-0.83%"
"15-07-2024","254.04","257.45","258.50","250.23","3.18M","0.19%"
"12-07-2024","253.55","253.85","264.40","252.01","7.67M","0.33%"
"11-07-2024","252.71","252.10","255.13","249.93","3.29M","0.53%"
"10-07-2024","251.38","258.44","258.44","245.34","4.85M","-2.74%"
"09-07-2024","258.45","260.90","267.00","256.18","11.56M","0.29%"
"08-07-2024","257.71","244.14","258.90","243.32","12.66M","5.84%"
"05-07-2024","243.48","244.00","246.76","242.48","2.38M","-0.11%"
"04-07-2024","243.76","245.25","250.00","242.50","5.07M","-0.45%"
"03-07-2024","244.85","243.00","247.55","241.25","3.41M","0.95%"
"02-07-2024","242.55","247.10","247.10","241.40","2.50M","-1.30%"
"01-07-2024","245.74","242.95","249.90","241.92","5.41M","1.38%"
"28-06-2024","242.40","242.07","245.59","240.10","4.26M","0.58%"
"27-06-2024","241.01","242.01","242.70","238.40","3.09M","-0.76%"
"26-06-2024","242.85","239.00","246.70","237.40","6.45M","2.02%"
"25-06-2024","238.04","244.20","245.79","237.00","5.72M","-2.03%"
"24-06-2024","242.98","245.00","248.12","238.29","9.91M","-3.43%"
"21-06-2024","251.62","264.42","265.93","250.00","16.07M","-4.20%"
"20-06-2024","262.66","241.30","274.70","237.38","76.68M","9.52%"
"19-06-2024","239.82","241.00","250.25","238.16","20.78M","2.51%"
"18-06-2024","233.95","224.31","234.88","223.49","8.99M","4.30%"
"14-06-2024","224.31","225.00","226.80","222.30","1.79M","0.14%"
