"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,323.50","4,259.90","4,352.30","4,243.85","129.56K","1.48%"
"05-11-2024","4,260.30","4,240.00","4,306.00","4,201.20","53.02K","-0.04%"
"04-11-2024","4,261.90","4,290.00","4,290.00","4,131.60","92.74K","-0.86%"
"01-11-2024","4,298.95","4,349.85","4,399.95","4,260.00","27.85K","-0.21%"
"31-10-2024","4,308.10","4,254.20","4,376.25","4,201.00","113.57K","1.36%"
"30-10-2024","4,250.20","4,177.25","4,315.00","4,089.85","201.16K","2.53%"
"29-10-2024","4,145.35","4,090.95","4,220.00","4,031.00","273.95K","1.75%"
"28-10-2024","4,074.10","4,155.10","4,230.55","4,045.90","124.97K","-1.80%"
"25-10-2024","4,148.85","4,290.00","4,343.25","4,091.80","154.82K","-2.95%"
"24-10-2024","4,274.90","4,387.60","4,499.00","4,260.25","153.42K","-2.57%"
"23-10-2024","4,387.60","4,675.05","4,675.05","4,334.10","333.39K","-6.86%"
"22-10-2024","4,710.75","4,775.05","4,849.00","4,536.10","299.82K","-2.12%"
"21-10-2024","4,812.65","4,709.95","4,845.00","4,648.20","312.76K","2.49%"
"18-10-2024","4,695.65","4,719.90","4,734.20","4,570.30","203.61K","0.32%"
"17-10-2024","4,680.55","4,700.00","4,880.95","4,620.00","553.64K","0.12%"
"16-10-2024","4,675.15","4,628.00","4,720.00","4,553.00","184.68K","1.16%"
"15-10-2024","4,621.40","4,580.00","4,653.00","4,527.00","176.32K","0.52%"
"14-10-2024","4,597.60","4,700.00","4,749.00","4,555.00","154.15K","-2.05%"
"11-10-2024","4,693.85","4,675.00","4,725.00","4,581.00","309.41K","0.73%"
"10-10-2024","4,659.75","4,410.00","4,695.00","4,393.55","950.29K","6.76%"
"09-10-2024","4,364.75","4,150.00","4,439.90","4,148.05","393.84K","5.77%"
"08-10-2024","4,126.60","3,970.30","4,158.15","3,926.95","101.95K","3.26%"
"07-10-2024","3,996.15","4,055.00","4,092.85","3,883.05","156.12K","-1.70%"
"04-10-2024","4,065.30","4,261.00","4,300.00","4,000.00","297.41K","-4.85%"
"03-10-2024","4,272.70","4,277.00","4,450.00","4,202.25","227.38K","-1.09%"
"01-10-2024","4,319.70","4,292.10","4,388.00","4,231.55","104.95K","1.09%"
"30-09-2024","4,273.05","4,334.35","4,368.95","4,192.00","72.02K","-0.62%"
"27-09-2024","4,299.60","4,300.00","4,312.35","4,172.00","118.36K","0.89%"
"26-09-2024","4,261.65","4,290.55","4,290.55","4,213.55","47.61K","0.19%"
"25-09-2024","4,253.75","4,300.00","4,360.00","4,225.00","80.51K","-1.24%"
"24-09-2024","4,306.95","4,390.00","4,439.00","4,248.45","180.35K","-2.03%"
"23-09-2024","4,396.35","4,310.25","4,442.90","4,277.75","282.96K","3.68%"
"20-09-2024","4,240.45","4,220.60","4,465.00","4,151.65","294.14K","1.73%"
"19-09-2024","4,168.15","4,339.05","4,381.15","4,100.00","197.92K","-3.73%"
"18-09-2024","4,329.70","4,363.00","4,448.70","4,175.00","159.89K","-1.70%"
"17-09-2024","4,404.50","4,510.50","4,510.50","4,350.00","192.08K","-1.80%"
"16-09-2024","4,485.05","4,399.80","4,510.45","4,376.40","458.62K","2.17%"
"13-09-2024","4,389.60","4,235.00","4,450.00","4,211.00","394.99K","2.17%"
"12-09-2024","4,296.45","4,085.10","4,358.70","4,048.00","679.81K","6.52%"
"11-09-2024","4,033.65","3,911.00","4,049.00","3,865.00","359.88K","2.67%"
"10-09-2024","3,928.75","3,960.00","4,012.00","3,864.85","531.49K","-1.20%"
"09-09-2024","3,976.50","3,801.00","4,010.00","3,760.10","1.93M","4.40%"
"06-09-2024","3,808.90","3,542.00","3,839.70","3,542.00","2.84M","8.08%"
"05-09-2024","3,524.30","3,186.00","3,548.00","3,168.40","2.21M","11.25%"
"04-09-2024","3,168.05","3,125.00","3,194.90","3,105.10","75.08K","0.08%"
"03-09-2024","3,165.60","3,174.00","3,207.30","3,156.00","53.18K","-0.41%"
"02-09-2024","3,178.65","3,202.85","3,212.35","3,150.00","49.95K","0.10%"
"30-08-2024","3,175.35","3,215.50","3,247.00","3,148.05","94.51K","-0.99%"
"29-08-2024","3,206.95","3,265.00","3,305.85","3,200.00","127.13K","-2.09%"
"28-08-2024","3,275.35","3,312.45","3,312.45","3,250.00","71.52K","0.17%"
"27-08-2024","3,269.85","3,245.00","3,440.00","3,239.05","665.86K","0.97%"
"26-08-2024","3,238.40","3,210.00","3,278.00","3,205.00","268.14K","1.10%"
"23-08-2024","3,203.20","3,173.10","3,220.45","3,153.60","157.50K","0.33%"
"22-08-2024","3,192.80","3,231.95","3,292.80","3,177.00","130.87K","-0.13%"
"21-08-2024","3,197.00","3,283.35","3,304.80","3,186.00","148.12K","-2.63%"
"20-08-2024","3,283.35","3,382.00","3,382.00","3,270.00","83.45K","-2.79%"
"19-08-2024","3,377.50","3,427.00","3,469.25","3,334.35","69.99K","-1.44%"
"16-08-2024","3,427.00","3,350.00","3,444.80","3,350.00","115.01K","2.43%"
"14-08-2024","3,345.60","3,320.00","3,413.55","3,205.05","109.16K","0.46%"
"13-08-2024","3,330.40","3,399.95","3,456.00","3,311.10","242.05K","-1.86%"
"12-08-2024","3,393.40","3,390.00","3,423.15","3,349.00","43.24K","-0.71%"
"09-08-2024","3,417.80","3,449.00","3,499.00","3,347.55","65.43K","0.79%"
"08-08-2024","3,391.10","3,327.65","3,451.10","3,305.00","109.54K","2.38%"
"07-08-2024","3,312.15","3,290.90","3,335.00","3,267.80","60.20K","1.12%"
"06-08-2024","3,275.45","3,214.75","3,318.00","3,214.75","87.31K","2.10%"
"05-08-2024","3,208.05","3,252.00","3,323.85","3,169.35","137.21K","-3.54%"
