"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","708.20","706.00","714.25","687.85","5.50M","1.53%"
"05-11-2024","697.55","675.60","701.45","674.80","4.93M","3.45%"
"04-11-2024","674.30","689.00","689.90","661.60","5.25M","-2.40%"
"01-11-2024","690.90","687.50","693.90","687.20","472.90K","0.71%"
"31-10-2024","686.05","686.85","689.55","679.25","4.48M","-0.34%"
"30-10-2024","688.40","690.95","698.80","685.40","3.28M","-0.75%"
"29-10-2024","693.60","692.90","696.20","676.45","4.29M","0.10%"
"28-10-2024","692.90","681.00","697.00","680.80","2.59M","2.08%"
"25-10-2024","678.75","694.50","694.90","668.45","4.09M","-1.73%"
"24-10-2024","690.70","715.00","715.00","666.75","14.91M","-3.68%"
"23-10-2024","717.10","716.00","731.15","713.30","6.52M","-0.44%"
"22-10-2024","720.25","733.00","745.80","718.30","5.67M","-2.62%"
"21-10-2024","739.60","760.00","765.45","737.00","2.98M","-1.84%"
"18-10-2024","753.50","734.80","756.45","725.05","5.47M","2.54%"
"17-10-2024","734.80","741.10","747.30","732.35","6.21M","0.23%"
"16-10-2024","733.10","728.50","738.90","726.05","3.21M","0.85%"
"15-10-2024","726.95","746.00","750.00","720.65","3.06M","-2.16%"
"14-10-2024","743.00","746.00","755.00","739.45","2.54M","-0.58%"
"11-10-2024","747.35","736.00","749.95","733.05","5.22M","2.36%"
"10-10-2024","730.15","731.90","738.20","726.30","3.89M","0.36%"
"09-10-2024","727.55","710.00","735.75","710.00","3.73M","0.80%"
"08-10-2024","721.80","723.50","732.00","708.00","5.42M","-1.30%"
"07-10-2024","731.30","753.00","753.00","722.50","5.86M","-2.22%"
"04-10-2024","747.90","742.65","757.55","740.05","4.62M","0.11%"
"03-10-2024","747.10","750.00","772.65","744.70","5.65M","-1.90%"
"01-10-2024","761.55","755.00","765.50","745.20","4.40M","0.71%"
"30-09-2024","756.20","750.00","764.45","749.45","8.57M","1.21%"
"27-09-2024","747.15","746.95","757.70","742.10","12.94M","1.70%"
"26-09-2024","734.65","718.45","736.15","710.70","10.57M","2.25%"
