"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","784.60","766.00","786.95","766.00","382.40K","2.76%"
"05-11-2024","763.55","757.00","767.95","754.25","526.97K","0.85%"
"04-11-2024","757.15","769.20","770.30","755.75","167.44K","-1.56%"
"01-11-2024","769.15","775.00","775.75","768.00","60.12K","0.60%"
"31-10-2024","764.60","770.00","775.70","760.00","204.21K","-0.56%"
"30-10-2024","768.90","762.30","774.00","762.30","289.19K","0.87%"
"29-10-2024","762.30","775.00","777.55","761.05","683.66K","-0.60%"
"28-10-2024","766.90","772.95","774.00","758.00","341.39K","-0.23%"
"25-10-2024","768.70","776.00","782.00","753.60","478.17K","-0.83%"
"24-10-2024","775.15","780.05","785.80","771.15","877.23K","-0.26%"
"23-10-2024","777.20","774.30","787.60","761.95","301.75K","0.37%"
"22-10-2024","774.35","788.95","798.20","771.20","315.64K","-1.78%"
"21-10-2024","788.35","797.00","799.00","785.00","422.30K","-0.99%"
"18-10-2024","796.25","800.00","804.70","794.00","234.60K","-0.77%"
"17-10-2024","802.40","800.90","809.80","796.65","353.90K","0.20%"
"16-10-2024","800.80","795.60","805.70","795.05","198.55K","0.65%"
"15-10-2024","795.60","802.05","808.85","793.35","204.66K","-1.24%"
"14-10-2024","805.60","800.00","807.45","796.10","220.77K","0.61%"
"11-10-2024","800.75","810.00","810.00","800.00","168.67K","-1.04%"
"10-10-2024","809.20","807.15","812.00","801.00","310.20K","0.52%"
"09-10-2024","805.05","799.90","809.00","799.85","301.85K","0.90%"
"08-10-2024","797.85","796.90","800.40","788.10","225.79K","0.03%"
"07-10-2024","797.65","800.95","807.40","778.30","581.21K","-0.37%"
"04-10-2024","800.60","792.00","809.95","785.10","515.18K","0.40%"
"03-10-2024","797.40","801.50","804.00","793.00","396.63K","-1.00%"
"01-10-2024","805.45","805.15","813.40","801.55","219.28K","-0.36%"
"30-09-2024","808.40","794.70","812.55","792.15","685.40K","1.19%"
"27-09-2024","798.90","804.45","810.00","793.30","749.41K","0.03%"
"26-09-2024","798.65","788.00","802.45","787.50","330.87K","0.90%"
"25-09-2024","791.55","795.60","797.15","788.60","414.07K","-0.24%"
"24-09-2024","793.45","793.70","803.80","791.70","454.93K","-0.03%"
"23-09-2024","793.70","800.25","805.95","791.55","295.74K","-0.79%"
"20-09-2024","800.00","793.85","804.10","789.00","318.03K","0.98%"
"19-09-2024","792.20","800.90","802.70","779.00","402.68K","-0.11%"
"18-09-2024","793.05","801.50","803.90","791.00","402.02K","-1.27%"
"17-09-2024","803.25","807.00","807.00","801.25","267.13K","-0.56%"
"16-09-2024","807.75","822.95","824.95","806.15","287.04K","-1.59%"
"13-09-2024","820.80","824.00","826.80","820.00","393.35K","-0.21%"
"12-09-2024","822.50","816.00","833.00","808.15","1.69M","1.59%"
"11-09-2024","809.65","815.00","819.00","808.00","437.00K","-0.36%"
"10-09-2024","812.60","802.10","814.80","802.10","444.06K","1.87%"
"09-09-2024","797.70","800.00","805.00","794.60","325.92K","-1.05%"
"06-09-2024","806.20","809.00","824.00","803.30","733.84K","0.58%"
"05-09-2024","801.55","804.95","813.35","800.10","293.16K","0.02%"
"04-09-2024","801.35","799.80","809.90","792.00","388.95K","-1.06%"
"03-09-2024","809.90","817.90","817.90","807.00","304.31K","-0.15%"
"02-09-2024","811.15","812.30","825.80","810.00","535.64K","-0.14%"
"30-08-2024","812.30","809.95","814.50","802.40","472.64K","1.12%"
"29-08-2024","803.30","812.50","815.65","801.05","354.87K","-1.12%"
"28-08-2024","812.40","806.05","829.90","806.00","1.26M","0.79%"
"27-08-2024","806.00","805.00","813.50","804.05","391.25K","0.23%"
"26-08-2024","804.15","790.35","809.90","790.35","734.11K","1.82%"
"23-08-2024","789.75","800.00","801.00","787.75","285.73K","-0.88%"
"22-08-2024","796.80","806.90","806.90","795.00","332.34K","-0.57%"
"21-08-2024","801.40","787.65","804.20","786.35","725.74K","1.92%"
"20-08-2024","786.30","778.00","796.00","776.05","665.46K","1.69%"
"19-08-2024","773.25","771.00","776.00","764.65","356.10K","0.93%"
"16-08-2024","766.10","762.00","774.60","761.00","465.24K","1.96%"
"14-08-2024","751.40","754.80","761.85","749.10","422.08K","-0.43%"
"13-08-2024","754.65","765.00","767.00","751.00","1.36M","-2.33%"
"12-08-2024","772.65","776.40","777.75","767.15","440.27K","-0.48%"
"09-08-2024","776.40","787.00","789.00","775.05","275.62K","-0.12%"
"08-08-2024","777.30","778.10","784.50","775.15","354.57K","-0.10%"
"07-08-2024","778.10","781.00","786.00","775.05","368.62K","0.09%"
"06-08-2024","777.40","780.90","793.30","775.00","325.27K","0.44%"
"05-08-2024","774.00","790.00","800.00","772.80","885.20K","-3.97%"
"02-08-2024","806.00","808.80","810.70","805.45","392.39K","-0.84%"
"01-08-2024","812.85","819.70","823.70","810.00","481.85K","-0.05%"
"31-07-2024","813.25","818.45","821.95","812.60","358.02K","-0.46%"
"30-07-2024","817.00","814.85","822.70","811.10","373.99K","0.30%"
"29-07-2024","814.55","824.90","827.45","812.00","423.51K","-0.48%"
"26-07-2024","818.50","819.90","826.00","815.10","420.77K","0.18%"
"25-07-2024","817.00","820.00","822.75","815.00","289.21K","-1.31%"
"24-07-2024","827.85","812.95","834.00","808.95","865.52K","1.90%"
"23-07-2024","812.40","814.00","819.95","791.00","925.40K","0.90%"
"22-07-2024","805.15","808.00","814.00","803.20","388.45K","-1.19%"
"19-07-2024","814.85","832.10","834.50","811.80","743.28K","-1.64%"
"18-07-2024","828.40","824.00","831.95","817.00","973.74K","0.04%"
"16-07-2024","828.10","825.65","837.80","819.30","983.56K","0.30%"
"15-07-2024","825.65","837.00","838.00","822.20","595.77K","-0.58%"
"12-07-2024","830.45","823.75","837.35","816.30","1.77M","2.14%"
"11-07-2024","813.05","819.65","822.00","812.00","357.89K","-0.11%"
"10-07-2024","813.95","821.45","824.00","808.00","526.50K","-0.91%"
"09-07-2024","821.45","822.00","826.25","820.00","413.09K","-0.09%"
"08-07-2024","822.15","833.80","833.80","820.00","550.06K","-0.54%"
"05-07-2024","826.65","828.60","834.60","824.10","648.65K","-0.68%"
"04-07-2024","832.35","829.00","849.40","828.00","1.31M","0.80%"
"03-07-2024","825.75","836.00","836.90","824.15","476.25K","-0.63%"
"02-07-2024","830.95","837.00","839.95","829.30","1.27M","-0.29%"
"01-07-2024","833.35","820.00","837.25","818.35","1.36M","1.96%"
"28-06-2024","817.30","819.00","825.70","815.55","794.20K","0.17%"
"27-06-2024","815.90","828.30","832.30","811.65","1.25M","-1.50%"
"26-06-2024","828.30","834.00","839.90","823.70","2.23M","-0.27%"
"25-06-2024","830.55","846.20","852.90","828.00","21.16M","-9.46%"
"24-06-2024","917.35","910.00","930.00","898.00","750.03K","1.24%"
"21-06-2024","906.15","896.00","956.00","896.00","5.24M","2.71%"
"20-06-2024","882.25","889.00","892.40","880.00","296.60K","-0.61%"
"19-06-2024","887.65","890.70","901.00","873.25","522.69K","0.39%"
"18-06-2024","884.20","882.00","892.75","877.55","431.08K","0.25%"
"14-06-2024","882.00","895.20","898.75","880.00","475.20K","-1.39%"
"13-06-2024","894.45","899.80","910.00","890.95","584.33K","0.48%"
"12-06-2024","890.15","900.00","927.45","883.25","1.23M","-0.36%"
"11-06-2024","893.40","913.00","915.00","885.00","1.07M","-1.65%"
"10-06-2024","908.40","848.35","917.95","846.50","4.10M","7.94%"
"07-06-2024","841.55","821.00","866.00","820.55","1.65M","2.56%"
"06-06-2024","820.55","799.00","826.70","794.00","806.69K","4.18%"
"05-06-2024","787.60","775.15","793.00","761.30","420.13K","2.93%"
"04-06-2024","765.15","786.00","787.90","761.30","606.96K","-2.52%"
"03-06-2024","784.95","812.95","813.00","782.00","319.15K","-0.45%"
"31-05-2024","788.50","790.60","797.00","786.10","198.34K","-0.26%"
"30-05-2024","790.55","802.40","804.25","789.30","223.90K","-1.46%"
