"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","580.75","562.00","583.70","560.60","1.16M","3.88%"
"05-11-2024","559.05","552.00","564.70","546.20","671.98K","1.44%"
"04-11-2024","551.10","572.00","577.35","547.30","668.52K","-3.09%"
"01-11-2024","568.65","564.90","570.90","564.05","194.09K","1.22%"
"31-10-2024","561.80","553.95","564.90","548.05","581.52K","1.55%"
"30-10-2024","553.25","541.65","563.50","540.15","790.07K","1.99%"
"29-10-2024","542.45","533.00","547.50","533.00","810.63K","1.70%"
"28-10-2024","533.40","525.20","539.60","517.50","794.17K","1.73%"
"25-10-2024","524.35","543.15","547.65","515.00","1.17M","-3.03%"
"24-10-2024","540.75","560.40","571.90","535.55","847.96K","-3.20%"
"23-10-2024","558.60","563.70","571.20","542.00","1.38M","-1.90%"
"22-10-2024","569.40","587.00","589.55","566.85","1.16M","-3.83%"
"21-10-2024","592.10","597.45","600.70","589.40","630.64K","-0.45%"
"18-10-2024","594.80","598.00","603.70","585.20","792.14K","-0.55%"
"17-10-2024","598.10","605.75","607.75","595.10","631.75K","-0.83%"
"16-10-2024","603.10","605.00","614.65","600.20","769.53K","-0.36%"
"15-10-2024","605.25","604.05","611.30","602.00","598.87K","-0.21%"
"14-10-2024","606.50","607.50","613.75","603.15","603.35K","0.30%"
"11-10-2024","604.70","607.15","614.00","602.10","643.73K","-0.40%"
"10-10-2024","607.15","614.60","622.85","603.95","803.88K","-0.69%"
"09-10-2024","611.35","607.80","623.00","606.50","955.50K","1.18%"
"08-10-2024","604.20","581.00","609.65","576.70","1.44M","3.19%"
"07-10-2024","585.50","625.90","628.80","580.80","2.43M","-6.01%"
