"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,838.40","1,791.10","1,853.00","1,783.00","3.48M","3.66%"
"05-11-2024","1,773.55","1,769.00","1,783.35","1,761.50","1.82M","0.60%"
"04-11-2024","1,762.95","1,763.00","1,782.10","1,745.00","2.84M","0.32%"
"01-11-2024","1,757.40","1,777.00","1,781.30","1,751.00","242.22K","-0.49%"
"31-10-2024","1,766.05","1,840.00","1,843.90","1,756.55","3.62M","-3.96%"
"30-10-2024","1,838.80","1,861.00","1,869.45","1,835.30","1.73M","-1.76%"
"29-10-2024","1,871.75","1,871.75","1,875.90","1,851.20","1.72M","0.00%"
"28-10-2024","1,871.75","1,845.10","1,876.80","1,845.10","2.42M","1.05%"
"25-10-2024","1,852.35","1,860.00","1,871.55","1,840.20","4.08M","0.40%"
"24-10-2024","1,844.90","1,845.00","1,862.95","1,837.70","1.62M","-0.05%"
"23-10-2024","1,845.75","1,793.50","1,865.00","1,793.50","2.52M","1.26%"
"22-10-2024","1,822.75","1,829.80","1,852.00","1,819.50","2.09M","-1.13%"
"21-10-2024","1,843.60","1,875.30","1,888.50","1,840.00","1.28M","-0.76%"
"18-10-2024","1,857.70","1,867.00","1,873.90","1,843.00","2.37M","-0.54%"
"17-10-2024","1,867.80","1,869.90","1,877.05","1,851.45","2.40M","0.14%"
"16-10-2024","1,865.25","1,869.00","1,885.00","1,854.05","2.14M","-0.26%"
"15-10-2024","1,870.10","1,830.00","1,882.75","1,829.95","5.70M","0.77%"
"14-10-2024","1,855.90","1,846.05","1,865.50","1,832.40","1.75M","0.88%"
"11-10-2024","1,839.65","1,804.00","1,852.80","1,800.65","2.98M","1.71%"
"10-10-2024","1,808.65","1,820.00","1,839.95","1,797.00","3.75M","-0.06%"
"09-10-2024","1,809.70","1,793.05","1,825.00","1,790.15","2.50M","1.13%"
"08-10-2024","1,789.45","1,774.00","1,794.00","1,743.00","2.35M","0.70%"
"07-10-2024","1,776.95","1,784.95","1,804.20","1,767.90","3.42M","0.02%"
