"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","298.400","302.000","302.350","292.500","6.43M","-0.05%"
"05-11-2024","298.550","290.000","300.900","288.200","5.12M","2.45%"
"04-11-2024","291.400","294.950","295.900","286.200","5.73M","-1.00%"
"01-11-2024","294.350","295.000","297.800","293.000","1.15M","0.05%"
"31-10-2024","294.200","290.000","295.000","286.500","4.19M","0.86%"
"30-10-2024","291.700","289.950","296.700","287.100","5.24M","0.45%"
"29-10-2024","290.400","288.000","292.000","281.250","4.15M","0.16%"
"28-10-2024","289.950","274.700","292.900","269.300","10.52M","6.70%"
"25-10-2024","271.750","291.600","291.600","269.000","8.56M","-6.53%"
"24-10-2024","290.750","292.000","295.500","286.200","3.67M","-0.55%"
"23-10-2024","292.350","292.500","297.000","286.200","7.85M","-0.92%"
"22-10-2024","295.050","314.400","316.350","285.100","5.62M","-6.84%"
"21-10-2024","316.700","322.050","325.000","313.850","2.88M","-1.95%"
"18-10-2024","323.000","313.000","326.500","306.900","5.33M","1.83%"
"17-10-2024","317.200","321.500","322.050","312.650","2.88M","-1.46%"
"16-10-2024","321.900","320.000","327.400","316.200","3.99M","0.31%"
"15-10-2024","320.900","325.000","325.450","316.900","2.51M","-1.34%"
"14-10-2024","325.250","318.000","333.350","310.600","6.02M","2.98%"
"11-10-2024","315.850","314.000","320.950","310.700","2.80M","1.19%"
"10-10-2024","312.150","315.000","319.200","311.100","2.18M","-0.43%"
"09-10-2024","313.500","315.000","319.250","312.400","2.02M","-0.25%"
"08-10-2024","314.300","309.900","320.400","304.300","4.01M","0.87%"
"07-10-2024","311.600","330.350","331.400","308.000","7.51M","-5.68%"
"04-10-2024","330.350","335.000","337.700","323.300","5.70M","-2.19%"
"03-10-2024","337.750","345.000","351.250","335.100","6.24M","-3.25%"
"01-10-2024","349.100","343.700","353.000","337.200","7.39M","1.51%"
"30-09-2024","343.900","349.000","352.800","340.550","10.97M","-0.17%"
"27-09-2024","344.500","347.400","352.300","343.000","16.09M","0.22%"
"26-09-2024","343.750","341.500","345.250","332.750","12.07M","1.03%"
"25-09-2024","340.250","346.000","347.200","338.350","8.17M","-0.47%"
"24-09-2024","341.850","334.500","343.000","332.800","19.66M","3.37%"
"23-09-2024","330.700","331.850","334.100","328.000","4.79M","0.27%"
"20-09-2024","329.800","326.350","331.300","323.650","10.24M","1.76%"
"19-09-2024","324.100","323.500","327.000","311.400","10.92M","1.20%"
"18-09-2024","320.250","319.000","321.500","315.150","3.41M","0.58%"
"17-09-2024","318.400","324.000","324.900","317.400","2.71M","-1.41%"
"16-09-2024","322.950","316.100","327.500","313.050","7.09M","2.56%"
"13-09-2024","314.900","316.200","320.300","313.500","3.67M","0.19%"
"12-09-2024","314.300","309.450","315.100","308.500","3.22M","2.38%"
"11-09-2024","307.000","314.000","314.250","306.350","2.18M","-1.95%"
"10-09-2024","313.100","311.000","316.600","311.000","3.18M","1.34%"
"09-09-2024","308.950","306.000","310.350","301.050","4.37M","-0.93%"
"06-09-2024","311.850","315.600","316.100","306.100","3.73M","-1.16%"
"05-09-2024","315.500","313.500","317.500","309.000","4.27M","0.88%"
"04-09-2024","312.750","314.350","317.350","311.300","2.99M","-1.81%"
"03-09-2024","318.500","320.000","322.050","317.250","2.18M","-0.67%"
"02-09-2024","320.650","330.000","331.000","320.000","5.76M","-3.58%"
"30-08-2024","332.550","329.000","335.850","325.150","16.04M","1.20%"
"29-08-2024","328.600","328.500","330.600","319.100","12.02M","-0.02%"
"28-08-2024","328.650","328.000","332.450","326.100","6.31M","-0.33%"
"27-08-2024","329.750","332.000","336.800","328.950","20.07M","0.03%"
"26-08-2024","329.650","318.450","331.300","318.000","14.89M","4.22%"
"23-08-2024","316.300","318.300","320.400","311.000","3.65M","-0.71%"
"22-08-2024","318.550","317.000","320.800","314.500","4.79M","0.49%"
"21-08-2024","317.000","318.000","320.900","315.250","3.06M","-0.52%"
"20-08-2024","318.650","326.300","328.100","317.400","6.17M","-1.54%"
"19-08-2024","323.650","315.000","325.550","315.000","15.47M","3.09%"
"16-08-2024","313.950","306.000","315.500","298.500","14.29M","5.12%"
"14-08-2024","298.650","315.200","317.300","295.100","17.14M","-4.57%"
"13-08-2024","312.950","313.950","319.500","308.250","20.95M","3.37%"
"12-08-2024","302.750","301.000","305.750","298.000","2.86M","-0.13%"
"09-08-2024","303.150","300.000","306.500","299.550","4.49M","2.61%"
"08-08-2024","295.450","296.000","302.650","291.500","3.60M","-0.25%"
"07-08-2024","296.200","289.400","297.500","285.600","3.86M","4.42%"
"06-08-2024","283.650","295.000","297.000","282.100","5.59M","-1.97%"
"05-08-2024","289.350","300.000","303.950","287.100","9.20M","-6.71%"
"02-08-2024","310.150","312.350","315.550","308.200","5.22M","-2.93%"
"01-08-2024","319.500","326.000","329.700","317.250","6.42M","-0.65%"
"31-07-2024","321.600","319.150","325.400","319.150","3.81M","1.04%"
"30-07-2024","318.300","315.800","321.450","313.700","3.83M","0.79%"
"29-07-2024","315.800","318.300","321.000","314.750","3.15M","0.13%"
"26-07-2024","315.400","310.000","317.900","309.950","3.96M","2.10%"
