"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,755.25","1,771.50","1,771.50","1,745.35","13.89M","-0.15%"
"05-11-2024","1,757.85","1,703.00","1,762.70","1,697.90","22.12M","2.55%"
"04-11-2024","1,714.10","1,745.00","1,745.00","1,710.90","14.04M","-1.34%"
"01-11-2024","1,737.30","1,733.00","1,744.10","1,726.10","879.85K","0.09%"
"31-10-2024","1,735.70","1,728.00","1,738.90","1,719.40","11.45M","0.06%"
"30-10-2024","1,734.60","1,742.00","1,754.75","1,724.20","16.36M","-0.98%"
"29-10-2024","1,751.85","1,726.15","1,764.00","1,725.10","17.90M","1.02%"
"28-10-2024","1,734.20","1,742.00","1,751.00","1,728.90","11.01M","-0.53%"
"25-10-2024","1,743.40","1,755.00","1,757.85","1,728.70","13.07M","-0.36%"
"24-10-2024","1,749.65","1,738.10","1,768.65","1,738.10","15.42M","0.80%"
"23-10-2024","1,735.80","1,705.05","1,746.50","1,705.05","19.02M","1.24%"
"22-10-2024","1,714.55","1,730.05","1,740.00","1,710.70","19.44M","-0.82%"
"21-10-2024","1,728.70","1,715.00","1,748.15","1,711.05","23.27M","2.79%"
"18-10-2024","1,681.85","1,663.10","1,691.00","1,654.10","12.40M","0.52%"
"17-10-2024","1,673.15","1,694.95","1,697.65","1,665.20","7.35M","-1.57%"
"16-10-2024","1,699.80","1,680.10","1,707.95","1,680.10","10.24M","0.93%"
"15-10-2024","1,684.10","1,694.00","1,698.00","1,675.50","9.83M","-0.24%"
"14-10-2024","1,688.10","1,656.05","1,692.05","1,654.00","9.26M","2.25%"
"11-10-2024","1,651.00","1,664.45","1,664.45","1,643.25","11.84M","-0.69%"
"10-10-2024","1,662.40","1,639.00","1,665.45","1,632.50","10.88M","1.79%"
"09-10-2024","1,633.15","1,649.50","1,656.75","1,628.70","20.56M","-1.08%"
"08-10-2024","1,651.05","1,630.00","1,656.80","1,622.00","14.87M","2.06%"
"07-10-2024","1,617.80","1,652.20","1,659.00","1,613.00","47.23M","-2.40%"
"04-10-2024","1,657.65","1,674.50","1,690.65","1,653.00","24.34M","-1.45%"
"03-10-2024","1,682.00","1,715.65","1,726.15","1,673.35","24.24M","-2.56%"
"01-10-2024","1,726.20","1,724.00","1,742.00","1,720.10","12.29M","-0.34%"
"30-09-2024","1,732.05","1,748.80","1,751.45","1,724.40","13.19M","-1.18%"
"27-09-2024","1,752.65","1,777.00","1,778.20","1,750.00","17.81M","-1.73%"
"26-09-2024","1,783.45","1,773.05","1,788.00","1,768.05","15.95M","0.24%"
"25-09-2024","1,779.10","1,760.15","1,788.00","1,760.15","15.98M","0.62%"
"24-09-2024","1,768.05","1,765.00","1,781.65","1,754.25","16.52M","0.47%"
"23-09-2024","1,759.80","1,749.00","1,766.35","1,740.25","13.48M","1.07%"
"20-09-2024","1,741.20","1,716.50","1,744.95","1,707.55","30.31M","1.91%"
"19-09-2024","1,708.50","1,699.20","1,719.00","1,699.15","15.33M","0.81%"
"18-09-2024","1,694.80","1,671.85","1,698.90","1,671.10","20.46M","1.56%"
"17-09-2024","1,668.80","1,678.00","1,678.00","1,664.15","10.06M","-0.13%"
"16-09-2024","1,670.95","1,667.00","1,677.80","1,664.05","7.59M","0.30%"
"13-09-2024","1,665.95","1,674.00","1,674.00","1,657.05","11.93M","-0.04%"
"12-09-2024","1,666.60","1,654.00","1,670.00","1,647.05","16.21M","1.38%"
