"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,498.45","4,300.00","4,509.00","4,300.00","618.53K","4.76%"
"05-11-2024","4,294.00","4,294.00","4,328.00","4,182.50","859.56K","0.25%"
"04-11-2024","4,283.40","4,342.05","4,342.05","4,227.00","560.19K","-0.91%"
"01-11-2024","4,322.85","4,340.00","4,359.15","4,310.00","55.31K","0.54%"
"31-10-2024","4,299.45","4,400.90","4,400.90","4,258.50","520.29K","-1.94%"
"30-10-2024","4,384.60","4,439.00","4,439.00","4,361.20","325.81K","-0.78%"
"29-10-2024","4,419.05","4,340.00","4,435.35","4,216.55","671.05K","1.88%"
"28-10-2024","4,337.50","4,365.45","4,413.30","4,305.00","402.59K","-0.11%"
"25-10-2024","4,342.25","4,450.00","4,515.40","4,305.05","566.21K","-2.08%"
"24-10-2024","4,434.45","4,499.00","4,540.85","4,361.55","438.47K","-1.43%"
"23-10-2024","4,499.00","4,487.00","4,569.95","4,440.05","479.94K","-0.26%"
"22-10-2024","4,510.85","4,602.95","4,647.90","4,490.55","567.04K","-2.00%"
"21-10-2024","4,602.95","4,740.90","4,800.00","4,590.05","607.17K","-2.27%"
"18-10-2024","4,709.75","4,698.95","4,750.20","4,605.00","343.63K","-0.40%"
"17-10-2024","4,728.65","4,824.05","4,824.05","4,690.30","670.14K","-2.06%"
"16-10-2024","4,827.90","4,560.00","4,864.00","4,560.00","3.37M","5.99%"
"15-10-2024","4,555.10","4,499.90","4,604.25","4,465.15","1.57M","1.63%"
"14-10-2024","4,482.05","4,476.95","4,502.00","4,414.00","497.07K","0.73%"
"11-10-2024","4,449.40","4,411.00","4,455.00","4,345.00","717.93K","0.88%"
"10-10-2024","4,410.45","4,360.50","4,443.55","4,352.25","385.53K","0.93%"
"09-10-2024","4,369.80","4,249.90","4,388.95","4,239.35","692.05K","4.30%"
"08-10-2024","4,189.45","4,100.00","4,202.00","4,100.00","371.92K","1.37%"
"07-10-2024","4,132.80","4,203.00","4,237.95","4,102.25","483.25K","-2.05%"
"04-10-2024","4,219.45","4,225.00","4,289.65","4,184.65","285.68K","-0.15%"
"03-10-2024","4,225.65","4,292.00","4,350.00","4,201.05","231.15K","-3.19%"
"01-10-2024","4,365.00","4,318.00","4,390.70","4,301.75","335.99K","1.53%"
"30-09-2024","4,299.30","4,420.00","4,420.00","4,275.55","398.61K","-2.74%"
"27-09-2024","4,420.55","4,525.00","4,525.00","4,411.00","496.53K","-2.36%"
"26-09-2024","4,527.55","4,490.40","4,541.00","4,416.00","268.10K","1.26%"
"25-09-2024","4,471.20","4,489.90","4,505.70","4,425.05","261.27K","-0.18%"
"24-09-2024","4,479.15","4,422.00","4,534.30","4,390.00","558.13K","1.50%"
"23-09-2024","4,412.80","4,385.50","4,433.00","4,330.00","415.63K","0.79%"
"20-09-2024","4,378.30","4,392.00","4,414.95","4,360.00","737.97K","-0.26%"
"19-09-2024","4,389.80","4,440.00","4,486.00","4,299.90","448.62K","-0.96%"
"18-09-2024","4,432.25","4,421.90","4,486.00","4,392.10","190.25K","0.23%"
"17-09-2024","4,421.90","4,439.45","4,453.80","4,400.00","278.58K","-0.25%"
"16-09-2024","4,433.00","4,438.00","4,464.60","4,397.30","382.30K","0.24%"
"13-09-2024","4,422.40","4,404.00","4,450.00","4,386.65","318.26K","0.82%"
