"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","708.70","717.00","718.00","704.35","2.88M","-1.19%"
"05-11-2024","717.25","710.80","726.60","685.40","5.04M","0.90%"
"04-11-2024","710.85","720.20","727.60","706.10","2.05M","-1.78%"
"01-11-2024","723.70","721.95","726.00","720.15","198.74K","0.49%"
"31-10-2024","720.15","723.10","726.75","713.15","2.03M","-0.95%"
"30-10-2024","727.05","744.25","745.00","724.55","1.65M","-2.07%"
"29-10-2024","742.40","718.00","745.10","708.15","4.59M","3.36%"
"28-10-2024","718.25","710.25","721.80","705.70","1.45M","1.24%"
"25-10-2024","709.45","718.00","719.70","700.00","2.85M","-0.76%"
"24-10-2024","714.85","725.00","735.00","711.05","1.81M","-1.23%"
"23-10-2024","723.75","725.00","732.00","718.20","1.67M","-0.61%"
"22-10-2024","728.20","745.80","749.75","724.35","3.35M","-2.37%"
"21-10-2024","745.85","748.85","755.45","742.45","4.51M","0.46%"
"18-10-2024","742.45","726.00","744.00","720.10","3.70M","2.25%"
"17-10-2024","726.10","730.00","731.50","715.95","4.31M","-0.10%"
"16-10-2024","726.80","723.45","732.45","714.85","5.38M","1.76%"
"15-10-2024","714.25","742.80","746.45","711.30","6.67M","-3.56%"
"14-10-2024","740.60","728.00","741.60","726.30","3.99M","2.31%"
"11-10-2024","723.85","721.50","725.50","717.00","1.98M","0.03%"
"10-10-2024","723.65","721.00","726.20","713.30","2.25M","0.89%"
"09-10-2024","717.30","709.85","725.45","703.75","1.74M","1.01%"
"08-10-2024","710.10","700.50","712.55","699.80","3.77M","0.60%"
"07-10-2024","705.85","711.65","719.30","702.90","3.47M","-0.42%"
"04-10-2024","708.80","702.25","713.50","701.55","2.62M","0.93%"
"03-10-2024","702.25","696.55","711.95","696.50","2.54M","-1.12%"
"01-10-2024","710.20","716.00","723.35","706.60","1.99M","-1.09%"
"30-09-2024","718.00","735.00","736.35","716.00","2.49M","-1.67%"
"27-09-2024","730.20","729.45","740.65","726.35","4.57M","0.09%"
"26-09-2024","729.55","716.55","732.00","714.30","2.80M","1.81%"
"25-09-2024","716.55","722.00","723.10","710.10","1.10M","-0.58%"
"24-09-2024","720.70","727.50","728.95","715.15","3.21M","-0.93%"
"23-09-2024","727.50","718.85","730.00","714.05","2.94M","2.31%"
"20-09-2024","711.10","702.00","721.00","702.00","7.89M","1.37%"
"19-09-2024","701.50","700.35","708.10","697.75","2.20M","0.39%"
"18-09-2024","698.80","698.90","705.20","693.40","1.53M","-0.01%"
"17-09-2024","698.90","701.35","702.90","691.55","2.99M","-0.35%"
"16-09-2024","701.35","708.85","709.20","698.00","2.75M","-0.57%"
"13-09-2024","705.40","712.00","713.75","703.15","1.89M","-1.28%"
"12-09-2024","714.55","703.15","715.95","698.30","3.49M","2.06%"
"11-09-2024","700.15","701.00","704.30","696.00","4.60M","-0.39%"
"10-09-2024","702.90","730.00","732.15","701.20","7.37M","-4.47%"
"09-09-2024","735.80","735.10","749.00","731.25","2.64M","-0.35%"
"06-09-2024","738.40","750.00","754.10","736.05","2.77M","-1.79%"
"05-09-2024","751.85","758.00","758.65","750.40","1.76M","-0.92%"
"04-09-2024","758.80","751.70","759.45","748.40","3.03M","0.01%"
"03-09-2024","758.75","754.00","761.20","741.65","6.27M","1.80%"
"02-09-2024","745.30","743.15","754.00","739.85","3.07M","0.89%"
"30-08-2024","738.70","736.90","742.70","733.50","6.23M","0.24%"
"29-08-2024","736.90","740.00","748.50","731.85","3.96M","-0.70%"
"28-08-2024","742.10","739.95","746.55","734.05","3.00M","0.34%"
"27-08-2024","739.55","724.00","742.45","719.30","5.63M","1.92%"
"26-08-2024","725.65","734.00","734.00","719.25","2.13M","-0.46%"
"23-08-2024","729.00","725.00","730.50","723.45","3.90M","0.41%"
"22-08-2024","726.00","726.00","729.90","720.05","3.89M","0.20%"
"21-08-2024","724.55","714.35","727.60","708.65","6.19M","1.96%"
"20-08-2024","710.60","687.00","713.00","684.05","6.83M","3.63%"
"19-08-2024","685.70","689.40","689.40","678.50","2.35M","-0.54%"
"16-08-2024","689.40","664.65","690.60","664.65","4.58M","0.44%"
"14-08-2024","686.35","686.00","690.60","676.40","2.96M","0.20%"
"13-08-2024","685.00","698.10","707.30","677.50","5.74M","-2.48%"
"12-08-2024","702.45","698.60","713.65","692.20","3.72M","0.01%"
"09-08-2024","702.40","714.20","715.00","701.45","2.85M","-1.12%"
"08-08-2024","710.35","691.10","713.20","689.70","5.95M","2.03%"
"07-08-2024","696.25","682.10","697.70","682.10","5.15M","2.45%"
"06-08-2024","679.60","711.65","719.00","677.30","6.11M","-4.40%"
"05-08-2024","710.90","693.00","713.90","690.05","9.33M","0.49%"
"02-08-2024","707.40","707.50","712.75","699.05","2.71M","-0.87%"
"01-08-2024","713.60","715.00","722.50","710.05","4.07M","-0.27%"
"31-07-2024","715.50","697.20","719.00","693.10","6.68M","2.62%"
"30-07-2024","697.20","696.10","708.35","683.90","6.13M","0.05%"
"29-07-2024","696.85","703.55","710.00","693.75","4.68M","-0.92%"
"26-07-2024","703.35","683.15","709.80","682.05","8.93M","2.96%"
"25-07-2024","683.15","666.00","685.60","665.55","9.39M","1.54%"
"24-07-2024","672.80","639.60","675.00","639.30","12.38M","4.48%"
"23-07-2024","643.95","642.00","649.70","623.25","9.08M","1.03%"
"22-07-2024","637.40","631.90","641.00","628.95","3.85M","0.24%"
"19-07-2024","635.90","644.65","646.00","634.15","2.50M","-2.00%"
"18-07-2024","648.90","646.75","651.40","641.10","3.98M","0.33%"
"16-07-2024","646.75","642.00","655.00","633.35","9.17M","1.36%"
"15-07-2024","638.05","635.55","648.00","630.50","6.95M","0.39%"
"12-07-2024","635.55","634.00","636.40","627.10","2.64M","0.20%"
"11-07-2024","634.25","635.95","636.60","629.30","3.57M","0.24%"
"10-07-2024","632.75","624.00","640.75","615.60","6.19M","1.46%"
"09-07-2024","623.65","622.00","629.35","620.90","5.00M","0.44%"
"08-07-2024","620.90","609.00","622.05","608.60","6.80M","2.23%"
"05-07-2024","607.35","606.20","608.80","600.65","3.49M","0.56%"
"04-07-2024","603.95","596.00","607.30","594.30","5.03M","1.31%"
"03-07-2024","596.15","592.40","598.85","590.50","2.13M","1.08%"
"02-07-2024","589.80","603.70","603.75","586.50","6.48M","-1.82%"
"01-07-2024","600.75","590.15","603.05","589.60","3.34M","0.96%"
"28-06-2024","595.05","594.00","599.80","590.00","3.65M","0.30%"
"27-06-2024","593.25","589.05","595.00","586.60","4.77M","0.71%"
"26-06-2024","589.05","591.65","599.00","587.20","3.67M","-0.32%"
"25-06-2024","590.95","579.00","592.25","576.95","6.59M","1.98%"
"24-06-2024","579.50","580.00","582.45","575.65","3.23M","-0.25%"
"21-06-2024","580.95","588.00","592.60","580.00","7.26M","-1.55%"
"20-06-2024","590.10","596.20","597.50","582.70","6.13M","-1.02%"
"19-06-2024","596.20","602.10","605.15","592.35","4.45M","-0.83%"
"18-06-2024","601.20","596.85","605.00","591.80","5.12M","0.48%"
"14-06-2024","598.35","599.15","601.80","594.05","7.31M","0.82%"
"13-06-2024","593.50","565.00","598.40","565.00","24.35M","3.63%"
"12-06-2024","572.70","571.70","577.75","569.60","4.30M","0.17%"
"11-06-2024","571.70","571.50","576.90","566.20","6.42M","0.44%"
"10-06-2024","569.20","563.25","574.55","561.30","3.86M","1.11%"
"07-06-2024","562.95","555.05","563.60","553.50","3.38M","1.39%"
"06-06-2024","555.25","555.00","558.75","550.40","3.97M","0.60%"
"05-06-2024","551.95","540.00","554.30","536.10","3.23M","3.27%"
"04-06-2024","534.45","555.00","555.00","511.40","9.78M","-2.84%"
"03-06-2024","550.10","568.95","569.25","547.05","9.26M","0.05%"
"31-05-2024","549.85","551.90","556.30","546.55","9.71M","-0.16%"
"30-05-2024","550.75","552.75","563.85","548.25","6.31M","-1.98%"
"29-05-2024","561.85","578.45","578.45","560.90","6.26M","-2.87%"
"28-05-2024","578.45","567.00","579.95","563.65","5.80M","2.52%"
"27-05-2024","564.25","565.20","569.30","562.10","2.62M","-0.15%"
"24-05-2024","565.10","565.00","571.80","563.45","3.43M","-0.10%"
"23-05-2024","565.65","564.00","569.20","558.05","7.11M","0.94%"
"22-05-2024","560.40","565.60","566.80","559.65","3.82M","-0.92%"
"21-05-2024","565.60","569.40","570.00","563.05","5.58M","-0.67%"
"18-05-2024","569.40","569.40","569.40","569.40","","-0.14%"
"17-05-2024","570.20","567.05","572.00","561.45","3.99M","0.56%"
"16-05-2024","567.05","557.00","568.20","550.70","4.54M","2.00%"
"15-05-2024","555.95","561.55","562.00","555.00","2.42M","-1.00%"
"14-05-2024","561.55","566.00","568.00","560.00","5.35M","0.34%"
"13-05-2024","559.65","553.80","568.45","547.15","7.87M","2.02%"
"10-05-2024","548.55","542.80","553.80","539.55","7.52M","1.67%"
"09-05-2024","539.55","551.05","551.90","538.00","13.57M","-1.98%"
"08-05-2024","550.45","552.10","553.95","548.00","6.72M","-0.34%"
"07-05-2024","552.35","559.50","561.95","549.60","7.78M","-0.49%"
"06-05-2024","555.05","569.90","569.90","550.20","8.76M","-1.92%"
"03-05-2024","565.90","581.80","581.80","565.25","8.57M","-1.81%"
"02-05-2024","576.35","584.30","586.55","573.40","8.29M","-1.25%"
"30-04-2024","583.65","576.55","588.50","576.05","9.93M","1.49%"
"29-04-2024","575.10","590.00","591.95","571.00","8.88M","-2.17%"
"26-04-2024","587.85","597.00","603.40","587.00","3.09M","-1.15%"
"25-04-2024","594.70","595.45","596.40","585.60","6.15M","0.08%"
"24-04-2024","594.20","600.05","601.10","593.00","4.10M","-1.16%"
"23-04-2024","601.15","606.05","609.15","598.00","4.53M","-0.79%"
"22-04-2024","605.95","601.85","608.85","598.10","3.08M","0.73%"
"19-04-2024","601.55","600.00","604.40","581.10","10.24M","-0.68%"
"18-04-2024","605.65","618.00","624.00","604.15","11.98M","0.17%"
"16-04-2024","604.60","609.05","611.10","600.60","4.97M","-1.36%"
"15-04-2024","612.95","610.05","616.50","604.10","2.59M","-0.90%"
"12-04-2024","618.50","621.00","624.00","616.25","5.08M","-0.48%"
"10-04-2024","621.50","636.00","637.10","620.00","6.75M","-1.96%"
"09-04-2024","633.95","639.00","639.15","632.65","2.87M","-0.10%"
"08-04-2024","634.60","630.00","635.90","626.55","3.40M","0.83%"
"05-04-2024","629.40","621.00","630.45","616.30","3.86M","1.12%"
"04-04-2024","622.40","625.00","626.50","618.10","3.86M","-0.27%"
"03-04-2024","624.10","629.85","630.00","620.40","3.82M","-1.23%"
"02-04-2024","631.90","631.10","641.65","631.10","5.18M","-0.45%"
"01-04-2024","634.75","638.00","638.00","628.00","3.87M","0.22%"
"28-03-2024","633.35","626.35","638.75","626.35","6.88M","1.12%"
"27-03-2024","626.35","627.50","638.40","624.05","13.85M","-0.09%"
"26-03-2024","626.90","638.85","642.80","625.50","13.82M","0.49%"
"22-03-2024","623.85","623.90","628.65","616.00","3.64M","0.26%"
"21-03-2024","622.25","629.00","639.00","620.00","7.20M","-0.66%"
"20-03-2024","626.40","630.00","632.50","619.40","1.71M","-0.96%"
"19-03-2024","632.50","634.00","636.50","623.35","3.86M","-0.25%"
"18-03-2024","634.10","634.95","636.55","628.25","2.91M","0.28%"
"15-03-2024","632.35","620.00","634.80","611.30","4.90M","1.62%"
"14-03-2024","622.25","603.00","624.50","598.20","3.75M","2.00%"
"13-03-2024","610.05","623.25","626.70","604.05","2.84M","-1.85%"
"12-03-2024","621.55","618.25","629.80","615.05","4.98M","0.11%"
"11-03-2024","620.85","625.00","629.00","618.90","3.78M","-0.18%"
"07-03-2024","621.95","611.55","624.15","611.55","3.68M","1.30%"
"06-03-2024","613.95","611.25","618.10","604.70","4.90M","1.03%"
"05-03-2024","607.70","611.80","615.60","603.75","4.34M","-0.43%"
"04-03-2024","610.30","595.00","620.50","587.60","7.27M","3.04%"
"02-03-2024","592.30","592.75","597.00","591.05","171.94K","0.40%"
"01-03-2024","589.95","584.90","596.80","583.00","3.46M","1.37%"
"29-02-2024","582.00","581.00","585.90","575.55","2.75M","0.24%"
"28-02-2024","580.60","582.00","590.90","578.15","3.43M","-0.17%"
"27-02-2024","581.60","576.05","592.00","572.85","6.32M","0.91%"
"26-02-2024","576.35","568.75","580.95","567.25","4.20M","-0.75%"
"23-02-2024","580.70","577.20","583.35","575.75","2.56M","1.05%"
"22-02-2024","574.65","578.00","579.40","567.05","4.20M","-0.48%"
"21-02-2024","577.45","587.95","591.25","574.50","3.32M","-1.79%"
"20-02-2024","587.95","580.20","589.50","576.25","3.52M","0.47%"
"19-02-2024","585.20","594.30","594.30","584.40","2.79M","-1.22%"
"16-02-2024","592.45","588.50","594.00","583.70","2.97M","1.26%"
"15-02-2024","585.10","586.85","589.35","582.00","1.74M","-0.04%"
"14-02-2024","585.35","582.40","586.95","578.40","1.57M","-0.71%"
"13-02-2024","589.55","577.25","594.00","574.70","5.01M","2.14%"
"12-02-2024","577.20","584.00","586.50","572.40","2.80M","-1.16%"
"09-02-2024","584.00","591.70","594.15","582.25","2.45M","-1.30%"
"08-02-2024","591.70","605.15","616.05","590.10","7.78M","-2.22%"
"07-02-2024","605.15","597.00","614.00","596.00","7.56M","2.09%"
"06-02-2024","592.75","564.00","595.05","562.25","15.92M","5.22%"
"05-02-2024","563.35","578.80","581.95","561.55","3.75M","-2.67%"
"02-02-2024","578.80","589.95","589.95","576.50","3.01M","-1.41%"
"01-02-2024","587.10","577.20","591.40","567.20","8.91M","1.82%"
"31-01-2024","576.60","573.50","578.00","571.30","4.07M","0.28%"
