"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","454.90","436.60","457.20","435.90","384.89K","4.71%"
"05-11-2024","434.45","431.30","440.00","428.00","235.56K","1.09%"
"04-11-2024","429.75","446.00","447.45","425.25","260.74K","-3.00%"
"01-11-2024","443.05","434.75","445.90","434.05","104.17K","2.49%"
"31-10-2024","432.30","430.00","434.75","426.65","263.56K","0.07%"
"30-10-2024","432.00","428.45","437.70","425.95","221.96K","1.06%"
"29-10-2024","427.45","425.80","433.90","418.45","299.96K","1.29%"
"28-10-2024","422.00","420.00","430.00","407.05","441.32K","1.83%"
"25-10-2024","414.40","431.30","431.65","410.00","632.74K","-4.56%"
"24-10-2024","434.20","441.05","443.65","430.10","543.44K","-1.83%"
"23-10-2024","442.30","430.00","458.00","425.95","1.63M","3.14%"
"22-10-2024","428.85","459.75","460.80","425.30","1.16M","-7.35%"
"21-10-2024","462.85","493.00","493.00","455.25","984.43K","-6.75%"
"18-10-2024","496.35","509.00","516.00","488.40","1.05M","-3.45%"
"17-10-2024","514.08","496.70","516.20","494.20","4.16M","3.67%"
"16-10-2024","495.86","502.12","509.76","491.38","1.28M","-1.25%"
"15-10-2024","502.12","497.94","523.36","495.21","3.84M","1.40%"
"14-10-2024","495.21","494.19","501.99","490.01","830.30K","0.70%"
"11-10-2024","491.77","490.40","502.22","482.40","1.14M","0.59%"
"10-10-2024","488.89","496.88","514.80","486.22","2.05M","-1.06%"
"09-10-2024","494.14","488.40","507.20","487.65","1.95M","0.95%"
"08-10-2024","489.50","443.01","498.95","443.00","3.47M","9.86%"
"07-10-2024","445.58","474.80","474.80","437.46","1.16M","-5.42%"
"04-10-2024","471.09","483.80","488.00","468.44","1.01M","-1.89%"
"03-10-2024","480.15","482.47","485.49","469.64","1.07M","-1.97%"
"01-10-2024","489.78","496.80","498.60","483.40","1.23M","-1.24%"
"30-09-2024","495.91","486.21","507.00","485.37","2.14M","1.07%"
"27-09-2024","490.66","486.99","495.40","481.40","1.88M","1.64%"
"26-09-2024","482.74","489.00","498.68","479.60","3.15M","-0.83%"
"25-09-2024","486.78","466.00","508.60","466.00","27.40M","5.39%"
"24-09-2024","461.87","452.86","481.00","450.02","4.51M","2.49%"
"23-09-2024","450.67","454.50","464.93","448.20","1.00M","-0.59%"
"20-09-2024","453.36","451.76","461.97","442.01","1.99M","0.80%"
"19-09-2024","449.75","459.80","464.19","447.20","2.39M","-1.82%"
"18-09-2024","458.10","423.89","475.49","421.04","16.08M","8.63%"
"17-09-2024","421.69","428.00","428.00","418.02","610.96K","-1.44%"
"16-09-2024","427.86","414.00","436.00","402.02","2.48M","3.38%"
"13-09-2024","413.86","401.80","417.60","400.00","745.51K","3.45%"
"12-09-2024","400.05","401.80","403.24","398.00","239.20K","0.04%"
"11-09-2024","399.89","408.30","408.60","398.43","219.98K","-1.53%"
"10-09-2024","406.10","404.98","412.92","404.01","363.67K","0.88%"
"09-09-2024","402.57","396.40","406.00","393.30","493.36K","1.68%"
"06-09-2024","395.91","395.60","406.54","392.80","537.97K","0.22%"
"05-09-2024","395.03","395.18","399.54","394.00","232.79K","0.52%"
"04-09-2024","392.99","394.00","403.18","391.00","458.64K","-0.67%"
"03-09-2024","395.64","395.23","401.90","394.60","279.06K","0.10%"
"02-09-2024","395.23","398.20","403.28","393.10","270.85K","-1.12%"
"30-08-2024","399.69","401.58","403.56","398.26","404.33K","0.02%"
"29-08-2024","399.61","404.60","406.20","398.00","252.72K","-1.19%"
"28-08-2024","404.42","408.00","408.84","403.02","302.09K","-0.52%"
"27-08-2024","406.54","406.00","409.58","405.32","408.47K","0.44%"
"26-08-2024","404.76","404.34","413.00","403.80","694.08K","0.11%"
"23-08-2024","404.30","406.30","409.12","403.60","344.21K","-0.49%"
"22-08-2024","406.30","407.20","410.60","405.00","379.67K","-0.05%"
"21-08-2024","406.52","405.95","408.41","404.41","301.42K","0.64%"
"20-08-2024","403.94","407.48","409.90","403.00","417.26K","-0.17%"
"19-08-2024","404.64","400.79","406.99","398.03","492.80K","1.76%"
"16-08-2024","397.66","404.00","404.32","396.01","803.92K","-0.92%"
"14-08-2024","401.35","409.01","412.00","396.00","2.06M","-7.51%"
"13-08-2024","433.95","423.94","439.60","423.79","1.82M","3.29%"
"12-08-2024","420.13","413.94","424.80","413.00","687.02K","2.03%"
