"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","127.93","129.11","131.50","127.22","23.01M","0.08%"
"05-11-2024","127.83","119.36","128.98","118.60","38.17M","7.10%"
"04-11-2024","119.36","121.60","121.80","117.35","13.04M","-2.08%"
"01-11-2024","121.89","122.06","122.80","121.06","4.09M","0.16%"
"31-10-2024","121.69","118.50","122.70","116.91","17.20M","2.27%"
"30-10-2024","118.99","116.81","121.65","115.68","14.96M","1.52%"
"29-10-2024","117.21","117.25","118.86","114.65","11.89M","-0.14%"
"28-10-2024","117.38","114.90","119.05","112.35","14.63M","3.62%"
"25-10-2024","113.28","117.73","118.30","111.51","20.18M","-3.17%"
"24-10-2024","116.99","122.25","123.05","116.70","15.25M","-4.05%"
"23-10-2024","121.93","115.90","123.90","112.57","28.98M","6.12%"
"22-10-2024","114.90","121.40","122.38","113.55","40.45M","-8.06%"
"21-10-2024","124.97","131.20","132.84","123.90","17.19M","-3.92%"
"18-10-2024","130.07","131.00","132.28","126.98","17.04M","-1.85%"
"17-10-2024","132.52","137.80","137.99","131.40","11.77M","-3.87%"
"16-10-2024","137.85","134.90","138.54","134.26","13.83M","2.19%"
"15-10-2024","134.90","137.10","138.47","134.61","9.02M","-1.32%"
"14-10-2024","136.70","138.40","140.77","136.23","10.39M","-0.60%"
"11-10-2024","137.52","139.05","140.63","137.00","10.25M","-0.72%"
"10-10-2024","138.52","140.45","141.20","137.80","9.76M","-0.53%"
"09-10-2024","139.26","141.75","142.85","138.64","17.61M","-1.00%"
"08-10-2024","140.67","130.00","141.70","128.81","36.59M","8.00%"
"07-10-2024","130.25","139.98","141.50","129.16","32.91M","-6.85%"
"04-10-2024","139.83","141.35","143.80","137.34","29.17M","-1.01%"
"03-10-2024","141.26","146.30","147.70","140.20","23.66M","-4.95%"
"01-10-2024","148.62","148.73","152.74","147.60","18.28M","0.15%"
"30-09-2024","148.39","150.50","151.49","147.55","17.49M","-1.73%"
"27-09-2024","151.00","154.79","156.37","150.31","18.66M","-2.45%"
"26-09-2024","154.79","157.80","158.26","154.10","12.84M","-2.25%"
"25-09-2024","158.35","156.47","159.35","154.85","25.58M","1.20%"
"24-09-2024","156.47","161.85","163.18","155.82","29.26M","-3.06%"
"23-09-2024","161.41","166.00","171.00","160.51","74.11M","-0.25%"
"20-09-2024","161.81","155.89","163.40","155.61","51.80M","4.61%"
"19-09-2024","154.68","158.90","162.89","151.81","50.85M","-1.60%"
"18-09-2024","157.19","153.80","162.00","151.50","73.75M","2.32%"
"17-09-2024","153.63","149.35","155.32","148.95","39.04M","2.68%"
"16-09-2024","149.62","151.20","151.75","148.55","12.80M","-0.73%"
"13-09-2024","150.72","150.75","155.98","150.26","25.42M","0.21%"
"12-09-2024","150.40","147.85","152.29","146.85","27.42M","2.28%"
"11-09-2024","147.05","154.30","155.25","146.25","27.15M","-4.68%"
"10-09-2024","154.27","153.47","156.35","152.60","18.37M","0.52%"
"09-09-2024","153.47","152.70","154.89","149.01","29.96M","0.38%"
"06-09-2024","152.89","157.49","160.66","152.19","40.34M","-2.98%"
"05-09-2024","157.59","154.40","160.30","152.67","55.21M","2.76%"
"04-09-2024","153.35","152.00","156.75","149.87","44.84M","0.41%"
"03-09-2024","152.73","147.25","155.00","146.70","72.33M","3.55%"
"02-09-2024","147.49","149.62","150.22","146.01","19.92M","-1.42%"
"30-08-2024","149.62","147.00","152.00","145.25","31.40M","1.93%"
"29-08-2024","146.79","146.25","148.19","141.75","34.21M","0.29%"
"28-08-2024","146.36","148.00","149.25","145.21","17.40M","-1.12%"
"27-08-2024","148.02","146.15","150.40","145.50","25.52M","1.28%"
"26-08-2024","146.15","150.50","151.89","145.25","33.20M","-2.55%"
"23-08-2024","149.98","146.00","151.23","143.34","62.36M","3.00%"
"22-08-2024","145.61","145.50","150.70","144.57","55.55M","-0.68%"
"21-08-2024","146.61","139.59","148.50","138.72","80.01M","4.13%"
"20-08-2024","140.79","138.00","142.50","137.10","48.81M","2.36%"
"19-08-2024","137.54","132.75","138.39","131.72","39.47M","4.43%"
"16-08-2024","131.71","133.60","134.25","130.81","28.78M","0.24%"
"14-08-2024","131.39","136.70","137.74","130.50","43.55M","-3.69%"
"13-08-2024","136.42","142.00","146.20","135.75","74.87M","-2.85%"
"12-08-2024","140.42","133.10","143.20","130.66","97.93M","5.97%"
"09-08-2024","132.51","137.75","138.20","131.61","43.77M","-2.88%"
"08-08-2024","136.44","138.50","142.50","135.21","90.09M","-1.06%"
"07-08-2024","137.90","126.45","139.79","124.30","111.53M","11.52%"
"06-08-2024","123.65","126.49","129.88","122.70","29.47M","-0.65%"
"05-08-2024","124.46","127.10","130.50","122.27","47.53M","-6.26%"
