"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,390.15","4,276.00","4,420.00","4,270.05","1.23M","3.01%"
"05-11-2024","4,261.95","4,200.00","4,280.00","4,130.00","1.22M","1.28%"
"04-11-2024","4,208.25","4,287.95","4,287.95","4,196.00","1.01M","-1.86%"
"01-11-2024","4,288.00","4,269.80","4,295.55","4,257.05","170.15K","0.97%"
"31-10-2024","4,246.70","4,236.00","4,270.20","4,195.55","1.14M","0.25%"
"30-10-2024","4,236.30","4,264.95","4,334.00","4,225.00","1.53M","-0.89%"
"29-10-2024","4,274.50","4,150.00","4,285.00","4,115.20","1.52M","3.03%"
"28-10-2024","4,148.75","4,200.00","4,218.90","4,098.20","1.21M","-0.40%"
"25-10-2024","4,165.60","4,200.00","4,218.90","4,075.20","1.52M","-0.75%"
"24-10-2024","4,197.15","4,234.25","4,284.45","4,185.05","956.25K","-0.86%"
"23-10-2024","4,233.75","4,282.00","4,305.55","4,191.45","1.62M","-1.58%"
"22-10-2024","4,301.70","4,499.95","4,507.75","4,290.45","1.54M","-4.71%"
"21-10-2024","4,514.45","4,534.80","4,586.80","4,490.00","1.10M","-0.23%"
"18-10-2024","4,524.70","4,493.60","4,559.00","4,423.25","1.37M","0.13%"
"17-10-2024","4,518.60","4,671.00","4,671.00","4,505.25","1.35M","-2.96%"
"16-10-2024","4,656.25","4,619.00","4,676.60","4,600.00","2.40M","1.77%"
"15-10-2024","4,575.40","4,524.00","4,597.90","4,498.45","1.76M","1.51%"
"14-10-2024","4,507.55","4,518.30","4,544.80","4,488.45","1.48M","1.38%"
"11-10-2024","4,446.15","4,486.00","4,515.00","4,431.35","860.51K","-0.81%"
"10-10-2024","4,482.25","4,398.00","4,538.00","4,365.05","2.29M","2.18%"
"09-10-2024","4,386.55","4,386.00","4,447.85","4,368.00","1.36M","0.42%"
"08-10-2024","4,368.30","4,160.00","4,389.80","4,145.00","2.01M","4.86%"
"07-10-2024","4,165.90","4,256.65","4,318.65","4,120.35","1.66M","-2.13%"
"04-10-2024","4,256.65","4,260.00","4,334.35","4,200.00","1.37M","-0.25%"
"03-10-2024","4,267.45","4,344.95","4,428.90","4,254.00","1.63M","-3.58%"
"01-10-2024","4,426.10","4,428.00","4,446.00","4,398.05","841.97K","0.12%"
"30-09-2024","4,420.65","4,460.00","4,463.00","4,385.00","1.33M","-1.20%"
"27-09-2024","4,474.15","4,391.05","4,484.35","4,374.45","2.19M","2.40%"
"26-09-2024","4,369.30","4,390.95","4,405.00","4,318.00","995.15K","-0.45%"
"25-09-2024","4,389.25","4,399.95","4,440.00","4,372.55","1.03M","-0.30%"
"24-09-2024","4,402.45","4,437.95","4,444.00","4,362.00","1.37M","-0.80%"
"23-09-2024","4,437.95","4,370.00","4,460.80","4,354.00","1.70M","2.41%"
"20-09-2024","4,333.35","4,229.95","4,393.45","4,192.65","3.50M","2.40%"
"19-09-2024","4,231.80","4,435.00","4,464.10","4,172.00","4.68M","-4.64%"
"18-09-2024","4,437.65","4,453.95","4,485.00","4,421.00","1.33M","-0.47%"
"17-09-2024","4,458.50","4,599.00","4,599.90","4,426.55","2.41M","-3.02%"
"16-09-2024","4,597.35","4,655.00","4,662.90","4,590.05","642.98K","-1.02%"
"13-09-2024","4,644.95","4,658.00","4,690.00","4,632.00","867.68K","0.07%"
"12-09-2024","4,641.70","4,607.95","4,653.70","4,596.15","933.06K","0.93%"
"11-09-2024","4,598.75","4,670.00","4,708.40","4,585.00","1.17M","-1.85%"
"10-09-2024","4,685.40","4,680.00","4,736.90","4,676.00","1.26M","0.61%"
"09-09-2024","4,656.85","4,688.10","4,692.95","4,581.20","1.57M","-0.99%"
"06-09-2024","4,703.45","4,785.00","4,797.50","4,695.00","1.42M","-1.86%"
"05-09-2024","4,792.45","4,871.00","4,887.90","4,776.05","1.80M","-1.43%"
"04-09-2024","4,861.85","4,845.00","4,950.00","4,795.35","3.16M","0.61%"
"03-09-2024","4,832.35","4,922.65","4,925.00","4,801.65","3.96M","3.08%"
"02-09-2024","4,688.00","4,699.00","4,715.00","4,662.80","1.12M","0.17%"
"30-08-2024","4,679.95","4,614.00","4,702.45","4,602.80","1.63M","1.69%"
"29-08-2024","4,601.95","4,660.00","4,683.45","4,540.45","1.72M","-1.78%"
"28-08-2024","4,685.15","4,724.00","4,763.00","4,670.00","798.61K","-0.77%"
"27-08-2024","4,721.45","4,795.00","4,798.60","4,715.00","1.07M","-1.68%"
"26-08-2024","4,802.00","4,850.00","4,850.00","4,770.00","1.39M","-0.43%"
"23-08-2024","4,822.75","4,807.00","4,864.00","4,777.60","1.86M","1.15%"
"22-08-2024","4,768.10","4,740.00","4,814.00","4,722.00","1.22M","0.78%"
"21-08-2024","4,731.15","4,710.00","4,772.60","4,702.30","949.20K","-0.10%"
"20-08-2024","4,736.05","4,797.00","4,809.95","4,683.60","1.47M","-1.17%"
"19-08-2024","4,792.25","4,810.00","4,858.00","4,774.45","2.36M","0.47%"
"16-08-2024","4,769.80","4,769.50","4,794.60","4,660.00","2.88M","2.32%"
"14-08-2024","4,661.70","4,704.80","4,811.50","4,593.75","3.93M","-0.84%"
"13-08-2024","4,701.35","4,748.00","4,774.10","4,685.00","1.47M","-0.53%"
"12-08-2024","4,726.55","4,690.00","4,759.70","4,682.10","1.03M","0.06%"
"09-08-2024","4,723.90","4,746.70","4,773.50","4,702.55","1.04M","1.20%"
"08-08-2024","4,667.85","4,742.00","4,759.95","4,660.00","1.30M","-1.53%"
"07-08-2024","4,740.45","4,600.95","4,749.00","4,570.00","2.00M","5.01%"
"06-08-2024","4,514.30","4,601.00","4,737.10","4,500.00","2.12M","-1.67%"
"05-08-2024","4,591.10","4,501.05","4,663.80","4,480.10","3.62M","-2.23%"
"02-08-2024","4,695.75","4,740.00","4,768.00","4,631.35","3.21M","-2.44%"
"01-08-2024","4,813.30","4,922.00","4,946.90","4,797.60","2.35M","-2.23%"
"31-07-2024","4,922.85","4,953.65","4,987.90","4,912.00","1.30M","-0.62%"
"30-07-2024","4,953.65","5,049.95","5,082.00","4,945.10","2.50M","-1.52%"
"29-07-2024","5,030.00","4,946.80","5,042.00","4,911.00","2.45M","2.54%"
"26-07-2024","4,905.40","4,850.00","4,933.75","4,842.00","1.49M","1.56%"
"25-07-2024","4,830.05","4,780.00","4,893.75","4,732.05","2.23M","-0.40%"
"24-07-2024","4,849.50","4,855.00","4,967.15","4,803.10","2.60M","-0.14%"
"23-07-2024","4,856.10","5,045.00","5,069.00","4,510.00","7.11M","-2.82%"
"22-07-2024","4,997.25","4,799.75","5,073.85","4,678.00","6.32M","4.10%"
"19-07-2024","4,800.25","5,010.00","5,020.00","4,783.10","6.37M","-4.30%"
"18-07-2024","5,015.75","5,325.00","5,325.00","4,975.00","7.95M","-5.89%"
"16-07-2024","5,329.40","5,492.20","5,501.00","5,311.70","2.66M","-3.18%"
"15-07-2024","5,504.60","5,495.00","5,535.00","5,429.00","1.32M","0.28%"
"12-07-2024","5,489.20","5,570.00","5,578.45","5,446.00","1.39M","-1.05%"
"11-07-2024","5,547.60","5,500.00","5,575.00","5,465.00","1.84M","1.12%"
"10-07-2024","5,486.15","5,568.80","5,580.00","5,319.00","2.12M","-0.96%"
"09-07-2024","5,539.60","5,638.90","5,674.75","5,517.05","2.39M","-1.46%"
"08-07-2024","5,621.95","5,580.00","5,662.45","5,560.50","3.54M","1.26%"
"05-07-2024","5,552.00","5,535.00","5,624.95","5,482.50","3.45M","0.67%"
"04-07-2024","5,515.10","5,475.00","5,568.70","5,459.30","3.74M","1.02%"
"03-07-2024","5,459.30","5,366.95","5,480.00","5,331.45","2.85M","2.16%"
"02-07-2024","5,344.05","5,400.00","5,420.00","5,300.00","1.71M","-0.93%"
"01-07-2024","5,394.05","5,270.00","5,409.00","5,253.30","2.31M","2.47%"
"28-06-2024","5,264.25","5,299.00","5,344.00","5,250.05","1.57M","-0.33%"
"27-06-2024","5,281.50","5,265.00","5,309.45","5,213.00","2.86M","-0.07%"
"26-06-2024","5,285.45","5,367.55","5,410.00","5,274.60","2.35M","-1.60%"
"25-06-2024","5,371.65","5,375.00","5,455.00","5,330.00","3.49M","0.88%"
"24-06-2024","5,325.05","5,170.00","5,344.40","5,114.60","3.70M","2.99%"
"21-06-2024","5,170.55","5,298.50","5,341.50","5,151.00","4.06M","-2.23%"
"20-06-2024","5,288.60","5,311.00","5,381.30","5,156.60","4.87M","-0.44%"
"19-06-2024","5,311.95","5,580.00","5,582.80","5,261.10","7.35M","-4.00%"
"18-06-2024","5,533.45","5,460.10","5,567.00","5,389.50","9.93M","6.40%"
"14-06-2024","5,200.55","5,140.00","5,260.00","5,103.75","6.32M","1.98%"
"13-06-2024","5,099.70","4,940.00","5,117.55","4,856.00","4.36M","4.31%"
"12-06-2024","4,889.00","4,881.80","4,925.30","4,841.55","2.03M","0.67%"
"11-06-2024","4,856.60","4,831.05","4,922.55","4,830.00","2.72M","0.91%"
"10-06-2024","4,812.70","4,800.00","4,844.00","4,751.55","2.88M","1.42%"
"07-06-2024","4,745.15","4,666.65","4,788.00","4,550.00","4.54M","1.68%"
"06-06-2024","4,666.60","4,450.00","4,800.00","4,450.00","9.13M","6.91%"
"05-06-2024","4,364.90","4,421.15","4,449.10","3,920.00","13.76M","0.73%"
"04-06-2024","4,333.35","5,145.00","5,145.00","3,955.25","15.49M","-17.83%"
"03-06-2024","5,273.65","5,444.00","5,444.00","5,162.30","4.62M","6.03%"
"31-05-2024","4,973.85","5,020.00","5,042.80","4,862.20","3.91M","-0.05%"
"30-05-2024","4,976.25","5,062.05","5,090.00","4,953.05","2.75M","-1.49%"
"29-05-2024","5,051.75","5,000.00","5,152.00","4,950.00","4.23M","0.64%"
"28-05-2024","5,019.75","5,139.00","5,207.90","4,955.00","4.40M","-2.38%"
"27-05-2024","5,142.35","5,192.50","5,223.20","5,025.30","4.23M","-0.47%"
"24-05-2024","5,166.65","4,950.00","5,378.00","4,921.10","9.07M","4.38%"
"23-05-2024","4,949.90","4,944.00","4,993.00","4,908.00","3.34M","0.58%"
"22-05-2024","4,921.20","4,810.00","4,960.60","4,735.00","5.03M","2.91%"
"21-05-2024","4,782.25","4,750.00","4,870.00","4,725.15","5.54M","1.09%"
"18-05-2024","4,730.50","4,730.50","4,730.50","4,730.50","","4.39%"
"17-05-2024","4,531.70","4,644.95","4,665.95","4,485.05","5.66M","-1.56%"
"16-05-2024","4,603.70","4,215.00","4,656.40","4,157.00","10.03M","10.07%"
"15-05-2024","4,182.35","4,105.80","4,193.60","4,051.00","2.31M","2.64%"
"14-05-2024","4,074.70","3,979.65","4,086.25","3,976.00","2.96M","3.90%"
"13-05-2024","3,921.75","3,875.50","3,937.00","3,762.60","1.62M","1.26%"
"10-05-2024","3,872.90","3,860.00","3,907.70","3,820.65","1.46M","0.68%"
"09-05-2024","3,846.65","3,895.80","3,954.00","3,820.45","2.34M","-0.26%"
"08-05-2024","3,856.50","3,703.00","3,883.20","3,671.00","1.99M","3.81%"
"07-05-2024","3,715.00","3,815.45","3,839.00","3,693.40","1.98M","-2.66%"
"06-05-2024","3,816.40","3,936.00","3,938.40","3,785.05","1.61M","-2.65%"
"03-05-2024","3,920.20","3,952.25","3,967.00","3,880.00","1.18M","-0.68%"
"02-05-2024","3,947.20","3,942.00","3,973.10","3,931.40","1.01M","0.20%"
"30-04-2024","3,939.35","4,035.35","4,035.85","3,930.00","2.05M","-1.95%"
"29-04-2024","4,017.70","4,006.35","4,044.75","3,975.30","1.20M","0.84%"
"26-04-2024","3,984.40","4,019.95","4,039.95","3,966.35","1.43M","-0.41%"
"25-04-2024","4,000.75","3,958.60","4,035.00","3,939.00","2.63M","1.37%"
"24-04-2024","3,946.70","3,826.10","4,000.00","3,812.50","4.43M","3.98%"
"23-04-2024","3,795.70","3,800.00","3,831.85","3,783.05","1.32M","0.27%"
"22-04-2024","3,785.50","3,800.00","3,810.00","3,732.60","1.34M","0.91%"
"19-04-2024","3,751.30","3,660.00","3,761.15","3,621.00","2.26M","2.02%"
"18-04-2024","3,677.15","3,744.00","3,768.00","3,652.70","2.29M","-1.21%"
"16-04-2024","3,722.15","3,626.00","3,738.95","3,585.35","2.94M","2.56%"
"15-04-2024","3,629.25","3,640.00","3,700.00","3,564.05","3.85M","-0.24%"
"12-04-2024","3,638.10","3,565.00","3,677.55","3,550.00","3.04M","2.04%"
"10-04-2024","3,565.40","3,550.00","3,623.60","3,548.65","1.16M","0.53%"
"09-04-2024","3,546.55","3,568.00","3,589.00","3,527.00","649.76K","-0.58%"
"08-04-2024","3,567.15","3,600.00","3,600.00","3,543.05","865.34K","-0.53%"
"05-04-2024","3,586.05","3,545.00","3,595.00","3,507.85","1.12M","1.27%"
"04-04-2024","3,540.95","3,609.95","3,614.95","3,512.20","1.59M","-1.35%"
"03-04-2024","3,589.30","3,540.00","3,610.80","3,508.30","2.08M","1.31%"
"02-04-2024","3,543.00","3,440.00","3,584.00","3,412.00","3.17M","4.10%"
"01-04-2024","3,403.35","3,392.00","3,454.25","3,362.10","2.51M","2.29%"
"28-03-2024","3,327.00","3,291.00","3,345.00","3,272.00","1.39M","1.40%"
"27-03-2024","3,281.05","3,317.00","3,324.90","3,245.00","1.50M","-0.60%"
"26-03-2024","3,300.80","3,193.00","3,305.00","3,180.00","2.57M","4.10%"
