"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","587.80","593.00","593.00","584.20","981.90K","0.20%"
"05-11-2024","586.65","556.00","594.00","554.00","1.46M","4.80%"
"04-11-2024","559.80","576.85","578.55","553.55","640.81K","-2.86%"
"01-11-2024","576.30","573.05","580.00","570.45","217.58K","0.57%"
"31-10-2024","573.05","565.05","575.00","562.50","570.23K","0.99%"
"30-10-2024","567.45","567.00","576.50","564.05","537.87K","-0.13%"
"29-10-2024","568.20","566.10","577.70","558.20","785.81K","-0.59%"
"28-10-2024","571.60","549.00","579.80","541.55","1.63M","3.39%"
"25-10-2024","552.85","577.00","579.80","547.00","2.36M","-4.43%"
"24-10-2024","578.50","572.45","589.00","564.25","2.61M","1.18%"
"23-10-2024","571.75","562.45","591.00","555.10","1.66M","-0.54%"
"22-10-2024","574.85","610.10","611.20","570.30","1.94M","-6.02%"
"21-10-2024","611.65","621.95","631.95","605.20","1.79M","-1.34%"
"18-10-2024","619.95","613.15","632.00","601.00","1.77M","-0.54%"
"17-10-2024","623.30","668.00","676.20","617.15","3.14M","-5.57%"
"16-10-2024","660.10","652.00","665.90","646.35","3.00M","1.68%"
"15-10-2024","649.20","638.55","654.00","632.10","1.51M","2.12%"
"14-10-2024","635.75","642.10","647.50","622.35","1.12M","-0.41%"
"11-10-2024","638.35","632.85","645.70","622.55","965.01K","1.38%"
"10-10-2024","629.65","632.00","642.95","626.60","991.96K","0.10%"
"09-10-2024","629.00","611.05","639.95","611.05","1.55M","3.52%"
"08-10-2024","607.60","595.95","611.50","582.25","2.72M","1.39%"
"07-10-2024","599.25","636.00","639.75","595.00","2.80M","-5.58%"
"04-10-2024","634.65","644.35","652.00","621.00","2.48M","-1.51%"
"03-10-2024","644.35","639.10","661.40","632.00","2.38M","-3.48%"
"01-10-2024","667.60","664.00","674.00","650.75","2.44M","0.90%"
"30-09-2024","661.65","657.10","670.50","640.70","3.83M","0.72%"
"27-09-2024","656.95","664.00","666.00","648.15","1.69M","0.01%"
"26-09-2024","656.90","664.05","681.25","652.00","4.86M","-0.48%"
"25-09-2024","660.10","648.40","664.85","643.00","3.14M","2.35%"
"24-09-2024","644.95","648.90","658.00","640.05","1.05M","-0.30%"
