"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","14,817.25","14,099.95","14,945.00","14,000.00","64.00K","5.94%"
"05-11-2024","13,986.30","13,969.40","14,300.00","13,761.45","34.62K","0.12%"
"04-11-2024","13,969.40","13,921.05","14,289.90","13,590.20","38.39K","0.33%"
"01-11-2024","13,923.75","13,800.00","14,040.45","13,800.00","4.70K","0.76%"
"31-10-2024","13,819.00","13,602.40","13,945.00","13,418.80","36.83K","0.90%"
"30-10-2024","13,695.85","14,500.00","14,660.60","13,125.00","133.60K","-3.91%"
"29-10-2024","14,253.55","13,494.00","14,450.00","13,241.35","66.68K","4.73%"
"28-10-2024","13,609.70","13,300.00","13,906.00","13,230.05","28.94K","2.26%"
"25-10-2024","13,309.45","13,800.00","13,979.95","13,024.70","53.11K","-3.33%"
"24-10-2024","13,767.25","13,814.95","14,019.95","13,523.20","25.94K","0.17%"
"23-10-2024","13,744.10","13,880.60","14,312.30","13,596.60","47.37K","-0.98%"
"22-10-2024","13,880.55","14,901.00","14,901.00","13,762.50","50.95K","-7.04%"
"21-10-2024","14,931.45","15,699.00","15,799.85","14,800.00","20.40K","-3.86%"
"18-10-2024","15,531.55","15,751.00","15,751.00","15,220.25","70.62K","-1.72%"
"17-10-2024","15,802.65","15,980.00","16,060.00","15,561.30","26.41K","-1.68%"
"16-10-2024","16,072.40","16,180.50","16,300.00","15,953.70","36.36K","-0.29%"
"15-10-2024","16,118.45","15,967.50","16,280.00","15,802.35","60.01K","1.23%"
"14-10-2024","15,921.85","15,899.20","16,400.00","15,702.15","58.43K","0.14%"
"11-10-2024","15,899.20","15,748.15","16,549.95","15,557.45","121.44K","-0.38%"
"10-10-2024","15,960.15","15,100.00","16,380.00","14,760.40","269.29K","10.22%"
"09-10-2024","14,480.80","14,150.00","15,167.95","14,095.00","114.26K","3.03%"
"08-10-2024","14,055.25","13,639.95","14,187.95","13,324.50","30.99K","3.02%"
"07-10-2024","13,643.25","14,015.50","14,525.00","13,500.10","40.49K","-2.66%"
"04-10-2024","14,015.50","14,056.40","14,671.20","13,752.05","44.53K","-0.29%"
"03-10-2024","14,056.45","14,238.95","14,238.95","13,935.00","24.67K","-1.56%"
"01-10-2024","14,278.90","14,600.00","14,849.95","14,155.50","41.97K","-1.83%"
"30-09-2024","14,545.30","13,690.00","14,839.85","13,435.15","75.34K","6.58%"
"27-09-2024","13,647.70","13,587.45","14,231.20","13,328.25","74.54K","0.97%"
"26-09-2024","13,516.00","13,188.00","13,638.00","13,081.30","50.75K","1.27%"
"25-09-2024","13,346.70","12,800.00","13,555.55","12,787.60","68.95K","4.28%"
"24-09-2024","12,799.15","12,766.05","12,900.00","12,619.00","19.23K","0.60%"
"23-09-2024","12,722.85","12,779.00","13,040.00","12,656.00","20.94K","-0.63%"
"20-09-2024","12,803.60","12,694.80","13,100.25","12,456.05","149.02K","0.86%"
"19-09-2024","12,694.85","12,818.05","12,990.95","12,535.05","24.30K","-1.80%"
"18-09-2024","12,927.20","13,139.40","13,275.00","12,815.15","18.33K","-1.61%"
"17-09-2024","13,139.40","13,188.35","13,533.15","12,800.00","44.04K","-0.37%"
"16-09-2024","13,188.35","12,830.00","13,250.00","12,654.90","44.84K","2.85%"
"13-09-2024","12,822.85","12,700.70","12,900.00","12,410.00","39.07K","4.18%"
"12-09-2024","12,308.35","12,196.30","12,350.00","12,000.00","25.69K","1.17%"
"11-09-2024","12,165.70","11,903.05","12,250.00","11,803.05","41.25K","2.21%"
"10-09-2024","11,903.00","11,333.00","11,998.45","11,333.00","38.56K","4.08%"
"09-09-2024","11,436.90","11,517.80","11,597.55","11,210.00","44.30K","-1.60%"
"06-09-2024","11,623.45","11,827.10","11,827.10","11,505.20","28.26K","-1.20%"
"05-09-2024","11,765.20","11,740.00","11,840.15","11,582.00","40.07K","0.17%"
"04-09-2024","11,745.70","11,600.00","11,795.95","11,403.10","32.03K","0.86%"
"03-09-2024","11,645.90","11,874.00","11,970.65","11,501.65","20.06K","-1.97%"
"02-09-2024","11,879.70","12,120.00","12,158.70","11,675.00","31.78K","-1.78%"
"30-08-2024","12,095.05","11,770.00","12,211.65","11,640.00","40.20K","2.76%"
"29-08-2024","11,770.00","12,203.00","12,258.05","11,740.00","23.37K","-3.48%"
"28-08-2024","12,194.05","12,125.55","12,346.75","12,025.80","27.73K","0.15%"
"27-08-2024","12,176.15","12,055.80","12,227.95","11,986.80","15.54K","1.20%"
"26-08-2024","12,031.25","12,288.00","12,296.00","11,950.05","21.56K","-1.40%"
"23-08-2024","12,202.20","12,049.95","12,241.65","11,860.00","21.63K","1.26%"
"22-08-2024","12,049.95","12,395.95","12,395.95","11,976.00","39.03K","-2.93%"
"21-08-2024","12,414.25","12,486.50","12,518.20","12,141.10","25.60K","0.07%"
"20-08-2024","12,405.90","12,300.00","12,514.75","11,950.00","48.57K","0.48%"
"19-08-2024","12,346.20","12,099.00","12,425.00","11,883.15","45.78K","4.37%"
"16-08-2024","11,828.70","11,150.00","11,860.00","11,145.00","35.71K","6.37%"
"14-08-2024","11,120.65","11,369.40","11,474.95","11,010.00","14.31K","-2.23%"
"13-08-2024","11,374.80","11,575.40","11,780.00","11,250.00","30.75K","-1.22%"
"12-08-2024","11,514.80","11,010.80","11,611.85","10,804.95","45.20K","4.58%"
"09-08-2024","11,010.80","11,339.95","11,339.95","10,900.00","30.22K","0.10%"
"08-08-2024","11,000.20","10,970.00","11,250.00","10,807.05","43.35K","0.55%"
"07-08-2024","10,940.30","11,180.95","11,387.95","10,830.00","42.40K","0.27%"
"06-08-2024","10,910.95","11,589.25","11,980.00","10,805.40","71.67K","-5.85%"
"05-08-2024","11,589.25","11,642.10","11,986.15","11,381.00","59.47K","-3.74%"
"02-08-2024","12,039.55","12,392.10","12,673.70","11,988.25","56.05K","-2.85%"
"01-08-2024","12,392.15","11,751.70","12,540.90","11,707.60","98.63K","6.76%"
"31-07-2024","11,607.10","11,777.05","11,934.85","11,510.20","29.79K","-2.23%"
"30-07-2024","11,872.30","11,982.10","12,049.90","11,740.50","44.81K","-0.22%"
"29-07-2024","11,898.05","11,668.80","11,939.95","11,511.40","68.22K","3.03%"
"26-07-2024","11,547.60","11,770.00","11,799.95","11,340.90","79.75K","-1.73%"
"25-07-2024","11,750.30","11,988.00","12,300.00","11,525.00","84.68K","-2.33%"
"24-07-2024","12,030.30","11,454.05","12,202.80","11,410.10","74.36K","5.56%"
"23-07-2024","11,396.80","11,408.05","11,549.90","10,915.85","54.78K","1.14%"
"22-07-2024","11,268.35","11,160.00","11,620.10","10,980.40","44.19K","0.70%"
"19-07-2024","11,190.35","11,931.85","12,145.05","11,077.55","86.57K","-5.40%"
"18-07-2024","11,828.55","12,250.00","12,400.00","11,699.60","61.55K","-1.88%"
"16-07-2024","12,055.50","12,201.05","12,650.00","11,980.00","74.13K","-0.04%"
"15-07-2024","12,060.15","12,251.00","12,321.05","11,708.30","76.03K","-2.44%"
"12-07-2024","12,362.20","12,860.00","12,990.00","12,150.00","48.04K","-2.51%"
"11-07-2024","12,680.90","12,857.50","13,369.10","12,600.00","48.55K","-1.37%"
"10-07-2024","12,857.50","13,524.95","13,684.65","12,767.25","76.25K","-4.68%"
"09-07-2024","13,488.95","13,756.20","13,960.00","13,401.00","41.87K","-1.94%"
"08-07-2024","13,756.15","13,900.00","14,123.90","13,700.00","40.34K","-1.88%"
