"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,166.45","1,159.00","1,189.95","1,147.00","188.50K","1.66%"
"05-11-2024","1,147.35","1,148.15","1,190.95","1,142.20","111.11K","-0.07%"
"04-11-2024","1,148.15","1,188.70","1,189.05","1,139.05","93.95K","-3.65%"
"01-11-2024","1,191.60","1,180.10","1,201.95","1,180.10","20.44K","1.00%"
"31-10-2024","1,179.80","1,200.00","1,207.95","1,175.80","117.48K","-2.55%"
"30-10-2024","1,210.65","1,184.95","1,254.00","1,169.75","610.71K","2.14%"
"29-10-2024","1,185.30","1,115.90","1,203.00","1,103.10","1.33M","7.46%"
"28-10-2024","1,103.05","1,103.85","1,118.00","1,095.05","149.14K","0.10%"
"25-10-2024","1,102.00","1,149.00","1,215.00","1,085.45","3.52M","-0.99%"
"24-10-2024","1,113.00","1,125.85","1,126.65","1,081.80","230.49K","-0.20%"
"23-10-2024","1,115.25","1,098.70","1,136.55","1,087.50","202.29K","1.17%"
"22-10-2024","1,102.35","1,130.00","1,160.00","1,092.65","249.11K","-1.97%"
"21-10-2024","1,124.50","1,174.95","1,177.20","1,115.80","196.47K","-3.97%"
"18-10-2024","1,171.00","1,200.85","1,206.50","1,160.60","159.78K","-2.49%"
"17-10-2024","1,200.85","1,220.00","1,243.40","1,192.05","277.88K","-0.74%"
"16-10-2024","1,209.75","1,193.95","1,225.45","1,190.55","165.42K","0.80%"
"15-10-2024","1,200.20","1,210.50","1,213.50","1,193.75","118.65K","-1.18%"
"14-10-2024","1,214.55","1,226.00","1,229.95","1,188.00","201.41K","-0.17%"
"11-10-2024","1,216.65","1,235.00","1,240.95","1,206.00","248.73K","-2.01%"
"10-10-2024","1,241.65","1,309.00","1,309.00","1,236.00","456.08K","-5.17%"
"09-10-2024","1,309.35","1,282.70","1,383.30","1,263.25","1.36M","1.99%"
"08-10-2024","1,283.85","1,231.00","1,295.00","1,230.00","552.01K","3.54%"
"07-10-2024","1,240.00","1,247.00","1,297.00","1,228.00","1.09M","-0.63%"
"04-10-2024","1,247.85","1,175.00","1,265.00","1,171.30","2.54M","5.57%"
"03-10-2024","1,182.05","1,167.05","1,190.95","1,155.00","199.46K","-0.20%"
"01-10-2024","1,184.45","1,195.00","1,225.00","1,165.20","288.59K","-0.16%"
