"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","387.85","392.30","397.00","385.20","329.67K","-0.33%"
"05-11-2024","389.15","391.00","392.50","375.90","315.19K","-0.33%"
"04-11-2024","390.45","395.00","403.00","389.05","501.28K","-1.15%"
"01-11-2024","395.00","396.00","400.60","393.15","105.88K","0.22%"
"31-10-2024","394.15","404.55","409.20","392.90","970.36K","-2.50%"
"30-10-2024","404.25","400.10","406.75","394.00","459.56K","1.04%"
"29-10-2024","400.10","407.85","408.15","393.55","601.61K","-1.90%"
"28-10-2024","407.85","394.35","411.25","393.40","333.41K","1.99%"
"25-10-2024","399.90","410.00","415.60","393.45","1.24M","-2.96%"
"24-10-2024","412.10","400.85","417.15","399.40","469.18K","3.12%"
"23-10-2024","399.65","405.80","408.95","396.25","480.97K","-1.52%"
"22-10-2024","405.80","418.70","419.50","400.00","744.48K","-3.03%"
"21-10-2024","418.50","422.85","426.85","416.80","166.82K","-1.04%"
"18-10-2024","422.90","423.00","431.00","419.00","633.91K","-0.32%"
"17-10-2024","424.25","413.75","429.45","408.05","3.94M","3.43%"
"16-10-2024","410.20","429.00","430.15","409.00","2.06M","-4.38%"
"15-10-2024","429.00","427.45","430.80","423.20","466.00K","0.95%"
"14-10-2024","424.95","431.75","432.00","422.05","274.87K","-1.07%"
"11-10-2024","429.55","426.80","433.20","424.10","653.79K","1.43%"
"10-10-2024","423.50","432.30","434.05","422.30","1.63M","-2.23%"
"09-10-2024","433.15","448.30","448.30","430.30","1.23M","-2.42%"
"08-10-2024","443.90","431.90","447.75","417.00","1.38M","2.78%"
"07-10-2024","431.90","431.75","437.60","423.65","764.29K","1.10%"
"04-10-2024","427.20","444.00","455.00","425.00","1.77M","-4.47%"
"03-10-2024","447.20","449.05","453.95","443.10","1.31M","-1.71%"
"01-10-2024","455.00","452.00","456.70","442.30","2.12M","-0.83%"
"30-09-2024","458.80","459.00","464.70","443.10","1.85M","0.40%"
"27-09-2024","456.95","479.40","479.40","455.00","1.77M","-4.49%"
"26-09-2024","478.45","479.00","482.00","470.45","657.58K","0.35%"
"25-09-2024","476.80","477.00","479.80","469.50","780.98K","0.50%"
"24-09-2024","474.45","493.45","493.45","469.75","1.01M","-2.90%"
"23-09-2024","488.60","481.85","492.00","476.30","680.50K","2.30%"
"20-09-2024","477.60","470.05","490.85","462.20","5.95M","1.61%"
"19-09-2024","470.05","474.70","474.70","452.40","2.30M","-0.02%"
"18-09-2024","470.15","475.00","483.20","466.00","1.25M","-1.99%"
"17-09-2024","479.70","480.30","481.90","463.35","2.55M","0.71%"
"16-09-2024","476.30","496.95","496.95","463.20","5.09M","-3.55%"
"13-09-2024","493.85","498.95","503.90","490.00","2.47M","0.00%"
"12-09-2024","493.85","500.10","508.95","490.00","51.03M","-5.39%"
"11-09-2024","522.00","543.40","543.40","514.35","1.06M","-3.65%"
"10-09-2024","541.75","525.00","547.00","519.80","2.41M","4.22%"
"09-09-2024","519.80","519.55","528.00","508.00","887.47K","-2.11%"
"06-09-2024","531.00","528.00","538.75","526.00","1.49M","1.32%"
"05-09-2024","524.10","507.10","528.00","507.00","1.99M","4.17%"
"04-09-2024","503.10","507.00","519.00","501.00","1.23M","-0.74%"
"03-09-2024","506.85","505.15","530.75","495.50","5.14M","0.39%"
"02-09-2024","504.90","508.65","515.15","496.60","925.87K","-0.10%"
"30-08-2024","505.40","518.25","520.35","501.85","1.03M","-1.52%"
"29-08-2024","513.20","515.00","535.90","508.10","2.16M","-0.11%"
"28-08-2024","513.75","515.20","521.70","506.65","1.17M","0.46%"
"27-08-2024","511.40","507.00","519.95","493.50","3.32M","0.50%"
"26-08-2024","508.85","474.60","537.90","474.55","27.01M","8.59%"
"23-08-2024","468.60","472.50","474.20","467.00","104.95K","-0.84%"
"22-08-2024","472.55","470.00","475.00","462.45","390.06K","1.03%"
"21-08-2024","467.75","469.70","477.80","463.40","490.33K","0.45%"
"20-08-2024","465.65","471.45","477.80","462.15","290.86K","-1.06%"
"19-08-2024","470.65","468.00","472.85","461.35","322.13K","1.33%"
"16-08-2024","464.45","477.00","477.00","458.35","434.51K","-1.20%"
